id,created_at,text
1259595672187072500,Sun May 10 21:26:25 +0000 2020,@XeroShoes @jon My bestie @tbauer001 deserves some she is the best mom and friend 😍😍❤️🥳
1259595514707771400,Sun May 10 21:25:47 +0000 2020,RT @XeroShoes: Moms, we're impressed at how much you're able to juggle.  Tag a mom in your life and we'll send one lucky winner a FREE pair…
1259478407504556000,Sun May 10 13:40:26 +0000 2020,@happymallowco Look @Bevheavensrain1 @tbauer001 @alwayzfem4u
1259478340181692400,Sun May 10 13:40:10 +0000 2020,RT @happymallowco: ☁️ #GIVEAWAY ☁️  #WIN a box of our delightfully delicious Comfort Clouds before they disappear from our online shop once…
1259351771207495700,Sun May 10 05:17:14 +0000 2020,The Mom Mastery University Summer Self-Care Giveaway! #giveaway #win https://t.co/eEo9PvbKcI
1259347553935429600,Sun May 10 05:00:29 +0000 2020,RT @dodo: Watch this mama raccoon reunite with her lost babies 💗 https://t.co/AQo14gY205
1259342680280072200,Sun May 10 04:41:07 +0000 2020,https://t.co/Axd6Kd11yM
1259290910732370000,Sun May 10 01:15:24 +0000 2020,RT @ConsolidatedUS: 😁#Tip of the Week #Contest Share, retweet weekly #tips for your chance to #win $50. #WinMoney  Here are some tips on ma…
1259290747557212200,Sun May 10 01:14:45 +0000 2020,@JuicyJuiceUSA When dealing with tantrums stay calm and respond with confidence don’t yell or overreact. And take l… https://t.co/xU7FuxByA0
1259288942022586400,Sun May 10 01:07:34 +0000 2020,@nanacocobeauty My queen ❤️ love to treat her to this amazing skincare bundle #skincare #skincaregiveaway #giveaway https://t.co/ezoSCl1Il4
1259287059501473800,Sun May 10 01:00:06 +0000 2020,RT @OnceTees: "Mercenary Knights" is available for $13 this week only!  Shop now only at https://t.co/xbJt1cjg27!  Follow, Like, &amp; RT for a…
1259287042371936300,Sun May 10 01:00:01 +0000 2020,RT @OnceTees: DAILY DESIGN | "Couch Wars" is $14 today only.   Get yours now at https://t.co/vbIbDTf4Jg  Follow, Like, &amp; RT for a chance to…
1259287027561795600,Sun May 10 00:59:58 +0000 2020,RT @OnceTees: "Kingdom Axel" is available for $13 this week only!  Shop now only at https://t.co/xbJt1cjg27!  Follow, Like, &amp; RT for a chan…
1259286948260114400,Sun May 10 00:59:39 +0000 2020,@brkicks @FinishLine Size 9.5
