id,created_at,text
1260589907850006500,Wed May 13 15:17:09 +0000 2020,RT @ianmahinmi: Depuis 3 ans, je vais au Bénin avec ma fondation pour essayer d'inspirer la jeunesse Béninoise mais aussi pour apprendre d'…
1259584046469955600,Sun May 10 20:40:13 +0000 2020,@toups_33 ❤
1259583990253662200,Sun May 10 20:39:59 +0000 2020,@JOPASSAVEDUC13 Merci Jo!
1259583945164951600,Sun May 10 20:39:49 +0000 2020,@nicolas88batum Merci bro! ❤
1259583901397328000,Sun May 10 20:39:38 +0000 2020,@MaryPatrux Merci Mary!
1259583857101287400,Sun May 10 20:39:28 +0000 2020,@RiouxRemy Merci!
1259583760560984000,Sun May 10 20:39:05 +0000 2020,@FrankLikina Merci Frank !!
1259583701719093200,Sun May 10 20:38:51 +0000 2020,@EvanFourmizz Merci fourmiz
1259561990206390300,Sun May 10 19:12:34 +0000 2020,@StephBrun41 Merci Stephen!!
1259557960029819000,Sun May 10 18:56:33 +0000 2020,@valeriane_ayayi Merci Valériane !! 🇧🇯❤
1259547323379658800,Sun May 10 18:14:17 +0000 2020,Depuis 3 ans, je vais au Bénin avec ma fondation pour essayer d'inspirer la jeunesse Béninoise mais aussi pour appr… https://t.co/nX5LoJREMa
1259188566246203400,Sat May 09 18:28:43 +0000 2020,🇨🇵 Demain à 20h, je sors le documentaire sur mon camp de basket au Bénin 🇧🇯 depuis 3 ans. Une immense fierté pour m… https://t.co/NF4y5xVJxr
1226884482243887000,Mon Feb 10 15:03:49 +0000 2020,Check me out on the new episode of the @norefereespod ! Hilarious @NBA stories and a great convo !   Apple:… https://t.co/6zarDzvmqD
1226884262022074400,Mon Feb 10 15:02:57 +0000 2020,RT @norefereespod: 🇫🇷Parlez-vous Français? 🇫🇷 Take a listen as @WashWizards center @ianmahinmi talks about his championship career, hilario…
1159590017649578000,Thu Aug 08 22:19:39 +0000 2019,RT @AFD_en: In #Zenata, #Morocco, the first field as part of our @jrnba project in partnership with @NBA_Africa was completed and will bene…
1157292579366613000,Fri Aug 02 14:10:27 +0000 2019,Join me &amp; the I AM Foundation for “A Night on the Tees” on August 23 at Topgolf! The night will feature fun golf pl… https://t.co/3MU7f4mv6c
1146412629839286300,Wed Jul 03 13:37:24 +0000 2019,RT @Agence_Comsport: Prenons un moment pour mettre en lumière le travail que les joueurs font en dehors des terrains et notamment @ianmahin…
1144928172019990500,Sat Jun 29 11:18:42 +0000 2019,RT @ThierryKita: Phenomenal work by Ian Mahinmi @ianou76 during today’s coaching clinic in Zenata, Morocco 🇲🇦 #casablanca #morocco #ianmahi…
1144927203391606800,Sat Jun 29 11:14:51 +0000 2019,Great pleasure and honor to be part of the @jrnba here in Morrocco 🇲🇦. Africa is the future. Major thanks to… https://t.co/b2k2n5exzH
1144660508722835500,Fri Jun 28 17:35:06 +0000 2019,RT @NBA_Africa: .@ianmahinmi of the @WashWizards is also here🙌🏾 #AFDxNBA https://t.co/hi08lreBgs
1142192495360696300,Fri Jun 21 22:08:06 +0000 2019,Welcome to The Big League petit frère. Nous les anciens, on est là pour toi!!    Ps : le costard @FrenchDeal 🔥🔥 https://t.co/e5w97D3eDj
1139466999069925400,Fri Jun 14 09:37:57 +0000 2019,RT @JustinTchounou: Grateful for the opportunities, looking forward exchanging and learning from all my basketball travels this summer! ⁦@W…
1138174387310514200,Mon Jun 10 20:01:34 +0000 2019,Encore 2 matches à gagner.  @RouenMBasket
1131172677367074800,Wed May 22 12:19:17 +0000 2019,Petit passage chez la famille @NBAextra ! On a parlé basket avec @mayer_decathlon! https://t.co/0f72sGAErY
1129723299959849000,Sat May 18 12:19:58 +0000 2019,Toujours un plaisir de passer chez @cplussportafr et de revoir @OULDYASSIA, @georgeeddy2 . On a parlé Bénin 🇧🇯 et… https://t.co/MWvCT1iYHO
1129354983500111900,Fri May 17 11:56:25 +0000 2019,RT @AurelDelavaud: Pas facile de trouver l'angle pour apparaître sur un selfie avec un mec de 2,11m ! Un grand merci à @ianmahinmi pour sa…
1128655429804884000,Wed May 15 13:36:38 +0000 2019,RT @RouenMBasket: Après-midi Kinder+Sport Basket au @LeKindarena, avec la présence de @ianmahinmi et de l’équipe du @RouenMBasket. https://…
1107315989346172900,Sun Mar 17 16:21:19 +0000 2019,Allez @RouenMBasket !!! @tonyparker je sais que ton coeur balance !! 😆😆 https://t.co/7RCxqARB0w
1106958707995361300,Sat Mar 16 16:41:36 +0000 2019,RT @RouenMBasket: FIN DE MATCH 🤩  RMB9️⃣3️⃣ - 8️⃣6️⃣ Antibes  #GORMB #CDFBasket https://t.co/DlOUdTRcNu
1106385685303443500,Fri Mar 15 02:44:37 +0000 2019,RT @leaguefits: have a nike day 👟 @SLAMKicks https://t.co/pjnILxjreC
1095782335235141600,Wed Feb 13 20:30:42 +0000 2019,RT @EvanFourmizz: 📣 #FournierForReal  ⭕Episode 6 - Magic Trip⭕ Link in bio (🔔english subtitles are available on Youtube/🔔sous titres en fra…
1094947590225965000,Mon Feb 11 13:13:43 +0000 2019,Les inscriptions pour le Ian Mahinmi Camp édition 2019 à Montpellier sont ouvertes!!! Rendez-vous sur… https://t.co/w3IjMCYvGu
1088097790776016900,Wed Jan 23 15:35:03 +0000 2019,RT @RouenMBasket: VICTOIRE, Direction les 8ème de finale de #CDFBasket ! 🎉  @ADABloisBasket 8⃣8⃣ - 9⃣2⃣ @RouenMBasket   #GORMB #ADARMB http…
1086345428830957600,Fri Jan 18 19:31:48 +0000 2019,RT @MoussaSissoko: Good moment yesterday at #NbaLondonGame 🏀  Thanks to my boy @ianmahinmi for the jersey and congrats for the victory 🤙🏿 #…
1067369440751292400,Tue Nov 27 10:48:00 +0000 2018,RT @Boundiaye: Go vote for @imanndiaye for the Dallas Volleyball player of the year, you can vote as much as you can. A ton of retweet and…
1051879635024314400,Mon Oct 15 16:57:02 +0000 2018,RT @CandaceDBuckner: By far my fave piece in the story was Ian Mahinmi talking about fathering 3 girls.  Mainimi, of course, plays in the N…
1049692713833168900,Tue Oct 09 16:06:59 +0000 2018,RT @natlyphoto: Love pics like this.. @johnwall and @ianmahinmi defending the rim and the rookie kknox_23 not settling and taking it #stron…
1047020761586815000,Tue Oct 02 07:09:36 +0000 2018,RT @Agence_Comsport: .@ianmahinmi débutait la pré-saison avec les @WashWizards : 8pts, 7rbds, 1ctr, 1int en 19 minutes ET son 1er tir à 3pt…
