id,created_at,text
1261268791536877600,Fri May 15 12:14:47 +0000 2020,RT @tellmeruel: aula super produtiva, fiz vários wallpapers do ruel https://t.co/QdTflQFBmi
1261261628647104500,Fri May 15 11:46:20 +0000 2020,RT @moreiraviw: https://t.co/fCaXgRqfIB
1261261582421688300,Fri May 15 11:46:09 +0000 2020,RT @larissalessax: eu falando com a minha mãe enquanto ela mexe no celular
1261260944853930000,Fri May 15 11:43:37 +0000 2020,@kapriniss Enfim 😗✌🏻
1261260780135161900,Fri May 15 11:42:57 +0000 2020,@ryuwoorld Olha não sei não Tbm estou bloqueada KKK
1261260520713261000,Fri May 15 11:41:55 +0000 2020,@kapriniss É que não param de me chatear,,, já me enviaram mts mensagens e telefonaram,,,
1261259963206439000,Fri May 15 11:39:42 +0000 2020,@kapriniss Não tem mal não jsjsdjdj O que eu querja dizer é que as pessoas não sabem aceitar quando alguém lhes nega algo,,,
1261258308662558700,Fri May 15 11:33:08 +0000 2020,@kapriniss Aff as pessoas não sabem normalizar um "não"
1261255005203562500,Fri May 15 11:20:00 +0000 2020,RT @TVRVNTO: but?? they are ???
1261251913561096200,Fri May 15 11:07:43 +0000 2020,RT @conclusoesinesp: https://t.co/2ihpEzDAhG
1261251733180776400,Fri May 15 11:07:00 +0000 2020,RT @Mendeszinn: excluir TUDO relacionado a uma pessoa e fingir que ela morreu 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰😍😍😍😍😍😍
1261247272282660900,Fri May 15 10:49:17 +0000 2020,RT @sabrinaverse: she looks like a princess ✨✨ https://t.co/lmmUSe9cZb
1261247196541960200,Fri May 15 10:48:59 +0000 2020,RT @josephstonkin: he was                               and he was a poem                           the best reader https://t.co/BXNxkejdOo
1261242193995595800,Fri May 15 10:29:06 +0000 2020,Se 👏 não 👏 te 👏 respondo 👏 é 👏 porque 👏 não 👏 quero
1261241234024251400,Fri May 15 10:25:17 +0000 2020,@whatAdrag86 Aff 😔 mandei no Instagram
1261239831444799500,Fri May 15 10:19:43 +0000 2020,Olá Vou apagar todas as minhas redes sociais e número de telemóvel e ainda fingir q não existo para o resto da minha vida Bom dia
1261234902185521200,Fri May 15 10:00:07 +0000 2020,RT @delacruzfc_: vontade de desativar tudo e sumir né minha filha????
1261234621347434500,Fri May 15 09:59:00 +0000 2020,Tirar apontamentos e chorar
1261224899265380400,Fri May 15 09:20:23 +0000 2020,Gatilho, professor, gatilho
1261224793178869800,Fri May 15 09:19:57 +0000 2020,@isaaabel0 Mas isso existe???
