id,created_at,text
1259947494202650600,Mon May 11 20:44:25 +0000 2020,RT @OpenSecretsDC: Tomorrow's special election in #CA25 has attracted millions in spending  https://t.co/M3GNmQehGW by @ilmahasan
1258856612711796700,Fri May 08 20:29:39 +0000 2020,RT @OpenSecretsDC: Both parties are spending in Montana's Senate race.  As Democratic super PACs spend on ads, the GOP, hoping it will suck…
1256231793692496000,Fri May 01 14:39:33 +0000 2020,RT @OpenSecretsDC: A handful of companies receiving millions in small business loans have links to President Donald Trump, @ilmahasan write…
1255251264327254000,Tue Apr 28 21:43:17 +0000 2020,RT @Zebaism: Call to action!  A group of 12 young journalists are collecting funds to donate 1500 PPE kits to healthcare workers in Bhopal…
1255238228887646200,Tue Apr 28 20:51:29 +0000 2020,RT @OpenSecretsDC: Trump-tied lobbying firm Ballard Partners is thriving as companies and associations scramble for representation on coron…
1253736276504838100,Fri Apr 24 17:23:16 +0000 2020,RT @OpenSecretsDC: House Democrats have built a significant monetary advantage heading into the general election.   Many of them have PAC c…
1253315582335877000,Thu Apr 23 13:31:34 +0000 2020,RT @OpenSecretsDC: More than half of those currently serving in Congress are millionaires... but much like America at large, Congress posse…
1252689340771324000,Tue Apr 21 20:03:07 +0000 2020,RT @OpenSecretsDC: Despite a strong March, the DNC still lags in fundraising   https://t.co/mz9dmS1in8 by @ilmahasan
1250838892292518000,Thu Apr 16 17:30:06 +0000 2020,RT @OpenSecretsDC: Small businesses and startups with fewer than 500 employees but controlled by large parent companies including private-e…
1250445343986155500,Wed Apr 15 15:26:16 +0000 2020,RT @r_gov11: One of the best pieces I've read on the rise of right-wing Hindu vigilantism in India over the last few years. Do read @hindur…
1250068060876279800,Tue Apr 14 14:27:05 +0000 2020,RT @rupasubramanya: Doctor at state run hospital in Mumbai says, "the other day 6 patients with severe acute respiratory distress syndrome…
1248722835968753700,Fri Apr 10 21:21:38 +0000 2020,RT @Memeghnad: Middle-class entitlement is weakening India’s battle against the coronavirus  @ShoaibDaniyal 🙌 https://t.co/RzueHqP4aP
1248721827947524000,Fri Apr 10 21:17:38 +0000 2020,RT @parahoot: It takes a pandemic to re-emphasize that the law operates differently if you are poor.   Redoing the headline: FIR registered…
1248714843718324200,Fri Apr 10 20:49:53 +0000 2020,RT @OpenSecretsDC: Thanks to support from small donors, @AmyMcGrathKY has outpaced @senatemajldr McConnell in the fundraising race.   https…
1248587965770629000,Fri Apr 10 12:25:43 +0000 2020,RT @TomasJNavia: The lockdown in Wuhan -- ground zero for the coronavirus pandemic -- is over, but residents are still having their movemen…
1247977020887306200,Wed Apr 08 19:58:02 +0000 2020,RT @OpenSecretsDC: So Bernie Sanders, before exiting the 2020 race today, raised nearly $180 million, over 54 percent of which came from sm…
1246920333006946300,Sun Apr 05 21:59:08 +0000 2020,RT @maryashakil: #9MinutesForIndia https://t.co/wJ6yfj1r8p
1246178475175751700,Fri Apr 03 20:51:16 +0000 2020,RT @OpenSecretsDC: Over 40 GOP lawmakers (many major recipients of $$ from the oil and gas industry) wrote to @realDonaldTrump today urging…
1246067850021867500,Fri Apr 03 13:31:40 +0000 2020,RT @OpenSecretsDC: Last weekend, the Trump administration designated the firearms industry as essential “critical infrastructure” following…
1245453680926699500,Wed Apr 01 20:51:11 +0000 2020,RT @OpenSecretsDC: Democratic Majority for Israel, the group that spent $1.4 million on ads opposing Bernie Sanders, is now backing 8 Democ…
1245004082701623300,Tue Mar 31 15:04:39 +0000 2020,RT @annalecta: ICYMI last night: Gun dealers &amp; shooting ranges were added to the Trump admin list of "essential" services DHS recommends st…
1244737805085020200,Mon Mar 30 21:26:33 +0000 2020,RT @OpenSecretsDC: After lobbying and digital ad campaigns by the #NRA and other gun rights groups, the firearms industry earned a spot on…
1244692949214146600,Mon Mar 30 18:28:19 +0000 2020,RT @Runjhunsharmas: Just one factual correction: There was no lockdown when people gathered there.   The Tablighi Jamaat congregation was o…
1244271359632564200,Sun Mar 29 14:33:04 +0000 2020,RT @Sreya_Chattrjee: A small initiative by a group of reporters, trying to reach out while bringing daily news.  Let's all do our bit in th…
1244099108647952400,Sun Mar 29 03:08:36 +0000 2020,RT @sarkarshanta: 7:45 am #AnandVihar : #MigrantsOnTheRoad convinced by authorities, being taken back on special DTC buses to various shelt…
1244021037748105200,Sat Mar 28 21:58:22 +0000 2020,My absolute favourite by @BiancaGiac https://t.co/lT4n7qJJsD
1243900060968128500,Sat Mar 28 13:57:39 +0000 2020,RT @ShivAroor: Scenes a short while ago at Delhi’s Anand Vihar bus terminus. https://t.co/1iO4QkWHFc
1243526321977929700,Fri Mar 27 13:12:33 +0000 2020,RT @IamNaveenKapoor: Scenes at Delhi UP Border ... https://t.co/OOwxKbRnKk
1242833649302732800,Wed Mar 25 15:20:07 +0000 2020,RT @alok_pandey: A pic of @myogiadityanath from early morning , as the @UPGovt CM went ahead with a event to shift the idol of Lord Ram at…
1241111363742810000,Fri Mar 20 21:16:22 +0000 2020,RT @OpenSecretsDC: In the Alabama Senate race, conservative super PACs are siding with @realDonaldTrump and backing @TTuberville  https://t…
1241017086530523100,Fri Mar 20 15:01:45 +0000 2020,RT @TVietor08: The first #COVID19 case in the US &amp; South Korea was detected on the same day. South Korea has tested 290K people and the #co…
1240383325182795800,Wed Mar 18 21:03:24 +0000 2020,RT @OpenSecretsDC: As the government moves to pass a relief bill for those impacted by the #CoronavirusOutbreak, powerful business associat…
1239925668344930300,Tue Mar 17 14:44:50 +0000 2020,RT @OpenSecretsDC: A number of states are still holding primaries today. While Bernie Sanders has led Joe Biden in contributions from Illin…
1239573391264415700,Mon Mar 16 15:25:01 +0000 2020,RT @OpenSecretsDC: #FARAWatch- amid religious violence, Indian government has deployed an arsenal of lobbying tactics to hinder a U.S. Hous…
1238553444333621200,Fri Mar 13 19:52:06 +0000 2020,RT @OpenSecretsDC: In #IL01 #IL03 and #IL07 incumbent Democrats are raking in campaign cash from PACs while their primary challengers amass…
1237841410482565000,Wed Mar 11 20:42:44 +0000 2020,RT @OpenSecretsDC: Seeing the primary as all but settled, outside groups are ready to spend tens of millions of dollars to back Joe Biden…
1237434953845047300,Tue Mar 10 17:47:38 +0000 2020,@annalecta @lachlan Congratulations!
1237115252145369000,Mon Mar 09 20:37:15 +0000 2020,RT @OpenSecretsDC: Bernie Sanders gets far more campaign cash from Michigan and Washington than Joe Biden. But the former vice president le…
1236031006072807400,Fri Mar 06 20:48:50 +0000 2020,RT @OpenSecretsDC: The amount spent by Democrats who have now dropped out of the 2020 race adds up to over $1 billion   https://t.co/lYwo1p…
1235669404064641000,Thu Mar 05 20:51:58 +0000 2020,RT @OpenSecretsDC: Today Elizabeth Warren ended her 2020 presidential campaign.   Of her $92 million fundraising haul, more than half came…
1235554463672414200,Thu Mar 05 13:15:14 +0000 2020,RT @angshuman_ch: This happened today. Lawyers in #DelhiHighCourt during the farewell ceremony of #JusticeMuralidhar who has been transferr…
1235270453444448300,Wed Mar 04 18:26:40 +0000 2020,RT @OpenSecretsDC: Mike Bloomberg's $6 million per day investment didn't pay off.   Throughout his 100 day campaign he avoided having to fi…
1235252043109019600,Wed Mar 04 17:13:31 +0000 2020,RT @KarnikaKohli: Spotted in Khan Market today: man walking around in a hazmat suit.   #CoronaAlert #coronavirus https://t.co/Yg3ozQit1g
1234991119437422600,Tue Mar 03 23:56:42 +0000 2020,RT @OpenSecretsDC: THREAD: Our awesome journalists @KarlMEvers, @ilmahasan, @tatyanamonnay &amp; @BrianM_Johnson (with the support of our whole…
1234614417507192800,Mon Mar 02 22:59:49 +0000 2020,RT @OpenSecretsDC: Despite leading with Massachusetts donors, Elizabeth Warren could still lose the state, according to #SuperTuesday polls…
1234252348786126800,Sun Mar 01 23:01:05 +0000 2020,RT @joymalabagchi: Life continues amidst ashes &amp; rubbles  #Delhiviolence #Aftermath https://t.co/lRtbBw9MVu
1233453825941495800,Fri Feb 28 18:08:03 +0000 2020,RT @OpenSecretsDC: Two of the top three contributors to super PACs and other outside groups thus far this cycle are also running for Presid…
1233034434141728800,Thu Feb 27 14:21:32 +0000 2020,RT @Sreya_Chattrjee: Residents of Moonga Nagar are divided over the AnkitSharma-TahirHussain story.   Gali No.5 which is opp to Tahir Hussa…
1232758120084099000,Wed Feb 26 20:03:34 +0000 2020,RT @arvindgunasekar: On the day, Justice Muralidhar of Delhi HC grilled Centre &amp; Delhi Police over violence in NCR and inaction against BJP…
1232477227578609700,Wed Feb 26 01:27:24 +0000 2020,RT @tatyanamonnay: See how South Carolina voters are donating @OpenSecretsDC by @ilmahasan https://t.co/BBtHliYknP
1232374871323181000,Tue Feb 25 18:40:40 +0000 2020,RT @chrislhayes: It is INSANE to me that this is not a bigger story. The President flew to India to praise a leader whose movement beats Mu…
1232363214475812900,Tue Feb 25 17:54:21 +0000 2020,RT @rkarnad: I'm at Mustafabad, near the Loni Border, and new fires (set post-9pm) are burning in front of our eyes - Muslim jhuggis and te…
1232350496612065300,Tue Feb 25 17:03:49 +0000 2020,RT @AltNews: Alt News has independently verified that the video of policemen beating a group of injured men and forcing them to sing the na…
1232321910916210700,Tue Feb 25 15:10:13 +0000 2020,RT @shashj: A good example of how illiberal regimes can generate pressure for private-sector self-censorship. "An episode of John Oliver’s…
1232319828473589800,Tue Feb 25 15:01:57 +0000 2020,RT @soniandtv: Admirable courage &amp; commitment displayed by  @arvindgunasekar @saurabh_unmute &amp; all journalists reporting today at great per…
1232063819662397400,Mon Feb 24 22:04:39 +0000 2020,RT @OpenSecretsDC: Joe Biden leads the money race in South Carolina, the last state to hold a primary before Super Tuesday.  Will he be abl…
1231972298762150000,Mon Feb 24 16:00:59 +0000 2020,RT @Parv05: Sir, I was attacked by pro CAA protestors for reporting facts. A group of men armed with sticks and bricks cornered me to hit m…
1231956772962873300,Mon Feb 24 14:59:17 +0000 2020,RT @RanaAyyub: In the national capital,  on a day when Trump lauded Narendra Modi's commitment to a unified and secular India https://t.co/…
1230937206241529900,Fri Feb 21 19:27:54 +0000 2020,RT @OpenSecretsDC: New FEC filings show some insight into who is funding the anti-Bernie Sanders outside group "Democratic Majority for Isr…
1230539948446670800,Thu Feb 20 17:09:20 +0000 2020,RT @salcedonews: Cat's out the bag!!! @pranshuverma_ I've been waiting months to brag about you. So well deserved. DC is lucky to have you.…
1230257787009151000,Wed Feb 19 22:28:08 +0000 2020,RT @arvindgunasekar: Nritya Gopal Das who is an accused in the Babri Masjid demolition case has been made as the President of the Ram Templ…
1230247287219200000,Wed Feb 19 21:46:24 +0000 2020,RT @OpenSecretsDC: Most candidates now competing for the Democratic nomination have used outside groups or leadership PACs to back other ca…
1230245019489128400,Wed Feb 19 21:37:24 +0000 2020,Past spending comes back to 2020 Democrats in the form of endorsements https://t.co/O1c62LvXvJ via @OpenSecretsDC
1230136033527947300,Wed Feb 19 14:24:19 +0000 2020,@Sreya_Chattrjee @TwitterIndia @sarkarshanta @Parv05 @kavitaashok1969 @TanushreePande @Zebaism @SherineElizabe2… https://t.co/t9XVMsJVNu
1230135815201751000,Wed Feb 19 14:23:27 +0000 2020,RT @IndianExpress: The move comes just days after the AMC began building a wall allegedly to cover the Saraniyavas or Dev Saran slum on a r…
1228357010749632500,Fri Feb 14 16:35:07 +0000 2020,RT @vijaita: No woman in @ArvindKejriwal's  Cabinet. 🙅👎
1228006719550345200,Thu Feb 13 17:23:11 +0000 2020,RT @OpenSecretsDC: Results in Iowa and New Hampshire closely reflected the preferences donors in those states showed for Bernie Sanders and…
1227992003398525000,Thu Feb 13 16:24:43 +0000 2020,@OreOgunb Goodmorning
1227718981714432000,Wed Feb 12 22:19:49 +0000 2020,RT @parthsarora: Come one, come all ♥️ cc @narendramodi @TumKabAaoge2020 https://t.co/DjUnJfjjYL
1227305174710005800,Tue Feb 11 18:55:30 +0000 2020,RT @saahilmenghani: This day is far from over.  AAP leaders allege shots fired at Mehrauli MLA Naresh yadav's convoy in which one of the AA…
1227269474576982000,Tue Feb 11 16:33:38 +0000 2020,RT @koushiktweets: Much was said and heard about Shaheen Bagh during the Delhi Assembly election campaign. On results day, Shaheen Bagh has…
1226990760177885200,Mon Feb 10 22:06:08 +0000 2020,RT @OpenSecretsDC: Ahead of tomorrow's New Hampshire primaries, Pete Buttigieg is getting a boost from spending VoteVets, a hybrid super PA…
1226917745503154200,Mon Feb 10 17:16:00 +0000 2020,@pranshuverma_ I am done.
1225474768025071600,Thu Feb 06 17:42:07 +0000 2020,RT @OpenSecretsDC: Uncertain results in Iowa have not slowed spending in New Hampshire - quite the opposite, in fact.  Outside groups are a…
1225169992695648300,Wed Feb 05 21:31:03 +0000 2020,RT @OpenSecretsDC: In 2019 Trump and the RNC got more than $4.4 million from lobbyist fundraisers as Trump-connected lobbying firms brought…
1224808857920249900,Tue Feb 04 21:36:02 +0000 2020,RT @OpenSecretsDC: It is not just the caucuses worth paying attention to - all 4 House districts in #Iowa are set for competitive (and pric…
1223352430198390800,Fri Jan 31 21:08:42 +0000 2020,RT @OpenSecretsDC: This year's #SuperBowl will feature more than $21 million worth of political ads  https://t.co/w9KD3Dlgze by @annalecta…
1222901726518268000,Thu Jan 30 15:17:46 +0000 2020,RT @IndiaToday: Anurag Thakur is doing what the party line has been set for #DelhiElections2020, says India Today's National Affairs Editor…
1222610609012985900,Wed Jan 29 20:00:58 +0000 2020,First story for @OpenSecretsDC is up! https://t.co/zriVXt6M8a
1218269417286570000,Fri Jan 17 20:30:38 +0000 2020,RT @arvindgunasekar: Let’s not panic. This is a routine order issued once in every four months delegating power to the police chief to make…
1216070862182473700,Sat Jan 11 18:54:21 +0000 2020,RT @BDUTT: #ShaheenBagh. 27 days. https://t.co/eIT2imXRwz
1213852113245294600,Sun Jan 05 15:57:50 +0000 2020,RT @SreenivasanJain: It has been almost *3 hours* since the news of violence inside JNU went public. And the mobs are STILL on the prowl. N…
1211332730790842400,Sun Dec 29 17:06:43 +0000 2019,RT @Zebaism: Visuals from Shaheen Bagh protest last night.   People there have been protesting all day, all night for almost 15 days now. A…
1210471493869678600,Fri Dec 27 08:04:28 +0000 2019,RT @PreetiChoudhry: CAA protests - latest death count : 19 dead  in UP, 2 dead in Mangalore,4 dead in Assam - 16 DAYS OF CAA 25 DEAD ! Toda…
1209311559174041600,Tue Dec 24 03:15:18 +0000 2019,RT @thewire_in: The death toll of those who have lost their lives across the country during protests against the Citizenship Amendment Act…
1209304732231196700,Tue Dec 24 02:48:10 +0000 2019,RT @arunjei: German student had to abruptly leave India for attending #CAA_NRC_Protest. Unnamed immigration officers in Chennai  gave him o…
1208158477274796000,Fri Dec 20 22:53:22 +0000 2019,RT @RanaAyyub: Delhi right now ♥️ https://t.co/QHngAc1oEs
1207732043490062300,Thu Dec 19 18:38:52 +0000 2019,RT @AishPaliwal: #JamiaMilliaUniversity while Muslims read namaz Hindus, Sikhs form a human chain to shield them. This while protestors pro…
1207386079319543800,Wed Dec 18 19:44:08 +0000 2019,RT @BrutIndia: Kanhaiya Kumar added a booming crescendo to the anti-Citizenship Amendment Act protests in Purnea, Bihar. https://t.co/IEJN1…
1207354152688537600,Wed Dec 18 17:37:16 +0000 2019,RT @emilyschmall: https://t.co/ekVwBGezgE
1207050779988758500,Tue Dec 17 21:31:46 +0000 2019,RT @artwhoring: Send this to everyone who’s asking. https://t.co/JA65TSUDH2
