id,created_at,text
1261020679249387500,Thu May 14 19:48:53 +0000 2020,@Bhavna__B @KikiVijay @Ganesansmusic88 @apsaravenkat @editorkishore Thanks Bhavna 😊
1261008775273517000,Thu May 14 19:01:35 +0000 2020,Wow that’s a surprise 🤩 thanks a ton brooo 💛 chumma jollya oru attempt !! Nothing big 🤓😝 https://t.co/YdXRaebHlV
1261008276629545000,Thu May 14 18:59:36 +0000 2020,@cineobserver Hahah thanks maniii 💛
1260994012049141800,Thu May 14 18:02:55 +0000 2020,@RJVijayOfficial @KikiVijay @Ganesansmusic88 @apsaravenkat @editorkishore Thanks broooo 😊
1260993877533536300,Thu May 14 18:02:23 +0000 2020,@vp_offl @KikiVijay @Ganesansmusic88 @apsaravenkat @editorkishore Thank you saaareee 💛🙏🏻
1260993789524504600,Thu May 14 18:02:02 +0000 2020,@jan_iyer @KikiVijay @Ganesansmusic88 @apsaravenkat @editorkishore Thanks jan 😊😊
1260993687804248000,Thu May 14 18:01:37 +0000 2020,@cinemapayyan Hahahah bro 💛😊🙏🏻
1260993613359530000,Thu May 14 18:01:20 +0000 2020,@actorramya @KikiVijay Thank you ramyaaaa 😊
1260993068167073800,Thu May 14 17:59:10 +0000 2020,@ACTOR_UDHAYAA @KikiVijay @Ganesansmusic88 @apsaravenkat @editorkishore Thank you bro 💛😊
1260992998713593900,Thu May 14 17:58:53 +0000 2020,@vasukibhaskar @KikiVijay @Ganesansmusic88 @apsaravenkat @editorkishore Hahahah thank you Vasuki 💛
1260992587038515200,Thu May 14 17:57:15 +0000 2020,@realradikaa Thank you so much 💛🙏🏻
1260992335610916900,Thu May 14 17:56:15 +0000 2020,@MahatOfficial Hahah thanks da
1260992103481368600,Thu May 14 17:55:20 +0000 2020,@galattadotcom @KikiVijay Thank you 😊
1260991868420141000,Thu May 14 17:54:24 +0000 2020,@Dhananjayang Thank you sir 💛
1260990586833772500,Thu May 14 17:49:18 +0000 2020,@BrindhaGopal1 @KikiVijay @Ganesansmusic88 @apsaravenkat @editorkishore Thank you so much aunty 💛
1260990484983558100,Thu May 14 17:48:54 +0000 2020,@BrindhaGopal1 @KikiVijay @Ganesansmusic88 @apsaravenkat @editorkishore Thank you auntyyy
1260930314953605000,Thu May 14 13:49:48 +0000 2020,@gayathriraguram @KikiVijay Thank u gayu 😊
1260929515687010300,Thu May 14 13:46:38 +0000 2020,@editorkishore @KikiVijay Thanks for your timely help bro 💛😊
1260929377748922400,Thu May 14 13:46:05 +0000 2020,@Nitinsathyaa Thanks machi 💛🙏🏻
1260929207829360600,Thu May 14 13:45:24 +0000 2020,@arya_offl Hahahaha thanks a ton and secret shud always be secret darlingggg 😍😘
1260929090871193600,Thu May 14 13:44:56 +0000 2020,RT @arya_offl: Nice one macha.. but don’t forget u secrets r still safe with me 🤪🤪🤪
1260928852634656800,Thu May 14 13:44:00 +0000 2020,@aadhavkk @KikiVijay Hahahha thanks bro
1260915215928971300,Thu May 14 12:49:48 +0000 2020,@dir_thiru @KikiVijay @Ganesansmusic88 @apsaravenkat @editorkishore Thank u broooo
1260915031010447400,Thu May 14 12:49:04 +0000 2020,@RinkuGupta2012 @isanjaybharathi @KikiVijay Thank you Rinku 😊
1260914940895846400,Thu May 14 12:48:43 +0000 2020,@sathishoffl Thank u bro
1260911832631349200,Thu May 14 12:36:22 +0000 2020,@isanjaybharathi @KikiVijay Thanks sanjayyy 💛
1260910298266886100,Thu May 14 12:30:16 +0000 2020,Presenting you the official teaser of  #KonjamCoronaNaraiyyaKadhal  👇  https://t.co/CceBYlSd70  Directed by “Kathuk… https://t.co/qobEedot0l
1260906120522035200,Thu May 14 12:13:40 +0000 2020,@Karthi_Prasanna @KikiVijay Hahahaha thanks karthi 💛
1260876352569442300,Thu May 14 10:15:23 +0000 2020,@its_mebobs 🤓🤓🤓🙏🏻🙏🏻🙏🏻
1260870479352602600,Thu May 14 09:52:02 +0000 2020,RT @imKBRshanthnu: #KoCoNaKa  #KonjamCoronaNaraiyyaKadhal A short video ft. @KikiVijay &amp; myself😊 My 1st attempt💛🙏🏻Shot completely on iPhone…
1260869780162203600,Thu May 14 09:49:16 +0000 2020,@aadhavkk Thank you aadhav 💛💛
1260868688410017800,Thu May 14 09:44:55 +0000 2020,@iamharishkalyan @SamCSmusic @jeranjit @thinkmusicindia @Kavin_raj15 @ShilpaManjunat Super bro 🔥💛 Well dove 😊
1260822814191349800,Thu May 14 06:42:38 +0000 2020,#KoCoNaKa  #KonjamCoronaNaraiyyaKadhal A short video ft. @KikiVijay &amp; myself😊 My 1st attempt💛🙏🏻Shot completely on i… https://t.co/V8YDBz1Yt6
1260798234093592600,Thu May 14 05:04:58 +0000 2020,Happy bday @Dhananjayang sir 😊 Have a good one 💛
1260794335387201500,Thu May 14 04:49:28 +0000 2020,RT @imKBRshanthnu: Thank you @ChennaiTimesTOI 😊 https://t.co/IS7sJMD8Mc  #Master #LibraProductions #RaavanaKottam #Corona https://t.co/Wo6e…
1260794197306568700,Thu May 14 04:48:55 +0000 2020,@shreyasrocky @ChennaiTimesTOI @KikiVijay 😊🙏🏻
1260794177580753000,Thu May 14 04:48:51 +0000 2020,RT @shreyasrocky: @imKBRshanthnu hi bro read your article in @ChennaiTimesTOI very inspiring one to lot of youngsters cheers  கடவுள் உண்மை…
1260793991617851400,Thu May 14 04:48:06 +0000 2020,Thank u nanba 💛 https://t.co/3XOWsHvrX4
1260793848038428700,Thu May 14 04:47:32 +0000 2020,@SharanyaCr Thank u Sharanya 😊
1260793659944865800,Thu May 14 04:46:47 +0000 2020,Thank you @ChennaiTimesTOI 😊 https://t.co/IS7sJMD8Mc  #Master #LibraProductions #RaavanaKottam #Corona https://t.co/Wo6eHe5hZq
1260793094141706200,Thu May 14 04:44:32 +0000 2020,RT @ChennaiTimesTOI: . @imKBRshanthnu talks about working on a short film during this lockdown, his experience working with #ThalapathyVija…
1260541418025582600,Wed May 13 12:04:28 +0000 2020,RT @imKBRshanthnu: #KoCoNaKa  Wait for it 💙 - With Love Shanthnu &amp; Kiki 💛  https://t.co/waNFddsMuX  #WithLoveShanthnuKiki   Image poster :…
1260538442254975000,Wed May 13 11:52:38 +0000 2020,#KoCoNaKa  Wait for it 💙 - With Love Shanthnu &amp; Kiki 💛  https://t.co/waNFddsMuX  #WithLoveShanthnuKiki   Image post… https://t.co/hoNMRmTftG
1260481571670409200,Wed May 13 08:06:39 +0000 2020,@RIAZtheboss @KikiVijay Thank u Riaz bhai
1260481551164420000,Wed May 13 08:06:35 +0000 2020,RT @RIAZtheboss: Just watched this video. Nice start @imKBRshanthnu &amp; @KikiVijay 👌🏻💕👏🏻 Looking forward to more🤗  👉🏻https://t.co/j3BTcZZ28L…
1260481487931150300,Wed May 13 08:06:19 +0000 2020,@vasutheatre @KikiVijay Thank u
1260481337145819100,Wed May 13 08:05:44 +0000 2020,@swathiBCA 💛🙏🏻
1260481191846740000,Wed May 13 08:05:09 +0000 2020,@prosathish @YouTube @KikiVijay Thank you
1260473075100987400,Wed May 13 07:32:54 +0000 2020,@rameshlaus @YouTube @KikiVijay Thank you
1260468176925720600,Wed May 13 07:13:26 +0000 2020,Super innovative video from one of the most risky professions #StuntUnion 💛💛🔥🔥 https://t.co/2f1Q1HLok4
1260467153603637200,Wed May 13 07:09:22 +0000 2020,@sundeepkishan @KikiVijay Hahahah
1260467111715111000,Wed May 13 07:09:12 +0000 2020,@aadhavkk 😂🤓🙏🏻🙏🏻🙏🏻
1260467072708075500,Wed May 13 07:09:03 +0000 2020,@shobimaster @KikiVijay Thank you master 💛
1260450953402159000,Wed May 13 06:04:59 +0000 2020,@Dhananjayang @KikiVijay Thank u sir
1260449168176418800,Wed May 13 05:57:54 +0000 2020,Coming soon 💛🤓 My first attempt at editing  as well🤓 #WithLoveShanthnuKiki  Channel link: https://t.co/waNFddKnTx https://t.co/zJOHFWKwaj
1260448706136072200,Wed May 13 05:56:04 +0000 2020,RT @ChennaiTimesTOI: .@imKBRshanthnu misses his cricket team https://t.co/WBw3Y0ZAGJ
1260448613697826800,Wed May 13 05:55:42 +0000 2020,Thank you so much for your kind words 💛 will def ask appa n get back https://t.co/2GatEId8HY
1260432770096038000,Wed May 13 04:52:44 +0000 2020,RT @KikiVijay: 🧚‍♀️ https://t.co/ztRSihpMgT
1260244665439146000,Tue May 12 16:25:17 +0000 2020,@rparthiepan 😍💛
1260237074734571500,Tue May 12 15:55:07 +0000 2020,@MrRathna And thank you brooo 💛😍
1260237036281200600,Tue May 12 15:54:58 +0000 2020,@MrRathna 😍 kandippa 😍🤪
1260236740821844000,Tue May 12 15:53:47 +0000 2020,#144 கவிதைகள் by @rparthiepan sir 💛😊 https://t.co/AFqzCl6hnu
1260221207460397000,Tue May 12 14:52:04 +0000 2020,Producer of my film  #RaavanaKottam  Mr.Kannan Ravi 💛 #KRGroup  #CoronaPandemic #Relief https://t.co/OutT4pRP40
1260201187854319600,Tue May 12 13:32:31 +0000 2020,😍💛 https://t.co/lTUQMEEvrl
1260144057852014600,Tue May 12 09:45:30 +0000 2020,RT @imKBRshanthnu: Here’s the link to our  #MothersDaySpecial video  https://t.co/2KLmcO7oMe A short “jus for fun” video shot in a span of…
1260143807787667500,Tue May 12 09:44:30 +0000 2020,RT @Kathir_Glitz: #WithLoveShanthnuKiki A New YouTube Channel started by @imKBRshanthnu &amp; @KikiVijay Pair ! #Quarantine #lockdown #YouTuber…
1259927224595050500,Mon May 11 19:23:53 +0000 2020,@DirectorHosimin Happy bday Sidharth 💛😊
1259911789422080000,Mon May 11 18:22:33 +0000 2020,Throwing acid on face , burning ppl to death ... What sort of a world are we living in 😡 atrocity to the core ...… https://t.co/aNyHIvi3Ww
1259811475595522000,Mon May 11 11:43:56 +0000 2020,@dir_thiru @KikiVijay Thank u brooo
1259793080384753700,Mon May 11 10:30:50 +0000 2020,Here’s the link to our  #MothersDaySpecial video  https://t.co/2KLmcO7oMe A short “jus for fun” video shot in a spa… https://t.co/4N6HLGvzpK
1259778173677506600,Mon May 11 09:31:36 +0000 2020,@RJVijayOfficial @KikiVijay Thank you brooo
1259778147639312400,Mon May 11 09:31:30 +0000 2020,RT @RJVijayOfficial: Best wishes @imKBRshanthnu bro &amp; @KikiVijay ✌️❤️   https://t.co/3nRUROlbzC
1259734161151021000,Mon May 11 06:36:43 +0000 2020,#MothersDay Special with #PoornimaBhagyaraj &amp; #JayanthiVijayakumar on our YouTube Channel 💛#WithLoveShanthnuKiki 💛… https://t.co/DiB8GqHzL7
1259723764536938500,Mon May 11 05:55:24 +0000 2020,@vgyalakshmi @KikiVijay Thanks vijiii
1259700812864819200,Mon May 11 04:24:12 +0000 2020,I was jus gonna post this ! 😔 Ofcourse we miss them https://t.co/AbNNXTqb3v
1259581132300935200,Sun May 10 20:28:38 +0000 2020,@BrindhaGopal1 @KikiVijay @YouTube Thank you aunty
1259580774472233000,Sun May 10 20:27:13 +0000 2020,@Mohamme25426225 @KikiVijay @YouTube Thanks abid 😊💛
1259580746676662300,Sun May 10 20:27:06 +0000 2020,#Master #VaathiComing 😍 https://t.co/VccCwbkjtb
1259580372611788800,Sun May 10 20:25:37 +0000 2020,@dheena_jeeva 😊🙏🏻
1259466456573472800,Sun May 10 12:52:57 +0000 2020,@jan_iyer @KikiVijay @YouTube Thank you Janani 😊
1259466165912350700,Sun May 10 12:51:48 +0000 2020,@dir_thiru @KikiVijay @YouTube Thanks brooo
1259466051537928200,Sun May 10 12:51:21 +0000 2020,@itisprashanth Thanks bro 💛
1259465922865029000,Sun May 10 12:50:50 +0000 2020,@isanjaybharathi @KikiVijay Thank you Sanjay 💛
1259465560724652000,Sun May 10 12:49:24 +0000 2020,@vikranth_offl Thanks machi 💛
1259417175405629400,Sun May 10 09:37:08 +0000 2020,#WithLoveShanthnuKiki  A new YouTube channel .. coming soon with interesting videos 😊 @KikiVijay https://t.co/9XTd6UqkT2
