id,created_at,text
1260957323578744800,Thu May 14 15:37:08 +0000 2020,@g20org trade ministers met virtually for a second time today discuss COVID-19 issues. They issued a joint statemen… https://t.co/bktvbbpkOX
1260538153368268800,Wed May 13 11:51:30 +0000 2020,@g20org will convene the 2nd extraordinary virtual Trade and Investment Ministerial Meeting on Thursday.   Trade an… https://t.co/0N77V3JdAq
1260536031251660800,Wed May 13 11:43:04 +0000 2020,Important:  https://t.co/EfT6G5VTdE
1260171253928861700,Tue May 12 11:33:34 +0000 2020,"The era of reflexive offshoring is over,” @USTradeRep says. “After we have defeated this disease and reopened our… https://t.co/ZJ280Qb8iW
1259942975091638300,Mon May 11 20:26:28 +0000 2020,“We are definitely doing our homework and evaluating a number of different potential cases,” @eric_gottwald, trade… https://t.co/eyJKdM0l5b
1258751343080153000,Fri May 08 13:31:21 +0000 2020,RT @insidetrade: USTR: Phase-one implementation expected in timely manner, despite COVID-19 https://t.co/uXyP9mKBWf
1258506976549470200,Thu May 07 21:20:19 +0000 2020,@SenHawleyPress just introduced a joint resolution to withdraw from the WTO.  “We need to return production to Amer… https://t.co/3SRAW39tR4
1258146927419555800,Wed May 06 21:29:37 +0000 2020,Here is the announcement from @CommerceGov:  https://t.co/Cp4BnJnAKS
1258139534098866200,Wed May 06 21:00:14 +0000 2020,@CommerceGov says it plans to initiate a #Section232 investigation into mobile crane imports.  "This decision follo… https://t.co/bknX8JSPiP
1257766059995734000,Tue May 05 20:16:11 +0000 2020,RT @insidetrade: APEC trade chiefs pledge to keep 'trading links’ open, boost digital agenda https://t.co/4g1s8fvUrm
1257424550008152000,Mon May 04 21:39:09 +0000 2020,Looks like this new #Section232 investigation could primarily target Canada and Mexico.  It was pushed for by elect… https://t.co/g1weFXaKqz
1257412957446733800,Mon May 04 20:53:05 +0000 2020,oh!? https://t.co/Ore665Qw5c
1257332449241112600,Mon May 04 15:33:10 +0000 2020,RT @ABehsudi: .@USTradeRep Lighthizer's chief of staff, Jamieson Greer, departs USTR to join @kslaw. The former adviser who was Lighthizer'…
1255607740262682600,Wed Apr 29 21:19:47 +0000 2020,RT @JGodiasMurphy: Where Do Medicines and Medical Products Really Come From? (and, How Do We Safeguard the U.S. Supply?) https://t.co/RPtDG…
1255280196682502100,Tue Apr 28 23:38:15 +0000 2020,#USMCA @WhiteHouse has announced the establishment of the interagency labor committee for monitoring and enforcemen… https://t.co/Ssd8vROAqA
1255168841434480600,Tue Apr 28 16:15:46 +0000 2020,"The administration no doubt does not care about being left out, but the next one will," Bill Reinsch contends.  "T… https://t.co/aRhFMXL8eN
1254827787271225300,Mon Apr 27 17:40:32 +0000 2020,RT @SimonEvenett: For trade policy mavens: could unilateral &amp; reciprocal tariff cutting logic break down if enough trading partners ban exp…
1253739627371999200,Fri Apr 24 17:36:35 +0000 2020,👇👇👇 https://t.co/EqDCL3ke7n
1253391678213415000,Thu Apr 23 18:33:57 +0000 2020,Eighty countries and customs territories so far have introduced export restrictions as a result of the COVID-19 pan… https://t.co/vvnpsdoKCI
1253060601510846500,Wed Apr 22 20:38:22 +0000 2020,@g20org Trade and Investment Working Group statement following today's virtual meeting:   https://t.co/SJ34OIbN2V… https://t.co/qhm1qqFVHL
1253017896026062800,Wed Apr 22 17:48:41 +0000 2020,#USITC extends COVID-19 precautions through June 10.  https://t.co/8CEd4oForS
1252659945566285800,Tue Apr 21 18:06:18 +0000 2020,@g20org Trade and Investment Working Group will meet virtually tomorrow, @g20org tells me.   G20 trade ministers ta… https://t.co/EuUncZcjNE
1252639364825448400,Tue Apr 21 16:44:32 +0000 2020,@realDonaldTrump talked trade w/ @BorisJohnson today.   The two reaffirmed their close cooperation through the G7 a… https://t.co/aZ9Gix6kJk
1252585820827066400,Tue Apr 21 13:11:46 +0000 2020,RT @bbaschuk: The pact aims to prevent the #COVID19 crisis from spiraling into a full-blown food crisis.   In: 🇪🇺 🇬🇧 🇨🇦 🇲🇽 🇧🇷 🇯🇵 🇰🇷 🇦🇺 🇳🇿 O…
1252289485200597000,Mon Apr 20 17:34:14 +0000 2020,#USMCA @USTradeRep asks vehicle producers interested in being considered for alternative staging regime benefits to… https://t.co/0c1vFeepLZ
1252243684290109400,Mon Apr 20 14:32:14 +0000 2020,@CBP issues "interim" implementing instructions for USMCA. Posted here 👇👇👇  https://t.co/u0nbwK18ua
1251266510678614000,Fri Apr 17 21:49:18 +0000 2020,Am I the only one generally underwhelmed by #SuccessionHBO's construction/plot? Womp.
1251256191705133000,Fri Apr 17 21:08:17 +0000 2020,RT @AlexxLawson: NEW: despite the pandemic, US and Brazilian trade officials are still aiming to deliver an early-phase trade deal this yea…
1250432893827993600,Wed Apr 15 14:36:48 +0000 2020,RT @snlester: Communication from WTO panel in US - Tariff Measures on Certain Goods from China (DS543) case (Section 301 tariffs): "Panel e…
1250146371937714200,Tue Apr 14 19:38:16 +0000 2020,Under the leadership of Japan, Australia and Singapore, members are exploring whether virtual seminars are possible… https://t.co/N149hmwWZq
1248614413113802800,Fri Apr 10 14:10:48 +0000 2020,@USTradeRep and Brazilian Foreign Minister Araújo on Thursday agreed to deepen discussions under the auspices of th… https://t.co/UzMAQKjGFl
1247966001658040300,Wed Apr 08 19:14:15 +0000 2020,As the U.S. announces export control processes, the EU is calling on its members to lift all export bans &amp; avoid st… https://t.co/6iirLX5Ygf
1247913773488320500,Wed Apr 08 15:46:43 +0000 2020,The rule will take effect Friday and last through mid-August. https://t.co/cB7mxIt469
1247898151102496800,Wed Apr 08 14:44:38 +0000 2020,RT @wto: BREAKING: World trade is expected to fall by between 13% and 32% in 2020 due to the #COVID19 pandemic according to the new #WTOFor…
1247873111544004600,Wed Apr 08 13:05:08 +0000 2020,RT @bbaschuk: .@WTO Says 2020 Global Trade Collapse May Be Worst in a Generation  Data here:  https://t.co/fU1ZoJR3af
1247640705931018200,Tue Apr 07 21:41:38 +0000 2020,RT @JGodiasMurphy: A lot to chew on here, but one takeaway is that imposing export restraints or other trade barriers on Mexico would under…
1246431468328489000,Sat Apr 04 13:36:34 +0000 2020,Mexican Undersecretary for North America @JesusSeade says the U.S. has not yet sent its notification, making it the… https://t.co/AXT84CqOuM
1246121391109427200,Fri Apr 03 17:04:26 +0000 2020,“The Canadian government will continue to work with the United States and Mexican governments to determine an ‘entr… https://t.co/J4lvS5RQaK
