id,created_at,text
1259865489687240700,Mon May 11 15:18:34 +0000 2020,RT @PoojaB1972: Human behaviour of exploitation and abject apathy displayed during the pandemic makes the virus seem kind in comparison. We…
1259824801742495700,Mon May 11 12:36:53 +0000 2020,RT @suchetadalal: Dear @mybmc &amp; people outraged about #SionHospital. PLEASE outrage about this: NO RESIDENT MEDICAL OFFICER HAS RECEIVED SA…
1259729853365940200,Mon May 11 06:19:36 +0000 2020,RT @somdutta_sarkar: Listen to to @ishita_moitra on how to make it big in your favourite domain by doing something that you love to do!  #b…
1259706980429557800,Mon May 11 04:48:43 +0000 2020,RT @SushantSin: A list of fact-checkers, fake news targeting minorities, Tablighi chief’s audio: BPRD red-flags these in its report, then p…
1259555957127786500,Sun May 10 18:48:36 +0000 2020,RT @seemay: Meanwhile, Canada is increasing wages for essential workers.
1259555680647671800,Sun May 10 18:47:30 +0000 2020,RT @DamniKain: If you've ridiculed a muslim student activist who is also a mother to be, if you've participated in the slander against her,…
1259438341281341400,Sun May 10 11:01:14 +0000 2020,RT @devduttmyth: On mother's day, please remind yourself that your mother is a human being. She had desires other than taking care of you.…
1259413377085870000,Sun May 10 09:22:02 +0000 2020,What an insightful interview @BDUTT  #FourMoreShotsPlease2 https://t.co/7zYBlGbWik
1259386651056369700,Sun May 10 07:35:50 +0000 2020,RT @BDUTT: We will all mark #mothersday2020 - I thought i should introduce you to Seema, a mother, who collapses in tears, after being turn…
1259346058078904300,Sun May 10 04:54:32 +0000 2020,RT @rubenmasc: We are a nation of misplaced priorities, the poor don't matter, the only time that they do are polls and now we have further…
1259147379820748800,Sat May 09 15:45:03 +0000 2020,@Namrata_Joshi Wow!!! Please send me some!
1259134795751161900,Sat May 09 14:55:03 +0000 2020,@Namrata_Joshi She’s grown up enough to watch this?! Just the other day, she had growing pains on our trip to the b… https://t.co/AcP9C75f6C
1259131672580120600,Sat May 09 14:42:38 +0000 2020,@Namrata_Joshi @milindrunning Hahahahahaha! How quickly time has passed.
1259115153905250300,Sat May 09 13:37:00 +0000 2020,@RangitaNandy @IamDeepaMehta @Lisaraniray @nupurasthana @maanvigagroo @bani_j @sayanigupta @IamKirtiKulhari Thank y… https://t.co/Cah3sRgqqz
1259114947952312300,Sat May 09 13:36:11 +0000 2020,First, @nytimes and now @IamDeepaMehta . Time to stop feeling “guilty” about this pleasure, maybe?… https://t.co/2B5KydDuiW
1259114084840075300,Sat May 09 13:32:45 +0000 2020,RT @RangitaNandy: @IamDeepaMehta @Lisaraniray Thank you Deepa, means everything coming from you. This is a massive shoutout for us so pleas…
1259086280782049300,Sat May 09 11:42:16 +0000 2020,@maanvigagroo Unbelievable.
1258992735970668500,Sat May 09 05:30:33 +0000 2020,@atikachohan @RangitaNandy @nupurasthana @PritishNandy @maanvigagroo @sayanigupta @bani_j @IamKirtiKulhari… https://t.co/A2tXmPySqR
1258991431630217200,Sat May 09 05:25:22 +0000 2020,@atikachohan @RangitaNandy @nupurasthana @PritishNandy @maanvigagroo @sayanigupta @bani_j @IamKirtiKulhari… https://t.co/RcVqpsBbqR
1258974845716402200,Sat May 09 04:19:28 +0000 2020,@khushh @RangitaNandy @nupurasthana @PritishNandy @maanvigagroo @sayanigupta @bani_j @IamKirtiKulhari @Lisaraniray… https://t.co/hmqv68DvPD
1258968379739697200,Sat May 09 03:53:46 +0000 2020,RT @RangitaNandy: #FourMoreShotsPlease in the New York Times today with @aparna1502 @bani_j @IamKirtiKulhari @maanvigagroo @sayanigupta rep…
1258961279865073700,Sat May 09 03:25:34 +0000 2020,@tanejamainhoon @RangitaNandy @nupurasthana @PritishNandy @maanvigagroo @sayanigupta @bani_j @IamKirtiKulhari… https://t.co/vHgtIeKsQA
1258960679706345500,Sat May 09 03:23:11 +0000 2020,And...WE ARE IN THE NEW YORK TIMES!!!! Who run the world? GIRLS!!! @RangitaNandy @nupurasthana #devikabhagat… https://t.co/NbtKPTaYrD
1258764586963984400,Fri May 08 14:23:58 +0000 2020,RT @SaritaTanwar: Congratulations to the team. Not surprised though. Such a fun show. Cheers @RangitaNandy @PritishNandy @ishita_moitra
1258764376649003000,Fri May 08 14:23:08 +0000 2020,@SaritaTanwar @RangitaNandy @PritishNandy Thanks Sarita! 🙏❤️
1258748939836121000,Fri May 08 13:21:48 +0000 2020,RT @ghaywan: So many asking me, “Why did they sleep on tracks?”   Idk, maybe it’s safer on tracks keeping insects etc away. Maybe they pass…
1258742551705600000,Fri May 08 12:56:25 +0000 2020,RT @maryashakil: It’s mind numbing to read these deaths everyday. Today it’s 17 migrants run over by goods train. Nameless, Faceless ppl no…
1258724479515033600,Fri May 08 11:44:36 +0000 2020,RT @PritishNandy: Four More Shots Please is Amazon Prime ‘most watched show of 2020’, season 3 announced via @htTweets https://t.co/tvXovT1…
1258723701492609000,Fri May 08 11:41:31 +0000 2020,RT @nefertitiborn: @RangitaNandy @PritishNandy @TannishthaC @PritishNandyCom @aparna1502 @PrimeVideoIN @ishita_moitra @4moreshotspls @bani_…
1258698619521077200,Fri May 08 10:01:51 +0000 2020,A webinar on Creative Depression and how to get your flow back in these surreal times. This promises to be engaging… https://t.co/e5Yt3NgL0S
1258639991023956000,Fri May 08 06:08:52 +0000 2020,Aurangabad 💔😌😢
1258638898697134000,Fri May 08 06:04:32 +0000 2020,RT @shubhragupta: Chalte chalte thak gaye, says this little girl. She’s not complaining, or crying, but I challenge you to see this and not…
1258628458554351600,Fri May 08 05:23:03 +0000 2020,RT @BDUTT: Do you want to understand the pain &amp; desolation that would make Migrant workers sleep on railway tracks? Meet Seema, she breaks…
1258458888589897700,Thu May 07 18:09:14 +0000 2020,RT @swaindiaorg: In the current crisis let us help each other, let us begin from home. #ShareTheChores #ToShareIsToCare  SWA recently colla…
1258397017744654300,Thu May 07 14:03:23 +0000 2020,RT @MumbaiPolice: We know there is a lot of free time. But it can definitely be utilised to do things better than spreading #rumours ! Neit…
1258395585784119300,Thu May 07 13:57:42 +0000 2020,RT @Neeraj_Udhwani: WTF! Chal kya raha hai boss?
1258270895144984600,Thu May 07 05:42:13 +0000 2020,@NotSoSnob I am enjoying it. It's a bit simplistic - but honestly exam thodi dena hai ki tough hona chahiye. It tra… https://t.co/9gEdQJx3KR
1258094455007019000,Wed May 06 18:01:06 +0000 2020,RT @fayedsouza: How have we come to this? What have we done?
1258071824413294600,Wed May 06 16:31:11 +0000 2020,@nikifyinglife @Namrata_Joshi Yes totally 😑
1258065210415313000,Wed May 06 16:04:54 +0000 2020,@Namrata_Joshi Me me me
1258042083517976600,Wed May 06 14:33:00 +0000 2020,RT @saahilmenghani: CHRONOLOGY  👉Don't let Migrants go back for 38 days  👉Announce trains to finally let them go  👉Then charge the poor  👉T…
1258033625435525000,Wed May 06 13:59:24 +0000 2020,RT @lata_MIRROR: A doctor, a lactating mother on #COVID19 duty— you must listen her story—pls retweet so that maximum people can see this v…
1258010115036156000,Wed May 06 12:25:58 +0000 2020,RT @shammybaweja: Yes it haunts. As do the pictures taken after Aug 5. All very stark. All capture the sad ground reality of Kashmir. Why d…
1257999160734658600,Wed May 06 11:42:27 +0000 2020,Fun chat #filmyloop . And yes, I just love the Kalank title track!  https://t.co/simiD7aiDH
1257934944292094000,Wed May 06 07:27:16 +0000 2020,@NotSoSnob Why do we have to choose? Why can’t we be moved by both?
1257901147920035800,Wed May 06 05:12:58 +0000 2020,RT @brainpicker: “Of all ridiculous things the most ridiculous seems to me, to be busy.”  Kierkegaard, born on this day in 1813, on our gre…
1257606200297787400,Tue May 05 09:40:58 +0000 2020,RT @AenaSingh27: Smt Rashida Begam and Sh Mushtaq Ahmed Khan, parents of Martyr Major Salman Khan, who sacrificed his life 15 years ago, fo…
1257541579528536000,Tue May 05 05:24:11 +0000 2020,RT @BDUTT: "I could not get onto the train from Bhiwandi, because i did not have 800 rupees"- Migrant worker tells @themojo_in - saying nor…
1257528487566430200,Tue May 05 04:32:09 +0000 2020,RT @MasalaBai: The world over, women, unlike men, aren't the primary aggressors violence fuelled by alcohol, women don't get drunk &amp; rape m…
1257527686949245000,Tue May 05 04:28:58 +0000 2020,RT @GauravPandhi: STREAMING NOW: @RahulGandhi in conversation with Nobel Laureate Prof Abhijit Banerjee discussing the critical issues of C…
1257319922943750100,Mon May 04 14:43:24 +0000 2020,RT @miyaamihir: भाई, ये केरल इसी दुनिया में आता है कि किधर और ही निकल लिया। ये आज के नम्बर हैं वहाँ के। मतलब गज़ब ही हो रहा है।
1257210575156703200,Mon May 04 07:28:53 +0000 2020,RT @Swamy39: How moronic of the Government of India to charge steep rail fares from the half starved migrant labourers! Indians stranded ab…
1257198358369759200,Mon May 04 06:40:20 +0000 2020,RT @ShekharGupta: Deploy IAF planes to take migrants home, not waste precious flying hours for a show  Former IAF fighter pilot, Squadron L…
1257183796815749000,Mon May 04 05:42:29 +0000 2020,RT @rwac48: PNB fraud: Nirav Modi papers gutted in fire at Income Tax office https://t.co/AcUJvw9sOR
1256938380438335500,Sun May 03 13:27:17 +0000 2020,RT @RangitaNandy: For @themanmagazine and @TheWeek.  #FourMoreShotsPlease #FourMoreShotsPlease2   @PritishNandyCom @PritishNandy @nupurasth…
1256909288091422700,Sun May 03 11:31:41 +0000 2020,RT @Prettisiingh: Yes! Today was not the day. But then how will this Govt. do it Nautanki! And what about our Fauji Leadershi? Why couldn’t…
1256866854242402300,Sun May 03 08:43:04 +0000 2020,💔 Prayers and strength to the families. #RestInPower https://t.co/NHdb8VHELV
1256831839240503300,Sun May 03 06:23:55 +0000 2020,Ridiculous. https://t.co/XiWUg2jDh2
1256812931116699600,Sun May 03 05:08:47 +0000 2020,@AastikUdenia Maska is already out on Netflix. :) Do watch.
1256812760144347100,Sun May 03 05:08:07 +0000 2020,Terrible, terrible news coming in from #Handwara. Heart goes out to the families and the units. Can’t imagine what… https://t.co/A7zyEwK0QS
1256586355045306400,Sat May 02 14:08:27 +0000 2020,RT @PritishNandyCom: It’s not often that one receives such enormous love and appreciation from critics and our audience world over.  Once a…
1256230387543617500,Fri May 01 14:33:58 +0000 2020,RT @spreadflix: @ishita_moitra #maska full review here in case anyone’s interested to see it | we recommend it | https://t.co/Ig8DdPpRna
1256219016366080000,Fri May 01 13:48:47 +0000 2020,#FourMoreShotsPlease2 and #Maska continue to be in the top 10. https://t.co/ifYBt7nlmz
1256188168325365800,Fri May 01 11:46:12 +0000 2020,@RangitaNandy @TakalkarParag Loved it!
1256110482743718000,Fri May 01 06:37:31 +0000 2020,“Ours was not a marriage, it was a union.” Such beautiful words from SutapaJi. Made me cry. 💔#IrrfanForever https://t.co/55adyCx7oh
1256089489413300200,Fri May 01 05:14:05 +0000 2020,RT @ChiranjitOjha: 14 years. 200 goals. One jersey. Playing 3 sports for the same club, getting into teams that were all championship-calib…
1255830028195004400,Thu Apr 30 12:03:05 +0000 2020,RT @SukanyaVerma: 'Cognac sharaab nahi hoti...'  A lesson I never forgot. https://t.co/K0o9XzPPQ6
1255817834174664700,Thu Apr 30 11:14:38 +0000 2020,Still can’t get over Irrfan. “Aisa kahaan se laayein, ki tujhsa kahein jisey?” #IrrfanForever
1255769771989033000,Thu Apr 30 08:03:39 +0000 2020,And Yashji too.... https://t.co/hVyuROTQkL
1255769213672685600,Thu Apr 30 08:01:26 +0000 2020,RT @monishaadvani: Aur thodi der mein bas, hum juda ho jayenge, aap ko dhoondunga kaise, raaste kho jayenge... Dard e Dil Rishi Sir. 💔 Rest…
1255744831025844200,Thu Apr 30 06:24:32 +0000 2020,RT @mangeshkarlata: Kuch samay pehle Rishi ji ne mujhe unki aur meri ye tasveer bheji thi.wo sab din,sab baatein yaad aarahi hain. Main sha…
1255743810551689200,Thu Apr 30 06:20:29 +0000 2020,RT @me_sagarika: Yesterday marked the death of a BMC Inspector who was actively involved in distribution of essentials in Mumbai. He succum…
1255741031569436700,Thu Apr 30 06:09:27 +0000 2020,RT @paulocoelho: A star joins other stars in the sky. Thank you for everything, Irrfan Khan  “Death is as sure for that which is born, as b…
1255739551827390500,Thu Apr 30 06:03:34 +0000 2020,Tere mere hothon pe... meethe meethe geet mitwa.....  Can’t believe they’re both gone. 💔 #riprishikapoor https://t.co/mUMSrGH8QA
1255729574446461000,Thu Apr 30 05:23:55 +0000 2020,Absolutely. Rishi and Neetu are my parents’ favourite onscreen couple. Khullam Khulla Pyaar Karenge Hum Dono and Ek… https://t.co/sM4XeeUMym
1255727515202539500,Thu Apr 30 05:15:44 +0000 2020,RT @soniiannup: Too Much Loss... RIP  @chintskap @irrfank  #IrrfanKhan #Chintu Ji🙏🙏 https://t.co/gTI18DPvH3
1255713901250896000,Thu Apr 30 04:21:38 +0000 2020,2020 - how long will you keep trying to break us down? Please STOP!!! #RIPIrrfanKhan #RIPRishiKapoor
1255710432133705700,Thu Apr 30 04:07:51 +0000 2020,Noooooooo!!!!! I hate you 2020!!!! Noooooooo!!!! https://t.co/VS4GgroKSO
1255530624179462100,Wed Apr 29 16:13:22 +0000 2020,RT @TheAcademy: A mainstay of Bollywood cinema and incredible talent in films like “Slumdog Millionaire,” “Life of Pi” and “The Namesake,”…
1255516973116653600,Wed Apr 29 15:19:07 +0000 2020,RT @NamitaGokhale_: A double grief today for departed friends. Irfan Khan reads from Om Prakash Valmiki’s heart rending poem ‘Thakur Ka Kua…
1255511470651117600,Wed Apr 29 14:57:15 +0000 2020,RT @SitaramYechury: When the late Irrfan Khan played the part of Comrade Makhdoom Mohiuddin.  #IrrfanKhan https://t.co/j3oOaVXhq1
