id,created_at,text
1253422386570903600,Thu Apr 23 20:35:59 +0000 2020,RT @pushmatrix: Wondering if a product will fit in your space? 👇  Step 1: Go to https://t.co/C2aDMEMDok Step 2: Enter dimensions Step 3: Vi…
1247591733497495600,Tue Apr 07 18:27:03 +0000 2020,RT @AndrewYNg: Fighting COVID-19 requires protecting healthcare workers. The mask shortage is widely reported, but that’s not the full stor…
1247360004211916800,Tue Apr 07 03:06:14 +0000 2020,Share some fresh smells of early spring #COVID19 #EarlySpring #MountainView #ShelterInPlaceCA https://t.co/NrMdY2DLtY
1245126269081022500,Tue Mar 31 23:10:10 +0000 2020,RT @deeplearningai_: Take a first look at the AI For Medicine Specialization! @AndrewYNg and instructor @pranavrajpurkar walk you through e…
1244879326459220000,Tue Mar 31 06:48:54 +0000 2020,@anirban_kon @deeplearningai_ Yes. This is the third course of the specialization: https://t.co/RXirZkA8LG
1244016503608901600,Sat Mar 28 21:40:21 +0000 2020,The final assignment is tricky and hard to debug. I failed at submissions for 20+ times and got stuck for two night… https://t.co/5ZdOB0iwdq
1244016502832894000,Sat Mar 28 21:40:21 +0000 2020,This course covers both the high-level design and useful tricks of #TFDS. I found it helpful to know how to optimiz… https://t.co/Ak4SdVoVVy
1244016500907757600,Sat Mar 28 21:40:21 +0000 2020,I just finished another course from @deeplearningai_ @lmoroney @AndrewYNg via @coursera on TensorFlow Data Services… https://t.co/O8trLmBJiC
1243981763673653200,Sat Mar 28 19:22:19 +0000 2020,I restarted running as my morning ritual since #ShelterInPlaceCA . It has become my main relaxing moment of a day t… https://t.co/DX7MmTyRhZ
1239330444329406500,Sun Mar 15 23:19:38 +0000 2020,The plus side of #WFH is providing me a large amount of learning time. I just completed this "Device-based Models w… https://t.co/3gJZ661m9b
1238895958659719200,Sat Mar 14 18:33:08 +0000 2020,Just registered and all it needs is a student email. This is a good time to learn new programming skills when you a… https://t.co/9zt1hhep8K
1235775338334097400,Fri Mar 06 03:52:54 +0000 2020,What the Impact of Coronavirus Looks Like From Space? Look at the data points we can collect from the space photos.… https://t.co/NdBL9LEUkL
1230549948078231600,Thu Feb 20 17:49:04 +0000 2020,RT @lexfridman: Here's my conversation with Andrew Ng (@AndrewYNg), one of the most impactful educators, researchers, innovators, and leade…
1229578540087042000,Tue Feb 18 01:29:03 +0000 2020,RT @_KarenHao: I spent half a year digging into @OpenAI, the SF-based AI research lab, originally founded by @elonmusk. I started with a fe…
1229556740284276700,Tue Feb 18 00:02:25 +0000 2020,@DillonLaird There seems to be fewer people than expected! The view is great! ⛷🏂
1213975169338757000,Mon Jan 06 00:06:49 +0000 2020,Morning, Shanghai. Time to start a new game! #shanghai #venture #belonganywhere https://t.co/l5Vnk2zIe2
1212975998863462400,Fri Jan 03 05:56:28 +0000 2020,@dorajambor I visited Bromo Mountain besides Malang first and then Ijen at the east coast. Both of them are in the East Java Island
1212975375904456700,Fri Jan 03 05:54:00 +0000 2020,Fly over summer in Java Island #Indonesia #aerialphotography #mavicair #dronephotography #southeastasia… https://t.co/WEhQ27oKVk
1212319612521463800,Wed Jan 01 10:28:14 +0000 2020,Starts the new decade with a few-hour hiking at Indonesia to capture the first sunrise. Happy New Year, my friends!… https://t.co/68tS4zdq27
1210562750860140500,Fri Dec 27 14:07:05 +0000 2019,And colors of Singapore #shotoniphone #streetphotography #urbanlife #cityofcolor https://t.co/IOJHb2S6FK
1210562727267176400,Fri Dec 27 14:07:00 +0000 2019,My perspectives of Singapore #shotoniphone #singapore #streetphotography #loveofcity #urbanlife https://t.co/wZ8Vn2Afc6
1205033661281620000,Thu Dec 12 07:56:27 +0000 2019,Happy to share our growth and experience as Machine Learning Engineers at the Pie and AI meetup co-hosted by… https://t.co/LWuywFgWo8
1204813534472704000,Wed Dec 11 17:21:45 +0000 2019,RT @GregoryDiamos: Even though AI is starting to work well, many companies still struggle to land it in mass production. After seeing many…
1202496247761797000,Thu Dec 05 07:53:41 +0000 2019,Fun night at the Bay A year worth celebration  #YearEnd #shotoniphone #BayArea https://t.co/stEfcFE6EM
1201681227800928300,Tue Dec 03 01:55:05 +0000 2019,We are presenting our work of detecting heart diseases with chest radiographs augmented by attention mechanism. Hop… https://t.co/7KysqmsK57
1199554329557885000,Wed Nov 27 05:03:33 +0000 2019,RT @deeplearningai_: Worried you don't have the right background to break into AI? Don't be. Hear about 5 very different ML career paths at…
1197057309614035000,Wed Nov 20 07:41:17 +0000 2019,RT @tobi: @jmwind ❤   What I wish for everyone to experience:  Being on a journey, doing difficult things, surrounded by friends.
1196182692699594800,Sun Nov 17 21:45:52 +0000 2019,Do the things that don't scale, so you can get shit down quickly and earn more chances to take off 🚀 https://t.co/qjirgoQT3t
1191960307326951400,Wed Nov 06 06:07:37 +0000 2019,@DillonLaird @C_lineinthecity @pranavrajpurkar A (miserable) failure of Natural Language Understanding?
1191562557846245400,Tue Nov 05 03:47:06 +0000 2019,RT @distillpub: Computing Receptive Fields of Convolutional Neural Networks -- A new Distill article by André Araujo, Wade Norris, and Jack…
1191561350939459600,Tue Nov 05 03:42:18 +0000 2019,@maxlvhao Congrats @maxlvhao !💍
1191147671181914000,Mon Nov 04 00:18:29 +0000 2019,Occam's Razor is one of the important lessons I learned from my research at @UofT and now I repeatedly practice it… https://t.co/WUU6BieuTp
1190860175290167300,Sun Nov 03 05:16:05 +0000 2019,RT @david_perell: This is an incredible photo of San Francisco. https://t.co/gPzUwzcNs3
1188638758918226000,Mon Oct 28 02:08:58 +0000 2019,This is actual not uncommon when you try to apply your AI algorithms at real-life tasks. You can train algorithms t… https://t.co/ZAAguRCDUK
1186021634672484400,Sun Oct 20 20:49:27 +0000 2019,I can resonate with people on both sides, but I don’t know the answer to their conflicts yet. The movie achieved a… https://t.co/IdwzeAtnMN
1183161043360444400,Sat Oct 12 23:22:29 +0000 2019,The taste of fall 🍁🥞 #SanFrancisco #fallcolors #dailyphoto https://t.co/kMtVGNjI2n
1180616907910574000,Sat Oct 05 22:53:00 +0000 2019,I have to admit that I resonate with a LOT of these photography failures, mostly from my recent work in… https://t.co/jC0z3vwGZr
1178378379881521200,Sun Sep 29 18:37:53 +0000 2019,I'm at Samovar Tea Lounge - @samovarlife in San Francisco, CA https://t.co/AypVD0OA8P https://t.co/JmfsdROyzj
1165428199691440000,Sun Aug 25 00:58:30 +0000 2019,Wish this city can be more friendly to pedestrians. Want to walk out more often everyday. #StreetPhoto… https://t.co/UUk8naP186
1164541455005675500,Thu Aug 22 14:14:53 +0000 2019,RT @AndrewYNg: Announcing our first international office in Medellin, Colombia! Landing AI, https://t.co/Ryb1M38abX and AI Fund have teams…
1159236394964803600,Wed Aug 07 22:54:28 +0000 2019,RT @jack: I love Toronto more every time I visit
