id,created_at,text
1258804975704014800,Fri May 08 17:04:28 +0000 2020,@vinodsparrow Awesome 🔥
1258804770220814300,Fri May 08 17:03:39 +0000 2020,RT @vinodsparrow: $20000 Facebook DOM XSS by @vinodsparrow  https://t.co/L5MfKAf02d
1256041257316388900,Fri May 01 02:02:26 +0000 2020,RT @vinodsparrow: Got $20000 for XSS from Facebook bug bounty 🤑🤑 Also first bounty from Facebook 😇😇 #BugBounty #Facebook https://t.co/FspTF…
1255374653012488200,Wed Apr 29 05:53:35 +0000 2020,RT @prateek_0490: @desai_nikhar We've disclosed the report - https://t.co/wlj7hHNAPk to prove whatever you're claiming here is false. It wa…
1248103152764608500,Thu Apr 09 04:19:14 +0000 2020,RT @sethvargo: Our newest book #SREBook - Building Secure and Reliable Systems - is now available! It's free in digital formats, or you can…
1243935502874456000,Sat Mar 28 16:18:29 +0000 2020,RT @narendramodi: The PM-CARES Fund accepts micro-donations too. It will strengthen disaster management capacities and encourage research o…
1242754104855683000,Wed Mar 25 10:04:02 +0000 2020,RT @deepigoyal: Also, fwiw, to conserve our own cash flows, hundreds of Zomato employees have taken deep voluntary salary cuts. We are also…
1242486144362860500,Tue Mar 24 16:19:15 +0000 2020,RT @narendramodi: My fellow citizens,   THERE IS ABSOLUTELY NO NEED TO PANIC.  Essential commodities, medicines etc. would be available. Ce…
1240652199400747000,Thu Mar 19 14:51:49 +0000 2020,RT @narendramodi: My address to the nation. #IndiaFightsCorona https://t.co/w3nMRwksxJ
1239591795018825700,Mon Mar 16 16:38:09 +0000 2020,RT @prateek_0490: .@jatindhankhar_ - this is nice :P  CVE-COVID-2019 [this ain’t real]  Mitigation: Wash Hands  Platform Impacted: All  POC…
1239503480118816800,Mon Mar 16 10:47:13 +0000 2020,RT @rubyconfindia: After much deliberation, we have decided to take a cautious approach on the situation with #COVID19 and CANCEL RubyConf…
1238297646797897700,Fri Mar 13 02:55:40 +0000 2020,RT @prateek_0490: Not what I expected, but will take that, not bad either.  Approach: Went through the JS files, found that the target is u…
1237935482895507500,Thu Mar 12 02:56:33 +0000 2020,RT @defparam: So I did promise blog posts on RS CLTE-style attacks, I guess this will have to do for now. Often times with RS hijacking you…
1236662044574617600,Sun Mar 08 14:36:22 +0000 2020,RT @thomasfuchs: As a programmer, it’s 💯 × more important to not over-engineer than to “avoid tech debt”.   You’ll have to refactor and thr…
1235030187642720300,Wed Mar 04 02:31:57 +0000 2020,RT @benjaminjwillis: Thanks to @ehsahil / @Zomato and @ShopifyEng for inspiring the transparency!
1234491388710064000,Mon Mar 02 14:50:57 +0000 2020,RT @ehsahil: In Feb, @Zomato program on @Hacker0x01:  - Received 3 valid reports compared to 2 in Jan - Awarded $5,050 worth of bounties co…
1234033955428421600,Sun Mar 01 08:33:16 +0000 2020,RT @AmolBaikar: Facebook OAuth Vulnerability. $55,000 Bounty Awarded by Facebook.  Writeup: https://t.co/MpVgyUSQqQ  #Facebook #Security #B…
1230411979900248000,Thu Feb 20 08:40:50 +0000 2020,RT @prateek_0490: Need to give a special mention to @Paytm's bug bounty program for their quick response and efforts on getting it fixed wi…
1229966667788300300,Wed Feb 19 03:11:19 +0000 2020,RT @Foone: So I learned of an amusing bug today:  Docker for Windows won't run if you have the Razer Synapse driver management tool running…
1227998337099432000,Thu Feb 13 16:49:53 +0000 2020,RT @defparam: Also shout outs to @paypal security, @Grabsg security and @Zomato security who have in the past provided bonuses for descript…
1224735905258197000,Tue Feb 04 16:46:08 +0000 2020,RT @whynotsecurity: We are announcing our new blog with a post about Teamviewer and storing user passwords encrypted and not hashed allow f…
