id,created_at,text
1260320062340239400,Tue May 12 21:24:53 +0000 2020,Is LA really doing 3 more months? I thought the numbers were really low in California 🤔
1260034693958733800,Tue May 12 02:30:56 +0000 2020,-U don’t owe anyone anything -Mute is ur best friend -Half the “voices” out there aren’t even real -Delete what u w… https://t.co/vNyJTbFWUf
1259918775115276300,Mon May 11 18:50:18 +0000 2020,Mrs. Field’s cookie cake  #mondaythoughts
1259759435645419500,Mon May 11 08:17:09 +0000 2020,Can we please just be happy for Adele that she found her missing earring? https://t.co/DQtv4S8FPo
1259757565971398700,Mon May 11 08:09:43 +0000 2020,pretty little liars the COMPLETE SERIES is $30 on iTunes right now. That’s SEVEN SEASONS—like 160 episodes for $30… https://t.co/Isleb88egD
1258856146795888600,Fri May 08 20:27:48 +0000 2020,“I basically cannot be here if this starts all over again in the fall.” —Unnamed NYer who wants some freaking space
1258853980148584400,Fri May 08 20:19:11 +0000 2020,So like, where are we moving to
1258447159172751400,Thu May 07 17:22:38 +0000 2020,Dear Americans,  Please stop shooting people. Thanks.
1258423027320193000,Thu May 07 15:46:44 +0000 2020,The stock market is the ultimate honey badger in terms of just not giving a $h!t
1258183359509024800,Wed May 06 23:54:23 +0000 2020,Omg omg omg omg omg omg omg omg 😱🙊♥️ https://t.co/vIehPrsy1s
1258132677816975400,Wed May 06 20:33:00 +0000 2020,I think people are really in denial about how many businesses will survive this. In NYC at least. No way restaurant… https://t.co/zwM6c8n0tO
1258119624387854300,Wed May 06 19:41:07 +0000 2020,I could eat an aircraft carrier full of sushi right now
1257908209278386200,Wed May 06 05:41:02 +0000 2020,How is omg adele trending and not one person has asked what that golden hoop thing is
1257854757026357200,Wed May 06 02:08:38 +0000 2020,All i want for Xmas is a path to the laundry room that doesn’t involve an elevator
1257845182344683500,Wed May 06 01:30:35 +0000 2020,Why isn’t there a football team named the murder hornets
1257840057253335000,Wed May 06 01:10:13 +0000 2020,If u don’t see the difference between NY &amp; Wisconsin, let me help: —WI: “Please give us more time to vote by mail.”… https://t.co/ILvaS0oU6U
1257838211415650300,Wed May 06 01:02:53 +0000 2020,Y’all Andrew Yang sued &amp; won &amp; now THE NEW YORK PRESIDENTIAL PRIMARY IS BACK ON!!!  ANDREW YANG JUST SAVED DEMOCRAC… https://t.co/8qeqU3LxC5
1257791370854629400,Tue May 05 21:56:46 +0000 2020,Republicans are going to regret not ‘bailing out’ blue states (even though blue states contribute more $$$ than red… https://t.co/rLo7skcvdP
1257788426356756500,Tue May 05 21:45:04 +0000 2020,If somehow science could just find a way to make the virus disappear as quickly as my groceries
1257770258225680400,Tue May 05 20:32:52 +0000 2020,I wish it were possible to sleep and drink coffee simultaneously
1257760470355914800,Tue May 05 19:53:58 +0000 2020,At first ur like what? But then ur like well they didn’t seem to do much besides confusing press conferences so may… https://t.co/JTKMNy9zh5
1257511572269867000,Tue May 05 03:24:56 +0000 2020,If i mix black beans with sugar &amp; cinnamon, is that a dessert?
1257411471832690700,Mon May 04 20:47:11 +0000 2020,2 angles from the west village pier in NYC this weekend, taken by my friend. People ARE following the regulation wh… https://t.co/s6jJSIhv0W
1257380301589950500,Mon May 04 18:43:19 +0000 2020,Am i european yet
1257178981574549500,Mon May 04 05:23:21 +0000 2020,Oh hey there crumbling of society
1256750097829896200,Sun May 03 00:59:07 +0000 2020,99% sure someone outside just yelled FALKOR!!!! and gonna be honest i really do hope Atreyu is here to save us
1256732583569887200,Sat May 02 23:49:31 +0000 2020,A can of black beans mixed with a can of chicken n rice soup is actually delicious. Should i start a recipe blog?
1256720983249096700,Sat May 02 23:03:25 +0000 2020,Ooo remind me to call my friend later to catch up on all the literal nothing
1256660451921887200,Sat May 02 19:02:54 +0000 2020,RT @BernieSanders: We're seeing how the most essential workers are not hedge fund managers, but doctors and nurses and EMTs, grocery store…
1256659072578969600,Sat May 02 18:57:25 +0000 2020,Please tell me “Murder Hornets” is a belated April Fool’s joke
1256655357880959000,Sat May 02 18:42:39 +0000 2020,😒 https://t.co/eUoNFf01gW
