id,created_at,text
1261488408624607200,Sat May 16 02:47:28 +0000 2020,@kristenvbrown Especially when it's something you wrote freshman year of college and you're like, "That was really… https://t.co/ZfDK8peuUy
1261486326324572200,Sat May 16 02:39:12 +0000 2020,Never a dull moment working on the #Prognosis Daily: #Coronavirus podcast. https://t.co/RlZIWPYOK2
1261472846087196700,Sat May 16 01:45:38 +0000 2020,RT @COVID19Tracking: Our daily update is published. We’ve now tracked 10.7 million tests, up 378k from yesterday, close to a record high.…
1261354098357485600,Fri May 15 17:53:46 +0000 2020,@bfishbfish Any ideas on the next media outlet to lay off its staff and not cut executive salaries?
1261306661299421200,Fri May 15 14:45:16 +0000 2020,When I found out my mentee and I both loved baklava... I knew it was going to be a good match. 🍽️ https://t.co/oQlWis8I7O
1261075069817827300,Thu May 14 23:25:00 +0000 2020,Looking forward to speaking at 2PM EDT tomorrow on How to Bring a Community Together to Build a Podcast during this… https://t.co/q1rs7SMXVW
1260985735345328000,Thu May 14 17:30:01 +0000 2020,RT @nberke: As first main session of #CollaborativeJ begins, it's amazing to see people saying hi from Jakarta, London, Kuala Lumpur, Malta…
1260985229696786400,Thu May 14 17:28:01 +0000 2020,@meralagish @QueensMemory @QueensMuseum Realized yesterday I haven't been to a restaurant in 61 days, which means I… https://t.co/pgN6yHPJY5
1260959090760704000,Thu May 14 15:44:09 +0000 2020,@amzam I'm really glad to read I'm not the only one who had that dream... I just really love goat cheese and goat milk... and goat yogurt...
1260711366136078300,Wed May 13 23:19:47 +0000 2020,Had a good time listening to pitches and pitching my own horror-comedy show, @podofmadness, last night. Thanks,… https://t.co/ZCBavxISC1
1260659723256295400,Wed May 13 19:54:34 +0000 2020,@leahfranqui Thanks for being on the @bookclubgirl podcast!
1260643459603595300,Wed May 13 18:49:57 +0000 2020,Need book recs? Working as the producer on @bookclubgirl podcast has given me a chance to read some great books and… https://t.co/OZEQV3822v
1260624505195696000,Wed May 13 17:34:37 +0000 2020,@bfishbfish I heart Bubbles. And the final season still gets under my skin.
1260396147803332600,Wed May 13 02:27:13 +0000 2020,Looking forward to attending the Collaborative Journalism Summit. (The world is in need of collaborative journalism… https://t.co/4SKJWP0lWH
1260395473795526700,Wed May 13 02:24:32 +0000 2020,@nberke @StefanieMurray Looking forward to it! Registered a while back.
1260230863012401200,Tue May 12 15:30:26 +0000 2020,RT @ICFJ: Facts surrounding #COVID19 change so frequently it can be difficult to accurately report them. While #CoveringCOVID remember to:…
1260222689526120400,Tue May 12 14:57:57 +0000 2020,RT @alexismadrigal: I am having a recurring nightmare that some states may be reporting antibody tests *inside* their current testing numbe…
1259975023487602700,Mon May 11 22:33:49 +0000 2020,@amandajfinnegan Investing in places you love... by investing in local journalism. Love a town, support their local news outlet.
1259971221367685000,Mon May 11 22:18:42 +0000 2020,Producer perks: Drummer @jccomplex -- one of the founding members of @SmashingPumpkin -- discusses how the coronavi… https://t.co/oNZhxSXVUB
1259948184945807400,Mon May 11 20:47:10 +0000 2020,Through @switchboardnyc (local audio collective I co-founded), I'll be leading a free workshop on "How to Bring a C… https://t.co/svo0nIf3qD
1259944383081742300,Mon May 11 20:32:04 +0000 2020,RT @COVID19Tracking: Our daily update is published. We’ve now tracked 9 million tests, up 278k from yesterday. The US logged 1.7 million te…
1259932474701987800,Mon May 11 19:44:45 +0000 2020,Anyone else been asked if they want to buy face masks from teenagers?
1259930219877671000,Mon May 11 19:35:47 +0000 2020,Hey, @CarolinaHidalgo! Jordan Gass-Poore' here, EP of the @QueensMemory podcast. Would love to connect soon to disc… https://t.co/G0FlENS4v4
1259928543204528000,Mon May 11 19:29:07 +0000 2020,"We wanted to prove the case that you could provide an extraordinarily accommodating environment for women, for mom… https://t.co/4XdPEb5tD5
1259882908887797800,Mon May 11 16:27:47 +0000 2020,@localvoicesnet @DigBoston @BINJreports Amazing. Will anything similar be taking place for NYC-based freelance journalists, artists, etc.?
1259879079454670800,Mon May 11 16:12:34 +0000 2020,Support. Local. News. That is all. https://t.co/8pzOo4NU7Y
1259858274171707400,Mon May 11 14:49:54 +0000 2020,@LauraRiceKUT Any good alternatives to "hope all is well"?
1259658466790080500,Mon May 11 01:35:56 +0000 2020,@lachancenaomi Being an only child.
1259638207794294800,Mon May 11 00:15:26 +0000 2020,@choirchoirchoir @kctrommer Definitely "Dreams".
1259560174865580000,Sun May 10 19:05:21 +0000 2020,Happy belated 40th anniversary to #FridayThe13th... and yes, I just spoiled the ending of the original movie... but… https://t.co/AMi4nESGOM
1259196269270052900,Sat May 09 18:59:19 +0000 2020,@girlswritenow @mfadt First time learning about narrative game design... curious how to combine these skills with m… https://t.co/OmZ7AEMzrr
1259196014210269200,Sat May 09 18:58:19 +0000 2020,Becoming a mentor with @girlswritenow has been one of the best experiences of my life. Considering applying to be a… https://t.co/8xnQN2SMKk
