id,created_at,text
1259190483844120600,Sat May 09 18:36:20 +0000 2020,A great way to celebrate mom in quarantine! #MothersDay #Cargarita @MollyMcNearney #JimmyKimmelLiveFromHisHouse… https://t.co/DjGvlI3xfl
1258919730162790400,Sat May 09 00:40:27 +0000 2020,We salute our Health Care Heroes of the Week - a brave mother/daughter nurse team from Arkansas who traveled to NYC… https://t.co/oI2iOIS5hp
1258904319417438200,Fri May 08 23:39:13 +0000 2020,RT @jaketapper: AP Exclusive: Docs show top WH officials buried CDC report https://t.co/bmTUAXOSKd
1258897046204936200,Fri May 08 23:10:19 +0000 2020,#MomTexts with @GwynethPaltrow @ArnettWill #LakeithStanfield #ElleFanning #JanuaryJones #BenSchwartz @RejectedJokes… https://t.co/IbjOGP0oZO
1258796512328351700,Fri May 08 16:30:50 +0000 2020,it would appear that @vp was joking about carrying empty boxes for a staged publicity stunt. The full video reveals… https://t.co/jRMwxpGjrJ
1258554992828416000,Fri May 08 00:31:07 +0000 2020,now this has gone too far https://t.co/HTZLQck1xA
1258527027734311000,Thu May 07 22:40:00 +0000 2020,Maybe the weirdest #WhoWantsToBeAMillionaire ever with @HannibalBuress &amp; #CatherineOHara TONIGHT at 8|7c on #ABC!… https://t.co/csiGKYQgRg
1258485482276573200,Thu May 07 19:54:55 +0000 2020,RT @franklinavenue: This nation is collapsing right in front of us. We're watching it. Generations from now they'll wonder why we did nothi…
1258250304992112600,Thu May 07 04:20:24 +0000 2020,My 5-year-old and I had a tense pancake stand-off today... #JimmyKimmelLiveFromHisHouse #StayHome https://t.co/vRrXX5RFWe
1258207121293754400,Thu May 07 01:28:48 +0000 2020,this is a very funny (and educational!) book by a very funny (and educational) man named Alan.  Buy it for the Alan… https://t.co/29lk1IQadx
1258152448864039000,Wed May 06 21:51:33 +0000 2020,NEW #CrankYankers with @IamWandaSykes @DavidAlanGrier @MikeyFunTime @AdamPally @AbbiJacobson @RealJeffreyRoss &amp;… https://t.co/zf2K63vN6J
1258088607295828000,Wed May 06 17:37:52 +0000 2020,To our underpaid, overworked and under-appreciated heroes on the frontline - thank you today and always.… https://t.co/ZrkL9uKJjO
1258038818369724400,Wed May 06 14:20:02 +0000 2020,The great @JerrySeinfeld on the Michael Jordan documentary #TheLastDance, being intimidated by @KeithHernandez, thr… https://t.co/TvjAdoMP8Z
1258028898673062000,Wed May 06 13:40:37 +0000 2020,Thank you teachers! Every week is now #TeacherAppreciationWeek... #JimmyKimmelLiveFromHisHouse #StayHome https://t.co/2YhItSEe8K
1257898410432065500,Wed May 06 05:02:06 +0000 2020,This is what it feels like when the "President" of the United States attacks you personally https://t.co/wzp4ed4GHr
1257808681791455200,Tue May 05 23:05:33 +0000 2020,I can think of no better metaphor for this presidency than Donald Trump not wearing a face mask to a face mask fact… https://t.co/JzscTPVpdZ
1257748512701165600,Tue May 05 19:06:27 +0000 2020,I watched at the stroke of midnight and loved it. https://t.co/LQbcm9E52T
1257745747983757300,Tue May 05 18:55:28 +0000 2020,Happy Cinco de Mayo Mr. President!  Thanks for the shout-out - now get back to work royally fucking everything up! https://t.co/aa3VKeePJv
1257481690441592800,Tue May 05 01:26:12 +0000 2020,Only a few days left for a chance to "sit in" with my band on @JimmyKimmelLive. Make a donation here… https://t.co/ublCad8TeE
1257371859315720200,Mon May 04 18:09:46 +0000 2020,THANK YOU FIREFIGHTERS! https://t.co/tAf8jog3b7
1257360213373603800,Mon May 04 17:23:30 +0000 2020,Happy #50 to our Canadian-American treasure @arnettwill - Today, most of North America celebrates your birth.
1257160655037247500,Mon May 04 04:10:31 +0000 2020,Good stuff from Dave Eggers via @NYTOpinion  https://t.co/8rbADylMpf
1255975706695045000,Thu Apr 30 21:41:58 +0000 2020,A NEW #WhoWantsToBeAMillionaire with @AnthonyAnderson @IkeBarinholtz &amp; @HannibalBuress TONIGHT at 8|7c on… https://t.co/JQ7pQGAP5U
1255825752882212900,Thu Apr 30 11:46:06 +0000 2020,I join @LiveKellyRyan this morning because being in quarantine is better with @KellyRipa &amp; @RyanSeacrest
