id,created_at,text
1260225941567156200,Tue May 12 15:10:52 +0000 2020,@RFFunke the irony of the license plate is so easy that i'm looking deeper into it for more information
1260210147491750000,Tue May 12 14:08:07 +0000 2020,@johnnypemberton what's going on on twitter lately?
1259878015317794800,Mon May 11 16:08:20 +0000 2020,@johnnypemberton Hey what's new out there!
1258807228766867500,Fri May 08 17:13:25 +0000 2020,You heard it from Jake! Watch the film @ValleyGirlFilm which features me in a role, then when you're done, for fun,… https://t.co/sYzNmitN9u
1258806115246182400,Fri May 08 17:09:00 +0000 2020,RT @jakefogelnest: If you loved “Josie and the Pussycats” when it came out, you are going to love @ValleyGirlFilm. As for one actor in the…
1258074121361076200,Wed May 06 16:40:19 +0000 2020,RT @BrentWeinbach: SATURDAY 7PM PT Brent Weinbach &amp; Friends Chat Show w/ Moshe Kasher, Chris Garcia, and Lizzy Cooperman https://t.co/ToPY6…
1257729726690537500,Tue May 05 17:51:48 +0000 2020,RT @mrbobodenkirk: Treat Yourself on Giving Tuesday...get a ticket for our MR. SHOW ZOOMTASTIC EVENT next Wednesday! -all proceeds to LIFT,…
1257728087489491000,Tue May 05 17:45:18 +0000 2020,RT @johnnypemberton: Moshe Kasher!! !!! !!!! !!!!! https://t.co/XsN0PHCGiq
1257723908259819500,Tue May 05 17:28:41 +0000 2020,RT @Mark_DMcKinney: With “The Pen,” The Kids In The Hall rewrote the rules of comedy to create an iconic sketch https://t.co/p5Qs9BSm5w via…
1256989591497736200,Sun May 03 16:50:47 +0000 2020,@Brently Today I watched Harold Lloyd's SPEEDY!
1256911598209335300,Sun May 03 11:40:51 +0000 2020,RT @columbophile: Chin up, folks... https://t.co/LNCE4QKR6U
1256233647318982700,Fri May 01 14:46:55 +0000 2020,Any quarantine movie heads looking to pass 7 hours, I just made it through Satantango! Streaming for rent on Vimeo… https://t.co/ffnITKtXCq
1256229616739639300,Fri May 01 14:30:54 +0000 2020,@JayCyde @will1138 If you look up every film on the list you will see they are all kid friendly and adult lovable!… https://t.co/kLsgpFlYap
1255697727901569000,Thu Apr 30 03:17:22 +0000 2020,my new quarantine character! https://t.co/GiAFskyDjH
1255499929453281300,Wed Apr 29 14:11:23 +0000 2020,RT @brideylee: With a mask on you can smile big and wide all the time and no one needs to know 😁
