id,created_at,text
1259536705696288800,Sun May 10 17:32:06 +0000 2020,RT @TMZ: Hong Kong Mother's Day Protest Ends with Riot Police Confrontation at Shopping Mall https://t.co/ntKvCibY6E
1259520851818537000,Sun May 10 16:29:06 +0000 2020,RT @niubi: seem to remember some people saying China's ambassador to Australia wasn't making threats recently. No doubt this is just a coin…
1259520810978553900,Sun May 10 16:28:56 +0000 2020,RT @Joshua_Eisenman: "Out of India’s 30 unicorns - private companies valued at $1bn - 18 are funded either by big Chinese technology compan…
1259519143872729000,Sun May 10 16:22:19 +0000 2020,RT @HawleyMO: #China not happy about my call to confront their economic imperialism by ending the WTO &amp; replacing it with system that’s goo…
1259518993817391000,Sun May 10 16:21:43 +0000 2020,@John_Hudson Seems like this was a few guys at State freelancing, not the “Department” or even Pompeo’s office, is that right?
1259517638029512700,Sun May 10 16:16:20 +0000 2020,RT @niubi: does this statement actually deny the substance of the allegations in the der spiegel repot? If so, seems strangely worded with…
1259282873233879000,Sun May 10 00:43:27 +0000 2020,RT @BillGertz: China stepping up use of Twitter for propaganda and disinformation as State Department identifies new Chinese government bot…
1259282841852149800,Sun May 10 00:43:20 +0000 2020,RT @ShimonPro: The head of the Centers for Disease Control and Prevention, Dr. Robert Redfield, will be self-quarantining for two weeks aft…
1259282130837876700,Sun May 10 00:40:30 +0000 2020,RT @abramowitz: In the competition of systems, democracy is the way. Beijing has responded to the #CoronavirusPandemic with coverups and in…
1259282089733771300,Sun May 10 00:40:21 +0000 2020,RT @Taiwan_in_NL: 🇹🇼 #Taiwan has given a master class in how a democracy copes with an existential emergency, despite being ignored and mis…
1259219848720195600,Sat May 09 20:33:01 +0000 2020,RT @JChengWSJ: The White House is planning to dramatically tighten rules governing Chinese journalists working in the U.S., the latest move…
1258898809758912500,Fri May 08 23:17:20 +0000 2020,RT @AliRogin: Friday Night Cover #5: “Love Has No Pride” as performed by the great Bonnie Raitt. Thanks to @MalcolmBrabant for the request.…
1258839350659465200,Fri May 08 19:21:03 +0000 2020,RT @SaveTibetOrg: Good news!  The #TibetSupportAct is taking a big step toward passing the US Senate and becoming law next week: https://t.…
1258795436711739400,Fri May 08 16:26:34 +0000 2020,RT @wolfblitzer: My first day at @CNN was 30 years ago today: May 8, 1990. I was CNN’s Pentagon Correspondent. A few months later, it was O…
1258793909645344800,Fri May 08 16:20:29 +0000 2020,RT @PostOpinions: Taiwan is a much better partner for the U.S. than the People’s Republic. @JoshRogin writes.  "It’s long past time we star…
1258791971881091000,Fri May 08 16:12:47 +0000 2020,RT @Smith_JeffreyT: "Taiwan has given a master class in how a democracy copes with an existential emergency, despite being ignored and mist…
1258788493070868500,Fri May 08 15:58:58 +0000 2020,RT @4danlopez: Vice President Mike Pence staffer tests positive for coronavirus https://t.co/jqlwx3tLfL
1258784890901930000,Fri May 08 15:44:39 +0000 2020,RT @Ian_M_Easton: “It is time we acknowledged that there is an alternative Chinese model on offer. The values that Taiwan champions give it…
1258784827656069000,Fri May 08 15:44:24 +0000 2020,RT @joshrogin: New: The pandemic shows why Taiwan is a far better partner than the People’s Republic https://t.co/vhlFdtTHLP by me @PostOpi…
1258594667790303200,Fri May 08 03:08:47 +0000 2020,RT @JChengWSJ: Turns out China's do-everything app WeChat doesn't just censor content within China. It also learns from what its overseas u…
1258594339460124700,Fri May 08 03:07:28 +0000 2020,RT @Kredo0: JUST IN: Congress Backs Australian Call for Investigation Into China Over Coronavirus Deceit -- Bipartisan consensus emerges in…
1258562676768284700,Fri May 08 01:01:39 +0000 2020,RT @lcrhsiao: .@joshrogin is right, but why it requires a pandemic to prove this point is a little beyond me. In any case, #Taiwan has show…
1258557004320313300,Fri May 08 00:39:07 +0000 2020,RT @Walker_CT: .@joshrogin on Taiwan’s evident democracy advantage https://t.co/M93jqemaI0
1258522845992255500,Thu May 07 22:23:23 +0000 2020,New: The pandemic shows why Taiwan is a far better partner than the People’s Republic https://t.co/vhlFdtTHLP by me @PostOpinions
1258513942885761000,Thu May 07 21:48:00 +0000 2020,RT @kolga: Remarkable debate today about the need to thank Taiwan for donating 500k masks to Canada in virtual-Parliament. Not sure how exp…
1258513281116856300,Thu May 07 21:45:22 +0000 2020,Over 100 million @WeChatApp users outside China are under policital surveillance and are training China’s AI system… https://t.co/CTCe8FGcSc
1258511750032326700,Thu May 07 21:39:17 +0000 2020,RT @AliRogin: Congress wants to know what the US knew about the botched Venezuela Operation Gideon. House and Senate foreign affairs commit…
1258477911809708000,Thu May 07 19:24:50 +0000 2020,RT @HouseForeignGOP: 🚨New: LR @RepMcCaul to chair China Task Force   "I want to thank @GOPLeader for the honor of chairing this task force.…
1258471014310334500,Thu May 07 18:57:25 +0000 2020,RT @RepLizCheney: I'm honored to introduce a bill to name the street in front of the Chinese Embassy after Dr. Li. May this serve as a remi…
