id,created_at,text
1260234979151196200,Tue May 12 15:46:47 +0000 2020,Happy Birthday @ReignOfApril !! https://t.co/P7BFGeJteK
1260234928421134300,Tue May 12 15:46:35 +0000 2020,RT @ReignOfApril: THEE @Essence magazine is celebrating 50 years of publishing excellence this year! On the cover for my birthday month is…
1260080826332528600,Tue May 12 05:34:14 +0000 2020,QUEEN. https://t.co/2fnM86r5cS
1259997298899030000,Tue May 12 00:02:20 +0000 2020,RT @theblcklst: .@paulfeig  @The_A_Prentice @itslizhannah  @juliahartowitz + @jehorowitz @alanyang  @edhelms @rgay &amp; @itsgabrielleu  are no…
1259679586670874600,Mon May 11 02:59:51 +0000 2020,It is mother's day. I know this day is hard for so many for so many reasons. i'm sending you love.
1259522002848608300,Sun May 10 16:33:40 +0000 2020,RT @jourdayen: https://t.co/WUAJJZwXbk
1259153851220807700,Sat May 09 16:10:46 +0000 2020,@MarkHarrisNYC oh 👋
1259147928469270500,Sat May 09 15:47:14 +0000 2020,@mvbrat91 oh no. too hard! i LOVE the genre &amp; am desperate to make one myself! a few: don't look now, the others, n… https://t.co/Agwz6oj0s1
1259147003906322400,Sat May 09 15:43:34 +0000 2020,@KacieLaCombe authenticity. do they feel alive in an unexpected &amp; exciting way.
1259146759160254500,Sat May 09 15:42:35 +0000 2020,@Jaeandthecity @Lindsays_Lens i love making different genres of film - it really pushes me to understand filmmaking… https://t.co/EAU1eL0MXt
1259146474039816200,Sat May 09 15:41:27 +0000 2020,@Jaeandthecity @Lindsays_Lens we still need to have coffee some day - i'm the worst! hope you are hanging in there! ❤️❤️❤️
1259146371954663400,Sat May 09 15:41:03 +0000 2020,@PeterAPeel thank you! i'm intrigued.
1258964513258233900,Sat May 09 03:38:25 +0000 2020,@sylbialin and on my 1st set i wasn't afraid to say "i don't know. this is my 1st time." i felt my crew really resp… https://t.co/mPy8uPcuSj
1258964263005122600,Sat May 09 03:37:25 +0000 2020,@sylbialin also have them come to set as much as possible. just make everyone get comfortable w/it being a kid frie… https://t.co/n9pPueqGrN
1258964132843282400,Sat May 09 03:36:54 +0000 2020,@sylbialin ha! thanks. and that's awesome! people always ask me what the hardest part of filmmaking is &amp; i always s… https://t.co/4BoNvk37wG
1258963845411770400,Sat May 09 03:35:45 +0000 2020,@ShannonCorbeil i LOVE having a writing partner makes it so much easier to get everything done. and have that other… https://t.co/dOSCYS43Vd
1258963701085790200,Sat May 09 03:35:11 +0000 2020,@ShannonCorbeil yes! i'm all about the dialogue &amp; he's all about action/structure. but the more we write together t… https://t.co/oNRMeee7gy
1258960098044506000,Sat May 09 03:20:52 +0000 2020,@JustinAnfinsen the new Nolan!!
1258960048002224000,Sat May 09 03:20:40 +0000 2020,@JustinAnfinsen i'm lucky that at this point in my career i am able to both take jobs &amp; also get the movies made th… https://t.co/C6brkSYVdV
1258958765765701600,Sat May 09 03:15:34 +0000 2020,@ShannonCorbeil haha good questions! We write very thorough outlines &amp; my husband &amp; I trade drafts. the biggest par… https://t.co/KfC7XvVoqt
1258958456540631000,Sat May 09 03:14:21 +0000 2020,@GuillermoDelAln ooooooo maybe NORMA RAE &amp; PARIS BLUES. Ritt is one of my faves &amp; I've never seen either on the big screen!
1258954835581218800,Sat May 09 02:59:57 +0000 2020,@PeterAPeel thanks! (also let me know how it is)
1258953588929212400,Sat May 09 02:55:00 +0000 2020,i guess y'all are cancelling on me too 😂😂😂 have a good night! i'm gonna go drink alone.
1258951919399170000,Sat May 09 02:48:22 +0000 2020,my "drinks" for the night just got cancelled AMA 🥂❤️
1258951333391917000,Sat May 09 02:46:02 +0000 2020,@PeterAPeel what platform? looks amazing!
1258950441980711000,Sat May 09 02:42:30 +0000 2020,RT @vfdpixie: The first film in my #Inplainsight series is one I fell in love with and one that I want more people to see. Fast Color by @j…
1258950422351380500,Sat May 09 02:42:25 +0000 2020,@vfdpixie ❤️❤️❤️❤️❤️
1258925692013514800,Sat May 09 01:04:09 +0000 2020,@FilmLandEmpire @KrrrSchmidt @ShugZ oh guys this made my day. 😍
1258901111164956700,Fri May 08 23:26:28 +0000 2020,"Fire &amp; Rain" in Running on Empty cc @foundasonfilm https://t.co/v1VV84WZvi
1258479912660287500,Thu May 07 19:32:47 +0000 2020,YES!!!!! @GPBmadeit ❤️🥂🎬 https://t.co/HRxzTmUgj1
1258456874669600800,Thu May 07 18:01:14 +0000 2020,@davidehrlich those things are made by God.
1258413478315823000,Thu May 07 15:08:48 +0000 2020,RT @FredTJoseph: My mother called me last night to ask me not to workout outside anymore during the pandemic, because it would make it easi…
1258084536442695700,Wed May 06 17:21:42 +0000 2020,@ReaganGomez i'm so sorry.
1258084513197899800,Wed May 06 17:21:36 +0000 2020,😔💔 https://t.co/UIBoaCSv13
1258084246318538800,Wed May 06 17:20:33 +0000 2020,RT @ReaganGomez: Husband was pulled over by the police on his way home from work. Around 2/2:30 am. They told him to get out of the car fro…
1257443045227868200,Mon May 04 22:52:38 +0000 2020,@SorayaMcDonald Congrats! So happy for you! You deserve it. You earned it. YOU. ❤️
1257159804650315800,Mon May 04 04:07:08 +0000 2020,@davidehrlich it's a perfect first movie. and last. and movie.
1257159463657631700,Mon May 04 04:05:47 +0000 2020,@davidehrlich and... https://t.co/GVjW7oka2j
1257159378244759600,Mon May 04 04:05:27 +0000 2020,@davidehrlich one of my all time faves &amp; arthur has watched maybe 40 times? 😂😂😂 https://t.co/pZ6kfzdu2Q
1257141048372899800,Mon May 04 02:52:37 +0000 2020,@davidehrlich have we talked about Totoro? Also I think we have the same crib...
1257017899958427600,Sun May 03 18:43:16 +0000 2020,RT @FredTJoseph: New York had thousands of people in Central Park this weekend failing to social distance or wear PPE.   You know what else…
1256809676693360600,Sun May 03 04:55:51 +0000 2020,@Lulamaybelle i picked the right year to grow out my grey as it turns out! 😂 i know people color for different reas… https://t.co/LLeUKJEj8f
1256808955629596700,Sun May 03 04:53:00 +0000 2020,@Nijla1 insane. why. i don't understand why.
1256797445884833800,Sun May 03 04:07:15 +0000 2020,i still don't know if these pictures are real. are people really all gathering in public to just hang out without m… https://t.co/GHDeUIbqDu
1256771580358652000,Sun May 03 02:24:29 +0000 2020,@jourdayen i will never understand the hate for it
1256765995672203300,Sun May 03 02:02:17 +0000 2020,@jourdayen do you love birth? i LOVE birth.
1256336546338226200,Fri May 01 21:35:48 +0000 2020,RT @GPBmadeit: Uh damn @MishaGreen this looks dope.
1256336506836250600,Fri May 01 21:35:39 +0000 2020,RT @TedHope: Artist Relief is offering $5000 grants to professional artists (including filmmakers and screenwriters) experiencing dire fina…
1256295496185856000,Fri May 01 18:52:41 +0000 2020,@MarkHarrisNYC i full on wept. but same.
1255953725526442000,Thu Apr 30 20:14:37 +0000 2020,@jenyamato @jehorowitz 💕💕💕💕💕
1255953698137583600,Thu Apr 30 20:14:30 +0000 2020,RT @jenyamato: Also @jehorowitz (whose next w/ @juliahartowitz after STARGIRL are Amazon’s I’M YOUR WOMAN and the FAST COLOR series), voici…
1255560003399716900,Wed Apr 29 18:10:06 +0000 2020,RT @PortraitPBS: We might be crying: These neighbors performed a surprise concert for their neighborhood health care hero. Show us ways you…
1255238485772042200,Tue Apr 28 20:52:30 +0000 2020,And while I was washing my hands I heard my older son's voice from the other room &amp; I started crying. Best sound I… https://t.co/sghe7FGAfb
1255237917548691500,Tue Apr 28 20:50:15 +0000 2020,I didn't wish I could go out to lunch or go anywhere really. I just wanted to go home. I missed my family. I missed… https://t.co/824y62UBoM
1255237702804476000,Tue Apr 28 20:49:24 +0000 2020,Except for daily walks around the neighborhood, I haven't left the house since April 7th. I just went to the store.… https://t.co/c0VPHwsG8h
1255129422677422000,Tue Apr 28 13:39:08 +0000 2020,RT @nvrnormalvinyl: watched stargirl and it was such a cute movie i loved it
1255129138584645600,Tue Apr 28 13:38:00 +0000 2020,RT @ItsJohnny05: Finally watched @Stargirl on @disneyplus and this movie will really inspire you. S/O to @GraceVanderWaal who was amazing i…
1255128838515769300,Tue Apr 28 13:36:48 +0000 2020,RT @mwilton13: Just watched "Stargirl" on @disneyplus. What a fun, feel good movie. If you want a nice pick me up that celebrates being dif…
1255128766784786400,Tue Apr 28 13:36:31 +0000 2020,RT @bailey_marin: I watched the movie Stargirl because the book is why I am who I am today and I loved the scene where she teaches Leo to m…
1255128662489174000,Tue Apr 28 13:36:06 +0000 2020,RT @_hippidippi: I watched @Stargirl on Disney+ and it’s gorgeous! The cinematography, the character portrayals, &amp; the story! Exquisite! 💕…
1254974470508253200,Tue Apr 28 03:23:24 +0000 2020,can someone PLEASE explain these public gathering photos? are they old? or are people really doing this right now?
1254968334845526000,Tue Apr 28 02:59:01 +0000 2020,RT @nancywyuen: Growing up, I often felt trapped in a loveless home. Even though I am no longer in that situation, I definitely feel the tr…
1254886272448880600,Mon Apr 27 21:32:56 +0000 2020,@kumailn did jordan send you a picture of our banana bread?
1253824676079390700,Fri Apr 24 23:14:32 +0000 2020,@TomiLaffly happy birthday!
1253564228465647600,Fri Apr 24 05:59:36 +0000 2020,@davidehrlich babies are the best. this is dangerous content for me...
1253023729568772000,Wed Apr 22 18:11:51 +0000 2020,@heyerinevans i would love that! we are in the midst of developing it as a tv with @AmazonStudios &amp; all the amazing people @JuVeeProds
1253008970043678700,Wed Apr 22 17:13:12 +0000 2020,@stovak @jehorowitz thank you!
1252756056247320600,Wed Apr 22 00:28:13 +0000 2020,@carenananana this is so nice of you! it's a beautiful day &amp; ive gotten to spend it working with my husband &amp; hangi… https://t.co/9EZLzgpq8w
1252666053479370800,Tue Apr 21 18:30:35 +0000 2020,RT @tnyfrontrow: To stream on Hulu: it takes a little digging but there are some great movies, classic and modern, and some very pleasant s…
1252408102135058400,Tue Apr 21 01:25:34 +0000 2020,RT @violadavis: Aaahhh!! A good reminder❤
1252278764727222300,Mon Apr 20 16:51:38 +0000 2020,RT @NaomiLicon: Stargirl made me so emotional wow. Such a great movie. ⭐️ #DisneyPlus #stargirl
1252277739970683000,Mon Apr 20 16:47:34 +0000 2020,RT @venetiana_: also this is the #fastcolor movie soundtrack and it's so good. https://t.co/3erFCDl3tW (this is the only meaningful movie i…
1252277526056980500,Mon Apr 20 16:46:43 +0000 2020,RT @KhalidBrooks1: Finally saw Fast Color. It's on Amazon Prime! Go see it!#FastColor https://t.co/0L9J6dsTNT
1252277392409690000,Mon Apr 20 16:46:11 +0000 2020,This is literally all this filmmaker wants in life. To explode the hearts of others. In a good way. https://t.co/DDu1N3qxKs
1252277258015785000,Mon Apr 20 16:45:39 +0000 2020,RT @niais: Have y'all watched "Fast Color" yet??? Because it turns out it was just the apocalypse movie I needed.
1251902019926814700,Sun Apr 19 15:54:35 +0000 2020,RT @Fobettarh: I finally watched Fast Color and not only did I cry like a baby, it’s officially in my top favorite movies ever. I encourage…
1251902010191941600,Sun Apr 19 15:54:33 +0000 2020,@Fobettarh 😍😍😍
1251561870676222000,Sat Apr 18 17:22:57 +0000 2020,@PeterAPeel i can't imagine. sending love. your strength is inspiring ❤️❤️❤️
1251539665204637700,Sat Apr 18 15:54:43 +0000 2020,@PeterAPeel incredibly impressive. i think of all the recovering &amp; sober people in my life &amp; in the world right now… https://t.co/G3yZbO9Lcs
1251277388329087000,Fri Apr 17 22:32:31 +0000 2020,@jourdayen this is so chilling. yes. those images were everywhere. and everyone acted like it was normal.
1251277096002805800,Fri Apr 17 22:31:21 +0000 2020,We just got sent to script by the studio on something about which I am VERY excited. Happy Friday to me.
1250927424637767700,Thu Apr 16 23:21:53 +0000 2020,RT @Stargirl: Be True to Your School 💫 Watch the full song at https://t.co/vcXg4OLwGQ. https://t.co/EDj5YEs7xl
1250843432936894500,Thu Apr 16 17:48:08 +0000 2020,@jourdayen i don't know, but what i do know is that LA is more full of surprises than i ever could have imagined. i… https://t.co/EBLeFl7Q0x
1250578562286940200,Thu Apr 16 00:15:38 +0000 2020,@DarthDeverell thank you!!
1250517953331605500,Wed Apr 15 20:14:48 +0000 2020,@scottEweinberg i'm so sorry.
1250516416593158100,Wed Apr 15 20:08:41 +0000 2020,@Tarangagne thanks!!
1250510273456205800,Wed Apr 15 19:44:17 +0000 2020,😍😍😍 https://t.co/rZDHGxOiH3
1250438361698824200,Wed Apr 15 14:58:32 +0000 2020,RT @FredTJoseph: Major thanks to @people for covering the #RENTRELIEF campaign. The print version is on newsstands today and digital tomorr…
1249937287862866000,Tue Apr 14 05:47:26 +0000 2020,@Lulamaybelle also his on earth did ANYONE right that scene?! it's inhuman!!
1249934145737785300,Tue Apr 14 05:34:57 +0000 2020,@Lulamaybelle i get it 😂😂😭
1249767966037536800,Mon Apr 13 18:34:37 +0000 2020,@carolsbxtch thank you!
1249767931094790100,Mon Apr 13 18:34:28 +0000 2020,RT @carolsbxtch: Fast Color is now one of my favorite movies. Everyone should watch this movie  #FastColor @juliahartowitz
1249739548503900200,Mon Apr 13 16:41:42 +0000 2020,RT @deselinord: HEY EVERYONE The amazing movie #FastColor is on Amazon Prime right now! I know a lot of you have some free time and might n…
1249739276683640800,Mon Apr 13 16:40:37 +0000 2020,RT @MarieDenee: Just watched it. Sooo good and I need more. #fastcolor was intriguing and beautiful.
1249739233008316400,Mon Apr 13 16:40:26 +0000 2020,RT @JJSea: #FastColor on @EPIXHD is a must watch, a cinematic wonder with phenomenal actresses @SaniyyaSidney @gugumbatharaw @LPToussaint a…
1249739103060365300,Mon Apr 13 16:39:55 +0000 2020,RT @bdgrabinski: Really enjoyed FAST COLOR.
1249738878891618300,Mon Apr 13 16:39:02 +0000 2020,@CarolineSiede this tweet made my day.
1249738814697816000,Mon Apr 13 16:38:47 +0000 2020,RT @CarolineSiede: Been a while since a movie exceeded my high expectations as much as FAST COLOR just did. It’s currently streaming on bot…
1249738702034632700,Mon Apr 13 16:38:20 +0000 2020,@unknownbinaries @NatashaCarolan @Wolven just wanted to say these tweets made me very happy. hope you are all staying safe!
1249479588196974600,Sun Apr 12 23:28:42 +0000 2020,RT @nhlseider: Stargirl (9.5/10)   just a great movie to which I can greatly relate https://t.co/AeiiydWfX8
1249479539933081600,Sun Apr 12 23:28:31 +0000 2020,RT @WoildIsYerEster: Read Stargirl, Watch Stargirl (both book and movie are amazing❤️)  Eat, sleep  Then repeat.
1249479449499721700,Sun Apr 12 23:28:09 +0000 2020,RT @TheMomoftheHour: Stargirl was such a refreshing, innocent, cheesy movie. I am not sure how it managed to hit me so hard in the feels.
1249479326073892900,Sun Apr 12 23:27:40 +0000 2020,RT @ClaytonJamesY: Can I say that @Stargirl the movie was so good! Like it had me smiling in almost the entire movie. Just a sweet innocent…
1249478884971524000,Sun Apr 12 23:25:55 +0000 2020,RT @FredTJoseph: Couples who live together and make it out #Covid_19 intact are meant to be.
1249478795540619300,Sun Apr 12 23:25:33 +0000 2020,❤️❤️❤️❤️❤️❤️❤️❤️💪 https://t.co/xUYLj8XXmz
1249019833712177200,Sat Apr 11 17:01:48 +0000 2020,link was too long for profile, but pinned tweet has it.
1249019728200216600,Sat Apr 11 17:01:23 +0000 2020,It Takes Our Village to #SupportOurCrews https://t.co/xwPDjz1NYr
1249019334728417300,Sat Apr 11 16:59:49 +0000 2020,I just donated &amp; you should too if you can. Link in my profile. 🎬❤️💪 https://t.co/3gDnOoI8oW
1248815413607067600,Sat Apr 11 03:29:31 +0000 2020,just did a zoom with a bunch of people from all over for a birthday drink &amp; many didn't know each other &amp; wouldn't… https://t.co/0UT7jSLqVB
1248814892770943000,Sat Apr 11 03:27:26 +0000 2020,😍😍😍😍😍😍😍😍 https://t.co/EmbNeBEh0t
1248772538496209000,Sat Apr 11 00:39:08 +0000 2020,RT @GavinNewsom: Can’t stress this enough --  Physical distancing is working. CA is flattening the curve.  BUT we can only continue that pr…
1248678032241352700,Fri Apr 10 18:23:36 +0000 2020,RT @theblcklst: On the podcast, @franklinleonard + @thathagengrrl are joined by one of Hollywood's most exciting creative couples, @juliaha…
1248348002323816400,Thu Apr 09 20:32:11 +0000 2020,loved loved loved doing this with @franklinleonard &amp; @thathagengrrl &amp; i totally cried when talking about how much i… https://t.co/gHUiOAxrhG
1248292164779430000,Thu Apr 09 16:50:18 +0000 2020,@mangiotto sending love.
1248274005343088600,Thu Apr 09 15:38:09 +0000 2020,RT @FoxSkylark: just watched #Stargirl. Thanks Disney. i cried a lot! 🙃👍  its nice to see a movie like this that reminds me ofchildhood and…
1248273933985386500,Thu Apr 09 15:37:52 +0000 2020,RT @teamoss_: okay so you have disney + (or.... you know 😏) you should absolutely watch stargirl it's so fucking good
1248273907435458600,Thu Apr 09 15:37:45 +0000 2020,RT @ryanrespondtome: Just finished watching Stargirl on Disney+. I can say it was pretty damn amazing! Loved it! Sad but very good! 💕
1248029850683596800,Wed Apr 08 23:27:58 +0000 2020,@KennethTuran so many happy memories there.
1248026044856037400,Wed Apr 08 23:12:50 +0000 2020,this just made me weep. isn't it enough that we can't go right now?! these photographs feel like an attack. i know… https://t.co/SVog1eUjSR
1247953770614411300,Wed Apr 08 18:25:39 +0000 2020,RT @Stargirl: **plays ‘Thirteen’ on repeat** @Stargirl is now streaming on #DisneyPlus. https://t.co/34cZAlHHht
1247914293493809200,Wed Apr 08 15:48:47 +0000 2020,@ReignOfApril ❤️❤️❤️❤️❤️❤️❤️
1247913530243731500,Wed Apr 08 15:45:45 +0000 2020,@ReignOfApril so glad you're okay. sending love!
1247913178555502600,Wed Apr 08 15:44:21 +0000 2020,RT @FredTJoseph: PLEASE SHARE: We’ve now given $110k via the #RENTRELIEF campaign and are giving another $10k today as we have for the past…
1247752164258148400,Wed Apr 08 05:04:32 +0000 2020,RT @women_direct: #Bornthisday Writer-director Julia Hart!   Pictured on the set of her films Miss Stevens and Fast Color. https://t.co/Bfz…
1247621038105477000,Tue Apr 07 20:23:29 +0000 2020,RT @ThomasStorai: #Stargirl is a beautiful and uplifting coming-of-age movie with wonderful songs and a timeless message of staying true to…
1247590581745758200,Tue Apr 07 18:22:28 +0000 2020,Guys: Francis &amp; I share a birthday. Here's a picture of us when we were both younger &amp; cuter. Happy birthday to us!… https://t.co/R9vplS4xTV
1247560184219570200,Tue Apr 07 16:21:41 +0000 2020,thanks for that guys! i needed it! except for the lady bird gif @davidehrlich low blow. low blow.
1247551930622066700,Tue Apr 07 15:48:53 +0000 2020,it's my birthday. that's it. that's the tweet.
1247369470034628600,Tue Apr 07 03:43:51 +0000 2020,i love this! hope you guys are well mama ❤️ https://t.co/KJLRLf6wc5
1246935880205348900,Sun Apr 05 23:00:55 +0000 2020,RT @sewingcookie: Short movie review- Stargirl:  I loved the book in middle school and I love the movie now.  I really want Stargirl's ward…
1246883880814039000,Sun Apr 05 19:34:17 +0000 2020,ONWARD is freaking wonderful. Oh my lord did we weep. I love brothers 😍😍😍😍😍😍😍😍😍😍😍😍
1246856930640818200,Sun Apr 05 17:47:12 +0000 2020,@robataka thank you so much! glad to provide at least a little bit of entertainment during this uncertain time ❤️🙏
1246843176905609200,Sun Apr 05 16:52:33 +0000 2020,RT @IanRobinson: Gosh. Stargirl film delivered more than I was expecting. If you want some good vibes then give it a watch. It’s delivers a…
1246679457475129300,Sun Apr 05 06:01:59 +0000 2020,RT @w3lls_katebe: Watched this movie @Stargirl and the words on her really got me. https://t.co/dMoEnenpl1
1246621756250419200,Sun Apr 05 02:12:42 +0000 2020,RT @petitejanelle: @Stargirl was a darling movie. If you liked the book growing up (like me) or are just in need of some cute, heartwarming…
1246621668342022100,Sun Apr 05 02:12:21 +0000 2020,🙏🙏🙏🌵🦕😬 https://t.co/LXAaUCSqaV
1246621567724867600,Sun Apr 05 02:11:57 +0000 2020,RT @jessiesaysu: @disneyplus @GraceVanderWaal  Let me give a round of applause to the company &amp; the young lady that made my childhood come…
1246621442390651000,Sun Apr 05 02:11:27 +0000 2020,RT @iIookonu: stargirl on disney+ is actually a really good film
1246621137150210000,Sun Apr 05 02:10:14 +0000 2020,RT @jaketapper: Family and I enjoyed Stargirl on Disney+   Good stuff especially for the tweens/early teens I’d think
1246264482055073800,Sat Apr 04 02:33:01 +0000 2020,i'm crying. this is beautiful. https://t.co/FubWIsNANE
1246221824649646000,Fri Apr 03 23:43:31 +0000 2020,@CaseyCip i believe there is no greater peace or joy or satisfaction than a baby sleeping on your chest. he hadn't… https://t.co/mMZAGpPufS
1246219130094542800,Fri Apr 03 23:32:48 +0000 2020,RT @Media_Professor: The opening voiceover in Julia Hart's not-so-far-fetched science fiction film FAST COLOR (2018). https://t.co/MRudBJPD…
1246116349312548900,Fri Apr 03 16:44:24 +0000 2020,RT @akkitwts: This is the best thing you'll see today 💕💕   https://t.co/wcj1YIRw0U
1245895269650055200,Fri Apr 03 02:05:54 +0000 2020,RT @women_direct: Miss Stevens dir. @juliahartowitz (2016)  #mood https://t.co/HuuTAMKvmN
1245877954858512400,Fri Apr 03 00:57:06 +0000 2020,💪💪💪💪 this is wonderful https://t.co/hNbeAX5lRq
1245822627425349600,Thu Apr 02 21:17:15 +0000 2020,love you guys ❤️❤️❤️ https://t.co/MavBOFtTLM
1245796527596949500,Thu Apr 02 19:33:32 +0000 2020,RT @deguzmanchi: Stargirl is such a good movie wtf.
1245796475491082200,Thu Apr 02 19:33:20 +0000 2020,RT @Ksillysnake: Just watched #Stargirl and it's such a cute movie!!
1245796312101957600,Thu Apr 02 19:32:41 +0000 2020,RT @niq0tine: signed on to disney+ to see they made a movie for #Stargirl and SCREAMED. this was the first book i ever read on my own for f…
1245426792044703700,Wed Apr 01 19:04:20 +0000 2020,@MarkHarrisNYC i was literally just thinking this as i was cleaning my sons room in the middle of what would have b… https://t.co/ElE4gcYtFD
1245420143229853700,Wed Apr 01 18:37:55 +0000 2020,@itslizhannah @criterionchannl LOVE that movie!
1245104867590340600,Tue Mar 31 21:45:08 +0000 2020,RT @MoviesWeekends: Available to watch on @disneyplus, read our review of the charming #Stargirl!   https://t.co/z6zNhHwpDf
1245028599926640600,Tue Mar 31 16:42:04 +0000 2020,@ambscray i'm so sorry to hear that. i am donating to organizations. and trying to share what @FredTJoseph is doing.
1245028316588826600,Tue Mar 31 16:40:56 +0000 2020,@keandrewatkins1 is this for me or @FredTJoseph ? i'm not donating directly to invidivudals but i know @FredTJoseph… https://t.co/NutmguwJmM
1245025980957130800,Tue Mar 31 16:31:39 +0000 2020,Just donated again to @LAFoodBank - those of us who can afford to help right now have no excuse.
1245025102711754800,Tue Mar 31 16:28:10 +0000 2020,RT @LAFoodBank: President and CEO of the Los Angeles Regional Food Bank, Michael Flood, provides answers to 5 commonly asked questions amid…
1245025055064469500,Tue Mar 31 16:27:59 +0000 2020,RT @LAFoodBank: This week alone, thanks to our generous donors, supporters and partners, the LA Regional Food Bank was able to distribute a…
1245024692592754700,Tue Mar 31 16:26:32 +0000 2020,🙏🙏🙏 https://t.co/tSNDVdE4jN
1245024067943428000,Tue Mar 31 16:24:03 +0000 2020,i literally read every single one to remind myself of my privilege. to remind myself to donate to people in need ri… https://t.co/LBIrTPAyw1
1244862365687894000,Tue Mar 31 05:41:31 +0000 2020,RT @ericlane: Many of us don't want to step into crowded supermarkets right now. Grocery delivery services are overwhelmed &amp; backlogged. Re…
1244811678962733000,Tue Mar 31 02:20:06 +0000 2020,RT @FredTJoseph: #Covid_19 has put us all in difficult positions that we would rather not be in, and I know asking for help is hard for man…
1244785134814912500,Tue Mar 31 00:34:37 +0000 2020,they are literally ruining the future for everyone. including themselves. https://t.co/Zzpi4TzEn1
1244778741714129000,Tue Mar 31 00:09:13 +0000 2020,RT @BarackObama: So many Americans right now are stepping up to help their communities. Zohaib Begg, a 7-year-old from VA, is one of them.…
1244778666845823000,Tue Mar 31 00:08:55 +0000 2020,@dordotson thank you.
1244778512289951700,Tue Mar 31 00:08:18 +0000 2020,RT @MichelleObama: On this #NationalDoctorsDay, I want to share this powerful video from Dr. Francois and Dr. Robinson and thank all of the…
1244778180512075800,Tue Mar 31 00:06:59 +0000 2020,RT @FredTJoseph: For those who have been DMing me, I know many of you are sharing very difficult things and it’s not easy.   But I can’t do…
1244481523769684000,Mon Mar 30 04:28:11 +0000 2020,RT @MadnessMultiple: Sometimes v watch something that v know will stay with us for awhile for its simplicity and beauty of message... For m…
1244286567314649000,Sun Mar 29 15:33:30 +0000 2020,@Gonzagini76 i'm actually not stressed! just have two little kids &amp; still having to work so i'm... exhausted! to be expected :)
