id,created_at,text
395229803231469600,Tue Oct 29 16:45:02 +0000 2013,tweeting after a long time!
28364882028,Fri Oct 22 02:19:13 +0000 2010,Luv knws no limit 2 its endurance,no end 2 its trust,no fading of its hope;it can outlast anything.Luv still stands when all else has fallen
26007432823,Thu Sep 30 19:17:19 +0000 2010,A thing of beauty is a joy forever: Its loveliness increases; it will never  Pass into nothingness.
25913055178,Wed Sep 29 20:04:14 +0000 2010,A kiss makes the heart young again and wipes out the years.
25911498571,Wed Sep 29 19:40:33 +0000 2010,thank for all the help love you all
25896493049,Wed Sep 29 16:09:51 +0000 2010,@mayank_maxis1 link will help
25896181091,Wed Sep 29 16:06:16 +0000 2010,@mayank_maxis1 then help plz
25896133695,Wed Sep 29 16:05:44 +0000 2010,@maheshgarg33 well the fb account that i want to link to twitter is a celeb pg its not a normal account n dont knw hw to use it
25895796773,Wed Sep 29 16:01:40 +0000 2010,can anyone tell me how to contact/link twitter to facebook?
25541373364,Sat Sep 25 23:52:03 +0000 2010,follow me on fb:http://www.facebook.com/pages/Kangna-Ranaut/154504747906348
25349203452,Thu Sep 23 22:45:00 +0000 2010,my biggest asset is that i knw how to learn and that, I believe, will help me in the long run
25348693563,Thu Sep 23 22:38:03 +0000 2010,RT @AsinThottumkal_: Money has never made man happy,nor will it,there is nothing in its nature to produce happiness. The more of it one  ...
25348635194,Thu Sep 23 22:37:14 +0000 2010,Dhamaal 2 with the gorgeous Mallika
25348015409,Thu Sep 23 22:28:41 +0000 2010,http://yfrog.com/n7hrvj
25347818012,Thu Sep 23 22:25:58 +0000 2010,@nabz_rizvi i guess i have to try that too
25347798990,Thu Sep 23 22:25:42 +0000 2010,@Chirpy_Kulfi i think thats changed to twitpic bc tweetpic doesnt work
25347133231,Thu Sep 23 22:16:26 +0000 2010,didnt knw servers are down its been a hour and still not fixed
25340923217,Thu Sep 23 20:50:43 +0000 2010,heeyyy why can't i login in fb???:(
25223367763,Wed Sep 22 15:54:05 +0000 2010,When you always do your best, you take action. Doing your best is taking action because you love it, not because you're expecting a reward
25223205919,Wed Sep 22 15:52:06 +0000 2010,Join me on facebook: http://www.facebook.com/pages/Kangna-Ranaut/154504747906348?created#!/pages/Kangna-Ranaut/154504747906348?v=info
25148192117,Tue Sep 21 20:14:42 +0000 2010,@sunnysaxena16 http://www.facebook.com/#!/profile.php?id=100001639362763
25147877809,Tue Sep 21 20:10:08 +0000 2010,@hemant05 then let ppl knw im here on twitter
25145558295,Tue Sep 21 19:33:24 +0000 2010,one of the new photoshoots that i have http://plixi.com/p/46379502
25145539395,Tue Sep 21 19:33:06 +0000 2010,@AliAkbar01 thanks
25145447789,Tue Sep 21 19:31:35 +0000 2010,http://plixi.com/p/46360221 @RanbirKapoorRK best luck to u and mimi
