id,created_at,text
1260324254857359400,Tue May 12 21:41:32 +0000 2020,distant second: "Flip-flops, his own" https://t.co/zAvU4rUnS1
1260321933461123000,Tue May 12 21:32:19 +0000 2020,the absolute best part of the robert pattinson profile is "Underwear, his own" https://t.co/ChMS3wYejN
1260040239315185700,Tue May 12 02:52:58 +0000 2020,week 9 of isolation, watching the two sides of my brain fight about whether we’re going to get up and clean the ent… https://t.co/tPMBbDxF2j
1259529033055760400,Sun May 10 17:01:37 +0000 2020,my tiny cat daughter has, once again, forgotten to get me a mother’s day gift. unacceptable
1257791701109756000,Tue May 05 21:58:04 +0000 2020,oh to live in a pineapple under the sea absorbent and yellow and porous but free
1257767656486088700,Tue May 05 20:22:32 +0000 2020,@lizachannah the only content that matters
1257766245048279000,Tue May 05 20:16:55 +0000 2020,i finished normal people and i am here to report that connell’s chain is now the only thing tethering me to this life
1257502727875117000,Tue May 05 02:49:48 +0000 2020,@inkhat so sweet and t e r r i f y i n g
1257478234188341200,Tue May 05 01:12:28 +0000 2020,we’re underestimating the psychological toll of this pandemic. i was checking out at the grocery &amp; an item wouldn’t… https://t.co/vAKVjal8hN
1257138653324664800,Mon May 04 02:43:06 +0000 2020,who keeps putting all these dirty dishes in my sink, extremely rude
1256779268484288500,Sun May 03 02:55:02 +0000 2020,it’s time to invoke Beetlejuice Law: if you leave the house, you get teleported to saturn &amp; eaten by a sandworm
1256704012444786700,Sat May 02 21:55:59 +0000 2020,the gilmore girls series finale is hitting real different this time around https://t.co/845xr4bhrW
1256434577050140700,Sat May 02 04:05:21 +0000 2020,i have never remembered to wash my bras this much, i can say that
1256366947429572600,Fri May 01 23:36:37 +0000 2020,shocked at how quickly this pandemic has turned me into a stereotypical suburban dad. constantly talking about gas… https://t.co/zKUaEqJAo3
1255611528390164500,Wed Apr 29 21:34:51 +0000 2020,this week is very bad, but mercury is not in retrograde. which planet can i blame?
1254913805898768400,Mon Apr 27 23:22:21 +0000 2020,where is lisa frank, where is my psychedelic rainbow dolphin face mask, i need it
1254528480139608000,Sun Apr 26 21:51:12 +0000 2020,🎶and i said haaaay yaaa yaa ya ya haaaay yaa ya i said HEY seriously what the fuck is going on🎶
1254088921006215200,Sat Apr 25 16:44:33 +0000 2020,this Dystopia draft just feels messy. a global pandemic AND people are drinking bleach and NOW tom hanks will save… https://t.co/OBVipo5vPa
1253358254224097300,Thu Apr 23 16:21:08 +0000 2020,@FoodNetwork go for it 👩‍🍳✨
1253162119878467600,Thu Apr 23 03:21:46 +0000 2020,@KrystieLYandoli i had to let it age for two months 💜
1252693723915284500,Tue Apr 21 20:20:32 +0000 2020,@soalexgoes this is the only good tweet
1252634007864397800,Tue Apr 21 16:23:14 +0000 2020,everyone's Quarantine Madness is different. right now my main symptom is getting really mad for no reason every sin… https://t.co/qd04XMFQx1
1252412559979765800,Tue Apr 21 01:43:17 +0000 2020,tried to put on my jeans, extremely rude of them to aggressively not fit, will be contacting management
1252054449729572900,Mon Apr 20 02:00:17 +0000 2020,https://t.co/ctx35jq2g9
1252054247111184400,Mon Apr 20 01:59:29 +0000 2020,we need a name for this new human interaction when you see someone walking toward you on the sidewalk and you both… https://t.co/Ygv4COXuGR
1251694578916188200,Sun Apr 19 02:10:17 +0000 2020,extreme respect for every person who has the mental fortitude to still be cooking meals instead of just eating cook… https://t.co/uOFY2GyU5w
1250999092924170200,Fri Apr 17 04:06:40 +0000 2020,me: ok bedtime  my insomnia, my anxiety, my depression, a mental montage of traumatic childhood memories: https://t.co/xcTMn8N6gj
1250946423715061800,Fri Apr 17 00:37:23 +0000 2020,me               emily dickinson            🤝    you will absolutely  never convince me   to leave my house
