id,created_at,text
1259958091044585500,Mon May 11 21:26:32 +0000 2020,RT @DeepakChopra: Join me and @realjaywilliams tomorrow @ 10am PT / 1pm ET on Instagram Live. Follow chopra or ESPN on Instagram to join th…
1259677703017582600,Mon May 11 02:52:22 +0000 2020,If you’re from the Pacific Northwest you love the Sonics  - bring them back
1259677360888189000,Mon May 11 02:51:01 +0000 2020,The Glove and Reign Man - that Sonics team was 🔥🔥🔥
1259671594500268000,Mon May 11 02:28:06 +0000 2020,RT @KingJames: Man Ain’t nothing like Madison Square Garden! 🏟
1259670816981241900,Mon May 11 02:25:00 +0000 2020,“The Double Nickel Game” #TheLastDance
1259670210824585200,Mon May 11 02:22:36 +0000 2020,45 👀👀👀
1259669022209163300,Mon May 11 02:17:53 +0000 2020,94-95. @ Chicago, Illinois https://t.co/DCGKb2DaLm
1259659192425734100,Mon May 11 01:38:49 +0000 2020,MJ’s idea of pressing the reset button — just relentlessly pursue being the best at another major sport.
1259657116001894400,Mon May 11 01:30:34 +0000 2020,“Error Jordan” is a hell of a headline
1259656333009268700,Mon May 11 01:27:27 +0000 2020,MJ continued to get paid his full NBA salary while playing AA baseball...only Mike.
1259201137632260000,Sat May 09 19:18:40 +0000 2020,RT @NBAonTNT: “That sense of community and knowing that it’s bigger than you.”  @kevinlove shares why he’s been an advocate for mental heal…
1258777101374759000,Fri May 08 15:13:42 +0000 2020,Now, more than ever before, be kind to your mind. In partnership with @get_headspace, the kevinlovefund is offering… https://t.co/nbi7kvew1o
1258776370328383500,Fri May 08 15:10:48 +0000 2020,Now, more than ever before, be kind to your mind. In partnership with @get_headspace, the kevinlovefund is offering… https://t.co/fPO2OTFC8w
1258389982881996800,Thu May 07 13:35:26 +0000 2020,RT @USATODAY: "The unknown is really what scares us," Kevin Love told @usatodaysports. "So for me, it's keeping my mind occupied." https://…
1257720949434179600,Tue May 05 17:16:56 +0000 2020,RT @SInow: “Having a self-care routine is at the top of my list, [for] eliminating stress and anxiety."   @KevinLove gives @jdlisanti a gli…
1257674256445354000,Tue May 05 14:11:23 +0000 2020,Cinco de Mayo Energy. 🌮🌮🌮 https://t.co/ekhM43zhDw
1257671838672576500,Tue May 05 14:01:47 +0000 2020,RT @ChildMindInst: .@kevinlove shares what he is doing to take care of his mental health during Covid-19.  Head to https://t.co/MVOa3vYM75…
1257664528017490000,Tue May 05 13:32:44 +0000 2020,RT @kevinlovefund: “As people, we are scared of the unknown, just like kids are afraid of the dark. Have the courage to find out what you d…
1257472068116979700,Tue May 05 00:47:58 +0000 2020,RT @kevinlovefund: Tune in to Let's Be Real with Sammy Jaye, where @KevinLove talks about his mental health journey, his basketball career,…
1257319749010124800,Mon May 04 14:42:42 +0000 2020,🐐+🐐 — woke up watching highlights https://t.co/tqiogd9fNK
1257313672377983000,Mon May 04 14:18:33 +0000 2020,🐐+🐐 https://t.co/Coo0GBhRRI
1257138521070088200,Mon May 04 02:42:34 +0000 2020,😎😎😎
1257129245798695000,Mon May 04 02:05:43 +0000 2020,Loved MJ lacing his sneakers to end the ep 5. Don’t know why but it was satisfying 😂🤔
1257125338355728400,Mon May 04 01:50:11 +0000 2020,RT @DeMar_DeRozan: Sports will be appreciated at a all time high after this &amp; played at a even higher level!
1257120895514050600,Mon May 04 01:32:32 +0000 2020,“Michael Jordan was the alpha, alpha. Period.”
1257113693785120800,Mon May 04 01:03:55 +0000 2020,Haha that commentary on Kobe was priceless!!! 33,643 points later...
1257113025137516500,Mon May 04 01:01:15 +0000 2020,98 ASG 🔥🔥🔥
1256957495177875500,Sun May 03 14:43:14 +0000 2020,Toni Kukoč gonna get some love tonight!!?? #TheLastDance
1255512867031441400,Wed Apr 29 15:02:48 +0000 2020,Big Ticket. Again reminiscing on the HOF class of 2020. Growing up watching KG, I learned a lot from him and that e… https://t.co/Y7Qt8dbjLy
1255233095810330600,Tue Apr 28 20:31:05 +0000 2020,It’s really an amazing thing to read the messages, however brief, of those you and others in the community have hel… https://t.co/2CiAJ2iz3v
1255139391552422000,Tue Apr 28 14:18:44 +0000 2020,Top 5 📸 from the Bulls run??? — Had this one growing up. Iconic. 😤😤😤 https://t.co/AkM0UyZJ92
1254794392621252600,Mon Apr 27 15:27:50 +0000 2020,Could or would 😬
1254794284315918300,Mon Apr 27 15:27:24 +0000 2020,With the pace of today’s NBA — could Rodman average over +20 rebounds a game? In the 91-92 &amp; 92-93 seasons he averaged over 18rebs a game...
1254784821919748000,Mon Apr 27 14:49:48 +0000 2020,What was your favorite part from Ep. 3&amp;4? #TheLastDance
1254778884651749400,Mon Apr 27 14:26:13 +0000 2020,No Saddle. https://t.co/dTPZw9yQ0D
1254594275196747800,Mon Apr 27 02:12:39 +0000 2020,My dad had the ball stripped by Phil right there
1254591421140648000,Mon Apr 27 02:01:18 +0000 2020,The start to episode 4 😬
1254582578587336700,Mon Apr 27 01:26:10 +0000 2020,That @cavs team was TALENTED
1254582102781280300,Mon Apr 27 01:24:16 +0000 2020,Larry Nance Sr. sighting @Larrydn22
1254579838695989200,Mon Apr 27 01:15:17 +0000 2020,12 years in and I never have thrown a leg kick on a rebound like Dennis
1254578552139325400,Mon Apr 27 01:10:10 +0000 2020,A locked in Dennis Rodman is a scary sight. 🐂🐂🐂
1254576490487992300,Mon Apr 27 01:01:58 +0000 2020,The Worm. #TheLastDance
1254508731594879000,Sun Apr 26 20:32:43 +0000 2020,Better late than never 🤷🏻‍♂️ —  I accept the #ALLINCHALLENGE. Watch the video below &amp; go to the link in bio to get… https://t.co/PTuGQhUf0p
1254443641822740500,Sun Apr 26 16:14:05 +0000 2020,Episode 3&amp;4 tonight 🍿🍿🍿
1254121224667627500,Sat Apr 25 18:52:55 +0000 2020,Just reflecting on the 2020 HOF class and missing the game. Tim Duncan — Best Power Forward Ever.  Being in the Wes… https://t.co/zVqAu9nptp
1254069104434122800,Sat Apr 25 15:25:48 +0000 2020,Channing still a 74... https://t.co/FA9HyTkOTp
1254061198812856300,Sat Apr 25 14:54:23 +0000 2020,RT @CleClinicNews: Cleveland Clinic caregivers received a surprise “thank you” FaceTime from @cavs player @KevinLove! The @kevinlovefund do…
1253810909916491800,Fri Apr 24 22:19:50 +0000 2020,We're doing another round of meal drop offs through #ProjectFRONTLINE today to support our amazing healthcare worke… https://t.co/f6p9sORzJ8
1253374176821416000,Thu Apr 23 17:24:24 +0000 2020,Great conversation with @PoppyHarlowCNN for the #BossFiles podcast - talking about the pandemic that very few are t… https://t.co/sdLu136MOU
1253078388266266600,Wed Apr 22 21:49:03 +0000 2020,Taking time to appreciate corners of the 🌎 we were fortunate enough to visit this past year — The earth is somethin… https://t.co/foNB1WkDEg
1252058045238083600,Mon Apr 20 02:14:34 +0000 2020,Who else had Scottie’s shoes growing up???
1250941066834063400,Fri Apr 17 00:16:06 +0000 2020,Young Kev. 🌲 @ Portland, Oregon https://t.co/64YxixvUTk
1249797260810084400,Mon Apr 13 20:31:01 +0000 2020,Man, prayers to KAT and his family. Sitting here trying to find the words to say...just so sad. 🙏🏻🙏🏻🙏🏻
1249751547581550600,Mon Apr 13 17:29:22 +0000 2020,RT @GQMagazine: For the May issue of GQ, we asked friends of GQ to get dressed up—even while we all stay home. #BigFitsFromHome https://t.c…
1249745068245819400,Mon Apr 13 17:03:38 +0000 2020,All dressed up with nowhere to go. @GQMagazine asked friends and family to pull a fit off —even while staying at ho… https://t.co/29hCxlPICb
1248317799958749200,Thu Apr 09 18:32:10 +0000 2020,RT @mindbodygreen: On today's #mbgPodcasat: NBA all-star @kevinlove on his playbook for conquering panic attacks + changing the stigma arou…
1248315267438063600,Thu Apr 09 18:22:06 +0000 2020,Great pregame moment. Stay safe and healthy Ryan &amp; Madelyn. https://t.co/NeanBSeR9f
1248292526932574200,Thu Apr 09 16:51:45 +0000 2020,RT @TheDailyShow: Cleveland Cavaliers player @KevinLove discusses his efforts to keep arena workers paid during the canceled NBA season and…
1247553929925312500,Tue Apr 07 15:56:49 +0000 2020,RT @PlayersTribune: “The unknown is the biggest stressor, right? That’s where the anxiety comes from. It’s real.”  @cavs' @kevinlove on how…
1247215899943276500,Mon Apr 06 17:33:37 +0000 2020,I want to say THANK YOU to all of the frontline workers, healthcare heroes and first responders out there, working… https://t.co/N9V1WOWLa8
1246820882682728400,Sun Apr 05 15:23:57 +0000 2020,Sunday morning therapy. 🙏🏻🙏🏻🙏🏻 @ Cleveland, Ohio https://t.co/LKsNYWHd4F
1245729207621243000,Thu Apr 02 15:06:02 +0000 2020,Bring back the 1963 Paul Newman??? 🧔🏻 @ Venice, Italy https://t.co/oZ8TIhNQjf
1245364925804867600,Wed Apr 01 14:58:30 +0000 2020,3 weeks in — 🤷🏻‍♂️🤷🏻‍♂️🤷🏻‍♂️ @ Cleveland, Ohio https://t.co/UbBT3AY8aL
1245351354182307800,Wed Apr 01 14:04:35 +0000 2020,RT @CBSThisMorning: Cleveland @Cavs' @KevinLove is drawing new attention to mental health, a problem for many Americans amid the #coronavir…
1245351294354808800,Wed Apr 01 14:04:20 +0000 2020,RT @TheDailyShow: Trevor talks with NBA superstar @KevinLove about life with no basketball and how he kicked off a movement to help arena w…
1244067507897618400,Sun Mar 29 01:03:02 +0000 2020,Isolation Saturdays at the 🏡 @ Cleveland, Ohio https://t.co/Z58V1fPD6H
1242906021246484500,Wed Mar 25 20:07:42 +0000 2020,RT @mariashriver: Today, on my Instagram chat series, #HomeTogether, @kevinlove is joining me to chat about how he is helping in his commun…
1242605641526579200,Wed Mar 25 00:14:06 +0000 2020,This will go over well in the Love household 🍷🍷🍷 https://t.co/wCbSnQqxnu
1242534985975967700,Tue Mar 24 19:33:20 +0000 2020,@Rachel__Nichols thank you for having me yesterday 🙏🏻🙏🏻🙏🏻  https://t.co/fAgwSV2fm2
1242115766209654800,Mon Mar 23 15:47:30 +0000 2020,Snuck in and interrupted leg day. She gets a pass ➡️ ➡️➡️ #nationalpuppyday 🏋🏻‍♀️🐕 @ Cleveland, Ohio https://t.co/IT5nJdbyZy
1241399663569191000,Sat Mar 21 16:21:58 +0000 2020,Where I’m at with my morning routine. 📼📼📼 @ Cleveland, Ohio https://t.co/k84FAAhm2B
1241387289235816400,Sat Mar 21 15:32:48 +0000 2020,RT @Nike: Now more than ever, we are one team. #playinside #playfortheworld https://t.co/LRLhL4FwkG
1241376502912028700,Sat Mar 21 14:49:56 +0000 2020,🤘🏻🤘🏻🤘🏻 https://t.co/FstU5m5zgN
1240677633676976000,Thu Mar 19 16:32:53 +0000 2020,RT @UCLA: Staying connected is one of the best ways to manage stress and anxiety during this time.   @UCLACollege psychology professor Mich…
1240244766346039300,Wed Mar 18 11:52:49 +0000 2020,RT @TODAYshow: "Social distancing doesn't mean social or self-isolation." @kevinlove emphasizes the importance of virtually reaching out to…
1240109629868257300,Wed Mar 18 02:55:50 +0000 2020,🙏🏻🙏🏻🙏🏻 https://t.co/iKjptYZtbq
1239684626253217800,Mon Mar 16 22:47:01 +0000 2020,@Larrydn22 They can’t be serious. Idiotic and irresponsible.
1239593479560364000,Mon Mar 16 16:44:50 +0000 2020,💀💀💀 https://t.co/Nf53x7He2w
1239567540109615000,Mon Mar 16 15:01:46 +0000 2020,A true therapy dog is one that doesn’t understand social distancing from its human. 😭😭😭 @ Cleveland, Ohio https://t.co/ONx4SWbva2
1239295245394870300,Sun Mar 15 20:59:46 +0000 2020,😂😂😂 https://t.co/vyvGP8Pbdn
1239295174041374700,Sun Mar 15 20:59:29 +0000 2020,🙏🏻🙏🏻🙏🏻 https://t.co/LbmWE61o1F
1239280453678444500,Sun Mar 15 20:00:59 +0000 2020,RT @BarackObama: Watch this. It shows why we should all do the right thing and stay home to the fullest extent possible. All of us can help…
1238869430404354000,Sat Mar 14 16:47:43 +0000 2020,Continued Community 👆🏻👆🏻👆🏻 @ United States of America https://t.co/gg0DQ6zQVZ
1238835209598009300,Sat Mar 14 14:31:45 +0000 2020,Community 💪🏻💪🏻💪🏻 https://t.co/yL22V6y4ZZ
1238669876023230500,Sat Mar 14 03:34:46 +0000 2020,More and more teams and players are shining a bright light on this tough situation. Keep them coming.
1238648593415839700,Sat Mar 14 02:10:12 +0000 2020,Tip of the hat to the Mavs and Hawks too!! These teams  are making big plays for our NBA community. 🙏🏻🙏🏻
1238647112373538800,Sat Mar 14 02:04:19 +0000 2020,Well done GSW 🙏🏻🙏🏻🙏🏻 https://t.co/Sx1yhWohVV
1238590723353649200,Fri Mar 13 22:20:15 +0000 2020,RT @UCLA: Kindness begets kindness. Thank you, @kevinlove.
1238588059387650000,Fri Mar 13 22:09:39 +0000 2020,💪🏻💪🏻💪🏻🙏🏻🙏🏻🙏🏻 https://t.co/UpINWm7JkE
1238584542367277000,Fri Mar 13 21:55:41 +0000 2020,Zion stepping up!!! Beast. https://t.co/UQaLtm4Dca
1238579780624060400,Fri Mar 13 21:36:46 +0000 2020,First off, thank you Dan Gilbert for stepping up and compensating all of the rocketmortgagefieldhouse hourly and ev… https://t.co/pGDXMmQ3aE
1238561065207836700,Fri Mar 13 20:22:23 +0000 2020,Well Done BG. Big time. https://t.co/YIIVsaXLLV
1238539605454061600,Fri Mar 13 18:57:07 +0000 2020,Love This!!! Take care of the people who take care of you!!! https://t.co/iV89gE4yVI
1238217217293992000,Thu Mar 12 21:36:04 +0000 2020,Everyone reacts differently to stressful situations. And the fear and anxiety resulting from the recent outbreak of… https://t.co/yNxKAzahmY
1237740463333036000,Wed Mar 11 14:01:37 +0000 2020,Put that one behind us — On to the next. ➡️➡️➡️ @ Chicago, Illinois https://t.co/9S72LYg7GO
1237049149570220000,Mon Mar 09 16:14:35 +0000 2020,Spring Cleaning 📦📦📦 @ Rocket Mortgage FieldHouse https://t.co/4AtjaF4lze
1236863223665537000,Mon Mar 09 03:55:46 +0000 2020,@matthewdelly our celebration package improved tonight!!!  Good Win. 💪🏻💪🏻💪🏻 @ Cleveland, Ohio https://t.co/S9lgc78ZaO
1236504038025429000,Sun Mar 08 04:08:30 +0000 2020,Career high 14 assists for Delly and a BIG 3 ball down the stretch. 💪🏻💪🏻💪🏻🇦🇺🇦🇺🇦🇺 @ Cleveland, Ohio https://t.co/Pv1qmiCres
1235960931701723100,Fri Mar 06 16:10:23 +0000 2020,Calm. 🧘🏻‍♂️🧘🏻‍♂️🧘🏻‍♂️ @ Cleveland, Ohio https://t.co/xxEQz6X4js
1235609602688979000,Thu Mar 05 16:54:20 +0000 2020,Under-appreciated — a walking bucket.   In my 12 years, he’s right at the top for hardest worker I’ve seen/been aro… https://t.co/BZobypd7lL
1235604875678867500,Thu Mar 05 16:35:33 +0000 2020,Cozy Layers. 🧊🧊🧊 @ Rocket Mortgage FieldHouse https://t.co/eIJ9oVpqPY
1235399147018244000,Thu Mar 05 02:58:03 +0000 2020,Young Bull with his first 40-BALL — 😤😤🐂🐂 @ Rocket Mortgage FieldHouse https://t.co/ubl1HxTjWE
1234698126268805000,Tue Mar 03 04:32:27 +0000 2020,Sweater Weather — 🐻🛹 @ Rocket Mortgage FieldHouse https://t.co/npCMePNugo
1234674296359805000,Tue Mar 03 02:57:46 +0000 2020,So much bigger than basketball with jordanclarksons — My family forever!!! 0️⃣0️⃣ &amp; 0️⃣ @ Rocket Mortgage FieldHouse https://t.co/zquEj7HscI
1234516821799297000,Mon Mar 02 16:32:01 +0000 2020,Game Day — 💪🏻💪🏻💪🏻 @ Cleveland, Ohio https://t.co/nG7nhmcezn
1234136744695648300,Sun Mar 01 15:21:43 +0000 2020,My way-too-early wake up call this morning...I can’t even be mad. 😴😴😴 @ Cleveland, Ohio https://t.co/D6jMG5BGml
1233049724690845700,Thu Feb 27 15:22:17 +0000 2020,Another big game from Young 🐂. @ Cleveland, Ohio https://t.co/ZkNA8s2Gwh
1232889650211106800,Thu Feb 27 04:46:13 +0000 2020,My ✂️ beat @Larrydn22 🗒 — go get your a** on the free throw line. 😂😂😂 @ Cleveland, Ohio https://t.co/AcVh7EPXuK
1232146934078550000,Tue Feb 25 03:34:55 +0000 2020,😤😤😤 @ Rocket Mortgage FieldHouse https://t.co/YzZCL3XpFt
1232018030525403100,Mon Feb 24 19:02:42 +0000 2020,RT @Nike: Mamba Forever.  (sound on) https://t.co/B2LUIcpRCc
1231648354616127500,Sun Feb 23 18:33:45 +0000 2020,Fundamentals — 📕📕📕 @ Miami, Florida https://t.co/37Tt6tSUxT
1231315640201379800,Sat Feb 22 20:31:40 +0000 2020,RT @rickyrubio9: ... “Mental illness touches everybody. Every community, every person. Either you or somebody you love is going to be touch…
1231310447544086500,Sat Feb 22 20:11:01 +0000 2020,RT @DeMar_DeRozan: Upmost respect to Ben Gordon! Must read https://t.co/P1D0J0JDHh
1231252513619431400,Sat Feb 22 16:20:49 +0000 2020,Back to Work. 👨🏻‍🔧👨🏻‍🔧👨🏻‍🔧 @ Washington D.C. https://t.co/EQBpDSoS0G
1230878795395162000,Fri Feb 21 15:35:48 +0000 2020,“I had a moment. I got help for that moment. I got to know myself from that moment. And I’m still working through s… https://t.co/jvTKdg1J7s
1230878035882184700,Fri Feb 21 15:32:47 +0000 2020,“Mental illness touches everybody. Every community, every person. Either you or somebody you love is going to be to… https://t.co/HDM828yxno
1230590392313241600,Thu Feb 20 20:29:47 +0000 2020,Non-Stop  — ✈️✈️✈️ @ Cleveland Hopkins International Airport (CLE) https://t.co/21DzomDXOl
1230293646727110700,Thu Feb 20 00:50:37 +0000 2020,RT @kevinlovefund: From this past weekend -- President @BarackObama was joined by @KevinLove, @CP3, and @Giannis_An34 for a powerful conver…
1230292968818565000,Thu Feb 20 00:47:56 +0000 2020,RT @SLAMonline: He deserves to be in the Hall of Fame.  (via @NBA)  https://t.co/owlY8QP0Bu
1229918929096728600,Wed Feb 19 00:01:38 +0000 2020,RT @ObamaFoundation: .@CP3, @kevinlove, and @Giannis_An34 recognize that making lasting change starts by investing in our communities. Don’…
1229889168102297600,Tue Feb 18 22:03:22 +0000 2020,It was incredible to join President @barackobama in Chicago, alongside @cp3 and giannis_an34, for a powerful conver… https://t.co/Nu9qi6Tsd6
1229440958271385600,Mon Feb 17 16:22:21 +0000 2020,Monday. 🥱🥱🥱 @ Snooze https://t.co/wQZFRCnCT8
1228843925466763300,Sun Feb 16 00:49:57 +0000 2020,RT @ObamaFoundation: “Somebody you guys know is dealing with something you can’t see.”   While onstage with @BarackObama in Chicago, @kevin…
1228538079989969000,Sat Feb 15 04:34:38 +0000 2020,RT @CoachLindsayG: Young Bull 🌟🌟🌟
1228371289305419800,Fri Feb 14 17:31:52 +0000 2020,My Valentine — Fierce, Strong and BAD ASS — LOVE this photo — @katebock has made it a habit of shooting in remote p… https://t.co/haM9L3Q3XG
1228012694202089500,Thu Feb 13 17:46:56 +0000 2020,“Got Treats?” - Cheat Meal 🍽🍽🍽 @ Sadelle’s https://t.co/kiHu5HRgqW
1227820598623162400,Thu Feb 13 05:03:37 +0000 2020,My energy going into the All-Star break...👌🏻👌🏻👌🏻/ 👌🏻👌🏻👌🏻 @realtristan13 @ Cleveland, Ohio https://t.co/pKCNRHInfP
1227304056043065300,Tue Feb 11 18:51:03 +0000 2020,No Love. 0️⃣💔😭 @ Sad Man https://t.co/DUVe3FsWgh
1227026429793230800,Tue Feb 11 00:27:52 +0000 2020,This was sent to me earlier today. Easily one of the most meaningful shots I’ve been a part of in my career — Long… https://t.co/tJIasZRdRs
1226925621995090000,Mon Feb 10 17:47:18 +0000 2020,Happy to see extended family having continued success. Ty Lue Forever—🏆 @ Quickens Loans Arena https://t.co/HLOJe7ztET
1226878181409468400,Mon Feb 10 14:38:47 +0000 2020,Take 2. Let Vestry know her ears are too damn big — she wasn’t having it... 🤬🤬🤬🤬 @ Cleveland, Ohio https://t.co/6fw9mEV94A
1226556100985573400,Sun Feb 09 17:18:57 +0000 2020,Was making fun of her ears — she wasn’t having it. 🤬🤬🤬 @ Cleveland, Oh https://t.co/t4WHqAtL7a
1225521750601011200,Thu Feb 06 20:48:49 +0000 2020,😂😂😂 👇🏻👇🏻👇🏻 https://t.co/MlI6KTf8K8
1225196623631962000,Wed Feb 05 23:16:52 +0000 2020,Today is the 34th National Girls and Women in Sports Day — among being a bad ass coach, coachlindsayg laughs at my… https://t.co/5zGAgALXxa
1224698466854752300,Tue Feb 04 14:17:22 +0000 2020,Fade. 👨🏻‍🔧👨🏻‍🔧👨🏻‍🔧 @ Cleveland, Ohio https://t.co/8X5hgBSovY
1224376542282887200,Mon Feb 03 16:58:10 +0000 2020,Not gonna lie that Google ad still has me 😢😢😢
1224167646268207000,Mon Feb 03 03:08:05 +0000 2020,RT @Larrydn22: Travis Kelce 🐐
1223451311091396600,Sat Feb 01 03:41:37 +0000 2020,24.2 🙏🏻
1223451096032653300,Sat Feb 01 03:40:46 +0000 2020,That Kobe tribute was brilliant 🐍
1223276120709181400,Fri Jan 31 16:05:29 +0000 2020,So much love and respect for you DJ. You’re going to come back stronger than ever. 💪🏻🙏🏻  Don’t hesitate to reach ou… https://t.co/UPVu1qLCJL
1223008233314508800,Thu Jan 30 22:20:59 +0000 2020,My friend @ronniefieg is in the Olive Oil business.   “I refused to be a fool dancing on a string held by all of th… https://t.co/zAf7aUVskn
1222945338018807800,Thu Jan 30 18:11:04 +0000 2020,Happy Birthday to my 👸🏼 @katebock!!! One of my favorite photos—(I’m really getting better with this camera 📸📸📸). No… https://t.co/9hY8EBraK0
1222728184216486000,Thu Jan 30 03:48:10 +0000 2020,Soft Post ⚠️: 10:42pm EST “Therapy Dog”. 🤷🏻‍♂️🤷🏻‍♂️🤷🏻‍♂️ @ Cleveland, Ohio https://t.co/wudAuwVQiF
1222560852399751200,Wed Jan 29 16:43:15 +0000 2020,Please support #TheKoalaComeBackFund by going to @David_Yarrow instagram profile and clicking the link in his bio t… https://t.co/SLk794JgEj
1222283947956150300,Tue Jan 28 22:22:56 +0000 2020,🙏🏻 @ Rocket Mortgage FieldHouse https://t.co/xzpxmfg3tm
1222008998620287000,Tue Jan 28 04:10:23 +0000 2020,Pt. 2 — 8️⃣ x 2️⃣4️⃣ — Brotherhood  #MambaForever @ Detroit, Michigan https://t.co/Q3F65V5eVS
1221984883003793400,Tue Jan 28 02:34:34 +0000 2020,8️⃣ x 2️⃣4️⃣ @ Detroit, Michigan https://t.co/jsrK5nzvce
1221570522150031400,Sun Jan 26 23:08:02 +0000 2020,RT @Nike: Mamba Forever. https://t.co/wIchSUwFM2
1221517381182333000,Sun Jan 26 19:36:53 +0000 2020,Please no. Please god no. It can’t be true.
1221331363242160000,Sun Jan 26 07:17:42 +0000 2020,😂😂😂 https://t.co/jqSg8vrSqD
1221312180487905300,Sun Jan 26 06:01:29 +0000 2020,Sleepy Saturday Nights 💤💤💤 @ Cleveland, Ohio https://t.co/U6Db98xZyM
1221120210184417300,Sat Jan 25 17:18:40 +0000 2020,RT @kevinlovefund: Unsure how to talk about mental health w/ your friends, parents, teachers, or co-workers? @BC2M created a Talk Tool, whi…
1221116389903282200,Sat Jan 25 17:03:29 +0000 2020,Road Work. 🛠🛠🛠 https://t.co/fSKQJ7cB4M
1220544656586481700,Fri Jan 24 03:11:37 +0000 2020,RT @dg_riff: Hey y’all! You’re going to want to follow BossLady and tune into her podcast. Meredith, my wife, (aka @decantU9) and her co-ho…
1220475172915945500,Thu Jan 23 22:35:31 +0000 2020,Collegiate. 🐻 @ Rocket Mortgage FieldHouse https://t.co/eLIgSOXlXH
1219295125588738000,Mon Jan 20 16:26:26 +0000 2020,👑. @ Martin Luther King Dr https://t.co/Hbv9TqbSCv
1217583475861180400,Wed Jan 15 23:04:56 +0000 2020,Suited with Teddy Ballgame — 💼💼💼 @ Staples Center https://t.co/pViVRTsMMY
1217503030079131600,Wed Jan 15 17:45:17 +0000 2020,More moments like THIS @Gunnar!!! — Team Peterson is Strong —💪🏻💪🏻💪🏻 @ Los Angeles https://t.co/KKkk0H47Y9
1217255491077836800,Wed Jan 15 01:21:39 +0000 2020,Vintage 🍷🍷🍷  First time playing against my brother  @kingjames in 6 years...crazy how time flies — yet keeps gettin… https://t.co/O7rr03k7ez
