id,created_at,text
1258628532172992500,Fri May 08 05:23:20 +0000 2020,RT @joshscampbell: BREAKING: The Georgia Bureau of Investigation has arrested Gregory McMichael and Travis McMichael for the death of Ahmau…
1258463921347932200,Thu May 07 18:29:14 +0000 2020,@mikeyoung44 We have had that! But I’ve been dying to overpay for a glass of rose on a patio!
1258462077187915800,Thu May 07 18:21:54 +0000 2020,BREAKING: Ohio restaurants to open outdoor patios on May 15, inside service on May 21
1258458812723363800,Thu May 07 18:08:56 +0000 2020,@JustinOSievers Oh please, Bernie would encourage the government to fund - I’m encouraging private companies to make charitable donations 😂
1258450872624955400,Thu May 07 17:37:23 +0000 2020,I keep trying to remind everyone that many families in our rural communities do not have WiFi access at home. Many… https://t.co/sPs5lGqsCd
1258232964619669500,Thu May 07 03:11:30 +0000 2020,RT @RagersOatmeal: Kanye West as otters; a thread https://t.co/0MsW2ptd1F
1258178002917228500,Wed May 06 23:33:06 +0000 2020,Hello 911, I’d like to report a murder https://t.co/E3a9Z5kc8C
1257706165007515600,Tue May 05 16:18:11 +0000 2020,RT @debunkinc: Looks like Michael Moore's 'Planet of the Humans' has ruffled some feathers.   This article attempts to discredit the film,…
1257092643621941200,Sun May 03 23:40:16 +0000 2020,@DakotaMoyer02 THANK YOU SO MUCH!!!! Love you endlessly 😭🤍
1256986907906584600,Sun May 03 16:40:07 +0000 2020,RT @BrennaSpencer: Gonna tell my kids this was me and @kpconservative https://t.co/5Klif2OzQA
1256951653976203300,Sun May 03 14:20:01 +0000 2020,@CalliNorton THANK YOU SWEETIE 🤍🤍🤍🤍 ILY!!!!!!!
1256951592743506000,Sun May 03 14:19:47 +0000 2020,RT @CalliNorton: @kpconservative HAPPY BIRTHDAY PRETTY GIRL! I LOVE YOU!!!!   HOPE YOU HAVE THE BEST DAY 🤍🥳
1256821248333660200,Sun May 03 05:41:50 +0000 2020,@BrennaSpencer HAHAHA so accurate
1256812647158292500,Sun May 03 05:07:40 +0000 2020,@BrennaSpencer Literally would die without you chicken!!!!!! Love you so, so much
1256812531999531000,Sun May 03 05:07:12 +0000 2020,RT @BrennaSpencer: HAPPY BIRTHDAY BESTIE @kpconservative  One of my fav humans, my love. Miss you so much. Id die without you. Love you so…
1256410316092686300,Sat May 02 02:28:56 +0000 2020,@a___millz What if one is allergic to shellfish?
1256410224363286500,Sat May 02 02:28:35 +0000 2020,RT @a___millz: Imagine if Jekyll and Hyde was set in 2020... iPhone face recognition would never work. Would you sign a lease for one or tw…
1256410160739876900,Sat May 02 02:28:19 +0000 2020,What if Jekyll liked almond milk but Hyde liked oat milk?
1255901841273041000,Thu Apr 30 16:48:27 +0000 2020,Omg you all are DEPRESSING
1255897685778931700,Thu Apr 30 16:31:56 +0000 2020,What are some of the ways you all have inserted fun and adventure into your shelter-in-place/stay-at-home orders?
1255191759748989000,Tue Apr 28 17:46:50 +0000 2020,@BarryDingUSA Yes but we also didn’t see WWIII happening   Or coronavirus happening   Or worldwide social distancin… https://t.co/Kt59cDFq9F
1255190913300783000,Tue Apr 28 17:43:28 +0000 2020,@HillaryClinton @JoeBiden With the kind of chaotic energy 2020 is showing, what if Biden names Hilary as his VP
1254159005812961300,Sat Apr 25 21:23:02 +0000 2020,@CHEEKIESUNG @jordylancaster sirry I don’t make the rules
1253669844555387000,Fri Apr 24 12:59:17 +0000 2020,RT @JJWatt: Do you know how long my mom woulda had us cleaning the house if there were going to be national TV cameras in our living room f…
1253324885905903600,Thu Apr 23 14:08:33 +0000 2020,I am completely unable to comprehend how anyone could be discussing eliminating petroleum right now.   The medical… https://t.co/HBuuMdmfWe
1253039480493215700,Wed Apr 22 19:14:27 +0000 2020,@SHIRLEYtemple__ @ashleyamm @bader_amanda @mackenzhaddix @DevonMirsky @MorganZegers @DaniSButcher @NikkiHaley… https://t.co/Au2wMxieY6
1253034232005439500,Wed Apr 22 18:53:35 +0000 2020,RT @SHIRLEYtemple__: I’m such a bandwagoner 😂🇺🇸 The coolest “conservatish” friends/ladies/politicos in the game: @ashleyamm @bader_amanda @…
1253012113418838000,Wed Apr 22 17:25:42 +0000 2020,It’s the 50th anniversary of #EarthDay and I am so proud to work for an industry that is driving environmental gain… https://t.co/VcFoY3rsgx
1252997692457975800,Wed Apr 22 16:28:24 +0000 2020,RT @OOGEEP: We're kicking off our #EarthDay discussion to explore the ways Ohio-produced #natgas is driving environmental gains. Stay tuned…
1252572297786949600,Tue Apr 21 12:18:02 +0000 2020,@peterjhasson SHOOK https://t.co/2XZXZSIgeC
1251621935324246000,Sat Apr 18 21:21:38 +0000 2020,RT @cvpayne: This is very dustrubing.
1250856796224454700,Thu Apr 16 18:41:14 +0000 2020,RT @_grendan: When this is over I’m going to a 24 hour diner for 24 hours
1250570402079875000,Wed Apr 15 23:43:12 +0000 2020,Bone apple tea! @HelloFresh https://t.co/36JtchnNdN
1250570151273083000,Wed Apr 15 23:42:13 +0000 2020,It’s two servings, so I need to get the proper dishware https://t.co/uJDSjfnHU4
1250568414218911700,Wed Apr 15 23:35:19 +0000 2020,Moment of truth! @HelloFresh https://t.co/AnnfRJOjWw
1250558451090165800,Wed Apr 15 22:55:43 +0000 2020,Prepped my potato! @HelloFresh https://t.co/LT8PnxYtjV
1250557766923583500,Wed Apr 15 22:53:00 +0000 2020,Got my first @HelloFresh box aaaaand something isn’t adding up.... https://t.co/nU8vhLT727
1250552696924487700,Wed Apr 15 22:32:51 +0000 2020,RT @OOGEEP: Thank you to the hospital workers, doctors and nurses at @mymhsystem. We hope you enjoy lunch on us from the Busy Bee Restauran…
1249395243490910200,Sun Apr 12 17:53:33 +0000 2020,Did you travel to see family today? Or did you #StayHome?
1249370480315859000,Sun Apr 12 16:15:09 +0000 2020,Easter Sunday Service looks different today, but God is still good!  We get to celebrate a RISEN King - not a faile… https://t.co/0g5GPw3VOd
1249086379700748300,Sat Apr 11 21:26:14 +0000 2020,RT @SteveScalise: Let’s get this straight: As millions of Americans lose their jobs and businesses, Senate Democrats are blocking critical…
1249054693625643000,Sat Apr 11 19:20:19 +0000 2020,One of my really good friends owns her own bakery and she made this amazing mini cake for me for Easter - can you s… https://t.co/nDnTWjRoKX
1249053981785100300,Sat Apr 11 19:17:30 +0000 2020,@a___millz Such a good point
1249026428806496300,Sat Apr 11 17:28:01 +0000 2020,RT @kpconservative: Leave the house? In this economy?
1249011569859670000,Sat Apr 11 16:28:58 +0000 2020,@weciv01 @Myah1997 Too late
1248979922540003300,Sat Apr 11 14:23:13 +0000 2020,@OutOfKenTroll We picked a *phenomenal* time to be childless
1248975937586241500,Sat Apr 11 14:07:23 +0000 2020,@CalliNorton AN A+ IN THE HISTORY OF POLKA DOTS?! WHAT like it’s HARD
1248975641799778300,Sat Apr 11 14:06:12 +0000 2020,Elle Woods did NOT completely demolish blonde stereotypes in the workplace for me to sign my work emails with “quar… https://t.co/biPXXyb4I0
1248973666068684800,Sat Apr 11 13:58:21 +0000 2020,Me on an average, normal day: I am so independent, I love living alone, being single is amazing!  Me on day 43 of q… https://t.co/PZdDm6Ks2I
1248969571773689900,Sat Apr 11 13:42:05 +0000 2020,I haven’t truly lived since I was able to go to Blockbuster on Friday nights https://t.co/HeQbP8p9rE
1248659603405049900,Fri Apr 10 17:10:23 +0000 2020,@LaniOtter When you go to the polls in November, also remember that Ohio was saved by a *republican*.
1248659083919536000,Fri Apr 10 17:08:19 +0000 2020,RT @JoshuaGrubbsPhD: Easily one of the best social distancing ads I’ve seen  https://t.co/9WhhTHmdPc
1248428712753631200,Fri Apr 10 01:52:54 +0000 2020,Whenever I’m feeling down I just picture myself as a little crocodile and think of all the nice things Steve Irwin would say about me
1247609784402133000,Tue Apr 07 19:38:46 +0000 2020,RT @MIFirstDog: i was sent. into the outdoors. because kevin. is not allowed. to bark at. reporters. on the phone. ☹️☹️☹️☹️☹️☹️  how else.…
1247520474843598800,Tue Apr 07 13:43:53 +0000 2020,RT @conservmillen: Every single Coronavirus briefing https://t.co/krc2rbPMTq
1247161761104564200,Mon Apr 06 13:58:29 +0000 2020,I see a lot of posts thanking essential workers but one group has been overlooked time and time again...  THANK YOU… https://t.co/3U6ojHannb
1247138675407929300,Mon Apr 06 12:26:45 +0000 2020,@garrcie A combo of a ton of water and the Tula cooling and brightening balm!
1247138446130503700,Mon Apr 06 12:25:50 +0000 2020,@a___millz LOL YOU THOUGHT
1247125094616502300,Mon Apr 06 11:32:47 +0000 2020,Good morning!  Today is a new day.
1246988586718822400,Mon Apr 06 02:30:21 +0000 2020,“The New York Times used cell phone data”  ... did I read that right? Did I sign some terms and conditions that gav… https://t.co/sxLhWgUN6j
1246963295006883800,Mon Apr 06 00:49:51 +0000 2020,@TuckerPeterson_ I’m so sorry to hear that. I lost someone too and we were unable to have a funeral. Praying for you and your family 🤍
1246233878551048200,Sat Apr 04 00:31:25 +0000 2020,@BrennaSpencer Another reason why I want a Razor.
1245828086752567300,Thu Apr 02 21:38:56 +0000 2020,Hey everyone - Go give a follow to @RealTimeUSA! Conservative college student from Ohio who is dedicated to making… https://t.co/t2y2OXsF0G
1245782529845727200,Thu Apr 02 18:37:55 +0000 2020,You all better show up to my ZOOM birthday party https://t.co/GTwF9bgsuY
