id,created_at,text
1260916797961838600,Thu May 14 12:56:05 +0000 2020,RT @MattButler1947: Great article from @kroenig adding some perspective on alliances with autocracies. No need to rush toward a US-Russian…
1260904116710256600,Thu May 14 12:05:42 +0000 2020,Thanks, Mahsa. The handling of the Iran deal may be an exception, but on balance I think the rule holds. Trump has… https://t.co/uXMOS6Zkza
1260710235402113000,Wed May 13 23:15:17 +0000 2020,CCP going after my home state. This is getting personal. https://t.co/iSLQgwpCwt
1260667241940562000,Wed May 13 20:24:27 +0000 2020,Henry Kissinger has reportedly urged President Trump to work with Russia to counter China. I disagree. My take in… https://t.co/UYuw1lgQVd
1260597890096992300,Wed May 13 15:48:52 +0000 2020,RT @DamonMacWilson: Yes, thank you @kroenig: The United States Should Not Align With Russia Against China #StrongerWithAllies  https://t.co…
1260594678589776000,Wed May 13 15:36:06 +0000 2020,"Beijing and Moscow, not Washington, are the ones that should worry about powerful and ideologically hostile enemie… https://t.co/5sXXPoitBM
1260593829931032600,Wed May 13 15:32:44 +0000 2020,Should the United States align with Russia against China? My take in Foreign Policy: https://t.co/thPEGhlaV3  @ACScowcroft @georgetownsfs
1259902646820966400,Mon May 11 17:46:13 +0000 2020,Smart piece from my Georgetown colleague Marc Busch on why a vote against the WTO is a vote against Trump's trade p… https://t.co/GK2A0JhERy
1259831931832799200,Mon May 11 13:05:13 +0000 2020,I appeared on Italian public television to discuss the great power rivalry between the United States and China. https://t.co/cVITMAPFMk
1258774117093978000,Fri May 08 15:01:51 +0000 2020,The WTO should be reformed and we also need new global trade institutions, such as a Free World Free Trade Agreemen… https://t.co/vEYcXWLdXu
1258704294796308500,Fri May 08 10:24:24 +0000 2020,RT @joelhellman_SFS: Glad to see that our ⁦@georgetownsfs⁩ grad students rank first among IR grad schools in earnings post graduation. Whil…
1258440803367760000,Thu May 07 16:57:22 +0000 2020,RT @MichaelaTHF: "It is perverse to draw a moral equivalence between democratic politicking in the United States and the gross evils perpet…
1258010935039590400,Wed May 06 12:29:14 +0000 2020,RT @moverhaus: A few thoughts on the German debate on nuclear-sharing @meier_oliver @DrUlrichKuehn @PFuhrhop @kroenig  Critics of nuclear-s…
1258005996326326300,Wed May 06 12:09:36 +0000 2020,This is an excellent series on China. Highly recommended for those who haven’t yet seen it. https://t.co/t11j52atWj
1257682144966725600,Tue May 05 14:42:44 +0000 2020,RT @ProvMagazine: After the Great Recession, many suggested the US model of democracy failed and China performed better. @kroenig comes to…
1257411443709956000,Mon May 04 20:47:04 +0000 2020,What are the geopolitical implications of the race for a COVID-19 vaccine? I shared some of my thoughts on the subj… https://t.co/AH40UyzYMK
1257072161287741400,Sun May 03 22:18:53 +0000 2020,RT @NarangVipin: Pausing Twitter break to announce a brand new major funding opportunity in nuclear security for junior faculty. Please spr…
1257063277819019300,Sun May 03 21:43:35 +0000 2020,Thanks, Michaela. I hope you like it. And not from 630-930am; that is my daily writing time! https://t.co/37PJHYxk2M
1256671518941237200,Sat May 02 19:46:52 +0000 2020,RT @markdtooley: Much enjoyed @ProvMagazine chat @kroenig @ACScowcroft @AtlanticCouncil on his new book on rivalries among great powers, wh…
1256618574044696600,Sat May 02 16:16:29 +0000 2020,Thanks, Ali. It’s definitely kept me on my toes knowing that I’ll be expected to comment on the week’s major foreig… https://t.co/qM90dtIrC6
1256616013422043100,Sat May 02 16:06:19 +0000 2020,RT @EmmaMAshford: My new FP column is up!   @kroenig argues that Kim Jong Un’s death and regime collapse would be an opportunity for the US…
1256548685321830400,Sat May 02 11:38:46 +0000 2020,RT @EmmaMAshford: But @kroenig and I also debate China policy, whether failed states are better than nuclear proliferation, whether Posen i…
1256353487216091100,Fri May 01 22:43:07 +0000 2020,DPRK state media reports? No photos? Don’t buy it.  https://t.co/1M2p6q75xK
1256325379247100000,Fri May 01 20:51:26 +0000 2020,My biweekly column with @EmmaMAshford for @ForeignPolicy is up:  https://t.co/5Mt0CKr3vS  @ACScowcroft @georgetownsfs
1256225370514342000,Fri May 01 14:14:02 +0000 2020,I published an article adapted from my new book in the Italian magazine Formiche. Given China's growing inroads in… https://t.co/QtEkUrg9uj
