id,created_at,text
1194151937366560800,Tue Nov 12 07:16:22 +0000 2019,@kunalrawalmen @atulkasbekar https://t.co/c2vBwODJzS
1166660012510523400,Wed Aug 28 10:33:17 +0000 2019,RT @CNBCTV18News: Watch the trendsetters of the fashion industry lead the discussion around the market &amp; marketing of their products on @KB…
1166659766434893800,Wed Aug 28 10:32:18 +0000 2019,RT @shahidkapoorFC: INSTA STORY by @mensxpofficial  Dashing @shahidkapoor enjoying the show &amp; music 😍✨  @kunalrawalvibe #LakmeFashionWeek h…
1166659594858455000,Wed Aug 28 10:31:37 +0000 2019,RT @thestylenut: Date night couldn’t have gotten any better for #MiraKapoor and @shahidkapoor. The couple wearing and spotted at designer a…
1166659532065579000,Wed Aug 28 10:31:22 +0000 2019,RT @arjunk26: We all have that one friend who’s a pain in the ... !!! Yet eventually we end up giving into everything of theirs... ladies &amp;…
1166659495633854500,Wed Aug 28 10:31:13 +0000 2019,RT @arjunk26: Days go by... they still need to be captured &amp; etched into our minds as memories... a montage of what goes on behind the scen…
1166659443913908200,Wed Aug 28 10:31:01 +0000 2019,RT @thevofashion: #Centrestage: The '@kunalrawalmen X @BoatNirvana' show at @LakmeFashionWk  W/F '19 was characterised by star power, a ref…
1166659310706815000,Wed Aug 28 10:30:29 +0000 2019,RT @ETPanache: Designer Kunal Rawal feels that today’s new-age grooms are searching for something functional that can be used across multip…
1025624756618514400,Sat Aug 04 06:09:31 +0000 2018,RT @TanishqJewelry: @Kunalrawalvibe  shows you how to break fashion  stereotypes and sport men's  jewellery with style.    Explore #AveerFr…
921426411881037800,Fri Oct 20 17:22:30 +0000 2017,RT @LakmeFashionWk: .@kunalrawalvibe combines metal insignias with kadis alongside hints of military and retro influences.  #TheFestiveEdit…
918375661651353600,Thu Oct 12 07:19:54 +0000 2017,RT @avigowariker: Got loads of superbbbb stuff from my dear friend @kunalrawalvibe.. Diwali sorted😉! Actually much more! 🙈 Your sale rocked…
918375597180620800,Thu Oct 12 07:19:39 +0000 2017,@avigowariker Thankyou Avi 🎈can't wait to see you in them and don't forget to send me pics
915243361518235600,Tue Oct 03 15:53:16 +0000 2017,some of my fav pieces at discounted prices at our first ever #sale frm 11amto 9pm at our juhu studio  #kunalrawal… https://t.co/L33irOfjUA
904968479849275400,Tue Sep 05 07:24:33 +0000 2017,Thank you for having me #100mostinfluential @graziaindia @dhfranklin @arsh_sayed @forevermarkindia #menswear… https://t.co/FfJKtmFDmj
899178778252988400,Sun Aug 20 07:58:21 +0000 2017,At the Backstage for #LakmeFashionWeek Winter/Festive 2017 #FashionFlock https://t.co/xi4GKciXy1
890195035626414100,Wed Jul 26 13:00:10 +0000 2017,RT @arjunk26: Shera di kaum !!! #jatt #charan #mubarakanonthemove #delhi @kunalrawalvibe !!! https://t.co/4gDM9PYerH
885968753644769300,Fri Jul 14 21:06:26 +0000 2017,Out and about 🤠 https://t.co/RwwVbtYaNs
880374593311055900,Thu Jun 29 10:37:14 +0000 2017,The #RaagDeshTrailer looking banging @mohitsmarwah https://t.co/UHPnF0KU4r
878650510487699500,Sat Jun 24 16:26:20 +0000 2017,RT @mohitsmarwah: Excited to share our film's teaser with youall!❤️ #RaagDesh The fascinating story of the famous RedFortTrials of INA http…
877731402569064400,Thu Jun 22 03:34:08 +0000 2017,RT @arjunk26: Shera di kaum !!! Charan in da house !!! #Mubarakan @kunalrawalvibe https://t.co/4luMuTFH6Y
876730974544863200,Mon Jun 19 09:18:47 +0000 2017,@varundvn  shows us how to do a #campshirt in  @zegnaofficial and @kunalrawalmen #doublemonks #salmon #linen… https://t.co/alYB0obuIn
875390383592570900,Thu Jun 15 16:31:46 +0000 2017,Looking good Moh !! Can't wait for this one @raagdeshthefilm #patrioticfeels 👨🏻@mohitmarwah https://t.co/0KM1dDdupI
872515406837174300,Wed Jun 07 18:07:38 +0000 2017,Thankyou @gqindia for a stellar night and much love for the stamp of approval 🖖🏼 #gqbestdressed https://t.co/GCtPE3g8oh
861818398279254000,Tue May 09 05:41:32 +0000 2017,RT @SiddhanthKapoor: The transformation of 'bhai' @ApoorvaLakhia @ekalakhani @ShraddhaKapoor @AnkBhatia #haseenamovie #HASEENA https://t.co…
834023287646715900,Tue Feb 21 12:53:41 +0000 2017,These #edible knits 😍 https://t.co/9XEsFFFQB9
834019676128673800,Tue Feb 21 12:39:20 +0000 2017,#allblack #harrypottertoday https://t.co/FZK9fK7gmn
831608770883100700,Tue Feb 14 20:59:16 +0000 2017,😃 @AnilKapoor I don't think any of us can keep up @arjunk26 @sonamakapoor #benjaminbutton #fasterthanusainbolt https://t.co/ALWQ8lAafP
826724748533104600,Wed Feb 01 09:31:54 +0000 2017,RT @kunalrawalmen: Prep. @lakmefashionwk  #TheRaceOfSeparates #LFW #LineUp #KunalRawal https://t.co/hYVvs2VZ1l
826724690920087600,Wed Feb 01 09:31:40 +0000 2017,RT @kunalrawalmen: Race day | Summer whites. @lamborghini presents #TheRaceOfSeparates. #LFW #KunalRawal #KunalRawalMen #SummerResort @Lakm…
826724677712281600,Wed Feb 01 09:31:37 +0000 2017,RT @kunalrawalmen: Watch our @LakmeFashionWk show LIVE on our Facebook page at 7pm today. #KunalRawal #LFW #TheRaceOfSeparates https://t.co…
824563947885985800,Thu Jan 26 10:25:39 +0000 2017,RT @kunalrawalmen: KunalRawalxLamborghini present 'The Race of Separates' @LakmeFashionWk 1 Feb 7PM at JioGardens ParkingLotB2 #KunalRawal…
824529129974431700,Thu Jan 26 08:07:18 +0000 2017,RT @AnilKapoor: Everytime I take on a new role the first reveal of the look is always exciting!! I present to you "Kartar Singh" of #Mubara…
821405813281607700,Tue Jan 17 17:16:21 +0000 2017,#gardenview https://t.co/D3RougDuAj
819905742408912900,Fri Jan 13 13:55:36 +0000 2017,Thankyou @elleindiaofficial for this 👇#moststylishmen #20yearsofelle  #wearingmyown 📸 @ashishnshah 👕@kshitijkankaria https://t.co/3ActVIxCGH
819901207569375200,Fri Jan 13 13:37:35 +0000 2017,Our new kurtas on @perniaspopupshop ETHNIC ROYALS #shopnow #menswear #happyshopping #kunalrawal #kunalrawalmen… https://t.co/1xThJKhlZr
815940545835044900,Mon Jan 02 15:19:20 +0000 2017,RT @LakmeFashionWk: "Dress to destress yourself " is one of the #FashionResolutions2017 of designer @kunalrawalvibe   Tell us yours  #Lakme…
815457204983603200,Sun Jan 01 07:18:42 +0000 2017,Heading towards 2017 #NewYear #NewBeginnings #ExcitingTimes https://t.co/dQPlbbpUYt
815099282378334200,Sat Dec 31 07:36:27 +0000 2016,The most relaxing view one could have on the last day of a great year @theleela #udaipur https://t.co/hyfS7PffkT
815094897741037600,Sat Dec 31 07:19:02 +0000 2016,#londonadventures https://t.co/Qi1WsrQtNb
815092841944850400,Sat Dec 31 07:10:51 +0000 2016,#troopers https://t.co/d1EHPJvvEW
814776941056299000,Fri Dec 30 10:15:35 +0000 2016,RT @kunalrawalmen: The festive line up for #KunalRawal groomsmen. #KunalRawalMen #Menswear https://t.co/OFdBmLx8Rd
814776464063287300,Fri Dec 30 10:13:41 +0000 2016,RT @arjunk26: The 5 at 5 !!! No Caption Needed !!! Boys being missed big time !!! #london2016 @akshaymarwah22 @mohitsmarwah @kunalrawalvibe…
812725994708725800,Sat Dec 24 18:25:51 +0000 2016,#happybirthdayak @sanjaykapoor2500 @arjunkapoor @mohitmarwah https://t.co/xj4ZNd7iY6
812724332833161200,Sat Dec 24 18:19:15 +0000 2016,Happy birthday AK @AnilKapoor #purelove https://t.co/YwuREP0jQW
811614965333393400,Wed Dec 21 16:51:01 +0000 2016,RT @arjunk26: Let the madness continue !!! Smiles galore Karan and sweety aka @Ileana_Official and me !!! #Mubarakan https://t.co/BYkQoIHVBq
811614851638431700,Wed Dec 21 16:50:34 +0000 2016,RT @arjunk26: Meet Karanveer Singh and Charanveer Singh #MubarakanFirstLook @MubarakanFilm #SonyPicturesNetworksProductions #Cine1Studios h…
811614330798145500,Wed Dec 21 16:48:30 +0000 2016,C O L O U R B L O C K I N G for the wedding season. Book an appointment on 📩 info@kunalrawal.com or send us a Whats… https://t.co/oF0jAwz9bv
811613892145270800,Wed Dec 21 16:46:45 +0000 2016,RT @MissMalini: Loving the moody theme at @kunalrawalvibe at @gqindia #fashionnights ⛈ https://t.co/kIR3NZkh4D
811613815389519900,Wed Dec 21 16:46:27 +0000 2016,RT @Varun_dvn: Had to feed my friend honey on a chopstick. Something's can't be explained https://t.co/uMrV7cA87E
811152845491884000,Tue Dec 20 10:14:43 +0000 2016,RT @RKGlareSneakers: The first poster of Jagga Jasoos!! Ranbir Kapoor's costumes designed by @kunalrawalvibe https://t.co/wXHdzpWFfv
