id,created_at,text
589872794952826900,Sun Apr 19 19:26:48 +0000 2015,JACK Everly Top #Black CAD 59.00 http://t.co/fJpasM8eJe #fashion #shop http://t.co/pEYbGzf6SO
589872507005440000,Sun Apr 19 19:25:39 +0000 2015,There's something undeniably cool about the Chelsea boot &amp; it gets a style refresh this season.http://t.co/zIwi5D6H6y http://t.co/a7Zp8RWiat
589869439354409000,Sun Apr 19 19:13:28 +0000 2015,ID card:  Name: Perlie Heel: 4 inches Upper body and heel: Leather Sole: Rubber Made in Brazil http://t.co/mi0kVPFfcJ http://t.co/gcq7nraKwX
589865679081214000,Sun Apr 19 18:58:31 +0000 2015,When the #sun #dress meets the #cocktail dress = #happy hours. #FLOWERPOWER #shop #MTL #summer http://t.co/eq985lwZSi http://t.co/5X7OmOVwpE
586848958569386000,Sat Apr 11 11:11:09 +0000 2015,RT @PlateauCom: MT @letsshopthelook: Avec l'arrivée du printemps, notre site renait! Qu'en pensez-vous? http://t.co/PDnbGFVoxY http://t.co/…
586316255273087000,Thu Apr 09 23:54:23 +0000 2015,You can #bloom just like #Spring with colourful &amp; floral pieces. #MTL Darling bolero: http://t.co/GHIimU9hmH #fashion http://t.co/HIncEzYsLg
586316023634231300,Thu Apr 09 23:53:27 +0000 2015,#Stylish, yet easy to wear, this b&amp;w #pump is complete with its golden hardware details. http://t.co/35CLs9VQE2 http://t.co/LhyfZHdg2p
586315658075512800,Thu Apr 09 23:52:00 +0000 2015,If you had to make a choice... The @MATT_AND_NAT #backpack A or B?  http://t.co/2Kd0CO3heh   #vegan #fashion http://t.co/hLS9nkHWur
586315069694283800,Thu Apr 09 23:49:40 +0000 2015,Free spirited. Citizen of the #World. #Montreal #qotd http://t.co/JIWJueB2QJ
586314758887989200,Thu Apr 09 23:48:26 +0000 2015,With #Spring, our #website has reborn! Let us know what u think: http://t.co/keb1uBCJA0 #ecommerce #fashion #montreal http://t.co/GkS7HJooZQ
586314567690674200,Thu Apr 09 23:47:40 +0000 2015,Goodbye #Winter #coat (see you in a year)! Feeling lighter? #Shop brighter on our new #website http://t.co/N5dl7blGca http://t.co/wQ4VQhHaPo
577586553326821400,Mon Mar 16 21:45:40 +0000 2015,RT @voguemagazine: A brief history of pink hair in Vogue and beyond: http://t.co/VQiFQL3tG4 http://t.co/EhrHqMCcdF
577586470631919600,Mon Mar 16 21:45:20 +0000 2015,RT @ManRepeller: How to dress for weather limbo http://t.co/CPBB9iInKz http://t.co/Bjxwz99bER
577586093811490800,Mon Mar 16 21:43:50 +0000 2015,RT @ManRepeller: If you want to get to know someone, peek in their closet. Nobody keeps anything in their medicine cabinets anymore http://…
572241369701462000,Mon Mar 02 03:45:48 +0000 2015,Thank you so much for being 4K to follow us. Be sure to check our website shopthelook.ca #Montreal #Quebec #Spring http://t.co/FXtfdKrdtY
