id,created_at,text
1259243189652906000,Sat May 09 22:05:46 +0000 2020,RT @KroonenburgRyan: A great blog post by @BrockTubre on taking the AWS exam online.  https://t.co/H1aUfqPuef
1258152391049961500,Wed May 06 21:51:20 +0000 2020,RT @fayecloudguru: If you’re a US resident out of work due to the pandemic, or know somebody who is, we want to help! We’re giving away 100…
1257570778519933000,Tue May 05 07:20:12 +0000 2020,RT @jeffbarr: New - #AWS Elemental Link – Deliver Live Video to the Cloud for Events &amp; Streams - https://t.co/sxcBNMPE5G https://t.co/PkFNg…
1257004409332076500,Sun May 03 17:49:39 +0000 2020,RT @codingcrystals: High pony lewk with our Coder &amp; Techie Pins 💎⁣ ⁣ https://t.co/Z58G6RPjjl
1256277949986332700,Fri May 01 17:42:58 +0000 2020,RT @drewfirment: It's free, live, and about #containers 👇 https://t.co/YjNYjvXw9S
1256095216265805800,Fri May 01 05:36:51 +0000 2020,RT @awscloud: If you're a fan of podcasts &amp; all things AWS, you’re about to become very happy. AWS TechChat is coming at you every week wit…
1254940809415274500,Tue Apr 28 01:09:39 +0000 2020,@fiedler 🤣 she can’t wait! 💯🎉
1254937684180697000,Tue Apr 28 00:57:14 +0000 2020,@KartikKhamar 💯💯💯😂😂😂
1254921842147709000,Mon Apr 27 23:54:17 +0000 2020,My coworker has taken over.... 😅#WomenInSTEM https://t.co/khmUlhtxLW
1253102931181789200,Wed Apr 22 23:26:34 +0000 2020,@drewfirment @acloudguru This is awesome!!! 🤩
1253102661307641900,Wed Apr 22 23:25:30 +0000 2020,RT @drewfirment: Excited to announce the availability of Cloud Playground for @acloudguru business members! Unlike our universe, nothing’s…
1249499997017714700,Mon Apr 13 00:49:48 +0000 2020,RT @DKThomp: Daily users before the pandemic: Skype: 23 million Zoom: 10 million  Daily users after the pandemic: Skype: 40 million Zoom: 2…
1249346333737132000,Sun Apr 12 14:39:12 +0000 2020,🤣🤣 https://t.co/sni8beuSsU
1248112791854166000,Thu Apr 09 04:57:33 +0000 2020,RT @github: Good news everyone! Now you can convert an existing pull request into a draft any time! Check out the full scoop https://t.co/0…
1247992553011581000,Wed Apr 08 20:59:45 +0000 2020,RT @amazonnews: With schools closed, we know students, parents, and teachers are looking for resources. The #AmazonFutureEngineer program i…
1247941948905848800,Wed Apr 08 17:38:40 +0000 2020,RT @ladygaga: Calling all developers 👩‍💻🧑‍💻👨‍💻 Now’s the time to get behind your keyboard and help fight #COVID19. Join the @IBM 2020 #Call…
1247320613158621200,Tue Apr 07 00:29:42 +0000 2020,@GaperEngineers @podfollowhq @codecrumbs_ @TekayaSamar @CodingBlonde @hollyboothroyd_ @CodingGirlsCom… https://t.co/fiUpF7bzLe
1245305182923128800,Wed Apr 01 11:01:06 +0000 2020,RT @agansca: Th @ 2pm ET, @racheltipograph and I have brought together some of the best leaders we know. Tune in to hear from @HilarieKM, @…
1244498514765320200,Mon Mar 30 05:35:42 +0000 2020,RT @addyosmani: A full free Stanford course on Web Security: https://t.co/KESo3K0klS by @feross  🍪 HTTP(S), Cookies, Sessions  🛡Same Origin…
1243587225633390600,Fri Mar 27 17:14:33 +0000 2020,”Learn a new skill during quarantine”  ME: “How to code with one hand while holding a screaming baby 🤣”  #womeninSTEM #womenwhocode #momlife
1243507464466808800,Fri Mar 27 11:57:37 +0000 2020,Udacity offers free tech training to laid-off workers https://t.co/2LkBxsZhmI
1243022017802186800,Thu Mar 26 03:48:37 +0000 2020,RT @jeffbarr: Important #AWS Certification Updates:  🔶 All exams now available via online proctoring 🔶 Certification expiration dates &amp; ben…
1242200054414393300,Mon Mar 23 21:22:26 +0000 2020,￼AWS is allowing all certifications to be taken from home:   https://t.co/4u6YWf9cSl ￼  #TechNews #AWSCertified #awsnews
1240749050858745900,Thu Mar 19 21:16:40 +0000 2020,RT @fayecloudguru: Announced today: Temporary price reduction for annual ACG &amp; Linux Academy subscriptions for the next 2 weeks! When the A…
1240292442798198800,Wed Mar 18 15:02:16 +0000 2020,RT @paulcheesbrough: .@farhadm and the hugely talented @Tubi team have built something special in the AVOD space - at scale with great tech…
1240105555773083600,Wed Mar 18 02:39:39 +0000 2020,RT @GarettSloane: Facebook says it is ready to give out $100M to 30,000 small businesses dealing with COVID-19 fallout. https://t.co/GdCubz…
1239814268863774700,Tue Mar 17 07:22:10 +0000 2020,RT @SpringNuts_: My cousin sent me this and just had to share. These are people quarantined in Israel, that turned a crazy situation into s…
1239547168060514300,Mon Mar 16 13:40:49 +0000 2020,A cyberattack hits the U.S. Health &amp; Human services department #BreakingNews #COVID19   https://t.co/OVQmeSoRG5
1238449464232329200,Fri Mar 13 12:58:56 +0000 2020,RT @addyosmani: Algorithms and data structures implemented in modern JavaScript: https://t.co/gdvQKRXxpb &amp; https://t.co/cbFQBJY0YP. Treasur…
1237733929030910000,Wed Mar 11 13:35:39 +0000 2020,RT @agansca: #DoingOurPart @KnotchInc - after seeing customers use our platform to gauge attitudes on COVID-19 &amp; measure the impact of thei…
1234869836964081700,Tue Mar 03 15:54:46 +0000 2020,Awesome #coding tip by @stevemconstrux : ⁣  ⁣ 👉 Good code is its own best documentation. 👩🏻‍💻 ⁣ 💻 As you’re about t… https://t.co/VH8QsQNfEG
1234151300742484000,Sun Mar 01 16:19:34 +0000 2020,RT @addyosmani: Tip: target="_blank" on links to other sites can expose your site to performance and security issues. To fix, add rel="noop…
1233614029400297500,Sat Feb 29 04:44:38 +0000 2020,RT @kvlly: When writing alt text, imagine you're describing the image to someone over the phone.  Love this tip from @IlanaDavisHR!
1233274425803526100,Fri Feb 28 06:15:10 +0000 2020,Want an "Intro to AWS" in 60 seconds? ☁️Check out my mini blog post below 🔖  https://t.co/buUXZMl6NY
1232864406125543400,Thu Feb 27 03:05:54 +0000 2020,RT @natfriedman: ✨Shipping today on GitHub: multi-line suggestions! 🥳 https://t.co/aSSVpv5YOD
1231971082237808600,Mon Feb 24 15:56:09 +0000 2020,RT @NASA: We're saddened by the passing of celebrated #HiddenFigures mathematician Katherine Johnson. Today, we celebrate her 101 years of…
1230490874783686700,Thu Feb 20 13:54:20 +0000 2020,@nemessisc @udemy You got this!!!! 👑👑👑
1229454075596505000,Mon Feb 17 17:14:28 +0000 2020,I was watching #FrozenII with my kids &amp; noticed that the “voices” from the song “Into the Unknown” are strikingly s… https://t.co/sV1lQ919jp
1227644367499911200,Wed Feb 12 17:23:20 +0000 2020,@Rocco_FNC Congratulations!!! adorable!!!!
1227382876678869000,Wed Feb 12 00:04:16 +0000 2020,RT @paulcheesbrough: Very excited about this - @caffeine  is fast becoming the most creative and ambitious live destination for sports, gam…
1227241659085115400,Tue Feb 11 14:43:07 +0000 2020,@_StevenNunez Steven!!! I hope all is well!!  Thank you for being the BEST coding instructor ever - There are so ma… https://t.co/Fd2QJ2mbVj
1226948142773436400,Mon Feb 10 19:16:47 +0000 2020,@designMoreData Divy!!!! We need to catch up!!!!!! 🎉 I miss those node.js meetups!
1226946770514718700,Mon Feb 10 19:11:20 +0000 2020,When you are getting your hair done 💁🏻‍♀️ ......&amp; keep thinking about a bug ticket you are stuck on 🤣💻⁣… https://t.co/6HefW9AIGY
1225475169831006200,Thu Feb 06 17:43:43 +0000 2020,RT @devherobrand: Reposted from @lindavivah “Your dream doesn’t have an expiration date, take a deep breath &amp; try again” ☁️ ⁣ ⁣ ————-⁣ ⁣ Wh…
1223896332982718500,Sun Feb 02 09:09:59 +0000 2020,RT @addyosmani: Tip: highlight images missing alt text with img:not([alt]) https://t.co/zgjdE5iTU6
1222683181599596500,Thu Jan 30 00:49:21 +0000 2020,RT @addyosmani: Bubble sort visualization (by u/pedrovhb) https://t.co/9KGASP1p0E
1221525814182731800,Sun Jan 26 20:10:23 +0000 2020,Can’t believe this is real 😭 https://t.co/3sXKjNwt2Y
