id,created_at,text
1259988906310852600,Mon May 11 23:28:59 +0000 2020,“Quarantine” by Eavon Boland. A poem for now. Thanks for sharing this @Josh_Barrage ❤️ https://t.co/Fka8dq8yr0
1259946238318805000,Mon May 11 20:39:26 +0000 2020,@TalkOnPointe Thanks so much Alex. And I agree that might be an outcome. I hope it is.
1259939790297981000,Mon May 11 20:13:49 +0000 2020,RT @NewYorker: "I’m not looking for American heroism," the economist Jeffrey Sachs said. "I’m looking for the United States not to be among…
1259892890920087600,Mon May 11 17:07:27 +0000 2020,@HyltonAnne I'm so glad. Thank you for this 🧡
1259892683931189200,Mon May 11 17:06:38 +0000 2020,@JoanneEJennings Thank you for reading and these kind words.
1259892560304078800,Mon May 11 17:06:08 +0000 2020,@nadjadrost thank you, i so appreciate that &lt;3
1259883931899441200,Mon May 11 16:31:51 +0000 2020,RT @jiatolentino: Mutual aid has entered the vocabulary of the coronavirus era: groups have been springing up all over since mid-March. I f…
1258821021232058400,Fri May 08 18:08:13 +0000 2020,RT @TimHerrera: @TheAtlantic like it took me two seconds to find 5 absolutely essential stories from @TheAtlantic:  https://t.co/MvMcMTOMwM…
1258813365108998100,Fri May 08 17:37:48 +0000 2020,“A court document from 1996 shows former Senate staffer Tara Reade told her ex-husband she was sexually harassed wh… https://t.co/NrO7nhgvDj
1258812514021884000,Fri May 08 17:34:25 +0000 2020,RT @JamilSmith: Finally, after 74 days. Seventy-four days, two prosecutor recusals, one district attorney letter defending the killers, and…
1258797148902166500,Fri May 08 16:33:22 +0000 2020,@AlexWeininger Thank you for reading it. Sending strength and light your way ✨
1258622662886207500,Fri May 08 05:00:01 +0000 2020,@aremkus1 Thank you lady. Hope you’re doing ok where you are 🧡
1258608273130954800,Fri May 08 04:02:50 +0000 2020,@brfreed Ah man so sorry you’re dealing with this too. It’s so incredibly hard and draining right now. Sending you hugs 🧡
1258507843340132400,Thu May 07 21:23:46 +0000 2020,RT @vauhinivara: Are you trying to start (or finish) a book but need some support from a mentor &amp; peers who share your ambition? Apply to @…
1258484406647488500,Thu May 07 19:50:38 +0000 2020,@sharpiebeer @arb Thank you for reading it. Sending you strength too 🧡
1258466485468610600,Thu May 07 18:39:25 +0000 2020,RT @ndungca: beautiful read for anyone who is feeling guilty about struggling through all of this madness. first, don't feel guilty. and kn…
1258454405948440600,Thu May 07 17:51:25 +0000 2020,@AZapruder love you my friend. thank you for those kind words &lt;3 it means a lot
1258454205456502800,Thu May 07 17:50:38 +0000 2020,@donnaselliott @fizapirani @ElizabethFlock Hoping it gets a little easier for you soon. Thank you for reading it 🙏
1258444855392567300,Thu May 07 17:13:28 +0000 2020,RT @sara_bex: The fact that anyone should have to pause mid crisis to determine what care won't destroy their personal finances—that is tru…
1258444562361712600,Thu May 07 17:12:19 +0000 2020,@fizapirani @ElizabethFlock thanks for reading and hope it gets a little easier soon 🧡🧡
1258444277954359300,Thu May 07 17:11:11 +0000 2020,RT @fizapirani: “I know that hopelessness can attach itself to a person for years, and intensify just when you need hope the most. But I al…
1258444000719184000,Thu May 07 17:10:05 +0000 2020,RT @Daddypantz1220: @TheAtlantic @lizflock This captures the past 3-4 months perfectly.  Hit a nerve. https://t.co/7FbnKCKmEu
1258443782477033500,Thu May 07 17:09:13 +0000 2020,RT @kimondegreef: beautiful essay by @lizflock on mental health during the pandemic. "We are mourning what has already happened and we are…
1258433141628338200,Thu May 07 16:26:56 +0000 2020,RT @__witch__bitch: I was depressed/anxious before this and the fact that telehealth is mandatory now actually pushed me to see a therapist…
1258424699815633000,Thu May 07 15:53:23 +0000 2020,@__witch__bitch @ms_creilly Wow that’s lovely. The wildflowers are so so good
1258422487035019300,Thu May 07 15:44:35 +0000 2020,@__witch__bitch That is really cool to hear. I hope it’s a good experience for you ❤️
1258422214736646100,Thu May 07 15:43:31 +0000 2020,@larsonchristina Thank you, and for your kind words on the book ❤️
1258422119370829800,Thu May 07 15:43:08 +0000 2020,@lisatozzi 🧡🧡🧡
1258418730545156000,Thu May 07 15:29:40 +0000 2020,@phillippantuso Runs are good things! Thank you 🙏🏻
1258418669035622400,Thu May 07 15:29:25 +0000 2020,@jennymarder Thank you Jenny 🧡
1258411192130863000,Thu May 07 14:59:43 +0000 2020,@masadasiegel Thank you friend. Here they are 🌸 https://t.co/Tx7kN0i3vv
1258410120632955000,Thu May 07 14:55:27 +0000 2020,@RNatourious thanks friend. love you &lt;3
