id,created_at,text
1253047690486780000,Wed Apr 22 19:47:04 +0000 2020,Don’t miss 'Saving OurSelves: A BET COVID-19 Relief Effort' TONIGHT at 8/7c @BET #BETCovidRelief   -mgmt https://t.co/yAZKHMXb6t
1247246304322953200,Mon Apr 06 19:34:26 +0000 2020,I’ll be joining @GlblCtzn  and @WHO for the One World: #TogetherAtHome primetime broadcast to celebrate the heroic… https://t.co/HDWUq8kZBG
1245438300032295000,Wed Apr 01 19:50:04 +0000 2020,-mgmt https://t.co/2zAAJ6xJPu
1230313543750185000,Thu Feb 20 02:09:41 +0000 2020,It’s Valentine’s szn so…Alexa, play Cuz I Love You on @AmazonMusic  ❤ https://t.co/Mn36eqcLOg  -mgmt https://t.co/o0bUjT9Hi4
1228383635327205400,Fri Feb 14 18:20:55 +0000 2020,For every retweet, @absolutvodka_us will donate $1 to @RAINN.  Help support this important cause.  Drink Responsibl… https://t.co/VvKXsxkFSg
1228368947872821200,Fri Feb 14 17:22:33 +0000 2020,Happy Lizzietines Day  Show how much you care by sending a valentine from Lizzo https://t.co/nr3OrE2BQy  -mgmt https://t.co/utnfn9GUCY
1228341962140315600,Fri Feb 14 15:35:19 +0000 2020,Cuz I Love You Lyric Video Out Now https://t.co/ZJHxxJsjcQ  -MGMT https://t.co/GBHmZnp9FJ
1227624368777203700,Wed Feb 12 16:03:52 +0000 2020,Thank you @Spotify! Cuz I love you is streaming now on Spotify’s Pop Rising! https://t.co/tpeUh4ulLL  -mgmt
1227624279446999000,Wed Feb 12 16:03:31 +0000 2020,Sing along to “Cuz I Love You” and more from my Essentials playlist on @AppleMusic. Add to your library now! https://t.co/DQI0IRUgX6  -mgmt
1225639782581014500,Fri Feb 07 04:37:50 +0000 2020,One of my greatest honors, thank u @naacpimageaward I’m already a winner 🙌🏾  -mgmt https://t.co/CyXhSuvNYA
1222944418547658800,Thu Jan 30 18:07:25 +0000 2020,I’m performing at the 2020 @iHeartRadio Music Awards! Can’t wait to see you all there. Buy your #iHeartAwards ticke… https://t.co/3jx4cQGLHH
1222731724385218600,Thu Jan 30 04:02:15 +0000 2020,I rented out crazy girls for my team on Grammys night... @absolutvodka_us hooked us up with juice... it was a movie… https://t.co/ZRhAwI1TBt
1221923789019107300,Mon Jan 27 22:31:48 +0000 2020,Let’s do this Montreal! Excited to be playing at @Osheaga this summer!  Get festival passes at… https://t.co/08mlrsiCQT
1219690866287100000,Tue Jan 21 18:38:57 +0000 2020,-mgmt https://t.co/eHR95Xisds
1217969060115181600,Fri Jan 17 00:37:07 +0000 2020,-mgmt https://t.co/86Vo7740do
1214549749610799000,Tue Jan 07 14:10:00 +0000 2020,.@Bonnaroo 2020 | Tickets on sale 1/9  -mgmt https://t.co/6zGKElNAsg
1214032592472641500,Mon Jan 06 03:55:00 +0000 2020,Yeah I can’t do this Twitter shit no more.. too many trolls... ✌🏾  I’ll be back when I feel like it.
1214026238332813300,Mon Jan 06 03:29:45 +0000 2020,Spot-fuckin-on every time fuck! https://t.co/BWivypTMaw
1213683091337695200,Sun Jan 05 04:46:12 +0000 2020,THIS is why I do what I do! Shine sista!!!!! 😍 https://t.co/YmIarUwIrz
1213677365487792000,Sun Jan 05 04:23:27 +0000 2020,I never feel like I’m helping enough..
1213676513070964700,Sun Jan 05 04:20:04 +0000 2020,Polarity will always exist. Good will always be versus Evil. One opinion will always oppose the other. Your opinion… https://t.co/X3keUp9mNv
1213675496187162600,Sun Jan 05 04:16:01 +0000 2020,“I been gettin to the money, errbody mad” becomes more and more relatable each day...
1213584355827650600,Sat Jan 04 22:13:52 +0000 2020,Thot pics don’t even hit the same rn... I’m tryna take a ‘heal the world’ selfie
1213551228212244500,Sat Jan 04 20:02:14 +0000 2020,RT @king_johnson20: A man this shit ain’t no game . A lot of us might not be coming back and I been here since November.. so y’all tighten…
1213545875965825000,Sat Jan 04 19:40:58 +0000 2020,#AustraliaOnFire https://t.co/5IgvddVfaQ
1213545696042684400,Sat Jan 04 19:40:15 +0000 2020,RT @lgbtjshaught: thread of a few links that allow international donations to help the efforts in australia with the consequences and stopp…
1213390229559603200,Sat Jan 04 09:22:29 +0000 2020,Sometimes when you don’t know what to say, the best thing to say is nothing.  I’ve been speechless for days... but I love y’all nonetheless.
1212476496540921900,Wed Jan 01 20:51:38 +0000 2020,NYE MOODS https://t.co/NiDwfFpEiO
1212465978618962000,Wed Jan 01 20:09:50 +0000 2020,She didn’t survive 😩 https://t.co/IvTkHnbdg3
1212465558127407000,Wed Jan 01 20:08:10 +0000 2020,Before Vegas                   After Vegas https://t.co/jA3BnFnTDG
1212395546901528600,Wed Jan 01 15:29:58 +0000 2020,https://t.co/VJUdfnLAI7
1212242674519924700,Wed Jan 01 05:22:30 +0000 2020,RT @GrittyNHL: Ending 2019 the same way I started it. 100% that Grit. #Grizzo https://t.co/fo1hgS6ua3
1212132621666226200,Tue Dec 31 22:05:11 +0000 2019,2009 was the year my daddy died  2009 was the year I lived in my car &amp; cried myself to sleep on thanksgiving  2019… https://t.co/QhrD0CSrdE
1212092625823490000,Tue Dec 31 19:26:16 +0000 2019,Finna go Lizzo and show my whole ass tonight 😩 https://t.co/EWAnsyZHHm
1211782936065802200,Mon Dec 30 22:55:40 +0000 2019,Ilyyyyy 🥺 https://t.co/3xQDi91wNY
