id,created_at,text
1259885624263237600,Mon May 11 16:38:35 +0000 2020,@joshpowell100 Apple has somewhat frozen then ios app because we can't use apple pay(their cut is massive and compl… https://t.co/qZ2kxBLVTN
1259336487906111500,Sun May 10 04:16:30 +0000 2020,@BrandonHussey1 @LinusTech @AlexTheGreatish I'm sure alex and Co will do masterfully :D
1259335851034566700,Sun May 10 04:13:58 +0000 2020,@jonotan86 Beauty
1259332779612893200,Sun May 10 04:01:46 +0000 2020,@jonotan86 If you're fishing for food great :D catch and release is lame
1258944684128235500,Sat May 09 02:19:37 +0000 2020,@FabianLioner Yessir
1258943999718486000,Sat May 09 02:16:54 +0000 2020,@LinusTech @AlexTheGreatish This brought a tear to my eye.
1256430642910224400,Sat May 02 03:49:43 +0000 2020,First stream in a while! Gonna try to learn this whole valorant thing - https://t.co/CEPoVwew1v
1255611776822960000,Wed Apr 29 21:35:50 +0000 2020,@joeltelling @floatplanemedia I enjoy seeing everything churning at once :D
1253475081071673300,Fri Apr 24 00:05:22 +0000 2020,@LinusTech @_andyzhang_ LOL
1252159555879858200,Mon Apr 20 08:57:56 +0000 2020,@james_strieb https://t.co/KJoDiD70pG
1249853051835314200,Tue Apr 14 00:12:43 +0000 2020,@mmaxinelucille So stoked
1249852932104704000,Tue Apr 14 00:12:14 +0000 2020,@GamersNexus @Exentiostep @tardis1916 @Brandon_Y_Lee We'll see... I do like that y'all have moved to zoom - shows reasonability
1249808951673106400,Mon Apr 13 21:17:29 +0000 2020,@R41D3NZ @soylent FINALLYYYYYYY Yes :D :D :D
1249446196097106000,Sun Apr 12 21:16:01 +0000 2020,@Brandon_Y_Lee I'm at the stage where I need to either cut soon or go for long
1247444466622816300,Tue Apr 07 08:41:51 +0000 2020,@PedroPCMR @LinusTech This pic creeped me out ngl
1243761681278230500,Sat Mar 28 04:47:47 +0000 2020,@id_Surge @Kaelaris @WarcraftDevs This 1000%
1243220839786360800,Thu Mar 26 16:58:40 +0000 2020,@paulhardware @foldingathome Lol
1241190230322868200,Sat Mar 21 02:29:45 +0000 2020,I can't stream tonight - Likely will Sunday or Monday night.. But my GF is giving it a shot now that a new… https://t.co/0bGUguJJdM
1240563913718001700,Thu Mar 19 09:01:00 +0000 2020,@nicklmg @ars3n1k @LinusTech Yeah sorry I'm on it
1239666476103000000,Mon Mar 16 21:34:54 +0000 2020,@soylent @OctoberDaze It's been years
1239630458058461200,Mon Mar 16 19:11:47 +0000 2020,@soylent 0 because you still haven't returned to Canada.
1237284848965836800,Tue Mar 10 07:51:10 +0000 2020,@colton_potter Nooooooo
