id,created_at,text
1261069729990672400,Thu May 14 23:03:47 +0000 2020,RT @hxhassan: The U.S. is on the way out, and ISIS is on the way back. That’s what makes recent trends particularly troubling, and the worl…
1260998443360759800,Thu May 14 18:20:31 +0000 2020,RT @SamRamani2: Check out these two informed rebuttals of the argument that #Russia is about to imminently abandon #Assad in #Syria  This a…
1260936576646836200,Thu May 14 14:14:41 +0000 2020,@Nat_Vasilyeva @business I know and respect Henry, that's why I didn't say it was his fault but whoever came up with this title.
1260935428112183300,Thu May 14 14:10:07 +0000 2020,@AjNero2 @business 1. Generalizing about entire nation based on the behavior of individuals is racist. 2. Generaliz… https://t.co/MQNs3i9wyU
1260934036744110000,Thu May 14 14:04:36 +0000 2020,A new bottom hit. This @business headline is sacrificing basic ethics for the sake of clickbait. Speak of the media… https://t.co/UCVKlWnMgF
1260889673955754000,Thu May 14 11:08:19 +0000 2020,RT @IbnRasibi: My latest: Is Russia pulling support from Libyan strongman Hifter? https://t.co/Rql27Xlx6i via @AlMonitor
1260888842778939400,Thu May 14 11:05:00 +0000 2020,RT @BabaUmarr: Chinese and Indian troops talk, probably after stone pelting each other   via — https://t.co/N6k4VYdu52 https://t.co/fs8zVuV…
1260875542670295000,Thu May 14 10:12:09 +0000 2020,RT @DmitriTrenin: Interesting: Dmitri Kozak, Kremlin’s point man on Donbass, comes to Berlin amid the pandemic for talks. Evidently, sensit…
1260844372985348000,Thu May 14 08:08:18 +0000 2020,RT @Rob_Malley: Interesting thread 👇 https://t.co/q4SbPGUlgq
1260838112919502800,Thu May 14 07:43:26 +0000 2020,RT @Charles_Lister: This thread by new @MiddleEastInst scholar @m_suchkov is good &amp; agrees in large part with what I've written on the #Rus…
1260804975904600000,Thu May 14 05:31:45 +0000 2020,RT @ATParasiliti: Can #Washington &amp; #Ankara find common ground on  #Kurds in #Syria?; #Biden and #Iran; #SaudiArabia; More! Riffing on grea…
1260637499304611800,Wed May 13 18:26:16 +0000 2020,RT @CSDS_MSU: @LuizaK_MSU, Suchkov M.A. From alienation to coordination: A twisted path of Russian-#Israeli relationship // #Russia in the…
1260636088944787500,Wed May 13 18:20:39 +0000 2020,RT @aronlund: Welcome reality-check from @M_Suchkov, who pours cold water on the recent (and endlessly recurring) speculation that Putin is…
1260635810560462800,Wed May 13 18:19:33 +0000 2020,@leithfadel Thank you. It didn't really make big news in Russia tbh, but I believe it was initially triggered by Mi… https://t.co/c0r1aeXSHA
1260635073193410600,Wed May 13 18:16:37 +0000 2020,@Alexander_Bick @WilsonCenterMEP Great analysis!  One thing thou - Alexander Aksenenok was Soviet and later Russia'… https://t.co/Zmme0cre0H
1260633433308631000,Wed May 13 18:10:06 +0000 2020,RT @Alexander_Bick: Excited to write on Russia’s complicated relationship with Syria for @WilsonCenterMEP excellent series, “Viewpoints”
1260600135182155800,Wed May 13 15:57:47 +0000 2020,Meanwhile @SecPompeo in #Israel https://t.co/5BE9OoGhOh
1260599097964273700,Wed May 13 15:53:40 +0000 2020,RT @DmitriTrenin: Growing US-China antagonism reduces Russia’s room for maneuver in foreign policy. Siding too closely with Beijing is to b…
1260515569268338700,Wed May 13 10:21:45 +0000 2020,RT @amberinzaman: Fascinating thread by  @m_suchkov on the perils of conflating wishful thinking with analysis especially when it comes to…
1260502439951728600,Wed May 13 09:29:35 +0000 2020,@leithfadel Exactly, rels with Russia didn't influence Bashar's policies as much as rels w/ Western states. That's… https://t.co/11el2QYeAB
1260474648413773800,Wed May 13 07:39:09 +0000 2020,@ErwinVeen @MiddleEastInst @Bouzerda @jobahout @RenaNetjes Indeed
1260474449452830700,Wed May 13 07:38:21 +0000 2020,@ErwinVeen @Clingendaelorg Great, thanks for sharing!
1260442277480145000,Wed May 13 05:30:31 +0000 2020,@fordrs58 Thank you very much! It's an honor and I look forward to our productive cooperation
1260440326134796300,Wed May 13 05:22:46 +0000 2020,RT @fordrs58: Maxim, as Randa said we are very lucky to have you as a colleague at MEI.
1260354528135831600,Tue May 12 23:41:50 +0000 2020,@ErwinVeen @MiddleEastInst @Bouzerda @jobahout @RenaNetjes Perhaps this (long, sorry!) thread will help understand… https://t.co/pzEDaLegMI
1260353155302330400,Tue May 12 23:36:23 +0000 2020,@jihadyazigi @SHeydemann @LarsHauch @RenaNetjes Pravda today is a second-tier outlet, it's not the Pravda - the mou… https://t.co/RolxNwAmpY
1260352803148632000,Tue May 12 23:34:59 +0000 2020,@SHeydemann @LarsHauch @RenaNetjes I don't think Valdai ever made a secret that it was established as (a) Russia's… https://t.co/iQisaXFD3j
1260340824094711800,Tue May 12 22:47:23 +0000 2020,21. After all, as I concluded, all these deliberations are not about #Russia’s attitude towards #Assad rather about… https://t.co/04fpkfh5ru
1260340477401931800,Tue May 12 22:46:00 +0000 2020,20.Yet saying that Moscow having a change of heart this very moment based on the reports that made this much noise… https://t.co/uD4aQhgX9v
1260340121485947000,Tue May 12 22:44:35 +0000 2020,19.We don’t know what #Putin thinks of this (perhaps,concedes both “camps” are right).Yet #Russia 'd indeed want… https://t.co/P0i2aTdzrY
1260339760377323500,Tue May 12 22:43:09 +0000 2020,18.Everything said, illicit dealings of Assad &amp; his cronies long been an open secret.Many policy-makers in Moscow r… https://t.co/YCnDobiFlr
1260339618299461600,Tue May 12 22:42:35 +0000 2020,..Hence, my argument on the “wishful thinking” – we tend to project our desires onto perceptions and in case of Rus… https://t.co/pO1vSgL0GT
1260339506068283400,Tue May 12 22:42:08 +0000 2020,..Today every time Erdo/MBS/Sisi/Bibi say or do smth that angers West we see discussions about how alliances with t… https://t.co/3NZS3v0TK5
1260339206548840400,Tue May 12 22:40:57 +0000 2020,17.Side note 2 - alliances, esp in Mideast, are seldom built on mutual likes but hardcore realpolitik - the game RU… https://t.co/nlF2CD0vMD
1260338953628024800,Tue May 12 22:39:57 +0000 2020,16. Side note 1. - btw it doesn't matter if you agree w/ all of these points, those were the premises Kremlin opera… https://t.co/QZFr1F3BlS
1260338765148631000,Tue May 12 22:39:12 +0000 2020,..(d) he was embraced by ethnic minorities (e) he was - and remains - legitimate president.Even thou he morally del… https://t.co/Qg1xxRVu1Z
1260338241665990700,Tue May 12 22:37:07 +0000 2020,15. ..siding w/ him back in the day was (a) lesser of other evils / the devil you knew (b) safer bet than picking w… https://t.co/LgPmxvqObT
1260338039840297000,Tue May 12 22:36:19 +0000 2020,14. But the real “alliance” came out as result of Assad being alienated by the West and regional powers and put on… https://t.co/f9Ov66uGSv
1260337804715921400,Tue May 12 22:35:23 +0000 2020,13.Even though #Russia had long history of rels with #Syria and in 2005 #Assad came to RU to ask to write-off $13.4… https://t.co/TC1EbcfGhC
1260337376339124200,Tue May 12 22:33:41 +0000 2020,12. This is indicative that #Putin is disillusioned that Bashar’s “loyalty to #Russia” was first and foremost the r… https://t.co/DfC3IFrsoH
1260337225008545800,Tue May 12 22:33:05 +0000 2020,11. In 2016 (if I remember correctly), at one of Valdai talks Putin was asked by a Western journalist smth about As… https://t.co/jObJ1t0a8O
1260336664901271600,Tue May 12 22:30:51 +0000 2020,10.. they have (a) different views on #Assad (b) many have critical views. It’s only surprise for neophyte #Russia… https://t.co/eB2uFBiBQG
1260336201615237000,Tue May 12 22:29:01 +0000 2020,9.This brings me to 2nd part of my argument – what is exactly being said of Assad in Russia and what this discourse… https://t.co/bn6YcfXqJe
1260335951630479400,Tue May 12 22:28:01 +0000 2020,8. So we can write/read anything on Wagner,trolls, other adventures he is engaged in but it's mostly speculations.… https://t.co/YcUx4ywt3x
1260335595714478000,Tue May 12 22:26:36 +0000 2020,7. that he's a type of guy operating in a type of system which makes it barely possible for a foreign or Russian jo… https://t.co/2VThdwLq1Q
1260335390524932000,Tue May 12 22:25:47 +0000 2020,6. The issue with Prigozhin’s media is merky. I am willing to accommodate almost any theory on what role in #Russia… https://t.co/Q8B5QUgOJ6
1260335158860931000,Tue May 12 22:24:52 +0000 2020,5. ...whether this criticism is being pushed forward by major state-owned media and/or relevant policy-makers. In c… https://t.co/gM7Kl8zET9
1260334917017370600,Tue May 12 22:23:54 +0000 2020,4. #Russia got its own issues with freedom of press,but it’s no DPRK &amp; critical stuff on #Assad and RUS own campaig… https://t.co/5LTIgMyGnm
1260334541388091400,Tue May 12 22:22:25 +0000 2020,3. ..which makes it look like it’s official Russian policy. I’m not saying it’s propaganda or fake news, but people… https://t.co/lAPBOPjXHb
1260334411851223000,Tue May 12 22:21:54 +0000 2020,2.On sources - I discussed at lengths what I think was wrong with the reports on #Russia-#Assad that stirred such h… https://t.co/dH2vsmAhRf
1260334137350783000,Tue May 12 22:20:48 +0000 2020,1. As I noted in the text there’re 2 issues at play here. (1) has to do with the sourcing of the reports that spark… https://t.co/As4lPNr2WD
1260333923134996500,Tue May 12 22:19:57 +0000 2020,THREAD: follow-up on my piece @MiddleEastInst on the much buzzed theme of #Russia “distancing itself” from #Assad.… https://t.co/UHz0bqYxVn
1260326433211236400,Tue May 12 21:50:12 +0000 2020,RT @JacobShap: "Yet saying that Moscow is having a change of heart at this very moment, let alone is willing to publicly broadcast this to…
1260295150636589000,Tue May 12 19:45:53 +0000 2020,RT @mideasteditor: MEI Insights: It’s not about Assad  @m_suchkov for @MiddleEastInst   https://t.co/oc97ndfaUC
1260289933526384600,Tue May 12 19:25:09 +0000 2020,RT @HamidRezaAz: I had the pleasure to contribute to this @SWPBerlin paper on the impacts of #COVID19 crisis on conflict dynamics in #Syria…
1260228891035263000,Tue May 12 15:22:36 +0000 2020,Meanwhile with 232,243 officially registered cases of #COVIDー19, #Russia now world's 2nd by the number of the infec… https://t.co/i3Yj2RuNJy
1260215894745153500,Tue May 12 14:30:57 +0000 2020,JUST IN: #Putin's spokesman Dmitry #Peskov and his wife famous ex-figure skater Tatiana Navka are hospitalized. Bot… https://t.co/4UqtUf3idN
1260160519799033900,Tue May 12 10:50:55 +0000 2020,RT @JMJalel_H: These non-cargo planes stopped at Russian bases in #Syria before heading for Emirati-run AB al-Khadim near Benghazi:  That r…
1260160404992471000,Tue May 12 10:50:27 +0000 2020,@LarsHauch @RenaNetjes The point is it was never in the state run media-and still not there.once it is, than it's a… https://t.co/PSfaVz1idy
1260156083320078300,Tue May 12 10:33:17 +0000 2020,RT @Allio_De_Corato: Les transactions illicites du PR syrien &amp; de ses acolytes sont depuis lgt un secret de polichinelle Aucune illusion à…
