id,created_at,text
1256016322338664400,Fri May 01 00:23:21 +0000 2020,Lester Holt's home "vlog" set-up is on another level 😆 @LesterHoltNBC @NBCNightlyNews https://t.co/ypCe3rVjdk
1253894997692334000,Sat Apr 25 03:53:58 +0000 2020,Can you imagine 😆 https://t.co/dB8nPJxiz7
1252620434794786800,Tue Apr 21 15:29:18 +0000 2020,If you need some perspective... https://t.co/NauZJzUvM9
1250920370053566500,Thu Apr 16 22:53:51 +0000 2020,my hair right now https://t.co/E0cVqtRCmW
1247680195831758800,Wed Apr 08 00:18:34 +0000 2020,“On the front end of a pandemic, you look a little bit like an alarmist... And on the back end of a pandemic, you d… https://t.co/0DUHefJhb0
1244341927685894100,Sun Mar 29 19:13:28 +0000 2020,Watching late night hosts become at-home video creators has been fascinating. Are worlds colliding? https://t.co/xyY86TQYwT
1241836657252286500,Sun Mar 22 21:18:25 +0000 2020,@Steiger31 Danggg.
1241802470361370600,Sun Mar 22 19:02:35 +0000 2020,Just took my kids to skip rocks at the creek like it's 1820. Kinda nice actually.
1241163312034873300,Sat Mar 21 00:42:47 +0000 2020,“We all have to behave as if we have it. It will change how we interact with people and how we interact with our environment.” -Sanjay Gupta
1237555375135543300,Wed Mar 11 01:46:08 +0000 2020,"Remember how weird things got way back when the coronavirus was going around?"  Looking forward to saying that.
1237091591699017700,Mon Mar 09 19:03:14 +0000 2020,@makemebad35 Feels like 30 years ago...
1236401696248561700,Sat Mar 07 21:21:50 +0000 2020,RT @neiltyson: Like an invasion of hostile space aliens, COVID-19 Is an enemy of the human species that won’t negotiate. It cares not of yo…
1236401394023833600,Sat Mar 07 21:20:38 +0000 2020,@TaylorLorenz Agreed, and finally some time to catch up on side projects.
1236067182309716000,Fri Mar 06 23:12:35 +0000 2020,If you're gonna be stuck inside this weekend, I found this to be a great and warm movie to counteract all the hyste… https://t.co/agyCXpQltJ
1235941088336195600,Fri Mar 06 14:51:32 +0000 2020,RT @BarackObama: Protect yourself and your community from coronavirus with common sense precautions: wash your hands, stay home when sick a…
1235009034979168300,Wed Mar 04 01:07:53 +0000 2020,@Steiger31 Lol
1234944613208580000,Tue Mar 03 20:51:54 +0000 2020,For once, declining handshakes isn't awkward.
1234687080854212600,Tue Mar 03 03:48:34 +0000 2020,@joshuaJcohen @schnippstar Toy Fair is more interesting than me, but great listen. And Josh you nailed it - I'm mor… https://t.co/a0w5caUEwJ
1234667348633604000,Tue Mar 03 02:30:09 +0000 2020,@icapulet Mainly in your head so you know what you're doing, but also in your branding.
1234663393786646500,Tue Mar 03 02:14:26 +0000 2020,@SEOHolicc Thanks Alex! We'll see how it goes.
1234662174192103400,Tue Mar 03 02:09:35 +0000 2020,@icapulet Provide value in some way - and be specific and consistent with it. Try to come up with a one-line elevat… https://t.co/4MrWYw6c4E
1234661020204855300,Tue Mar 03 02:05:00 +0000 2020,@flagship_social @YouTube Just one so far. 😁
1233930764800098300,Sun Mar 01 01:43:14 +0000 2020,@Jaielbe Eight!
1233926366917267500,Sun Mar 01 01:25:45 +0000 2020,@derraleves @MarkRober Oh don't think I've not watched that video five times already. I'm guessing there are huge s… https://t.co/HfvipVekRc
1233922641339338800,Sun Mar 01 01:10:57 +0000 2020,Just a tadddd behind on my son's pinewood derby car. https://t.co/0UnpVDwdLF
1233574521241849900,Sat Feb 29 02:07:39 +0000 2020,@MarcHustvedt Gee, buckle up for what, Marc? 😁 Thanks
1233234825257083000,Fri Feb 28 03:37:49 +0000 2020,@BarbaraEMac @YouTubeLiaison Thanks Barbara!
1233229427493998600,Fri Feb 28 03:16:22 +0000 2020,@girlhack Psh, you know I ain't fancy!
1233185323397546000,Fri Feb 28 00:21:07 +0000 2020,@wheezywaiter Why thank ya. Hope all is well, Craig.
1233185096120881200,Fri Feb 28 00:20:13 +0000 2020,@VsauceTwo @YouTubeLiaison @YouTube Thanks pal
1233036308731138000,Thu Feb 27 14:28:59 +0000 2020,@TaylorLorenz Thanks! And yes to coffee.
1233035643896369200,Thu Feb 27 14:26:20 +0000 2020,@moth @YouTube @YouTubeLiaison That's like a month in internet time, Tim.
1233034569198252000,Thu Feb 27 14:22:04 +0000 2020,@TsirAhXuan I didn't see anything on my MySpace though. WTF! 😁 Thank you!
1232491407866155000,Wed Feb 26 02:23:44 +0000 2020,@jgconley3 Thank you Jim! So nice of you. Miss ya.
1232482038923444200,Wed Feb 26 01:46:31 +0000 2020,@moth Yasss.
1232481740754542600,Wed Feb 26 01:45:20 +0000 2020,@HappySlip Aw, thanks friend! So glad you're making videos again, btw.
1232348960536350700,Tue Feb 25 16:57:42 +0000 2020,RT @tubefilter: YouTube Elevates Creator-Turned-Executive @MattKoval To New Role: ‘@YouTubeLiaison’ https://t.co/73OywDZ8mY
1232306188584444000,Tue Feb 25 14:07:45 +0000 2020,RT @searchliaison: Hello to @YouTubeLiaison -- where @MattKoval is in a new role of helping people better understand YouTube and helping Yo…
1232088508430475300,Mon Feb 24 23:42:46 +0000 2020,@Jaielbe @YouTubeLiaison Aw thank you Joe.
1232064266301210600,Mon Feb 24 22:06:26 +0000 2020,Job news! I'm in a new gig as Head Creator Liaison @YouTube. I'll still tweet from here, but anything more official… https://t.co/gzLg1wt96S
1231782507198193700,Mon Feb 24 03:26:49 +0000 2020,Our goalie's hurt - who can replace him? ...How about the Zamboni driver? #MovieMaterial https://t.co/5Jw0qSeoHe
1231274525079359500,Sat Feb 22 17:48:17 +0000 2020,@PucatuB 100% 🙂
1231257475204239400,Sat Feb 22 16:40:32 +0000 2020,When someone says they want to make a 360° change. 🤔
1230567948584210400,Thu Feb 20 19:00:36 +0000 2020,.@MarkRober uploads once a month and just kills it - recently hitting 10M subs. Great chat with him and… https://t.co/LxIq2JmP4D
1229866587349540900,Tue Feb 18 20:33:38 +0000 2020,@TMikeMartin They got pretty voluptuous with the lips, eh?
1229776295606788000,Tue Feb 18 14:34:51 +0000 2020,@HeyBuckHey Good to hear! Yep, there can be lots of opportunity after being a creator.
1229608043635204000,Tue Feb 18 03:26:17 +0000 2020,The show must go on?? 😆 https://t.co/B0wq9y2k2i
1227468185068343300,Wed Feb 12 05:43:15 +0000 2020,RT @MrGeorgeWallace: 👏 ARE 👏 Y'ALL 👏 SEEING 👏 THIS 👏 CROOKED 👏 ASS 👏 SHIT 👏 VOTE 👏 FOR 👏 THE 👏 NOMINEE 👏 I 👏 DON'T 👏 CARE 👏 IF 👏 IT'S 👏 CAP…
1226263454593491000,Sat Feb 08 21:56:05 +0000 2020,@Jaielbe Thanks! Hope you're well, Joe
1226231612054044700,Sat Feb 08 19:49:33 +0000 2020,About to attempt to renovate a bathroom based on @YouTube tutorials alone. Wish me luck. https://t.co/GnsDha2bwP
1225423654688870400,Thu Feb 06 14:19:01 +0000 2020,RT @SusanWojcicki: Come back to @YouTubeSpaceNY anytime, Super Shawny! We’re rooting for you and your new YouTube channel! #AssembleforShaw…
1225266902815121400,Thu Feb 06 03:56:08 +0000 2020,"You look SO DIFFERENT in person vs. on video." ...How would you take that? 🤔
1224134280693059600,Mon Feb 03 00:55:30 +0000 2020,RT @adage: Google’s #SuperBowl commercial was inspired by the real grandfather of a Google employee. At 85-years-old he makes his film debu…
