id,created_at,text
1259933243870187500,Mon May 11 19:47:48 +0000 2020,RT @MiamiHEAT: Your favorite moment from the 2013 win streak was....?  Starting tomorrow all 27 games will air in their entirety on @FoxSpo…
1259484290385088500,Sun May 10 14:03:49 +0000 2020,Being a mom is not an easy task but how easy u make it look is amazing....ur sacrifices and dedication to raising o… https://t.co/Expzch9oQe
1259480588160917500,Sun May 10 13:49:06 +0000 2020,There’s no greater bond than a mother and her children but there’s no bond greater than a mother and son relationsh… https://t.co/hlICGhGDGs
1258450104295600000,Thu May 07 17:34:20 +0000 2020,Enough is enough man......can’t even go on an innocent jog..... https://t.co/7NnhjDSu76
1257177243996037000,Mon May 04 05:16:26 +0000 2020,RT @AKsportshall: Our 64-player bracket to determine Alaska’s Greatest NCAA D1 Men’s Basketball Player has reached the final four.  The Big…
1256306045917573000,Fri May 01 19:34:37 +0000 2020,Happy 10th birthday to my baby girl Queen b......so proud of u and I love u so much....enjoy ur day and have fun...… https://t.co/9U1WNyvhsl
1255983756202082300,Thu Apr 30 22:13:57 +0000 2020,My nephew nice.....RT @TrevonAryTurner: #Views on the next generation.... btw please stay inside so i can go get a… https://t.co/xar0hjUK1U
1255983258715725800,Thu Apr 30 22:11:58 +0000 2020,RT @AKsportshall: Our 64-player bracket to determine Alaska’s Greatest NCAA D1 Men’s Basketball Player is down to the elite eight.  Mario C…
1254627263481630700,Mon Apr 27 04:23:44 +0000 2020,Lol man I thought I was trippin....glad someone else seen it too..RT @JCrossover: Nooo MJ did NOT have 3peat shirt… https://t.co/fI27WNDtP3
1254184078296920000,Sat Apr 25 23:02:40 +0000 2020,Nice list to be apart of.... https://t.co/EWiU34H1kj
1254181958864842800,Sat Apr 25 22:54:15 +0000 2020,RT @selfdefeating: I just met @mchalmers15 . Was pumped to thank him for doing his thing for the Heat. I loved his defense and catch-and-sh…
1253201135046983700,Thu Apr 23 05:56:48 +0000 2020,RT @AKsportshall: The first round of the 64-player bracket in the books. We have now sliced the field in half and moved closer to determini…
1252346914185441300,Mon Apr 20 21:22:26 +0000 2020,RT @AKsportshall: Alaska has produced roughly 70 NCAA D1 men's basketball players in the last 80 years. We've had All-Americans, MVPs, MOPs…
1251886165659127800,Sun Apr 19 14:51:35 +0000 2020,U really thought it was that funny,??RT @ValidJab: Black AF on Netflix ... 10/10 recommend lol both funny &amp; informative
1251201168992239600,Fri Apr 17 17:29:39 +0000 2020,I just wanna b in the gym gettin better.......and having fun https://t.co/Lq2oqYb0MO
1250483683599024000,Wed Apr 15 17:58:37 +0000 2020,RT @YahooSportsNBA: "He got his the hard way, the painful way, the way most hoopers try to avoid." Appreciating the brilliance of KG https:…
1248619140371214300,Fri Apr 10 14:29:35 +0000 2020,RT @BHanni: We all know @SHERRONCOLLINS4 got the assist on @mchalmers15 miraculous shot back in 2008, but should @Jeff_Hawkins_KU have gott…
1247967732479467500,Wed Apr 08 19:21:08 +0000 2020,Craaaazzzzyy......RT @Youngbloods85: @mchalmers15 @CoachBBallard How crazy was the locker room right after y’all got in there?
