id,created_at,text
1259674352951406600,Mon May 11 02:39:04 +0000 2020,Sweetheart https://t.co/QE5VcvrG6X
1258828691477594000,Fri May 08 18:38:42 +0000 2020,And it’s the perfect size! Well done @catturd2 https://t.co/jK3yGQGDLu
1258807213205991400,Fri May 08 17:13:21 +0000 2020,https://t.co/YVTnJdKVPO
1258097151718105000,Wed May 06 18:11:49 +0000 2020,Tune in! https://t.co/svbvJBoGXe
1257686097980723200,Tue May 05 14:58:27 +0000 2020,Great day! https://t.co/pYSgB29zcp https://t.co/ddGFPPVYls
1257370286015512600,Mon May 04 18:03:31 +0000 2020,At least there’s not killer hornets... oh shit.... https://t.co/CSMjIBnqZz via @TMZ
1257363683036074000,Mon May 04 17:37:17 +0000 2020,RT @jessical_oneill: “So, I’ve been thinking about your flaws...” -@mchooyah to me on this lovely Monday😂 #pleasecontinue
1257005751748485000,Sun May 03 17:54:59 +0000 2020,This is unconstitutional. https://t.co/T2P2fVc4WR
1256904684285108200,Sun May 03 11:13:23 +0000 2020,“Congress shall make no law abridging the right of the people to peaceably assemble”. I think I read this somewhere… https://t.co/GxJxjnbf2l
1256901493862604800,Sun May 03 11:00:42 +0000 2020,Everything our government touches turns into complete shit.
1256897503833788400,Sun May 03 10:44:51 +0000 2020,A few man rules for today: 1. Wake up 2. Put your feet on the floor 3. Pick up the newspaper  4. Read the obituarie… https://t.co/vAkPe9zIy5
1256889740474945500,Sun May 03 10:14:00 +0000 2020,I’ll say this one more time for clarity: No man who was on the bin Laden raid is dead. Not one.
1256809001574162400,Sun May 03 04:53:11 +0000 2020,This happened. https://t.co/tFezwBmQsH
1256653602359304200,Sat May 02 18:35:40 +0000 2020,Everyone from that mission is still alive. Another book came out a few weeks ago. It wasn’t written by a dead man.… https://t.co/wS3KKVZJZg
1256651595779125200,Sat May 02 18:27:42 +0000 2020,RT @TheFigen: RIP 😁😁 https://t.co/QR7Hyk1lrg
1256649865096040400,Sat May 02 18:20:49 +0000 2020,Blackhawk Down is on. Pilots are cool.
1256593072806387700,Sat May 02 14:35:09 +0000 2020,RT @ChiSportsDay: OTD in 2011 the USA captured and killed Osama bin Laden. News broke out during the Sunday Night Baseball broadcast. 🇺🇸 🇺🇸…
1256464586565451800,Sat May 02 06:04:36 +0000 2020,@SchmittNYC My man!! Unlike you, that’s the ONLY time I wake up at midnight! See you soon! Be well..
1256462672427659300,Sat May 02 05:56:59 +0000 2020,Phil. Thank you, brother. That means a lot! https://t.co/x66DRKJC6y
1256462015180214300,Sat May 02 05:54:23 +0000 2020,No shit... @sternshow @HowardStern ... best interview I’ve ever been on. Huge fan. https://t.co/MSfyHzOjoo
1256374359729504300,Sat May 02 00:06:04 +0000 2020,One more toast to the Rangers involved that no one knows about. Cheers. RLTW!
1256372331833852000,Fri May 01 23:58:00 +0000 2020,Tilt one back tonight for the The 160th SOAR. Night Stalkers Don’t Quit! Death waits in the dark...
1256368512198676500,Fri May 01 23:42:50 +0000 2020,9 years ago right now, 23 dudes were fucking some shit up.
1256250915306320000,Fri May 01 15:55:32 +0000 2020,If you get attacked by clowns, go for the juggler.
1256245508902998000,Fri May 01 15:34:03 +0000 2020,My foundation is now Special Operators Transition Foundation. New name, same mission. Check us out! https://t.co/mALm7avzAN
