id,created_at,text
1261296450736193500,Fri May 15 14:04:42 +0000 2020,RT @nelsonlflores: Instead of talking about diversifying the field I prefer to talk about amplifying marginalized voices.  The first sugges…
1261263930791526400,Fri May 15 11:55:28 +0000 2020,RT @KevinQ: New in today's Upshot, a serious attempt at answering a question I think almost all New Yorkers have wondered:   How many peopl…
1261112258178044000,Fri May 15 01:52:47 +0000 2020,@yosoymichael thank you and yes it is !!
1261098756038066200,Fri May 15 00:59:08 +0000 2020,hbd to the god @sophiefkemp I miss when we could get fits off and be miscreants https://t.co/6Cthj4UA20
1260626319085314000,Wed May 13 17:41:50 +0000 2020,I interviewed @beccamancari, who is a force and a light, about her upcoming album.  there was so much that I had to… https://t.co/jTHnTgkzOK
1260416494917374000,Wed May 13 03:48:04 +0000 2020,VENGEANCE!!!! 🥰 https://t.co/n5AUi9CA4c
1260404628258160600,Wed May 13 03:00:55 +0000 2020,the fact that he came back with hair extensions ready to literally slay a;slkgfj;laefkja;glkjaef
1260403767616381000,Wed May 13 02:57:30 +0000 2020,finally watched BACURAU and this is my king now https://t.co/6nQEcGXsnX
1260403653896220700,Wed May 13 02:57:02 +0000 2020,@kamauwhynaina yes but i've done it
1260310223346172000,Tue May 12 20:45:47 +0000 2020,@duriancologne love you ❤️❤️
1260009806166847500,Tue May 12 00:52:02 +0000 2020,@eastbayvicious aw i’m so glad it’s been good to you ❤️
1260008648245305300,Tue May 12 00:47:26 +0000 2020,not to be corny but I haven’t been feeling well (like most people right now) and the only thing that feels GOOD goo… https://t.co/FYgjUBv1cI
1259968657016356900,Mon May 11 22:08:31 +0000 2020,@iamgreersmith please be careful 🥴
1259893061074718700,Mon May 11 17:08:08 +0000 2020,@DrMaDMo you're the best!!!
1259508441200164900,Sun May 10 15:39:47 +0000 2020,@jonviktorcorpuz lmfaooooo
1259304074706591700,Sun May 10 02:07:42 +0000 2020,RT @kpmendo: People are vicious behind a keyboard; this is nothing novel to me, but since coming out in 2015, never have I felt the need to…
1259248776834924500,Sat May 09 22:27:58 +0000 2020,everyone loves to say this or that is "the blueprint." he truly was https://t.co/tvBK0xKI5A
1258953155884261400,Sat May 09 02:53:17 +0000 2020,RT @jonnysun: who is writing about how most of the food writing industry is a colonialist project which celebrates white food writers for "…
1258910930022412300,Sat May 09 00:05:29 +0000 2020,WE STAN KIWOOM HEROES https://t.co/ovRzpLFHMm
1258830576955555800,Fri May 08 18:46:12 +0000 2020,RT @whembleysewell: Today at @them we launched "Out on the Frontlines", a series highlighting extraordinary LGBTQ+ people who are holding t…
1258769530433802200,Fri May 08 14:43:37 +0000 2020,@BeckySuiZhen why is this tweet asking for shoe storage recommendations a whole poem
1258767946232615000,Fri May 08 14:37:19 +0000 2020,please read the other stories here, they are all amazing and a nice shot of hope amidst everything https://t.co/M7uwZrnt3Q
1258767549958889500,Fri May 08 14:35:45 +0000 2020,I also spoke to Yin Chang (@yin_i_am) and Moonlynn Tsai (@kopitiam_nyc), who deliver over a thousand meals a week t… https://t.co/244jrhLoPZ
1258766881080696800,Fri May 08 14:33:05 +0000 2020,I talked to @kpmendo about what it's like to be a 24-year-old ICU nurse working through the pandemic and how our co… https://t.co/bddX9xW30V
1258766673349349400,Fri May 08 14:32:16 +0000 2020,Today, @them launches our OUT ON THE FRONTLINES package, highlighting LGBTQ+ people who are directly aiding others… https://t.co/LjnJOjG9N8
1258764216917536800,Fri May 08 14:22:30 +0000 2020,this is TODAY (MAY 8) at 5pm ET !!  see you in the stream 🌊 https://t.co/GB3te1Qa2n
1258734398700163000,Fri May 08 12:24:01 +0000 2020,RT @nattykasambala: I’m putting this out there now, if SZA is about to go into campaign, I don’t think there’s an artist that I would get o…
1258563288020942800,Fri May 08 01:04:05 +0000 2020,RT @thisisEJKoh: Korean American &amp; Korean Diaspora literature. Poetry, fiction, non-fiction, memoir, comics, plays. Just arrived from books…
1258563178365141000,Fri May 08 01:03:39 +0000 2020,going live on @them’s Instagram account tomorrow!!!  🏳️‍🌈 interviewing ALICE WU  🎬 director of THE HALF OF IT on… https://t.co/3bxSu7Pa4a
1258046148922794000,Wed May 06 14:49:09 +0000 2020,RT @goldenpolaroid: Yesterday was Alex Webb’s birthday  He’s easily one of my favorite street photographers. His compositions are insane. h…
