id,created_at,text
1261000891932520400,Thu May 14 18:30:15 +0000 2020,@tylercoates i didn't tweet mine because i didn't know if coming around a corner and nearly plowing down elijah woo… https://t.co/8lf1hrvVHG
1260984207880392700,Thu May 14 17:23:57 +0000 2020,This @HarvardBiz series (overseen by the great @GretchenMarg) about how to lead a team when you're filled with stre… https://t.co/y5WGfuW4Sw
1260955473181913000,Thu May 14 15:29:46 +0000 2020,@emmabaccellieri did you know that sometimes i actually forget that on top of everything you went to DUKE? then i w… https://t.co/N4DeALb5eZ
1260953842520383500,Thu May 14 15:23:18 +0000 2020,@emmabaccellieri wow it's wild that you became dead to me just two years and two weeks ago, feels like a lifetime!
1260657997841174500,Wed May 13 19:47:43 +0000 2020,RT @brbarrett: .@parismartineau and @adavies47 are brilliant writers, dogged reporters, and wonderful people. Hire them before someone beat…
1260279797432926200,Tue May 12 18:44:53 +0000 2020,"To those Guild members who came before us: We are sorry. To the city and people of Cleveland and Northeast Ohio: W… https://t.co/6MC00R9Zcz
1260249057034793000,Tue May 12 16:42:44 +0000 2020,@seywarddarby love you, buddy.
1260248865086812200,Tue May 12 16:41:58 +0000 2020,RT @seywarddarby: *clears throat awkwardly*   You can now preorder my book, which has a cover I couldn't be happier with. Various links (@i…
1260245947461795800,Tue May 12 16:30:22 +0000 2020,Editorial independence from the business side is considered fundamental at every publication I’ve ever heard of; wh… https://t.co/3VLcdDkcG0
1260241670655955000,Tue May 12 16:13:23 +0000 2020,@tylercoates "red" is not a type, tyler. but if you wanna come over i'll give you more fruits.
1260203609393946600,Tue May 12 13:42:08 +0000 2020,RT @a_greenberg: Three years ago today, Marcus Hutchins stopped WannaCry, an $8 billion cyberattack. Then the FBI arrested him.   Today we'…
1260176843363229700,Tue May 12 11:55:47 +0000 2020,@tylercoates what kinda fruits and flowers do you have
1259650084028985300,Mon May 11 01:02:37 +0000 2020,@lindseyadler that diana blog holds up, huh?
1259543169848533000,Sun May 10 17:57:47 +0000 2020,@millie 🤗
1259536025128439800,Sun May 10 17:29:24 +0000 2020,@marcatracy yes, only the best.
1259532046915043300,Sun May 10 17:13:35 +0000 2020,@CandaceDBuckner once i perfect them it’s gonna be goodbye media, i’m becoming a bagel baron
1259531837610786800,Sun May 10 17:12:45 +0000 2020,@tommytomlinson i didn’t even mention that @djheller and i fixed our own furnace!
1259517772238913500,Sun May 10 16:16:52 +0000 2020,made my own bagels, feeling unstoppable. https://t.co/e7Iv3wJui3
1259145604242059300,Sat May 09 15:38:00 +0000 2020,@egtheog RIP
1259139489521447000,Sat May 09 15:13:42 +0000 2020,RT @CalebMelby: Absolutely sobbing and begging you to not let the anchovies become collateral damage in all of this
1258888997503414300,Fri May 08 22:38:20 +0000 2020,deadspin idiot trivia is good. https://t.co/VVydGQMwC4
1258854717339435000,Fri May 08 20:22:07 +0000 2020,RT @lmatsakis: welcome to my strange hell :) https://t.co/fAZLRP4pRP
1258826456878272500,Fri May 08 18:29:49 +0000 2020,@mega_hurt love that you timed this blog for the day before the temp is going to be in the 30s
1258809505078489000,Fri May 08 17:22:28 +0000 2020,RT @pardesoteric: My editor: *patiently waiting for a draft that was due days ago*  Me: *turns in a draft about how time is not real*  http…
1258585583032688600,Fri May 08 02:32:41 +0000 2020,@caitlinrcruz @jawnita @Knibbs caitlin, you know everything you need to know about her, welcome.
1258571420059275300,Fri May 08 01:36:24 +0000 2020,@Knibbs this is absolutely psychotic and also i need to know everything you learn immediately.
1258469090861224000,Thu May 07 18:49:47 +0000 2020,@dhm to be fair the empty box sat there for months
1258426422147854300,Thu May 07 16:00:14 +0000 2020,RT @jelani9: Not long ago I mentioned to a group of white people that I never run at night because of the dangers of being a large black ma…
