id,created_at,text
1260370601505628200,Wed May 13 00:45:42 +0000 2020,Is that even legal? https://t.co/gmv7fZrmQa
1260316665994195000,Tue May 12 21:11:23 +0000 2020,@BrianLynch I mean, I’m just guessing how old she is.
1260316376390140000,Tue May 12 21:10:14 +0000 2020,Happy 17th birthday to my daughter Ruthie who doesn’t follow me on Twitter. 😢
1260307240428482600,Tue May 12 20:33:56 +0000 2020,@cmclymer Would you call them "rock" or "hard rock"?
1260305446113620000,Tue May 12 20:26:48 +0000 2020,@thomaslennon Ok but, in fairness, that was the last popular thing I did.
1260303470306963500,Tue May 12 20:18:57 +0000 2020,@KristerJohnson @yashar I vote for U2.
1260300728184311800,Tue May 12 20:08:03 +0000 2020,RT @podcastbrunch: We compiled a few favorite-ever episodes from Podcast Brunch Club chapter leaders worldwide and the interview with @TimG…
1260175827716669400,Tue May 12 11:51:44 +0000 2020,RT @amusebook: We all worry sometimes! Here's our #readaloud for today, @StGregoryHCDSB friends! Debbie Ridpath Ohi (@inkyelbows) and @mich…
1260030295127978000,Tue May 12 02:13:27 +0000 2020,@ducksnot And if I haven't properly thanked (or acknowledged) you, that's on me.
1260026460946829300,Tue May 12 01:58:13 +0000 2020,Important reminder that I was the https://t.co/KfMRX3S669 sock puppet in case any of you ever doubt my qualifications for anything.
1260025445942063000,Tue May 12 01:54:11 +0000 2020,@j_smithcameron Fabulous!
1260003637339787300,Tue May 12 00:27:31 +0000 2020,Who says it's going to end? https://t.co/SgIcUsxldJ
1260003028414926800,Tue May 12 00:25:06 +0000 2020,RT @leahmcelrath: #RememberTheDead  •Total global deaths ≈ 287,000  •Total US deaths ≈ 82,000  Each one a human being with people who are m…
1260002954242859000,Tue May 12 00:24:48 +0000 2020,RT @andrewzimmern: Truth https://t.co/1Q7BQCbksJ
1260000015264686000,Tue May 12 00:13:07 +0000 2020,@Marisa_TorresV Our privilege is obvious to me - neither of us should be involved in this at all - yet we are. That… https://t.co/bZ37IWUrqu
1259998397416734700,Tue May 12 00:06:42 +0000 2020,@DannyDeraney We all have to draw lines for what we consider forgivable behavior. And those lines will be different… https://t.co/dsNHM6D3vn
1259997915201888300,Tue May 12 00:04:47 +0000 2020,@DannyDeraney Yeah, but it's entertainment for some people. I get it. We're all guilty of indulging in vicarious "f… https://t.co/n7zkXvZuho
1259996896241819600,Tue May 12 00:00:44 +0000 2020,@Marisa_TorresV I'm not saying anything about whether her apology is "good enough" or whether anybody should accept… https://t.co/kejiareOl8
1259994918136791000,Mon May 11 23:52:52 +0000 2020,@KristerJohnson Fuck. I knew it.
1259993841958092800,Mon May 11 23:48:36 +0000 2020,Apologies are hard. Public apologies even more so. They force self-reflection and humility. For some people, they w… https://t.co/yZvZmNaq6O
1259992948038668300,Mon May 11 23:45:03 +0000 2020,I don't know Alison (I'm friendly with Chrissy over Twitter). I don't have a stake in this other than knowing what… https://t.co/YG5e9UqWBr
1259882802885124000,Mon May 11 16:27:22 +0000 2020,RT @MJMcKean: RIP Jerry Stiller, a great comic actor and a splendid man. He and his wife Anne were royalty but they would’ve laughed in you…
1259873392003612700,Mon May 11 15:49:58 +0000 2020,RT @alfranken: I so loved &amp; admired Jerry Stiller. Met him &amp; Anne in ‘73 when Franken &amp; Davis did the NYC Improv. Weren’t many teams then (…
1259590846556577800,Sun May 10 21:07:14 +0000 2020,@paulandstorm Congrats to her!
1259551552114737200,Sun May 10 18:31:06 +0000 2020,@BrianLynch Yes. And THANK YOU! They are lovely and I told my wife they weren’t for her but she didn’t understand w… https://t.co/n9IVfEZRq2
1259532318554894300,Sun May 10 17:14:40 +0000 2020,@BrianLynch Brian, you celebrate Mother's Day *your* way and I'll celebrate it *my* way and my wife will celebrate it doing chores.
1259531318469279700,Sun May 10 17:10:41 +0000 2020,To all my haters: this was a joke. I'm obviously not going to do the laundry.
1259527459571196000,Sun May 10 16:55:21 +0000 2020,If you've got some worried little ones or maybe some worried big ones. https://t.co/TWlPWLqKbC
1259489648595939300,Sun May 10 14:25:07 +0000 2020,RT @bananapeele: A perfect Mother’s Day story about not being a perfect mother by @BoobsRadley. https://t.co/SRaapa27mg
1259489585966518300,Sun May 10 14:24:52 +0000 2020,@BoobsRadley @bananapeele This is so well-written and great.
1259484764958003200,Sun May 10 14:05:42 +0000 2020,Going to do all the laundry on Mother's Day so that my wife can focus on cleaning the bathrooms.
1259484302573781000,Sun May 10 14:03:52 +0000 2020,@paulandstorm Your face is an AT4 anti-tank weapon.
1259484147711688700,Sun May 10 14:03:15 +0000 2020,RT @johnpavlovitz: They have forgiven Donald Trump for multiple affairs, porn star payoffs, financial improprieties, unhinged Twitter rants…
1259469863246016500,Sun May 10 13:06:29 +0000 2020,RT @inkyelbows: A very HAPPY MOTHER'S DAY to all you moms out there! 💐💛🌸🌻🌼🌺  (illus from Naked! by @michaelianblack &amp; me 😁) https://t.co/aU…
1259328396460527600,Sun May 10 03:44:21 +0000 2020,RT @birbigs: A poem that my wife J. Hope Stein (@PoetryCrush) wrote for our book #TheNewOne was published in this motherhood-themed collect…
1259314702439637000,Sun May 10 02:49:56 +0000 2020,@paulandstorm I hate to say, but you face is an AT4 anti-tank weapon.
1259313209875542000,Sun May 10 02:44:00 +0000 2020,@paulandstorm Son, when I've got that bad boy pointed at you while you're ordering your goddamned tuna melt or what… https://t.co/deXkvsqGWK
1259303394189160400,Sun May 10 02:05:00 +0000 2020,Real men don't need to have big guns to have small dicks! Wait. https://t.co/v3jonx4IGj
1259302787134996500,Sun May 10 02:02:35 +0000 2020,She should be sent back for that haircut. https://t.co/uv6PNom4Q7
1259302546172268500,Sun May 10 02:01:38 +0000 2020,RT @Slashleen: This is how you ACTUALLY pronounce X Æ A-12 https://t.co/ES8wS2FjST
1259301226845520000,Sun May 10 01:56:23 +0000 2020,I am very pro gun control but now I want a bazooka for when I get sandwiches. https://t.co/20JknkbqxX
1259297388797231000,Sun May 10 01:41:08 +0000 2020,RT @WendyMolyneux: Harrison Ford constantly crashes his airplane into things.  Donald Trump is the worst person alive.  I have an idea.
1259294585840455700,Sun May 10 01:30:00 +0000 2020,@podcastbrunch Sure. What do you need me to do?
1259290426407821300,Sun May 10 01:13:28 +0000 2020,@BrianLynch @SalVulcano Sow Wheat
1259285329904840700,Sun May 10 00:53:13 +0000 2020,@MindyFurano @calebsaysthings Mindy, if you like, I'll also wish you a happy birthday for money.
1259284447054233600,Sun May 10 00:49:43 +0000 2020,@calebsaysthings @MindyFurano I had a gay mom so I hear you.
1259283501339349000,Sun May 10 00:45:57 +0000 2020,I love every ingredient in this birthday cake. https://t.co/mh6GkTVyaT
1259282588230922200,Sun May 10 00:42:20 +0000 2020,@ScottAukerman @awkwafina Am I definitely not going to be in this movie?
1259282320177143800,Sun May 10 00:41:16 +0000 2020,@SalVulcano Not sure how to respond to this.
1259279419421724700,Sun May 10 00:29:44 +0000 2020,@SalVulcano This tweet should have come with a trigger warning.
1259270101892644900,Sat May 09 23:52:43 +0000 2020,@KevinMKruse I'm satisfied with my fantasy of it.
1259268573962346500,Sat May 09 23:46:38 +0000 2020,I think we have a winner for best photograph ever taken. https://t.co/B7A1PtmMxm
1259242413912137700,Sat May 09 22:02:41 +0000 2020,This was devastating. https://t.co/cZxMZttOEn
1259206587664736300,Sat May 09 19:40:20 +0000 2020,IMPORTANT POKER UPDATE: I won my table and now I'm waiting to play in the Second Round. You can watch here. https://t.co/M1pQuSXfV7
1259182499520970800,Sat May 09 18:04:37 +0000 2020,I'm about to play in this. https://t.co/M1pQuSXfV7
1259135594573312000,Sat May 09 14:58:14 +0000 2020,@BrianLynch Let me chopper it over to you. Is your helipad still operational?
1259134958909763600,Sat May 09 14:55:42 +0000 2020,I care about Michael Flynn and the rest of them the same way I care about an expired container of cottage cheese. I… https://t.co/j39WSvJaxX
1259110105578119200,Sat May 09 13:16:56 +0000 2020,#maga https://t.co/zbnl6opl5s
1259108602318663700,Sat May 09 13:10:58 +0000 2020,RT @jpchanda: When republicans claimed the American flag as their own sign of patriotism I thought it was the most twisted propaganda I hav…
1258956924369936400,Sat May 09 03:08:15 +0000 2020,@alexnazaryan @MollyJongFast If it's not a family secret.
1258953859956977700,Sat May 09 02:56:05 +0000 2020,@zappa2001 I have no idea. I just bought it for the lolz.
1258952639783501800,Sat May 09 02:51:14 +0000 2020,I bought my toaster *before* the pandemic because I'm not a fucking idiot.
1258946834531258400,Sat May 09 02:28:10 +0000 2020,@MollyJongFast @alexnazaryan Mr. Fancy Pants’s grandparents had wallpaper glue. Ooh la la.
1258837635122028500,Fri May 08 19:14:14 +0000 2020,I’m playing in this. I expect to do ok for a while, make a stupid play, get frustrated, and then crash and burn. https://t.co/zZNToYSx3t
1258809338598232000,Fri May 08 17:21:48 +0000 2020,@BrianLynch And how smart is the writing and world building? Now I’m getting mad at it.
1258808573385203700,Fri May 08 17:18:46 +0000 2020,@BrianLynch Everybody’s so good in it which sucks because all the hunky guys also happen to be very funny. Not a go… https://t.co/oemyemtEoI
1258808325925474300,Fri May 08 17:17:47 +0000 2020,@BrianLynch Same with me liking stuff!
1258807970479177700,Fri May 08 17:16:22 +0000 2020,@BrianLynch I loved it.
1258807059962900500,Fri May 08 17:12:45 +0000 2020,Game was NEVER easy in the League but might have been a little easier for some of us. 😉 #9years2rings https://t.co/n6oCdIjZVN
1258804850046890000,Fri May 08 17:03:58 +0000 2020,I used to wonder how a quack like Rasputin ended up advising the Tsar. https://t.co/hizYA7bdo4
1258803866918891500,Fri May 08 17:00:03 +0000 2020,And this article literally just came out mentioning Andy and Myq along with the incredible @coleescola. Everybody's… https://t.co/HKH2RJ3Xc4
1258803660039078000,Fri May 08 16:59:14 +0000 2020,Two GREAT comedians have new albums, if you find yourself, for whatever reason, in need of a laugh. Not sure why yo… https://t.co/gVo0zwSXb4
1258793794926936000,Fri May 08 16:20:02 +0000 2020,RT @OhNoSheTwitnt: We stopped school shootings by banning schools so I guess the next step is just to ban homes! And kids! Surely guns can’…
1258749868677501000,Fri May 08 13:25:29 +0000 2020,RT @inkyelbows: *New* picture book read-aloud video! I'M WORRIED author @michaelianblack reads our @Simonkids book, then I do a drawing dem…
1258577628744777700,Fri May 08 02:01:04 +0000 2020,@elle91 Was it with Bradley Cooper?
1258555417690505200,Fri May 08 00:32:49 +0000 2020,RT @pigsalreadyfly: #writingcommunity &amp; comedy fans! The #ShareTheLoad podcast I record &amp;edit w/ the amazing @mrschachter has a new episode…
1258535964932141000,Thu May 07 23:15:31 +0000 2020,This is such a well-made show. Vote Mo! https://t.co/XfW4AivdxI
1258535536802717700,Thu May 07 23:13:49 +0000 2020,@KristerJohnson If you want more spy stuff Daniel DeSilva is very readable and fun but also smarter than the average spy novel.
1258519975301542000,Thu May 07 22:11:58 +0000 2020,This is a good talk about man stuff. Give it a listen’ https://t.co/UnfsT6J9vZ
1258444842969051100,Thu May 07 17:13:25 +0000 2020,Current US coronavirus strategy: https://t.co/vtfxPlY2UO
1258442811747287000,Thu May 07 17:05:21 +0000 2020,@JesseThorn These are probably bugged and you’re probably a narc. NOT FALLING FOR IT
1258441809803579400,Thu May 07 17:01:22 +0000 2020,RT @KristerJohnson: https://t.co/vsDO4FEn4w
1258427261147021300,Thu May 07 16:03:34 +0000 2020,RT @ChrisMurphyCT: If you want to know why we have no national testing program, you just need to listen to what Trump said yesterday:  “By…
1258426652679438300,Thu May 07 16:01:09 +0000 2020,RT @thomaslennon: The introduction of ⁦@michaelianblack⁩’s new character. And possible spinoff show NEVADA HARZOLAH https://t.co/wDL6JfAdKl
1258426489013493800,Thu May 07 16:00:30 +0000 2020,@inkyelbows @FPGBLibrary @FPGBilingue @SimonBooks Thank you so much! Hope everybody enjoyed!
1258402003568517000,Thu May 07 14:23:12 +0000 2020,RT @DKThomp: "I’m pleased to announce that, even though the velociraptors are still on the loose, we will be opening Jurassic Park back up…
1258247862774874000,Thu May 07 04:10:42 +0000 2020,RT @ashleyn1cole: I don’t want to watch a video of a man being murdered. I also don’t want to live in a country where if you murder a black…
1258237691646357500,Thu May 07 03:30:17 +0000 2020,@joshzepps I just got Rosetta Stone to learn the language.
1258235724001939500,Thu May 07 03:22:28 +0000 2020,There might be a mention at 100k. https://t.co/ydEjeZnBHc
1258220904909340700,Thu May 07 02:23:35 +0000 2020,@joshzepps So naive. We're phasing out without doing shit.
1258215749061132300,Thu May 07 02:03:05 +0000 2020,@GLouise67 Nothing good, I can promise you.
1258210314404888600,Thu May 07 01:41:30 +0000 2020,@FarrisHandmade I knew where I was going but didn't remember how to get there.
1258209871385763800,Thu May 07 01:39:44 +0000 2020,@halosparkle Thank you!
1258204971687907300,Thu May 07 01:20:16 +0000 2020,IMPORTANT: I'll be reading the terrible first chapter of my fake book in about three minutes or so as part of Worst… https://t.co/rYRdUfLgL3
1258197546025001000,Thu May 07 00:50:45 +0000 2020,Worst First about to start. Watch comedians read fake first chapters from fake first books. https://t.co/fb0IdI4Oxl
1258195539801366500,Thu May 07 00:42:47 +0000 2020,@elle91 How do I get it? Amazon and shit? Is it good for modern Hebrew (which I'm starting with).
1258194617645883400,Thu May 07 00:39:07 +0000 2020,@elle91 Thanks! Do you have any good workbooks you recommend to your students?
1258194100723073000,Thu May 07 00:37:04 +0000 2020,@elle91 (I'm obviously teaching myself Hebrew right now.)
1258193990547054600,Thu May 07 00:36:38 +0000 2020,@elle91 Wow. Major shade to kaf sofit.
1258193843578712000,Thu May 07 00:36:03 +0000 2020,@KenJennings GOP always happy to spread the blame around when it's their fault.
1258193561155231700,Thu May 07 00:34:55 +0000 2020,@elle91 Love a good mem sofit.
1258192687511089200,Thu May 07 00:31:27 +0000 2020,RT @isabelzawtun: I would 100% pay 110 dollars to do this https://t.co/oGB4yIzMTz
1258186560136188000,Thu May 07 00:07:06 +0000 2020,Here's the link to the show:  https://t.co/P4xo06F4QQ
1258185929707196400,Thu May 07 00:04:36 +0000 2020,@jonathanvswan @maggieNYT His brother-in-law is Paul Krugman in a neck brace?!?
1258185442861736000,Thu May 07 00:02:40 +0000 2020,@Stapes Thanks, Joe. It's true - shitty dudes LOVE books!
1258184737757130800,Wed May 06 23:59:52 +0000 2020,Friends, this is tonight at 9:00 PM. Comedians read fake first chapters to fake books. I'm excited to share the one… https://t.co/OhgDy5LyRg
1258165861174648800,Wed May 06 22:44:51 +0000 2020,@HarMarSuperstar Half the bag seems like a reasonable amount. Bags of anything should be considered 1 serving size.
1258163887049973800,Wed May 06 22:37:00 +0000 2020,@TitusNation Holy shit. This is amazing.
1258163763431293000,Wed May 06 22:36:31 +0000 2020,@HarMarSuperstar How much of the super party size did you consume? Inquiring minds want to know. (Me. I have an inquiring mind.)
1258163523617804300,Wed May 06 22:35:34 +0000 2020,RT @BetsyGleick: This book will be just as good in September. And it does exist now wherever you preorder books. https://t.co/dXSDOkHoKI
1258163453530964000,Wed May 06 22:35:17 +0000 2020,@cardiffcomhub @EricaOyama @KenMarino @MsJuneDiane It is!
1258163396379279400,Wed May 06 22:35:03 +0000 2020,This isn't fair to the president. You're TOTALLY omitting the part where they want to strip people of their right t… https://t.co/bZQFERYW4M
1258079858208448500,Wed May 06 17:03:06 +0000 2020,@Angry_Polak This was the last week of my lunches. Throw a little hot sauce in there - fab! https://t.co/B1FR9O3htp
1258079512765612000,Wed May 06 17:01:44 +0000 2020,An outbreak, you say? In Georgia, you say? How could this be? https://t.co/ghvarLnGQ2
1258064810081759200,Wed May 06 16:03:19 +0000 2020,RT @NatashaBertrand: Tapes of calls of FEMA and HHS officials across the country, obtained by POLITICO, reveal widespread worries about new…
1258050218207195100,Wed May 06 15:05:20 +0000 2020,Apart from the obvious stuff, one of the worst things happening during this pandemic is that it's proving to be the… https://t.co/MPtYLeoX0i
1258043012992639000,Wed May 06 14:36:42 +0000 2020,@LegitimateGeek So glad they enjoyed!
1258037685245091800,Wed May 06 14:15:32 +0000 2020,What’s a slaughter without lamb? https://t.co/Rbw6pU69wW
1258013918150250500,Wed May 06 12:41:05 +0000 2020,In the middle of a pandemic, Kurt Loder's age is really hitting people hard.
1258013632069320700,Wed May 06 12:39:57 +0000 2020,At least they were close to the hospital when they fell. https://t.co/ssKcEd64H8
1258013522212126700,Wed May 06 12:39:31 +0000 2020,RT @janemarielynch: A national unity and sense of shared sacrifice that appeared in crises-past is completely absent. Instead, we have the…
1257891465625251800,Wed May 06 04:34:30 +0000 2020,@solomongeorgio Neither is in my skill set either but I 100% read out loud with a British accent.
1257890174815686700,Wed May 06 04:29:22 +0000 2020,@solomongeorgio British accent or no?
