id,created_at,text
1246128398377734100,Fri Apr 03 17:32:16 +0000 2020,RT @Robt_Gibbs: Today’s unemployment report would normally be jarring but it’s the tip of a large iceberg. Research @BPIMedia just finished…
1245004020130799600,Tue Mar 31 15:04:24 +0000 2020,RT @BPIMedia: It's hard to overstate just how much of our collective attention is focused on COVID-19.   Google queries about Coronavirus o…
1242173402959364000,Mon Mar 23 19:36:32 +0000 2020,RT @nick_shapiro: This is California at its best. Silicon Valley working with the government to help people in need. https://t.co/axOgPmFxzS
1242105782449004500,Mon Mar 23 15:07:50 +0000 2020,RT @Robt_Gibbs: As we start a new week, let’s all thank the selfless soldiers in this war: doctors &amp; nurses risking their lives to save oth…
1242093677805105200,Mon Mar 23 14:19:44 +0000 2020,RT @AdamKFetcher: During the BP oil spill, I was part of an all-of-government response. It wasn’t perfect. But 7 days/week for &gt;6mos we pub…
1238129699001258000,Thu Mar 12 15:48:18 +0000 2020,RT @WCraigFugate: My Approach to Disaster Response to an event like #COVD19   1. Think Big (How bad could it be) 2. Go Big (Better to have…
1237810130172838000,Wed Mar 11 18:38:27 +0000 2020,RT @WCraigFugate: What I learned communicating in a Crisis: People don’t do well with the unknown, Tell them what you know. Tell them what…
1237792720397013000,Wed Mar 11 17:29:16 +0000 2020,RT @janemswift: The most important thing I did on 9/11 was to tell people to go vote. Communicate real information, take prudent steps and…
1235054374033879000,Wed Mar 04 04:08:03 +0000 2020,+1 this thread. https://t.co/qj8C1Qy02B
1217177898127368200,Tue Jan 14 20:13:19 +0000 2020,Excited to be beginning another chapter w/ the amazing team @BPIMedia ! https://t.co/2MQN1inGyu
1197357613979181000,Thu Nov 21 03:34:35 +0000 2019,@cpicciolini @AndrewYang But no discussion of the ridiculous defunding of @DHSgov funding for efforts focused on fa… https://t.co/b02nwG79Kh
1197357014680326100,Thu Nov 21 03:32:12 +0000 2019,@cpicciolini with the mention from @AndrewYang. Nice call-out for someone who has been dedicated their life to the anti-hate effort.
1191810444110905300,Tue Nov 05 20:12:07 +0000 2019,@BenLaBolt Oft neglected, never forgotten
1177298071694299100,Thu Sep 26 19:05:08 +0000 2019,RT @BPIMedia: Thank you for the privilege of building believers for brands, causes and campaigns for a decade! We're humbled as we look bac…
1176847671409172500,Wed Sep 25 13:15:24 +0000 2019,Good to know. https://t.co/tKwC8miwaw
1172345538739523600,Fri Sep 13 03:05:32 +0000 2019,RT @AlexGuittard: In which I argue that counterterrorism is a public function that we shouldn’t outsource to big tech. Instead, govt should…
1160587813160542200,Sun Aug 11 16:24:31 +0000 2019,RT @lancearmstrong: I can’t drop many people on a bike these days but I just blew the fuckin’ doors off Mike Pence on a Nantucket bike path…
1158734916881772500,Tue Aug 06 13:41:47 +0000 2019,Global look from @Ali_H_Soufan - I Spent 25 Years Fighting Jihadis. White Supremacists Aren’t So Different. https://t.co/RV99x9gCLh
1158052906223853600,Sun Aug 04 16:31:43 +0000 2019,RT @AlexGuittard: Every serious terrorism expert agrees on the threat posed by homegrown far-right terrorists. How many more people need to…
1156734335942373400,Thu Aug 01 01:12:11 +0000 2019,RT @TrumanProject: Great movie, though #DemDebate https://t.co/LggLJvKaIi
1141396620434481200,Wed Jun 19 17:25:35 +0000 2019,@AliciaMCaldwell Oh, I can only imagine. Just tell me you don't agree that "its like a bigger version of Central Park, only with bears."
1141387442181685200,Wed Jun 19 16:49:06 +0000 2019,This is pure gold. Disappointed tourists' one-star reviews of Yellowstone National Park https://t.co/tgnVviIpkk via @cstribune
1129090142709329900,Thu May 16 18:24:02 +0000 2019,The Trump Administration Turns Its Back on a Chance to Fight Online Extremism https://t.co/QewBUvE19q
1120410633470713900,Mon Apr 22 19:34:45 +0000 2019,RT @WarInstitute: Dust Off The Podium | @cbrentcolburn explains why those DoD press briefings are so vital https://t.co/iFOQeeyp9U
1117981255713345500,Tue Apr 16 02:41:17 +0000 2019,RT @Lkatzenberg: Pete Buttigieg just told the most military recruiter story ever on MSNBC: he told recruiter that he had studied Arabic and…
1116465278596968400,Thu Apr 11 22:17:19 +0000 2019,RT @Ryan_B_Greer: The growing threat demonstrates the need to restructure our counterterrorism apparatus to address white nationalist-inspi…
1116465262201462800,Thu Apr 11 22:17:16 +0000 2019,RT @AlexGuittard: It is time for the US Government to treat white-nationalist terrorism and extremism as seriously as other forms of terror…
1113813765026271200,Thu Apr 04 14:41:09 +0000 2019,RT @AlexGuittard: https://t.co/9S4GZ3JxCi
1113262960942534700,Wed Apr 03 02:12:27 +0000 2019,RT @Frontier_Solns: John Sandweg, former acting Director of @ICEgov in @thehill “$650 billion in #trade with #Mexico threatened, and it’s g…
1112006841838428200,Sat Mar 30 15:01:05 +0000 2019,RT @MG_SmithT: #WhyIJoinedTwitter as a GO. PAO invited me to do this newfangled thing called a "twitter chat." Used a # for Qs. Also used a…
1106639796628160500,Fri Mar 15 19:34:22 +0000 2019,RT @Official_SCN: It is on days like these that hateful threats to our communities become tragically real. We mourn with New Zealand, the M…
1087891026797224000,Wed Jan 23 01:53:27 +0000 2019,RT @bsw5020: At 37, with two little kids, I was told I had ALS. No cure. 6 months to live.   That’s not how my story will end. I will see t…
1072157469370007600,Mon Dec 10 15:53:55 +0000 2018,Smart commentary from @Ryan_B_Greer and George Selim on civil society's role in preventing extremism… https://t.co/hu5AHuTHSr
1067916772404121600,Wed Nov 28 23:02:54 +0000 2018,What if I already know him? Congrats to @AdamKFetcher for being named one of the Twin Cities 100 People to Know in… https://t.co/vKqcHMDMrQ
1067524097939144700,Tue Nov 27 21:02:33 +0000 2018,The lines are open! @BenLaBolt https://t.co/SpI1OZile9
1067482084631932900,Tue Nov 27 18:15:36 +0000 2018,Excited to share some personal news. Looking forward to working with the great team @BPIMedia https://t.co/VF25Kju26q
1060057546239565800,Wed Nov 07 06:33:08 +0000 2018,RT @JasonCrowCO6: Colorado, we did it.  Now let’s get to work. https://t.co/PN8YdMGVHU
1060055881738412000,Wed Nov 07 06:26:31 +0000 2018,RT @barbarastarrcnn: Tonight vets and especially  female vets step forward into new responsibilities and service to Americans #CamouflageWa…
1060020296348889100,Wed Nov 07 04:05:07 +0000 2018,RT @TrumanProject: Congratulations to @JasonCrowCO6! https://t.co/L64S37Lmuq
1059867201069445100,Tue Nov 06 17:56:46 +0000 2018,RT @smallwars: ⚡️ “A heartfelt letter from Afghan pilot makes its way to fallen US soldier's family”  https://t.co/usZWktPTX7
1059814432241414100,Tue Nov 06 14:27:05 +0000 2018,RT @BPIMedia: Today is #ElectionDay. Let's bring all our hard work home and get out and vote for progress and unity over fear and division.…
1050554356590768100,Fri Oct 12 01:10:51 +0000 2018,Password reset? https://t.co/kRunrmbXkq
1050384768016109600,Thu Oct 11 13:56:58 +0000 2018,RT @TOLOnews: #SCA Fits Afghan #Deer With Prosthetic Leg https://t.co/fjuUalfSgw @SwedeninAF https://t.co/StMcunuAlT
1049653305129877500,Tue Oct 09 13:30:24 +0000 2018,RT @thehill: Gov. Rick Scott: "Hurricane Michael is a massive storm that could bring total devastation to parts of our state, especially in…
1047589169713766400,Wed Oct 03 20:48:15 +0000 2018,I never got mine. But I did get see/hear everyone else in the airport get theirs.. https://t.co/x4mstkHVPu
1045041127852654600,Wed Sep 26 20:03:15 +0000 2018,RT @Lkatzenberg: “We’ve had more discussions about people kneeling during the national anthem than we have about when the war in Afghanista…
1040804395066114000,Sat Sep 15 03:27:59 +0000 2018,RT @ItsRafLemaitre: This isn’t getting enough attention and a lot of people who aren’t expecting this will probably freak out. https://t.co…
1039202708807286800,Mon Sep 10 17:23:27 +0000 2018,Intersting, and important, perspective from @cbrentcolburn for @DefenseOne https://t.co/vgekQAsvFs
1001149427803926500,Mon May 28 17:13:18 +0000 2018,RT @ResoluteSupport: On #MemorialDay a brother reflects on his older brother's sacrifice just kilometers from where he is serving today in…
998978533149077500,Tue May 22 17:26:57 +0000 2018,RT @Gorman_Siobhan: “You owe it to your candidate” to take cyber prep seriously at the outset of a campaign, says @RobbyMook at today’s Bru…
