id,created_at,text
1260201488711692300,Tue May 12 13:33:42 +0000 2020,@INCIndia Before that can you please answer @INCIndia why you didn't establish good hospitals and why do you want politics every time?
1258450875254702000,Thu May 07 17:37:24 +0000 2020,@Jasjasveer1 @MatruBhakt @CAPratikKarpe @TheRSS_Piyussh @bhasmya @yuga_v108 @yayati_king @BanShankari @nishants79… https://t.co/xTjESW7rv1
1258395518604062700,Thu May 07 13:57:26 +0000 2020,@rohitpa10684627 @ANINewsUP @ANI Are you a UP resident? If not, then please shut your mouth and keep yourself insid… https://t.co/ObRalbfIjS
1258061021089955800,Wed May 06 15:48:15 +0000 2020,@ANINewsUP @covid19indiaorg Please update
1258055497971896300,Wed May 06 15:26:18 +0000 2020,@Arogyasetu Do remember line is printing twice. Please rectify and send a fix. https://t.co/g7Lyu3H5Y6
1257911174261141500,Wed May 06 05:52:49 +0000 2020,RT @deepigoyal: COVID-19 has fast affected our food supply chain in unprecedented ways. Through Zomato Hyperpure, and our work with the F&amp;B…
1257577477955715000,Tue May 05 07:46:50 +0000 2020,@ANI This guy should buy new mask. He has already infected himself after touching the mask so many times with his (… https://t.co/HcKSs1Yxug
1257321561482162200,Mon May 04 14:49:54 +0000 2020,@covid19indiaorg You guys are showing Chandigarh in states somehow along with Punjab. Kindly send a fix. https://t.co/sSMqS36cjr
1257321122254614500,Mon May 04 14:48:10 +0000 2020,@Himanshu5179 @ANINewsUP @covid19indiaorg they will tske time
1256849049228992500,Sun May 03 07:32:19 +0000 2020,@bstvlive @ADVSSV Aligarh me control karo.. abhi bhi log bahar ghoomre hai kya
1256500210630623200,Sat May 02 08:26:09 +0000 2020,@amicable_iss @narendramodi Sharing different ideas or trying to deviate from original topic doesn't means that Ind… https://t.co/eL4ynzqqi9
1256471101640716300,Sat May 02 06:30:29 +0000 2020,@Habeebinamdar please send me list of such people who have died near your house like this, I will help them out. Im… https://t.co/Pc2nQOIIpL
1256470464790237200,Sat May 02 06:27:57 +0000 2020,@amicable_iss @narendramodi who is bhakt, the one who voted for 5 years or the pne who voted for 70 years to the same govt :p
1256455632581996500,Sat May 02 05:29:01 +0000 2020,@amicable_iss naam ishwar rakhne se koi bhagwan thodi ban jaaega :p
1255391626232574000,Wed Apr 29 07:01:02 +0000 2020,RT @ANI: I was taken aback by Rahul Gandhi's comment that Modi govt has waived off Rs 65,000 Cr.Not a single penny has been waived off. Wri…
