id,created_at,text
1261009744560623600,Thu May 14 19:05:26 +0000 2020,RT @BarackObama: Vote.
1261009694136643600,Thu May 14 19:05:14 +0000 2020,RT @NBCNews: Dr. Rick Bright says "lives were lost" due to delayed mask production:   "Nurses in hospitals today are wearing N95-marked mas…
1260997205948805000,Thu May 14 18:15:36 +0000 2020,RT @Morning_Joe: Make sure to catch Joe with @SenBooker this evening on IG live. https://t.co/ehC7pfZ8Ft
1260974882730492000,Thu May 14 16:46:54 +0000 2020,RT @JoshNBCNews: JUST IN - Feinstein's office confirms she answered questions from FBI about her husband's stock trades, handed over docume…
1260971985162698800,Thu May 14 16:35:23 +0000 2020,We LOVE having Julia on MJ!!! Welcome back! https://t.co/1qvGKWvSwX
1260970721070723000,Thu May 14 16:30:22 +0000 2020,RT @dpierrebravo: Tough conversations w/ brilliant voices who can fundamentally disagree, debate but most importantly LISTEN to each other.…
1260969205924577300,Thu May 14 16:24:21 +0000 2020,RT @NBCPolitics: Ousted vaccine official Dr. Bright:  “I’ll never forget the emails I received from (mask maker) Mike Bowen indicating that…
1260968988886122500,Thu May 14 16:23:29 +0000 2020,RT @JoeBiden: As the economy continues to spiral downwards and unemployment soars to Great Depression-era levels, we cannot ignore the hard…
1260949736074379300,Thu May 14 15:06:59 +0000 2020,RT @MikaKYV365: Congratulations @tamronhall on winning a #GracieAward for her show, @TamronHallShow!  📷 via @tamronhall   #womenempoweringw…
1260909840748159000,Thu May 14 12:28:27 +0000 2020,RT @JoeNBC: “COVID-19 has ravaged the US, particularly its correctional facilities, and is yet another wake-up call to change our ways, esp…
1260652084451373000,Wed May 13 19:24:13 +0000 2020,Heidi We are so sorry. We know what a force of joy, laughter and love he was in your life. Praying for you. https://t.co/eEsu6ufNvU
1260651740199673900,Wed May 13 19:22:51 +0000 2020,RT @kylegriffin1: Breaking via Axios: Dr. Rick Bright is expected to testify that the Trump admin was unprepared for the coronavirus, and t…
1260552049852366800,Wed May 13 12:46:43 +0000 2020,Johns Hopkins team launches temperature-tracking study and app to map and monitor potential COVID-19 cases… https://t.co/csMHjgAC1Y
1260551937059143700,Wed May 13 12:46:16 +0000 2020,Researchers at Johns Hopkins develop app to spot COVID-19 outbreaks  https://t.co/dkQ887e3OL
1260291595565510700,Tue May 12 19:31:46 +0000 2020,RT @blaisemd: So proud of my younger brother Marc https://t.co/YmV3hx7Luk. Addressing hunger needs in covid stricken African with @HOPEworl…
1260287151092179000,Tue May 12 19:14:06 +0000 2020,RT @Yamiche: This was an incredible moment.
1260238459907854300,Tue May 12 16:00:37 +0000 2020,RT @Yamiche: Wow. Quite an exchange.  GOP Sen Rand Paul suggested kids suffering less from coronavirus means schools can reopen.  Dr. Fauci…
1260198966416769000,Tue May 12 13:23:41 +0000 2020,RT @JohnBerman: JUST NOW:  A major holy cow from new @cnn poll.  Just 36% of Americans say they trust what @realDonaldTrump is telling them…
1260151503140147200,Tue May 12 10:15:05 +0000 2020,RT @JoeNBC: For ignorant, low-information conspiracy theorists who think there is a liberal plan to keep America shut down, health care off…
1260003170983596000,Tue May 12 00:25:40 +0000 2020,WOW!!!!! This is all true.  Wow. Watch the ad. https://t.co/zc1VksOERP
1259993503305777200,Mon May 11 23:47:15 +0000 2020,RT @washingtonpost: Trump ends news conference amid clashes with journalists, after suggesting an Asian American reporter should "ask China…
1259975094111256600,Mon May 11 22:34:06 +0000 2020,RT @Lis_Smith: I joined @morningmika (and @adrienneelrod !) on @Morning_Joe  to talk about how @JoeBiden and the Democratic Party can use t…
1259974670566162400,Mon May 11 22:32:25 +0000 2020,Freaking nuts seems right. The end of that press conference was so disturbing. The entire press conference was dist… https://t.co/Y1UBqwqm5n
