id,created_at,text
1259854086188478500,Mon May 11 14:33:15 +0000 2020,Live chat on  wednesday 13th may stay tuned https://t.co/ypXJbh5BfU
1259420370165268500,Sun May 10 09:49:49 +0000 2020,Happy mothers day dear ma. https://t.co/8kOFg7nI56
1259419315649933300,Sun May 10 09:45:38 +0000 2020,Happy mothers day @kitankita https://t.co/qcvVH0Rgwo
1258784457005232000,Fri May 08 15:42:56 +0000 2020,RT @harbhajan_singh: Thank you lax 🙏🙏
1257595751452065800,Tue May 05 08:59:26 +0000 2020,RT @y_umesh: The nation will always remember your sacrifice. An act of selfless courage. #RIP our martyrs who lost their lives defending ou…
1256893641878048800,Sun May 03 10:29:30 +0000 2020,RT @divyansh_vyas: Pride of #Indore #IndianCricketer  @namanojha35 will be live for the first time on #Facebook Page #Indori https://t.co/6…
1256092806755614700,Fri May 01 05:27:16 +0000 2020,RT @y_umesh: A phenomenon of the Indian film industry. #RishiKapoor sir you will be missed. My condolences to the Kapoor family 🙏🏻🙏🏻 https:…
1255894629439824000,Thu Apr 30 16:19:47 +0000 2020,Saddened to hear the passing away of #RishiKapoorji. A wonderful actor. Fight till end. My heartfelt condolences to his family and friends.
1255507761611313200,Wed Apr 29 14:42:31 +0000 2020,RT @sachin_rt: Sad to hear the news of #IrrfanKhan passing away. He was one of my favorites &amp; I’ve watched almost all his films, the last o…
1255507682120908800,Wed Apr 29 14:42:12 +0000 2020,RT @imVkohli: Saddened to hear about the passing of Irrfan Khan. What a phenomenal talent and dearly touched everyone's heart with his vers…
1255507498691428400,Wed Apr 29 14:41:28 +0000 2020,You will be missed #RIPIrfan #Legend https://t.co/AZHFuXO0Xy
1253545482481262600,Fri Apr 24 04:45:07 +0000 2020,Happy Birthday @sachin_rt Paji https://t.co/L1mI3pXKmy
1251476156634681300,Sat Apr 18 11:42:21 +0000 2020,My  friend @chand2579 has started a YouTube channel where he is interviewing cricketers and those from the fraterni… https://t.co/tvcQ1YHUv0
1249763496683663400,Mon Apr 13 18:16:51 +0000 2020,Dilse Thank you 😻 https://t.co/1PxrNX6qH6
1248288661042421800,Thu Apr 09 16:36:23 +0000 2020,RT @saurabhd0605: How can it possible that #Shanghai &amp; #bejing have #coronavirus cases in 500-600 range ? When all the big cities of #USA ,…
1247229033940541400,Mon Apr 06 18:25:48 +0000 2020,RT @paramiyer_: Well done @airindiain ! @swachhbharat @gssjodhpur
1247228662182596600,Mon Apr 06 18:24:20 +0000 2020,New grip today https://t.co/YJOjEAGMjI
1246852892637548500,Sun Apr 05 17:31:09 +0000 2020,#NewProfilePic
1246852502651154400,Sun Apr 05 17:29:36 +0000 2020,आज दिवाली समझ के कल अन्नकूट के लिए बाजार मत निकल जाना वरना अन्न तो मिलेगा नही कूट जरूर दिए जाओगे
1246852200795476000,Sun Apr 05 17:28:24 +0000 2020,आज का दिन इतिहास याद रखेगा जब पूरा संसार डगमगा रहा था, तब हिंदुस्तान जगमगा रहा था ।@narendermodi ji
1246835394471067600,Sun Apr 05 16:21:37 +0000 2020,With belief &amp; confidence we all together will beat covid19 stay home stay safe https://t.co/qOhfuEXKF6
1245922344326926300,Fri Apr 03 03:53:29 +0000 2020,RT @kitankita: Proud of you Dr. Zakiya Sayed 🙏🙏🙏
1245772789115584500,Thu Apr 02 17:59:12 +0000 2020,RT @ChouhanShivraj: ये सिर्फ़ एक ट्वीट नहीं है।   ये कड़ी चेतावनी है...   मानवाधिकार सिर्फ़ मानवों के लिए होते है।
1245768616055722000,Thu Apr 02 17:42:37 +0000 2020,Everyone, please cooperate with medical staff, doctors, police and other workers who are risking their lives for us… https://t.co/r024qOim5S
1245767974645952500,Thu Apr 02 17:40:05 +0000 2020,I am ashmed of what happened to medical staff at indore during  screening of covid-19 patients. I support &amp; proud o… https://t.co/2rsi3qI2Xz
1244683446372323300,Mon Mar 30 17:50:33 +0000 2020,RT @imVkohli: Anushka and I are pledging our support towards PM-CARES Fund &amp; the Chief Minister's Relief Fund (Maharashtra). Our hearts are…
1244683409353367600,Mon Mar 30 17:50:24 +0000 2020,Stay strong &amp; stay inside https://t.co/FKQEp4KdCw
1243907360784928800,Sat Mar 28 14:26:40 +0000 2020,RT @narendramodi: Great gesture @akshaykumar.   Let’s keep donating for a healthier India.
1243906943049019400,Sat Mar 28 14:25:00 +0000 2020,RT @WasimJaffer14: Hi guys, let's do an #AskWasim today 4pm. Anything you want to ask me, fire away and I'll try to give honest answers. ht…
1243906688278646800,Sat Mar 28 14:23:59 +0000 2020,RT @narendramodi: That’s a brilliant fifty, @ImRaina! #IndiaFightsCorona
1243906449165578200,Sat Mar 28 14:23:02 +0000 2020,Productive day of day 4 of lockdown https://t.co/mUT0Y4oMxe
1243906269926133800,Sat Mar 28 14:22:20 +0000 2020,RT @RNTata2000: The COVID 19 crisis is one of the toughest challenges we will face as a race. The Tata Trusts and the Tata group companies…
1243534664687480800,Fri Mar 27 13:45:42 +0000 2020,RT @DelhiCapitals: Catch, @namanojha35! 👏🏻  #DilDilli #Dhadkega https://t.co/vrQDXVJdjV
1243534636879241200,Fri Mar 27 13:45:35 +0000 2020,RT @DelhiCapitals: Talking tactics! 🙌  #DilDilli #Dhadkega https://t.co/oEpfIy2JWw
1243515900856156200,Fri Mar 27 12:31:08 +0000 2020,Keep doing  fitness &amp; be mentally strong https://t.co/Ne803Oi8qa
1243252656241381400,Thu Mar 26 19:05:06 +0000 2020,RT @harbhajan_singh: Thank you @airindiain and  our own cricketer,top man Sukhi paa and crew for doing this great work.. May god gives you…
1243252526842957800,Thu Mar 26 19:04:35 +0000 2020,RT @narendramodi: इन माताओं का आशीर्वाद ही मेरे लिए प्रेरणा और काम करने की ऊर्जा है।  इस शुभकामना के लिए @AnupamPKher जी कृपया अपनी माताजी…
1242513941562966000,Tue Mar 24 18:09:43 +0000 2020,RT @vyasrahul2210: लो भिया मेरे भतीजे ने एक संदेश भेजा है आप लोगो के लिए🇮🇳🇮🇳  https://t.co/Ja1doZbYTJ 🇮🇳 #FightAgainstGlobalProblem #Suppor…
1242512214935785500,Tue Mar 24 18:02:51 +0000 2020,Happy Birthday to @krunalpandya24. Be safe and stay blessed
1242511477593878500,Tue Mar 24 17:59:55 +0000 2020,India comes to halt at midnight for 21days! #Monumental decision by Honourable @narendramodi to check spread of #COVID2019  ....
1242511115189227500,Tue Mar 24 17:58:29 +0000 2020,Daily dicipline during quartine at home https://t.co/r30BApvN8p
1242366683961942000,Tue Mar 24 08:24:34 +0000 2020,RT @SrBachchan: T 3479 - to honour to respect to bow to them .. all that have continued to work in extenuating circumstances .. 🙏🇮🇳 https:/…
1242357025599676400,Tue Mar 24 07:46:11 +0000 2020,@ImRaina @_PriyankaCRaina Congralutions raina for junior
1241964000658608000,Mon Mar 23 05:44:26 +0000 2020,Our Salutations and tributes to the brave sons of Bharat Mata Shaheed Bhagat Singh, Rajguru and Sukhdev on Shaheed… https://t.co/Q5pJXyXOy2
1241791962409140200,Sun Mar 22 18:20:49 +0000 2020,RT @vyasrahul2210: Moment of the day❤️❤️🇮🇳🇮🇳  #Covid19 #FightAgainstGlobalProblem #SupportJantaCurfew #StayHome #StayHealthy  Do #SocialDis…
1241790858489290800,Sun Mar 22 18:16:26 +0000 2020,RT @bhogleharsha: Well done #AirIndia @airindiain on getting our people back from Italy. Like you did in China, you rise to the occasion in…
1241705752068153300,Sun Mar 22 12:38:15 +0000 2020,#NewProfilePic
1241705345593950200,Sun Mar 22 12:36:38 +0000 2020,Salute to all the people who are helping us in fighting covid19 https://t.co/SlGjLvvpgK
1241588751056302000,Sun Mar 22 04:53:20 +0000 2020,Suppoting janta curfew at home https://t.co/w7nIfdjpET
1241400569140412400,Sat Mar 21 16:25:34 +0000 2020,*एकांत*  IS BETTER THAN  *देहांत*
1241399440000213000,Sat Mar 21 16:21:05 +0000 2020,Stay safe &amp; stay at home. I  am supporting janta curfew on 22nd march . Break the chain https://t.co/ulqoMgUfrL
1241335083971174400,Sat Mar 21 12:05:21 +0000 2020,Let’s join hands with our PM @narendramodi and observe #JantaCurfew on March 22 from 7 am to 9 pm IST. Let’s clean… https://t.co/cfn11zOkqt
1241334675445936000,Sat Mar 21 12:03:44 +0000 2020,RT @TheAaryanKartik: #CoronaStopKaroNa My Appeal in my Style  Social Distancing is the only solution, yet 🙏🏽 @narendramodi we are with you…
1241334413842976800,Sat Mar 21 12:02:41 +0000 2020,RT @narendramodi: Sharing correct information, avoiding incorrect panic.   Here is an effort by WhatsApp and @mygovindia to ensure you rece…
1240529996688449500,Thu Mar 19 06:46:13 +0000 2020,RT @anilkumble1074: White-bellied woodpecker #Kabini #WildlifeWednesday @SonyAlpha #sonyalphaindia https://t.co/OTuxGPMMHZ
