id,created_at,text
1208080230017048600,Fri Dec 20 17:42:26 +0000 2019,is this a threat? https://t.co/tHoiixH9vg
1207829810120183800,Fri Dec 20 01:07:21 +0000 2019,@PopCrave @Forbes vanoss, yessss
1207682128831537200,Thu Dec 19 15:20:31 +0000 2019,@PopCrave @CASHMERECAT @selenagomez @torylanez underrated banger
1207494213534933000,Thu Dec 19 02:53:49 +0000 2019,conversion therapy here i come
1207486385894101000,Thu Dec 19 02:22:43 +0000 2019,@bealrightsvogue LITERALLY LMAOO
1207170058696437800,Wed Dec 18 05:25:44 +0000 2019,@teddy_mykaels luv... https://t.co/86KLkAs3g0
1207100270041272300,Wed Dec 18 00:48:25 +0000 2019,reputation is taylors best album, you can NOT change my mind
1207099993712144400,Wed Dec 18 00:47:19 +0000 2019,@grandesaurora 🎅
1206714593256657000,Mon Dec 16 23:15:53 +0000 2019,@pitchfork PLSSSSSS 😭
1206430425046036500,Mon Dec 16 04:26:42 +0000 2019,@rapkerve @kiwismiIe even popular song is better https://t.co/tb39EeAZFz
1206426380260524000,Mon Dec 16 04:10:38 +0000 2019,@kiwismiIe hbetter left unsaid
1206372421948850200,Mon Dec 16 00:36:13 +0000 2019,@arisbubbly bubbles sounding like an update account
1206309405035290600,Sun Dec 15 20:25:48 +0000 2019,@thinkhingboutu everytime
1205962158741360600,Sat Dec 14 21:25:58 +0000 2019,@bealrightsvogue ILY ❤️ omg
1205939137674535000,Sat Dec 14 19:54:30 +0000 2019,the stans is the comments crying.... plssss 😭 https://t.co/DpPgJCnQNP
1205931381030871000,Sat Dec 14 19:23:41 +0000 2019,good afternoon to literally no one because i don't matter and im just here taking up space https://t.co/ECuQokO5Jp
1205734310923378700,Sat Dec 14 06:20:35 +0000 2019,@Arianagngv https://t.co/pOjdHOTuet
1205689446978539500,Sat Dec 14 03:22:19 +0000 2019,@faIIinangeI we do
1205682711656042500,Sat Dec 14 02:55:33 +0000 2019,@GrandeTourNews OMG OMG
1205674711264432000,Sat Dec 14 02:23:46 +0000 2019,selena's album is coming to be the best selling album of 2020 im calling it  https://t.co/NdkOic1y7S
1205671533760467000,Sat Dec 14 02:11:08 +0000 2019,the lie in this tweet... https://t.co/8SPwIF4YaC
1205669372003602400,Sat Dec 14 02:02:33 +0000 2019,@99LTJ needy tattooed heart break up with ur gf
1205668557658480600,Sat Dec 14 01:59:19 +0000 2019,whose trying to send me money because being broke is not the personality trait i want to be stuck with
1205665463159738400,Sat Dec 14 01:47:01 +0000 2019,@sisterariola this song is s full serve, what are you talking about
1205664947390288000,Sat Dec 14 01:44:58 +0000 2019,im in the mood to be a hoe https://t.co/Oa2jimUaao
1205641253049770000,Sat Dec 14 00:10:49 +0000 2019,i just wonder if one day simon decides he doesn't want to do predictions anymore
1205331882780569600,Fri Dec 13 03:41:29 +0000 2019,@MCU_Direct @andyparkart i don't see Natasha so this is invalid
1205330225581772800,Fri Dec 13 03:34:54 +0000 2019,im literally so upset and done with life
1205182004242894800,Thu Dec 12 17:45:55 +0000 2019,@PopCrave @selenagomez her impact omg pre-order #RARE
1205181185229557800,Thu Dec 12 17:42:40 +0000 2019,@ajacksgomez omg back from the grave
1205174206696247300,Thu Dec 12 17:14:56 +0000 2019,i actually like the cover art for Rare, literally not to much, its just simple yall complain too much 💀
1205173882703007700,Thu Dec 12 17:13:39 +0000 2019,@lexitheswiftie https://t.co/KuEGQN9H3P
1205173837098356700,Thu Dec 12 17:13:28 +0000 2019,@lexitheswiftie https://t.co/ucndhzrHc8
1204906131241545700,Wed Dec 11 23:29:42 +0000 2019,@grandesaurora https://t.co/CAijHfAfQG
1204555038971981800,Wed Dec 11 00:14:35 +0000 2019,@bealrightsvogue i-
1204538754054021000,Tue Dec 10 23:09:52 +0000 2019,@imtakinyouback hiii
1204528789826326500,Tue Dec 10 22:30:17 +0000 2019,@tbycupid ..
1204456388610662400,Tue Dec 10 17:42:35 +0000 2019,@grandesaurora kinda do, yeah
1204445450318864400,Tue Dec 10 16:59:07 +0000 2019,@Mer_Boy_ lmaoo
1204445294320070700,Tue Dec 10 16:58:30 +0000 2019,@sisterariola delete
1204251278328639500,Tue Dec 10 04:07:33 +0000 2019,i love tweeting and flopping, it humbles me https://t.co/25OWFEwDLM
1204239041140535300,Tue Dec 10 03:18:55 +0000 2019,@teddy_mykaels luv..
1204237560521867300,Tue Dec 10 03:13:02 +0000 2019,thinking about how when tour is over we're not getting anything from ariana for at least 2+ years https://t.co/hDsyMZ7GgN
1204217155962757000,Tue Dec 10 01:51:57 +0000 2019,@teddy_mykaels i-
1204211527475224600,Tue Dec 10 01:29:35 +0000 2019,@agbaholic @ArianaGrande omg plss
1204200690022846500,Tue Dec 10 00:46:32 +0000 2019,@sisterariola wheres the lie https://t.co/OInadXgLu3
1204197465639047200,Tue Dec 10 00:33:43 +0000 2019,@grandesaurora yes. you. do
1204196003806666800,Tue Dec 10 00:27:54 +0000 2019,@grandesaurora either 5"9 or 5"10
1204195846549573600,Tue Dec 10 00:27:17 +0000 2019,@sisterariola ASS LIKE THAT, TASTE
1204189496771797000,Tue Dec 10 00:02:03 +0000 2019,@jusbreathinn i love these cookies
1204179812358725600,Mon Dec 09 23:23:34 +0000 2019,@grandesaurora us march babies remain superior
1204179168612761600,Mon Dec 09 23:21:01 +0000 2019,@grandesaurora march 28
1204175888683847700,Mon Dec 09 23:07:59 +0000 2019,@nickluvsari 100% wbk
1204089783309537300,Mon Dec 09 17:25:49 +0000 2019,@needyjoseph periana
1204089610248306700,Mon Dec 09 17:25:08 +0000 2019,@needyjoseph PLSSS 💀
1204089063374020600,Mon Dec 09 17:22:58 +0000 2019,@mariestakis because she loves us, literally thats it
1204086168477941800,Mon Dec 09 17:11:28 +0000 2019,@grandesaurora i-
1204082755136622600,Mon Dec 09 16:57:54 +0000 2019,@gwsdildo im perfect for this gc omg
1204082220245430300,Mon Dec 09 16:55:46 +0000 2019,@sisterariola same, literally no one comes where i stay
1204065718712643600,Mon Dec 09 15:50:12 +0000 2019,@ThePopHub the greatest yass
1204065321440743400,Mon Dec 09 15:48:37 +0000 2019,@gwsbishh my mood 24/7
1204065056809521200,Mon Dec 09 15:47:34 +0000 2019,@fxkesmilez yes
1204064869781246000,Mon Dec 09 15:46:50 +0000 2019,@grandesaurora literally same
1204064028001284000,Mon Dec 09 15:43:29 +0000 2019,@SabrinaAnnLynn why has take you back been hitting so hard lately  https://t.co/yNScwW15In
1204060656846160000,Mon Dec 09 15:30:05 +0000 2019,@flamingchains needy, imagine and in my head
1204059961132757000,Mon Dec 09 15:27:19 +0000 2019,@icontears i don't say sh!t, don't come for me
1204054672547491800,Mon Dec 09 15:06:18 +0000 2019,@icontears morning
1204032466027192300,Mon Dec 09 13:38:04 +0000 2019,good morning to anyone that cares https://t.co/B6B1ZqZSVY
1203846978960007200,Mon Dec 09 01:21:00 +0000 2019,is anyone else watching the crisis on infinite earths?
1203779580756148200,Sun Dec 08 20:53:11 +0000 2019,@DojascIit ma'am
1203767155403239400,Sun Dec 08 20:03:49 +0000 2019,no tears left to cry... ma'am https://t.co/tL96xZXsji
1203757215968120800,Sun Dec 08 19:24:19 +0000 2019,@icontears https://t.co/PirVlKfN0U
1203750569585860600,Sun Dec 08 18:57:55 +0000 2019,@agbaholic @bealrightsvogue well-
1203740498495787000,Sun Dec 08 18:17:53 +0000 2019,@exhaleadore literally a bop, PLSS
1203740423434461200,Sun Dec 08 18:17:36 +0000 2019,@agbaholic cats even though i have a dog
1203739491850182700,Sun Dec 08 18:13:53 +0000 2019,@exhaleadore sabrina carpenter, madison beer, chole x halle,  marc e bassy, sam tinnesz
1203738708605886500,Sun Dec 08 18:10:47 +0000 2019,@alexsnasa is it a crisis?
1203738100524028000,Sun Dec 08 18:08:22 +0000 2019,@fxkesmilez https://t.co/nbemCB4uSw
1203737165127127000,Sun Dec 08 18:04:39 +0000 2019,literally not even feeling christmas be this year and to think i was really excited for it this year...
1203736630395383800,Sun Dec 08 18:02:31 +0000 2019,@rainjinsol WHAT IS THIS? PLSSSS
1203735198971711500,Sun Dec 08 17:56:50 +0000 2019,@agbaholic a very big flop
1203733719552594000,Sun Dec 08 17:50:57 +0000 2019,@ghovstin no its sad
1203733300919046100,Sun Dec 08 17:49:17 +0000 2019,@arisbubbly who lied to you?
1203733136426832000,Sun Dec 08 17:48:38 +0000 2019,@ghovstin i dont, mwah  https://t.co/nFoJ9AK9mN
1203733021364555800,Sun Dec 08 17:48:11 +0000 2019,@agbaholic @ArianaGrande dwt or swt
1203732557839421400,Sun Dec 08 17:46:20 +0000 2019,@grandesbreakup @ArianaGrande as it should  https://t.co/nFoJ9AK9mN
1203732061720400000,Sun Dec 08 17:44:22 +0000 2019,am i the only one that doesn't like everytime like that??? https://t.co/nFoJ9AK9mN
1203731044664520700,Sun Dec 08 17:40:19 +0000 2019,@agbaholic no, so if i ever make it big, everyone remembers my flop era   https://t.co/nFoJ9AK9mN
1203730217988231200,Sun Dec 08 17:37:02 +0000 2019,@icontears hi   https://t.co/nFoJ9AK9mN
1203729869605154800,Sun Dec 08 17:35:39 +0000 2019,@goodnightngo if you don't delete...
1203729667657744400,Sun Dec 08 17:34:51 +0000 2019,@MCU_Direct i feel like it would've been a better scene if it was the o6 all standing there against the army because this began with them
1203725766061707300,Sun Dec 08 17:19:21 +0000 2019,might have to start stealing some of oomf tweets if i want a hit tweet https://t.co/jpjbywKRBg
1203692689276977200,Sun Dec 08 15:07:55 +0000 2019,@poppredictors literally delete
1203691386547187700,Sun Dec 08 15:02:44 +0000 2019,@PopCrave i actually can't believe this, rip
1203520925737640000,Sun Dec 08 03:45:23 +0000 2019,whose trying to send me money because a sister needs it https://t.co/nFoJ9AK9mN
1203467762997301200,Sun Dec 08 00:14:08 +0000 2019,ive only tweeted once today, and i literally did nothing productive, what is happening? https://t.co/NHPU03vPs2
1203454368017723400,Sat Dec 07 23:20:55 +0000 2019,RT @immiloivan: hi twitter. I HAVE A COVER AND I WANT IT TO BLOW UP SO RT AND LIKE AND SHARE. I HAVE A COUPLE OF DMS WITH CAMILA, ARIANA, S…
1203381672688922600,Sat Dec 07 18:32:03 +0000 2019,@ArianaGrande love u
1203380368398856200,Sat Dec 07 18:26:52 +0000 2019,@gaveitawayuh @poppredictors obviously luv... what was ur point
1203356865020780500,Sat Dec 07 16:53:28 +0000 2019,@poppredictors i would literally cry.. PLSS
1203336970669318100,Sat Dec 07 15:34:25 +0000 2019,@feltangeI omg, people loving me, yasss  https://t.co/nFoJ9AK9mN
1203326786454655000,Sat Dec 07 14:53:57 +0000 2019,good morning  https://t.co/nFoJ9AK9mN
1203170365347897300,Sat Dec 07 04:32:23 +0000 2019,@slayyyted its literally that time of night
1203170084807688200,Sat Dec 07 04:31:16 +0000 2019,@sisterariola omg 😍
1203137130555420700,Sat Dec 07 02:20:19 +0000 2019,@MilesManSpider1 lis
1203090124587843600,Fri Dec 06 23:13:32 +0000 2019,@gwsxquit @sisterariola Both ways
1202994991267758000,Fri Dec 06 16:55:31 +0000 2019,listening to Romance and rn my favorite song is Should've Said it @Camila_Cabello
1202970701323522000,Fri Dec 06 15:18:59 +0000 2019,@gwsjosh done
1202969289541726200,Fri Dec 06 15:13:23 +0000 2019,@raindropxbabe hi
1202961243621011500,Fri Dec 06 14:41:25 +0000 2019,@justinbieber https://t.co/nFoJ9AK9mN
1202795401570660400,Fri Dec 06 03:42:25 +0000 2019,@stantwt100 @kiwismiIe @dontcallmxangeI @bocasclouds literally wasn't nominated and i am DISTRAUGHT   https://t.co/nFoJ9AK9mN
1202790345005777000,Fri Dec 06 03:22:19 +0000 2019,@TS7Track3 Blank space
1202790170946240500,Fri Dec 06 03:21:38 +0000 2019,i feel head hurt onto the ground today, whose doing in like me   https://t.co/nFoJ9AK9mN
1202645573339435000,Thu Dec 05 17:47:03 +0000 2019,@grantgills ur birthday?
1202437097602404400,Thu Dec 05 03:58:38 +0000 2019,@lexitheswiftie nope https://t.co/V8Iim1i20u
