id,created_at,text
1259626195055857700,Sun May 10 23:27:42 +0000 2020,Happy Mother’s Day! #LoveandBasketball #LifeoftheParty #CurseofLaLlorona #MonsterinLaw https://t.co/B0GNAxD3mM
1258485900545126400,Thu May 07 19:56:34 +0000 2020,RT @GPBmadeit: Excited to have @theAcademy close out the 20th Anniversary ❤️&amp;🏀 tour. The @PattyJenks will be hosting our virtual conversati…
1258485833352396800,Thu May 07 19:56:18 +0000 2020,RT @TheAcademy: We'll be catching up with the cast and crew of "Love &amp; Basketball" soon.  Have a question for @GPBmadeit, @justsanaa, @Alfr…
1257759515195306000,Tue May 05 19:50:11 +0000 2020,Teachers, we appreciate you more than ever! Here’s to you on #NationalTeachersDay https://t.co/YKq9VTdYd7
1256686161776394200,Sat May 02 20:45:03 +0000 2020,A very Happy Birthday to Dwayne Johnson! #Rampage #SanAndreas #Centralintelligence #BlackAdam https://t.co/DHXAoBsbJm
1255637591367401500,Wed Apr 29 23:18:25 +0000 2020,Happy #InternationalDanceDay #TheMask #HouseParty #IsntItRomantic #Hairspray https://t.co/atSIugc7pZ
1255203501476425700,Tue Apr 28 18:33:29 +0000 2020,20 years of listening to the future. Happy Anniversary to Frequency https://t.co/Q90WqE56bp
1255183354225295400,Tue Apr 28 17:13:26 +0000 2020,RT @ShazamMovie: SUPERCHARGE your #NationalSuperheroDay with a live screening of The #HistoryofShazam! tonight at 5pm PT/ 8pm ET on YouTube…
1254538639284957200,Sun Apr 26 22:31:34 +0000 2020,Today marks 25 years of Friday! https://t.co/O1BPNCxmka
1253067673216233500,Wed Apr 22 21:06:28 +0000 2020,Middle-earth is a beautiful place. Let’s take better care of ours. #EarthDay #LordoftheRings #TheHobbit https://t.co/egpRVsD55d
1253030058257604600,Wed Apr 22 18:37:00 +0000 2020,RT @rampagethemovie: Here’s to the Cowboy! Happy Birthday to Jeffrey Dean Morgan. https://t.co/iSsq5chuDa
1252794397730566100,Wed Apr 22 03:00:34 +0000 2020,RT @GPBmadeit: alright y'all here is the trivia question! for Monica's Sparks warm up jacket. Monica wears a t-shirt from a basketball camp…
1252794179626786800,Wed Apr 22 02:59:42 +0000 2020,RT @justsanaa: This was a real #LaSparks game! They gave us one take! #LoveandBasketball20
1252794015818190800,Wed Apr 22 02:59:03 +0000 2020,RT @GPBmadeit: fun fact: shot at a real @sparks game. scary as hell. we had one shot at it.  thank you Magic! thank you Johnny Buss! #Lovea…
1252793673382678500,Wed Apr 22 02:57:42 +0000 2020,RT @GPBmadeit: i was afraid non ballplayers wouldn't get what "double or nothing" meant. #LoveandBasketball20
1252793225657454600,Wed Apr 22 02:55:55 +0000 2020,RT @GPBmadeit: okay @OfficialMeshell "Fool of Me!" Her album "Bitter" came out as we were editing. editor @tashrop laird this song in and i…
1252790707418329000,Wed Apr 22 02:45:55 +0000 2020,RT @GPBmadeit: fun fact: not going to lie, this day on set, i was scared this scene wasn't gonna work. was it gonna feel corny? but @justsa…
1252789741923135500,Wed Apr 22 02:42:04 +0000 2020,RT @GPBmadeit: "Its a trip you know. When you're a kid you see the life you want and it never occurs to you that its not gonna turn out tha…
1252789636180570000,Wed Apr 22 02:41:39 +0000 2020,RT @GPBmadeit: @jemelehill clowned Q for staying with his mom as a grown man. For the record he is not living with her. he says he is visit…
1252789598507298800,Wed Apr 22 02:41:30 +0000 2020,RT @GPBmadeit: fun fact: in the bank her father is holding a bag when he sits on her desk. the scene actually went longer. He gives her the…
1252786973279875000,Wed Apr 22 02:31:04 +0000 2020,RT @GPBmadeit: fun fact: Alfre ad-libbed "oh no are they cursing their mommas in Spain?" #LoveandBasketball20
1252786590960595000,Wed Apr 22 02:29:33 +0000 2020,RT @GPBmadeit: This scene between @justsanaa and @AlfreWoodard is just a masterclass. Alfre took her character to a place I didn't even env…
1252786356310257700,Wed Apr 22 02:28:37 +0000 2020,RT @BET: The moment Monica's heart dropped to the pit of her stomach #LoveAndBasketball20 x #BETHereForYou
1252785764485591000,Wed Apr 22 02:26:16 +0000 2020,RT @GPBmadeit: fun fact: @tyrabanks ring game was all her. she came up with that. and notice she doesn't look at Monica for a long time. On…
1252784809966878700,Wed Apr 22 02:22:28 +0000 2020,RT @GPBmadeit: Fun fact: @DennisHaysbert was not keen on playing another man who cheats but he loved the relationship between Zeke and his…
1252783588816240600,Wed Apr 22 02:17:37 +0000 2020,RT @GPBmadeit: fun fact, i rocked @justsanaa braid style in Barcelona also. She called me a stalker. #LoveandBasketball20
