id,created_at,text
1260880925384155100,Thu May 14 10:33:33 +0000 2020,RT @mubi: Sofia Coppola for @vogue_italia. Photographs by Steven Meisel, 1992. #bornthisday https://t.co/VqZBrMgI6z
1260867639846547500,Thu May 14 09:40:45 +0000 2020,RT @IAmSudhirMishra: I am a writer Just because I don’t have A PR machinery doesn’t mean I didn’t co-write  Jaane Bhi Do Yaaro n Mohan Josh…
1260867445352521700,Thu May 14 09:39:59 +0000 2020,RT @GOQii: The combination of @thryve_health unique machine learning-based algorithms &amp; #GOQiiVital3 Smart band will usher a breakthrough i…
1260867427040182300,Thu May 14 09:39:55 +0000 2020,RT @GOQii: GOQii Brand Ambassador @akshaykumar donates GOQii Vital 3.0 Wrist Bands with Sensors to detect possible COVID-19 Symptoms to @Mu…
1260867413224063000,Thu May 14 09:39:51 +0000 2020,RT @GOQii: Our frontline heroes - @MumbaiPolice will be the first organisation enabled to remotely track &amp; manage the health of its Personn…
1260858066658001000,Thu May 14 09:02:43 +0000 2020,RT @GOQii: The world’s first smart  wrist band with sensors to detect body temperature is here! Presenting the GOQii Vital 3.0 to detect th…
1260807675681689600,Thu May 14 05:42:29 +0000 2020,RT @resulp: I’m absolutely shameless to say I’m an urban elite and I’m absolutely not essential in our society.Hard hitting truth by #PSain…
1260774630106808300,Thu May 14 03:31:10 +0000 2020,@govindethiraj One needs to use influence, bribe or then pray very hard to get admitted into a #Covid_19 ICU facili… https://t.co/mdJn8YsSRQ
1260773752876523500,Thu May 14 03:27:41 +0000 2020,RT @govindethiraj: "Anyone walking into our hospital for anything is testing #COVID19 positive."
1260759516393635800,Thu May 14 02:31:07 +0000 2020,RT @JPLegard: "Rear Window is a wonderful examination of the voyeuristic qualities of cinema."If you like #Hitchcock here is lots of inform…
1260759463180583000,Thu May 14 02:30:54 +0000 2020,RT @mikewarburton: Hitchcock on the set of  REAR WINDOW (1954)  Check out @LaFamiliaFilm’s excellent essay on the movie:  "Hitchcock’s Cine…
1260572302355423200,Wed May 13 14:07:11 +0000 2020,@vishalgondal @GOQii @Thryve_Health @amitabhk87 @akshaykumar @narendramodi This is the game changer!!!… https://t.co/1jiIPuVmW9
1260572116740706300,Wed May 13 14:06:27 +0000 2020,RT @vishalgondal: Please join us @GOQii @Thryve_Health @amitabhk87  for a big Announcement 14th May 2pm IST as we LevelUp our game in the f…
1260572053666750500,Wed May 13 14:06:12 +0000 2020,RT @mubi: Documentary master Frederick Wiseman's behind-the-scenes tour and in-depth survey of the grand British art institution: @National…
1260563222588985300,Wed May 13 13:31:07 +0000 2020,RT @Bollywoodirect: Caption This Photo.   #MrinalSen, #ShyamBenegal and #SatyajitRay. https://t.co/pwvD48GGgU
1260562966027649000,Wed May 13 13:30:05 +0000 2020,RT @atticshape: this girl on tiktok just bodied wes anderson in one minute https://t.co/fFSpXI7Ddp
1260544311663493000,Wed May 13 12:15:58 +0000 2020,RT @cinemaazi: Bimal Roy was a sage of cinema but very little is known about the man himself. His daughter, Rinki Roy Bhattacharya, a well…
1260401505129111600,Wed May 13 02:48:30 +0000 2020,RT @govindethiraj: We have to prepare now for the avalanche of patients, diseases &amp; conditions that will hit us when we lift lockdown, warn…
1260390976885002200,Wed May 13 02:06:40 +0000 2020,@paimadhu @govindethiraj @IndiaSpend @databaaz Health spend in my opinion is possibly as important an initiative as… https://t.co/NjkYSqRQEw
1260390364596375600,Wed May 13 02:04:14 +0000 2020,RT @paimadhu: Investing in health is investing in the economy.   I hope India will increase health spend to at least 2.5% of GDP during &amp; a…
1260223357670342700,Tue May 12 15:00:36 +0000 2020,https://t.co/iJYcLzAyTo
1260219899693195300,Tue May 12 14:46:52 +0000 2020,Parampara, Prathishta, Anushasan... Yeh Isa Gurukul ke teen stambh hai... #PMModi
1260219613494890500,Tue May 12 14:45:44 +0000 2020,Y2K sankat? Earthquake??? What the hell is happening baba? #PMModi
1260209589074694100,Tue May 12 14:05:54 +0000 2020,RT @MrAndrewCotter: Still having the company meetings online. https://t.co/aR3LfuSdKl
1260162697741635600,Tue May 12 10:59:34 +0000 2020,@IAmSudhirMishra Jai Cohen. 🙏🙏
1259754054378553300,Mon May 11 07:55:46 +0000 2020,RT @FilmCompanion: It's time to seize the day and live life to the fullest. @anupamachopra recommends #KalHoNaaHo, starring @iamsrk, #SaifA…
1259682104977363000,Mon May 11 03:09:52 +0000 2020,@maatibaani Brilliant!!! 👏👏👏👏
1259681410010550300,Mon May 11 03:07:06 +0000 2020,RT @maatibaani: Maati Baani brings together 17 artistes in lockdown from 9 countries with a message of peace and hope. A re-imagination of…
1259679861460930600,Mon May 11 03:00:57 +0000 2020,RT @BoyTalkProject: "Let's not be quick to react from the shock of #BoysLockerRoom. Let's interrogate the root causes of #gender norms &amp; wo…
1259679764824064000,Mon May 11 03:00:34 +0000 2020,RT @BoyTalkProject: "What's most impt. to me as a parent is creating an atmosphere we can have conversations about everything. When you kee…
1259537320459591700,Sun May 10 17:34:32 +0000 2020,RT @mubi: Giulietta Masina in Federico Fellini's haunting modern fable, pitched on the edge of the everyday and the fantastic. https://t.co…
1259443732727898000,Sun May 10 11:22:39 +0000 2020,RT @nahluwalia20: Dibang valley,Arunachal, India is home to lush green forests, mighty rivers, rare-endemic wildlife, indigenous Idu Mishmi…
1259427707403800600,Sun May 10 10:18:59 +0000 2020,RT @anuragkashyap72: Done binge watching Saeed Akhtar Mirza on MUBI,now Ketan Mehta is next,but @mubiindia pls put his other early films to…
1259323841500844000,Sun May 10 03:26:15 +0000 2020,@madhursingh @govindethiraj More &amp; more evidence emerging that we are starting to peak NOW. At least 2 villages (pe… https://t.co/AuRw2RoNuG
1259322823350329300,Sun May 10 03:22:12 +0000 2020,RT @madhursingh: More screening, testing and surveillance are a must as villages/towns/cities open up. In just 1 week since lifting of rest…
1259302770802339800,Sun May 10 02:02:31 +0000 2020,RT @govindethiraj: Spoke to Dr Ravindra Chittal, Dr Kiran Coelho pediatrician &amp; gynaecologist in Mumbai @LilavatiHRC 1. Vaccine shots delay…
1259072178974326800,Sat May 09 10:46:14 +0000 2020,RT @minimathur: Everyone is not “safe” just because they are home.   Locked in Unsafe places is my  friend @sandymridul ‘s appeal to report…
1259067537142268000,Sat May 09 10:27:47 +0000 2020,RT @vishalgondal: You should attend the video class "Coronavirus: Simply Explained" by CEO Vishal Gondal Today at 04:00 pm. Join at https:/…
1259037108985094100,Sat May 09 08:26:53 +0000 2020,RT @SethShruti: Thank you @sandymridul for being the voice of so many who are suffering   @jhatkaadotorg @waatavaran @ceed_india  @NCWIndia…
1259037100025970700,Sat May 09 08:26:51 +0000 2020,RT @jaya_misra: I’m glad @sandymridul is giving voice to the unsaid horrors taking place in houses where many face domestic violence. “Lock…
1259037072335212500,Sat May 09 08:26:44 +0000 2020,RT @waatavaran: STOP DOMESTIC VIOLENCE, YOU CAN MAKE IT HAPPEN!  In the wake of the rising cases of #domesticviolence being reported from a…
1259035368432849000,Sat May 09 08:19:58 +0000 2020,RT @IAmSudhirMishra: Oh Whao. Dharavi is on Amazon Prime . Watch it !Om and Shabana are spectacular. It’s a master class in Editing ( got t…
1259032615668953000,Sat May 09 08:09:01 +0000 2020,One of the biggest side effects of the #Lockdown has been the rise in #DomesticViolence. PLEASE REPORT IF YOU HAVE… https://t.co/tr06nD89ki
1259017642226172000,Sat May 09 07:09:31 +0000 2020,RT @IAmSudhirMishra: Watch it . Even the soundtrack talks about the tragedy of the migrant ! The influence of bad films which replace his m…
1259013296914673700,Sat May 09 06:52:15 +0000 2020,RT @Bollywoodirect: A rare picture of #OmPuri during his student days.   Photo courtesy: FTII https://t.co/GLEqL3qTtM
1259004921590022100,Sat May 09 06:18:59 +0000 2020,RT @DianaPenty: This is the happiest, sweetest, most heartwarming news I’ve read in a long time. A new day, a new dawn, and millions of new…
1259004485784998000,Sat May 09 06:17:15 +0000 2020,@PritishNandyCom @PritishNandy @RangitaNandy @bani_j @sayanigupta @IamKirtiKulhari @maanvigagroo @PrimeVideo… https://t.co/ZK4dGRuKoq
1259003979406721000,Sat May 09 06:15:14 +0000 2020,RT @PritishNandyCom: With #FourMoreShotsPlease India Gets Its Own ‘Sex and the City’ | The New York Times  ⁦@PritishNandy⁩ ⁦@RangitaNandy⁩…
1259002122445688800,Sat May 09 06:07:51 +0000 2020,#AfterLife2 ❤️
1258989322428199000,Sat May 09 05:17:00 +0000 2020,RT @minimathur: Join us. This is important !
1258784792079892500,Fri May 08 15:44:16 +0000 2020,#AfterLife is possibly one of the best things on @NetflixIndia Sublime writing. 💔ing, but so poignant at the same time. @rickygervais
1258751741442625500,Fri May 08 13:32:56 +0000 2020,RT @sardesairajdeep: Breaking: Mumbai municipal commissioner, a very fine officer, Pravin Pardeshi removed along with a slew of additional…
1258744041740648400,Fri May 08 13:02:20 +0000 2020,RT @IAmSudhirMishra: In 1991 I made a film called Dharavi . The film began with a camel accidentally getting shot during a riot . The Om pu…
1258712136165085200,Fri May 08 10:55:33 +0000 2020,@gauravvkchawla @CinemaRareIN @mahonawala @Nawazuddin_S @anuragkashyap72 @iraginikhanna @swanandkirkire… https://t.co/T1JoK0Ab4c
1258692548396269600,Fri May 08 09:37:43 +0000 2020,RT @ThePrintIndia: Lawyers weren’t amused by Hasmukh Vir Das on Netflix. But Delhi HC had the sense of humour  ThePrint's @shubhangi_misra…
1258660316323483600,Fri May 08 07:29:38 +0000 2020,RT @Aangan_Trust: Young men are leading conversations with their peers about the kinds of boys they want to be. This film by @mathaiblue on…
1258653966063284200,Fri May 08 07:04:24 +0000 2020,RT @Aangan_Trust: We believe that conversations with boys about gender, sex, #consent, weakness, &amp; vulnerability are the first step to dism…
1258653955330052000,Fri May 08 07:04:22 +0000 2020,RT @Aangan_Trust: Starting today we can ask ourselves, “What kind of an example do I want to set?” Do I want to be someone who nips #Locker…
1258653914620182500,Fri May 08 07:04:12 +0000 2020,RT @Aangan_Trust: The hard truth is that there are many groups like #BoysLockerRoom out there, which actively or passively have these conve…
1258639470255132700,Fri May 08 06:06:48 +0000 2020,Made me very nostalgic. Well done guys!!! 👍👍👏👏👏 https://t.co/GT6vjCMNR1 #StormInATeaCup @FilmCompanion @ReelReptile… https://t.co/CqQegHAWIz
1258586088567955500,Fri May 08 02:34:41 +0000 2020,#Springsteen type of morning
1258441232952500200,Thu May 07 16:59:05 +0000 2020,RT @BeYess: @fables_of_film @baradwajrangan @RajaSen @ShoojitSircar @yooday @anupamachopra And this too, from Aparajito https://t.co/Tyagio…
1258441044267602000,Thu May 07 16:58:20 +0000 2020,RT @fables_of_film: Never forget this beautiful match cut from a film screen to the peephole of a cab in Ray's "Apur Sansar" (The world of…
1258301519906078700,Thu May 07 07:43:55 +0000 2020,RT @mitalisaran: Just leaving this here. https://t.co/93zD9xl37s
1258275859821146000,Thu May 07 06:01:57 +0000 2020,RT @anupamachopra: Podcast alert! Roger Deakins and his wife &amp; filmmaking collaborator James Ellis Deakins have launched Team Deakins, whic…
1258266805384220700,Thu May 07 05:25:58 +0000 2020,RT @minimathur: Yes absolutely @Aangan_Trust has been working on the BOY PROJECT for a couple of years now.. to sensitise boys and men to w…
1258259201874329600,Thu May 07 04:55:45 +0000 2020,@BoyTalkProject Organisations like @Aangan_Trust who have been working tirelessly on on Girl/Women issues have been… https://t.co/CxeQW9Vi1V
1258257996007846000,Thu May 07 04:50:58 +0000 2020,RT @BoyTalkProject: Hopefully with #BoysLockerRoom trending parents,teachers &amp; all engaging with adolescents will talk about #SexEducation…
1258241062595854300,Thu May 07 03:43:40 +0000 2020,RT @EmmayEntertain: Happiest Birthday @rohanvmehra! It has been a sheer pleasure working with you. May you stay happy and healthy always!…
1258065664671199200,Wed May 06 16:06:42 +0000 2020,RT @DelhiTimesTweet: .@nikkhiladvani, @Shibasishsarkar, @kamalgianc, @akshayerathi discuss the way forward for the film industry post #lock…
1258035764958572500,Wed May 06 14:07:54 +0000 2020,RT @SanctuaryAsia: Producer, director, screenwriter @nikkhiladvani with Anahita Uberoi on how #COVID19 highlights the social inequalities i…
