id,created_at,text
1259574019961041000,Sun May 10 20:00:22 +0000 2020,There we go, an intelligent version of libertarianism! https://t.co/GlzYqx3oWj
1259558246198755300,Sun May 10 18:57:42 +0000 2020,@Extrachelle What's wrong with revenge? Tastes grrrreat.
1259524664184971300,Sun May 10 16:44:15 +0000 2020,RT @BuddyCA64525731: Wonderful @nntaleb venn diagram on the right way to formalize and teach probability and risk.  @macroarb @zoeharcombe…
1259523310624428000,Sun May 10 16:38:52 +0000 2020,RT @DrSamPappas: “Inflammation is the most frequent affection and the one showing the most number of varieties ..“ Galen of Pergamon ⁦@_Tom…
1259523103002177500,Sun May 10 16:38:03 +0000 2020,@AnterosHyperion @zoeharcombe I block people for sub-stupid remarks.
1259500099752910800,Sun May 10 15:06:38 +0000 2020,Seond hint. I guess we're done. https://t.co/2i4mwWp0AG
1259494578543120400,Sun May 10 14:44:42 +0000 2020,If you want to drive a fool to insolvency, lend her or him some money.
1259473946325536800,Sun May 10 13:22:43 +0000 2020,RT @MarcosCarreira: Before affirming that children are "immune" and can be exposed to risky environments, remember that: (1) Many problems…
1259458372769919000,Sun May 10 12:20:50 +0000 2020,Bottom up vs top down. The photo is BEFORE my weight loss. Very unfair. https://t.co/tKt1KVSsZ3
1259286677899616300,Sun May 10 00:58:35 +0000 2020,@ByzBastard Original Levantines are predominantly J2, not "Semites".
1259283059037347800,Sun May 10 00:44:12 +0000 2020,@GuruAnaerobic @NatZiv HAPPY B Guru!
1259280420602024000,Sun May 10 00:33:43 +0000 2020,@jneeley78 @phl43 Bazookas are USELESS in close quarters.
1259280042082926600,Sun May 10 00:32:12 +0000 2020,@Jac5Connor He dyes his hair!
1259279701513777200,Sun May 10 00:30:51 +0000 2020,@blvjd @Extrachelle He also wondered about Proust's recherche on why there were fictional characters popping up in this essay!
1259275442156122000,Sun May 10 00:13:56 +0000 2020,נותנה ואינו יודע למי נותנה, נוטלה ואינו יודע ממי נוטלה. נותנה ואינו יודע למי נותנה, לאפוקי מדמר עוקבא...  https://t.co/KTLHDnjywo
1259222418947747800,Sat May 09 20:43:14 +0000 2020,@HachemYassin By government I meant LOCAL governments. And Central Govts are responsible for borders. It is all lay… https://t.co/1Ey3DVM30x
1259212594231066600,Sat May 09 20:04:12 +0000 2020,Make your failings public; keep your virtues secret.
1259184278853824500,Sat May 09 18:11:41 +0000 2020,@sgussoni DOn't you need to reread the D'Artagnan series first?
1259144248731017200,Sat May 09 15:32:37 +0000 2020,Libertarianism reposes on the nonagression principle, which COMMANDS mask-wearing under the SILVER RULE.
1259142699459977200,Sat May 09 15:26:27 +0000 2020,If you are a nonimbecile Libertarian, or localist, you want collective action to arise bottom up in a decentralized… https://t.co/0EMqzz8ukx
1259063465999765500,Sat May 09 10:11:37 +0000 2020,@strivingpolymat I very very rapidly block people for idiotic comments. Sorry.
1258939681292550100,Sat May 09 01:59:44 +0000 2020,I am in Atlanta where restrts have been ALLOWED to open. The ones I know are closed.  Nice to blame local governmen… https://t.co/y8I4FNYodW
1258938064606560300,Sat May 09 01:53:19 +0000 2020,Indeed, a faux debate  https://t.co/Rikq0gnD5B
1258931279317405700,Sat May 09 01:26:21 +0000 2020,Lockdowns (largely)followed individual behavior rather than the reverse. Except for teenagers who carry a tiny econ… https://t.co/7L0d4oV0tV
1258928165130580000,Sat May 09 01:13:58 +0000 2020,@lebaneselingui1 @HsenAndil @Decafquest @oldlevantine Falakje by far
1258922251434549200,Sat May 09 00:50:29 +0000 2020,@LuigiVa30031665 Luigi Vampa... haha!
1258869651079073800,Fri May 08 21:21:28 +0000 2020,RT @yaneerbaryam: Why is the Batshit Crazy idea of Herd Immunity still with us?  1/4
1258860160669401000,Fri May 08 20:43:45 +0000 2020,@skyler_westby Fixed since then! https://t.co/LIT73xCfCT
1258859918561509400,Fri May 08 20:42:47 +0000 2020,@GeorgesPetrovic Vous avez la source?
1258854374325006300,Fri May 08 20:20:45 +0000 2020,@JamesMarsh79 @digvijoy_c Getting some ideas &amp; training.
1258854226995880000,Fri May 08 20:20:10 +0000 2020,The other problem is attending a lecture on Zoom tires you much more than one in the physical world. You need to fo… https://t.co/qbcwkwmuah
1258853603554574300,Fri May 08 20:17:42 +0000 2020,Having been separated from my library &amp; reading on an Ipad, it is w/yuuge relief (after 463 pages) to finally get t… https://t.co/bGiquz9bsZ
1258836027604717600,Fri May 08 19:07:51 +0000 2020,@oldergod Not necessarily. It was a matter of costs and commercialization; costs are no longer relevant.  Same with… https://t.co/1YJjOvKcrK
1258834733976498200,Fri May 08 19:02:43 +0000 2020,Publishers are indeed confused by my approach. Never separate words from aesthetics. This format is Lindy… https://t.co/VtSTgJz6Tg
1258824863407636500,Fri May 08 18:23:29 +0000 2020,@hugowiz @GrantSSC Started to foam with Lavazza. Ok as is? https://t.co/IdyAUVDaNN
1258806084908863500,Fri May 08 17:08:52 +0000 2020,Hint https://t.co/otSFzfIUPr
1258780846712029200,Fri May 08 15:28:35 +0000 2020,@michelle_d_ong Hi, I apologize but I don't do media interviews. Sorry about that.
1258779005634916400,Fri May 08 15:21:16 +0000 2020,@ziyadedher Sorry, yes f:[0,e]
1258776486540181500,Fri May 08 15:11:15 +0000 2020,@ziyadedher No, do the substitution
1258776367984005000,Fri May 08 15:10:47 +0000 2020,You know when it starts. Never when it ends... https://t.co/2NecxUaaNR
1258776259674411000,Fri May 08 15:10:21 +0000 2020,@JamesMarsh79 Early on, in ...weeks
1258773122460901400,Fri May 08 14:57:53 +0000 2020,Something to start the weekend with. Courtesy Dan Sitaru. https://t.co/PGLvK4TGTK
1258754352614867000,Fri May 08 13:43:18 +0000 2020,@Firsou @ArieHaziza @financequant @normonics @trishankkarthik La seule interpretation plausible est que Elohim fut… https://t.co/w2pTWGTSCp
1258733429635629000,Fri May 08 12:20:10 +0000 2020,@ArieHaziza @financequant @normonics @trishankkarthik et "shamayim" est certainement pluriel. Mais ce que les gens… https://t.co/OzalLouH6J
1258733072696193000,Fri May 08 12:18:45 +0000 2020,@HsenAndil @jeegaram1996 =Ya 2albé
1258732580096086000,Fri May 08 12:16:47 +0000 2020,@ArieHaziza @financequant @normonics @trishankkarthik Cher ami, "béréchit" n'est pas "au commencement". Chouraqui a… https://t.co/xsoWD1TX9o
