id,created_at,text
1260061680060567600,Tue May 12 04:18:09 +0000 2020,facts😭 https://t.co/YRqIP1JvXA
1260061626482536400,Tue May 12 04:17:57 +0000 2020,O yea it’s up 🔥 https://t.co/J2WHMgm4Eo
1260060697490272300,Tue May 12 04:14:15 +0000 2020,RT @RashieiLdn: Only kings listen to NBA YoungBoy
1260060660618141700,Tue May 12 04:14:06 +0000 2020,RT @ty4kt: There’s literally only one answer to this ... nba youngboy
1258730151514452000,Fri May 08 12:07:08 +0000 2020,RT @joshgee1017: How I'm looking at y'all disrespect King Bach, knowing he was one of the funniest on vine https://t.co/G1bxUAmzj5
1258728639430045700,Fri May 08 12:01:08 +0000 2020,THANK YOU! 🙏🏽🙏🏽🙏🏽 https://t.co/IiRM8Q582s
1256445560200007700,Sat May 02 04:48:59 +0000 2020,RT @MeekMill: Very private” just say you sneaky it’s more respectable 😂
1253954155753996300,Sat Apr 25 07:49:02 +0000 2020,RT @icecube: Happy Anniversary Pop https://t.co/ukQH3Y3ejZ
1253793149673144300,Fri Apr 24 21:09:15 +0000 2020,RT @Lifeissuccess: @_timscott3 It ruffles feathers for sure
1253752112477098000,Fri Apr 24 18:26:11 +0000 2020,RT @icecube: Happy Anniversary https://t.co/I9vWAKJsFn
1253747000136339500,Fri Apr 24 18:05:52 +0000 2020,RT @BleacherReport: The ball is a yo-yo in Kyrie’s hands 🌀 https://t.co/8M2zgbfLdB
1251356203940302800,Sat Apr 18 03:45:42 +0000 2020,Prada U💙🆗🆒 https://t.co/aUmWeO6Ta3
1251317719611441200,Sat Apr 18 01:12:47 +0000 2020,RT @LOUIEKNOWS: TWO OF AMERICAS MOST WANTED @GGYOUNGBOY @DaBabyDaBaby https://t.co/ec321ig1Rz
1250129605664612400,Tue Apr 14 18:31:38 +0000 2020,RT @Jaygup23: https://t.co/1Etm05r2rY
1250129350386737200,Tue Apr 14 18:30:38 +0000 2020,LOVE YOU KID💙🆗🆒 https://t.co/kb6h12hagi
1250129257415704600,Tue Apr 14 18:30:15 +0000 2020,RT @SLAM_HS: Josh Christopher is officially a Arizona State Sun Devil! 🔱 @Jaygup23 https://t.co/gEKLelD7l7
1249964071522390000,Tue Apr 14 07:33:52 +0000 2020,RT @Mr_6ixer: Is it me or this quarantine feel like a season of walking dead 😂😂
