id,created_at,text
1245899773745467400,Fri Apr 03 02:23:48 +0000 2020,@MikeErlandson I‘ll be back in Minnesota soon. Can’t wait to enjoy those magnificent sunsets-particularly if I’m at Lake Ada!
1245892324623880200,Fri Apr 03 01:54:12 +0000 2020,Another day sequestered in paradise. A typical Naples sunset. If this insidious virus makes us fearful and isolated… https://t.co/d3oiQmweCw
1245675303541903400,Thu Apr 02 11:31:50 +0000 2020,Adelson: I'm paying all my workers for 2 months, so should any business that can https://t.co/n13X0adDdl via… https://t.co/WGteARdwnf
1237753309185872000,Wed Mar 11 14:52:39 +0000 2020,RT @mbrooksrjc: .@BillKristol we’ve known each other a long time- you could’ve called me to ask before tweeting falsehoods and fabrications…
1233590742104277000,Sat Feb 29 03:12:06 +0000 2020,RT @LewisForMN: What an incredible fundraiser with @DonaldJTrumpJr and @kimguilfoyle. Thank you @normcoleman for helping with such an amazi…
1232368915730354200,Tue Feb 25 18:17:00 +0000 2020,RT @RJC: Last night over 750 members of the Jewish community in Miami joined @AlanDersh and Senator @NormColeman for a timely conversation…
1232368546073718800,Tue Feb 25 18:15:32 +0000 2020,RT @BrandonSawalich: #HappyBirthday to my #mentor, @billfaustin. He has built @starkeyhearing into a global hearing healthcare company - bu…
1232368414670442500,Tue Feb 25 18:15:01 +0000 2020,Happy birthday to a truly great American @BillFAustin. He’s provided  more kids around the world with the gift of h… https://t.co/uTx5vUxXYx
1231939084102316000,Mon Feb 24 13:49:00 +0000 2020,This is absolutely correct!  Concur. https://t.co/it8Gpd7nT6
1231938286102470700,Mon Feb 24 13:45:50 +0000 2020,@BernieSanders=bad for America https://t.co/FSQCk8yW1o
1229066193203585000,Sun Feb 16 15:33:10 +0000 2020,@KFILE @kfile, I am focusing on Jason @LewisforMN record. Actions speak much louder than words- particularly someon… https://t.co/vCx7EEQsBl
1229064848455151600,Sun Feb 16 15:27:49 +0000 2020,RT @KFILE: Former Senator Coleman, do you dispute he said these things? Because it looks like you’re just using an ad hominem attack to def…
1228832880169799700,Sun Feb 16 00:06:03 +0000 2020,@kfile is nothing more than a hatchet man for a biased news outlet, using a worn out playbook of attacking@Lewisfor… https://t.co/YJnbhXIhDn
1227415556183203800,Wed Feb 12 02:14:07 +0000 2020,Amy Klobuchar is now the ONLY woman left in the a Democrat endorsement process( Warren is DOA). So much for diversi… https://t.co/k2naR9SbdK
1224904677394874400,Wed Feb 05 03:56:47 +0000 2020,When my dear friend @ananavarro has something nice to say about this SOTU you know it was a good speech. President… https://t.co/zRurZAPZht
