id,created_at,text
1260268072457375700,Tue May 12 17:58:17 +0000 2020,RT @i_m_m: What Alito fails to understand—and I‘m sympathetic; it’s not obvious to non-journalists—is that grand jury material typically co…
1260263402389352400,Tue May 12 17:39:44 +0000 2020,RT @JoshuaErlich: my girl absolutely crushing this quarantine https://t.co/tbzuoCHKf3
1260262952206315500,Tue May 12 17:37:57 +0000 2020,RT @mjs_DC: If I had to guess, I'd say Trump has a better chance of winning Mazars than Vance. The Paula Jones case clearly dictates the ou…
1260262799546163200,Tue May 12 17:37:20 +0000 2020,RT @mattyglesias: To me the most significant thing about the highly irregular Flynn flip-flop is it has generated zero damaging leaks from…
1260262673398354000,Tue May 12 17:36:50 +0000 2020,RT @steve_vladeck: Only one (very brief) allusion during this morning's #SCOTUS argument to the supplemental briefing order in the Mazars c…
1260258481107591200,Tue May 12 17:20:11 +0000 2020,RT @donie: Broadway theaters to remain closed through at least September 6 https://t.co/z73lKzcvrT
1260256891600539600,Tue May 12 17:13:52 +0000 2020,RT @mjs_DC: Thomas: There's been much discussion about burdens on the president. I'd like from you a couple of examples of ... a burden tha…
1260256822549676000,Tue May 12 17:13:35 +0000 2020,RT @Fritschner: This made my day https://t.co/106CvmyhHD
1260256744904802300,Tue May 12 17:13:17 +0000 2020,RT @steve_vladeck: Carey Dunne has been really impressive as an advocate today. I'm not sure oral argument always (or even often) makes a d…
1260253861169766400,Tue May 12 17:01:49 +0000 2020,RT @eorden: Manhattan D.A.’s general counsel Carey Dunne on the notion of local prosecutors burdening the president with large numbers of i…
1260251131441225700,Tue May 12 16:50:58 +0000 2020,RT @AshleySchapitl: This is deranged.
1260247735338500000,Tue May 12 16:37:29 +0000 2020,Unlike Mr. Letter, the Manhattan DA came to court with a limiting principle for when it could burden the president:… https://t.co/Ew0agubgiS
1260246515437785000,Tue May 12 16:32:38 +0000 2020,The Manhattan DA’s representative starts his argument saying they would’ve been remiss not to follow up on public r… https://t.co/BP69sG1hPL
1260245953480740900,Tue May 12 16:30:24 +0000 2020,RT @RMFifthCircuit: I’m not listening to the argument this AM, but I’ve never really understood *why* the House needs a legislative basis t…
1260245868566974500,Tue May 12 16:30:03 +0000 2020,RT @carlquintanilla: (BuzzFeed) - Twitter CEO Jack Dorsey emailed employees on Tuesday telling them that they’d be allowed to work from hom…
1260245732675723300,Tue May 12 16:29:31 +0000 2020,RT @ElieNYC: Just cause I'm seeing this question a lot: They're not going to decide the case today. And, technically, they could decide thi…
1260243416455229400,Tue May 12 16:20:19 +0000 2020,RT @jonbecker: Jay Sekulow is right now before the Supreme Court arguing that Trump is too busy as president to have to turn over his taxes…
1260243268153086000,Tue May 12 16:19:43 +0000 2020,Alito is p clearly much more conflicted in the Vance case than the House subpoenas case because of his special soli… https://t.co/uwsI86DD74
1260241272557748200,Tue May 12 16:11:48 +0000 2020,"10TH AMENDMENT" EVERYBODY DRINK
1260240483307196400,Tue May 12 16:08:40 +0000 2020,RT @MikeSacksEsq: With Kav and Gorsuch being harder on Trump’s lawyers in the Manhattan DA case than in the Congress case, I can’t help but…
1260240082163859500,Tue May 12 16:07:04 +0000 2020,RT @steve_vladeck: .@cspan cut away from the #SCOTUS argument on TV, but the online web stream, along with @TomGoldsteinSB and my live-blog…
1260239408923660300,Tue May 12 16:04:23 +0000 2020,RT @eorden: Justice Kagan: “The president isn’t above the law.”
1260239179658735600,Tue May 12 16:03:29 +0000 2020,I find it unusually hard to take notes on Sekulow's arguments. What sound like thesis statements are almost never e… https://t.co/RzMCycyIWa
1260237003700011000,Tue May 12 15:54:50 +0000 2020,RT @HarrySandick: A clear statement by Sekulow that the president is above the law. This is their argument. To paraphrase what Franklin sai…
1260235675259076600,Tue May 12 15:49:33 +0000 2020,"The president is not to be treated as an ordinary citizen."   Jay Sekulow, president Trump's attorney, said this t… https://t.co/gmnit7ohYu
1260234593665515500,Tue May 12 15:45:15 +0000 2020,RT @steve_vladeck: At least Letter gets followed by Sekulow...
1260232276119621600,Tue May 12 15:36:03 +0000 2020,RT @mkraju: Rand Paul, who had covid and doesn’t wear a mask because he says he almost certainly has immunity, asks Fauci about having immu…
1260231996078469000,Tue May 12 15:34:56 +0000 2020,RT @amandalitman: Rand Paul is a doctor, a U.S. Senator and an absolute idiot -- watching him is a quick cure for imposter syndrome.
1260231647347331000,Tue May 12 15:33:33 +0000 2020,Letter volunteers to the court that he was on one of the losing briefs in Clinton v. Jones. "But what the court did is..."
1260230679889150000,Tue May 12 15:29:42 +0000 2020,RT @Blacknell: "We all know it's about the President" - Justice Thomas as shitposter, tossing aside all pretense and revealing himself.
1260230406303080400,Tue May 12 15:28:37 +0000 2020,RT @KlasfeldReports: Breyer asks Letter whether he would want to inspect subpoenas of third parties request broad categories of his own per…
