id,created_at,text
1260570635807477800,Wed May 13 14:00:34 +0000 2020,Kickin’ It With @KayNurse11 returns to #nyliberty's Instagram Live TONIGHT at 7PM with rookie @23_JJones! LOCK IT I… https://t.co/WFNFLHiNyY
1260344052928655400,Tue May 12 23:00:12 +0000 2020,We're joining our NYC residents with a virtual clap 👏 in celebration of #InternationalNursesDay. A #LibertyLoud THA… https://t.co/TS8BYhAPSq
1260295921298006000,Tue May 12 19:48:57 +0000 2020,Libs Fam, join us in congratulating @LongIslandNets Head Clinician, Kelly Dempsey for becoming a @jrnba Coach of th… https://t.co/F28XBkIBcJ
1260209225638297600,Tue May 12 14:04:27 +0000 2020,ENERGY on 💯, @23_JJones! 💪 #BrooklynLoud🗽 https://t.co/js8NU0hIof
1259921203319525400,Mon May 11 18:59:57 +0000 2020,.@23_JJones is the first rookie to join Kickin’ It With @KayNurse11! Let’s see if she can handle an interview with… https://t.co/SN1scJ3qMZ
1259833585927938000,Mon May 11 13:11:48 +0000 2020,Libs fam, looking for some new books to add to your reading list? Here’s @Layshiac with an assist! Get through the… https://t.co/MONFYkNUQk
1259563864645079000,Sun May 10 19:20:01 +0000 2020,This #ShineLoudSunday goes to Lorena Vivas, a nurse for 20 yrs, now working at Mount Sinai’s COVID-19 ICU. She's pr… https://t.co/RVhBjWor9S
1259483342988365800,Sun May 10 14:00:03 +0000 2020,Moms, #HappyMothers Day from the #NYLiberty! We salute you, and give an extra flower to basketball moms. Thank you… https://t.co/qc1wXtlrbt
1259121017844371500,Sat May 09 14:00:18 +0000 2020,That weekend energy 🗣 Tag your Quaranteam! #BrooklynLoud🗽 https://t.co/tqIKzA3fhd
1258778903981838300,Fri May 08 15:20:52 +0000 2020,🗽 Bangin' OUT WEST. @sabrina_i20 announces the @giants week 13 opponent! https://t.co/Dr8RcccqkA
1258776161490022400,Fri May 08 15:09:58 +0000 2020,Libs fam, as #TeacherAppreciationWeek 📚comes to an end, Liberty rookie @swishbeast delivers a special message of gr… https://t.co/rVRJP2JkN6
1258769239974051800,Fri May 08 14:42:28 +0000 2020,@ReallyJustJosh @WNBA @ChrisShearnYES @JulianneViani @Grady @YESNetwork family! 🗽
1258769138878742500,Fri May 08 14:42:04 +0000 2020,RT @WNBA: .@nyliberty | #BestOfWNBA https://t.co/1MAsQxseIR
