id,created_at,text
1259577646800752600,Sun May 10 20:14:47 +0000 2020,RT @horowbee: SHADOWBRINGERS: FINAL FANTASY XIV より 『反復する明日 / Tomorrow and Tomorrow - Reprise』  ※コスプレしてますのでご注意ください。 https://t.co/xOShZ8eOYT
1259561165237088300,Sun May 10 19:09:17 +0000 2020,@_shunao I HOPE YOU ARE BLESSED WITH CHACHAMARU SOOON! &lt;333
1259550518533218300,Sun May 10 18:26:59 +0000 2020,I was trying for Raymond, but Punchy has been high on my list because he looks like my son!!! https://t.co/g5QUuGc0ub
1259550517488836600,Sun May 10 18:26:59 +0000 2020,AHHHH I GOT PUNCHY AFTER USING THREE TICKETS!!!! HE'S COMING HOME! https://t.co/OdmqqeP99Q
1259399335525011500,Sun May 10 08:26:14 +0000 2020,RT @ninjamatch: 過去絵のマーキュリーとジュピターです https://t.co/95yTdGKPAy
1259398847211556900,Sun May 10 08:24:18 +0000 2020,RT @ydofu_y: 踊るちゃちゃまる〜〜🕺 #どうぶつの森 https://t.co/TDmDtNjEhx
1259391874185392000,Sun May 10 07:56:35 +0000 2020,RT @berryllord: Whenever I'm in an art funk I can always come to my girl, Utena and surprise myself a little sometimes! ✨ https://t.co/FHHa…
1259389093928026000,Sun May 10 07:45:32 +0000 2020,RT @expuella: when tifa isn’t home https://t.co/kr9TEyBAai
1259202353586028500,Sat May 09 19:23:30 +0000 2020,RT @ichickooo: Teaser for the Sinigang cooking game🥳  P.S. It's might just be....very difficult 👀👀👀 https://t.co/BaDfCuyp6n
1258893057937686500,Fri May 08 22:54:28 +0000 2020,@skeletonpup I love this 🤣 this is exactly how @videoshuevos and I are with Kirby https://t.co/LvLGuJbTnj
1258800926334177300,Fri May 08 16:48:22 +0000 2020,RT @threatenedcats: where his legs https://t.co/mFKCigQlr3
1258605569264369700,Fri May 08 03:52:06 +0000 2020,RT @ENIMALwins: I am precisely this old https://t.co/PNNomzPTFi
1258569973770809300,Fri May 08 01:30:39 +0000 2020,RT @age_iro: のんびり塗り始め https://t.co/OchAR6j4Ag
1258478440992239600,Thu May 07 19:26:56 +0000 2020,RT @nasz9696: 髑髏と花💀🥀 Skull and flowers https://t.co/zb2O14h77j
1258477960211787800,Thu May 07 19:25:01 +0000 2020,RT @sleepypixieart: filipiniana but make it punk https://t.co/x0Jd7UXyNY
1258148835852841000,Wed May 06 21:37:12 +0000 2020,RT @Faucillien: I've never felt so attacked https://t.co/YdYDd9GeKT
1258117316065161200,Wed May 06 19:31:57 +0000 2020,RT @pix_bun: At the end of the day #maysketchaday https://t.co/HLyoWjIGy8
1258092615641075700,Wed May 06 17:53:48 +0000 2020,RT @joshriku: cannot believe all these raw quotes ive always liked like "in your darkest hour, in the blackest night, think of me and i wil…
1257973317950042000,Wed May 06 09:59:45 +0000 2020,RT @ffxivani: coffee time! ☕️ https://t.co/3DiMV8Ocw5
1257973032804479000,Wed May 06 09:58:37 +0000 2020,RT @gentleeeeeeecat: 야행성 https://t.co/SMfM8rDiV9
1257800166821597200,Tue May 05 22:31:43 +0000 2020,RT @rofldrg: Isabelle NO! NOOOOOOOOO! #FFXIV #AnimalCrossing #ACNH #NintendoSwitch https://t.co/QejEe19uBv
1257785063632060400,Tue May 05 21:31:42 +0000 2020,RT @46cm_: The horde calls https://t.co/xAd8jnUb99
1257523774473175000,Tue May 05 04:13:26 +0000 2020,RT @grahatias: SOME OF THE THE LOG FILTER EXAMPLES ARE SO FUNNY https://t.co/ly3Xr7zgZ9
1257522890620014600,Tue May 05 04:09:55 +0000 2020,RT @Evomi13: #FF14 🦋Estinien and Aymeric🦋 https://t.co/AcjnvFxpQ0
1257522823767011300,Tue May 05 04:09:39 +0000 2020,RT @ojisanofdream: 妻～～おしのびデートしてくれんかな～～ https://t.co/ZiwqVUwekD
1257465495416004600,Tue May 05 00:21:51 +0000 2020,@ewallertv Grats dude! :)
1257434640555692000,Mon May 04 22:19:14 +0000 2020,RT @NikkoGuy: BIG ANNOUNCEMENT:  INFINITE GUITARS now has a steampage! https://t.co/MDqplJgod0  Steam Wishlists support the game a ton! RTs…
1257398007428984800,Mon May 04 19:53:40 +0000 2020,RT @kylegaddo: final fantasy xiv is very realistic to me because i too heal ungrateful people whom i never speak to again
1257220518291181600,Mon May 04 08:08:24 +0000 2020,RT @msofkmt: セレニティ https://t.co/BEncWcttAu
1257218247117598700,Mon May 04 07:59:22 +0000 2020,RT @athenaparadigm: "ladies and gentlemen" - outdated, stinks of disgusting Gender, isn't very Gamer at all   "tanks, healers and damage de…
1257136339931107300,Mon May 04 02:33:54 +0000 2020,Playing FF7R and every moment with Barrett and Marlene together has me feeling so tender https://t.co/GIfuEW96Ry
1257039898948726800,Sun May 03 20:10:41 +0000 2020,RT @faith_schaffer: A selection of my fave swords I designed ⚔️🤺 https://t.co/ElsxL0jj1i
1257034545158697000,Sun May 03 19:49:24 +0000 2020,RT @lemdraws: almost 2 months into stay-at-home orders playing nothing but animal crossing for 10+ hrs a day https://t.co/drp9oxUF8f
1257033889542893600,Sun May 03 19:46:48 +0000 2020,RT @bobacupcake: an early version of the island planner is out!!! you can mess around with it and download it here!! https://t.co/xBsiqRZ5v…
1256726082406908000,Sat May 02 23:23:41 +0000 2020,RT @videoshuevos: very good kirby pictures https://t.co/GkFmZo0xan
1256663637629927400,Sat May 02 19:15:33 +0000 2020,@varimatsu ahhh I have her too and I love her!
1256663362408075300,Sat May 02 19:14:27 +0000 2020,RT @GTZtaejune: Aerith #FF7Remake https://t.co/S8UEb70Fs8
1256381022733652000,Sat May 02 00:32:32 +0000 2020,RT @chloexhalle: 👑 @theestallion x 👑 @Beyonce x 👑@DojaCat x 👑 @NICKIMINAJ 👑 https://t.co/gB8ujo7zaP
1256315993883684900,Fri May 01 20:14:08 +0000 2020,RT @Meilander: https://t.co/47TMhiurVJ
1256314896498622500,Fri May 01 20:09:47 +0000 2020,RT @Iaracrossing: can someone make some of these for acnh https://t.co/03d8ogkKNG
1256314673370067000,Fri May 01 20:08:53 +0000 2020,RT @eatapeachhh: #FF14ハウジング #FF14housing  #FF14   L size.  Finally I finish this cabin after almost 2 weeks. I’m quiet satisfied with my wo…
1256297690033303600,Fri May 01 19:01:24 +0000 2020,RT @KeniChaffee: Started drawing my favorite pantry essentials, the mn I realized they were all spicy asian condiments... https://t.co/Asiy…
1255963277516918800,Thu Apr 30 20:52:34 +0000 2020,I know a lot of people, myself included, have mixed feelings about the material, but there is some comfort in the t… https://t.co/2aToUnsf6L
1255962708240822300,Thu Apr 30 20:50:18 +0000 2020,It really warms my heart to know that the work I've been doing with the team has helped to bring some folks comfort… https://t.co/j0wQeRgE20
1255753319269535700,Thu Apr 30 06:58:16 +0000 2020,RT @kuraine: Upon ending March 2020, several cutscenes will play in sequence. It is recommended that you set aside sufficient time to view…
1255603595979845600,Wed Apr 29 21:03:19 +0000 2020,RT @Yurt: https://t.co/jvv1M0oRyq
1255220463971770400,Tue Apr 28 19:40:54 +0000 2020,RT @Sigrdrifa369: Tonight.  🌴🦋🐳 #FF14 #FFXIV https://t.co/42ofbXApOJ
1255191119828148200,Tue Apr 28 17:44:17 +0000 2020,RT @nocontexttgp: https://t.co/fV9d7Eor6F
1255190890345197600,Tue Apr 28 17:43:23 +0000 2020,RT @TomAndIsabelle2: Hall &amp; Oates - You Make My Dreams https://t.co/USEklWWIAG
1254992356337565700,Tue Apr 28 04:34:29 +0000 2020,RT @NotLikeFreddy: “Geralt, they’re lesbians”  is that anything
1254968872454590500,Tue Apr 28 03:01:10 +0000 2020,RT @austin_walker: The most important analytic lesson I've learned--shout outs to Karl--is to stop wasting breath on individual actions and…
1254677913921654800,Mon Apr 27 07:45:00 +0000 2020,RT @misshemlock: who at nintendo said "hm lets let them move all buildings EXCEPT resident services which we will place just slightly unali…
1254658345203449900,Mon Apr 27 06:27:14 +0000 2020,I rewatched Advent Children for the first time in over a decade and wow I did not remember the movie at all.  HOW C… https://t.co/g7k9bHJh0Z
1254617318790819800,Mon Apr 27 03:44:13 +0000 2020,RT @MinovskyArticle: This is an unbroken four page sequence of Chainsaw Man. No, context won't help you. https://t.co/0nZygVSuFY
1254582969127166000,Mon Apr 27 01:27:43 +0000 2020,RT @Haurchefent: Ishgardian Restoration, complete. #FFXIV https://t.co/TAn9I0OIHp
1254582316837539800,Mon Apr 27 01:25:08 +0000 2020,@AtomEve I feel like this is an accurate depiction of me when I have caffeine
1254150853675516000,Sat Apr 25 20:50:39 +0000 2020,RT @tatamepi: #StayHome  ねこと 🐱🎸📚🐟 https://t.co/8ChUyCyiZJ
1254100341861175300,Sat Apr 25 17:29:56 +0000 2020,RT @sabato__n: https://t.co/TokxRLvOe0
1254100085203325000,Sat Apr 25 17:28:55 +0000 2020,RT @freyasolo: now that y'all aren't busy play dragon age inquisition https://t.co/PZt7snAve2
