id,created_at,text
1260720427892179000,Wed May 13 23:55:47 +0000 2020,@faizanlakhani Comments on how he's been managed by PCB??!!
1260708175868833800,Wed May 13 23:07:06 +0000 2020,@manishbatavia love seeing your interviews on @cricbuzz .... very natural!! Good job Manish!!
1260634609156489200,Wed May 13 18:14:46 +0000 2020,RT @i_stanKohli18: Good night https://t.co/48qGFez2UB
1260604693186777000,Wed May 13 16:15:54 +0000 2020,@hemantbuch @alter_jamie Hahaha! Its STILL the same??!!🤦‍♂️🤣
1260540772757188600,Wed May 13 12:01:54 +0000 2020,@alter_jamie @hemantbuch My 1st day at Zee, I expected to leave wrk @ 6pm as at other cos. Noone left at 6 &amp;being a… https://t.co/oUINclHljG
1260538888952709000,Wed May 13 11:54:25 +0000 2020,RT @Daniel86criket: @ICC Love from India. #Cricket https://t.co/Q2NWenPbAC
1260538712523452400,Wed May 13 11:53:43 +0000 2020,@imsanjaimishra Mishra ji... apka Apple Singh ke time se fan hoon. Kal maine KAAMYAAB dekhi. Mazaa aa gaya aapka ka… https://t.co/oWkUxQ4n2h
1260533579693555700,Wed May 13 11:33:19 +0000 2020,@DelhiCapitals @SDhawan25 The coach @RickyPonting
1260531627773571000,Wed May 13 11:25:34 +0000 2020,@GurpreetGK Kya baat hai! Crickets loss was Indian footballs gain!😀
1260531249866825700,Wed May 13 11:24:04 +0000 2020,RT @cnfused_as_fuck: @DelhiCapitals @MishiAmit @omlalmehta  he answered to ur question sir 😀
1260528348352086000,Wed May 13 11:12:32 +0000 2020,RT @DelhiCapitals: "Yeh do games mai bohot zyaada khelta hu."  Find out which other sports, apart from cricket, does @MishiAmit love to pla…
1260528144626471000,Wed May 13 11:11:43 +0000 2020,Thank you @MishiAmit bhai and @DelhiCapitals 😀  #YehHaiNaiDilli 💪🏏#DelhiCapitals https://t.co/eAt28KZLF4
1260527595654955000,Wed May 13 11:09:32 +0000 2020,@DelhiCapitals @MishiAmit Thank you so much @MishiAmit bhai.... may you keep enjoying all games you like, &amp; remain… https://t.co/R8efMUX7Mo
1260527259787673600,Wed May 13 11:08:12 +0000 2020,@cnfused_as_fuck Thank you 😀
1260338796396249000,Tue May 12 22:39:19 +0000 2020,@robin_rounder 🤣🤣
1260338742730133500,Tue May 12 22:39:06 +0000 2020,Am getting this #tattoo when this all finishes! #COVID19 #COVID https://t.co/eOsQ0pCiGh
1260338104642175000,Tue May 12 22:36:34 +0000 2020,@OAK1857 @ICC Insta live karo fir. Bade din ho gaye
1260337811619807200,Tue May 12 22:35:24 +0000 2020,@itsArnaBack @MattNotFront Stay blessed guys!
1260337728924913700,Tue May 12 22:35:05 +0000 2020,@robin_rounder That should be an easy one! 😜🤣
1260318062013792300,Tue May 12 21:16:56 +0000 2020,@im_yash2307 @robin_rounder @Reuters 😜
1260307226679480300,Tue May 12 20:33:52 +0000 2020,@robin_rounder @im_yash2307 @Reuters 😂
1260307096182173700,Tue May 12 20:33:21 +0000 2020,@robin_rounder @im_yash2307 @Reuters Gayle ko pucho who was at fault!
1260302149554253800,Tue May 12 20:13:42 +0000 2020,@alifazal9 Yeh kharid lo! https://t.co/lKL4ksiogM
1260300309966008300,Tue May 12 20:06:23 +0000 2020,RT @MSaad_IN: @SujoyBarg07 @MePrakash27 @omlalmehta @TheWicket_ Abe thanks so much
1260287532819939300,Tue May 12 19:15:37 +0000 2020,@SujoyBarg07 @MePrakash27 @MSaad_IN @TheWicket_ Thank YOU for all the hard work in organising and coordination Sujo… https://t.co/ZsJ579RdOW
1260274729900007400,Tue May 12 18:24:45 +0000 2020,@ManiTweets14 😂😜🍻
1260274504670068700,Tue May 12 18:23:51 +0000 2020,RT @ManiTweets14: @omlalmehta @JofraArcher Wah Bawa ka Reply Mil geya 😅
1260274391423778800,Tue May 12 18:23:24 +0000 2020,@ManiTweets14 Haha! Chaal se liya😜 bechara fass gaya chaal mai😂
1260273479758348300,Tue May 12 18:19:46 +0000 2020,@SujoyBarg07 @YouAreAMagician Congrats guys!!
1260272131654455300,Tue May 12 18:14:25 +0000 2020,@Iam__Rashmi @AbijithT7 @SujoyBarg07 @SanjuRo45_ @YouAreAMagician Arre nahi🙏
1260271727336206300,Tue May 12 18:12:49 +0000 2020,@AbijithT7 @Iam__Rashmi @SujoyBarg07 @SanjuRo45_ @YouAreAMagician https://t.co/45K8q03SpU
1260271284468027400,Tue May 12 18:11:03 +0000 2020,@Iam__Rashmi @AbijithT7 @SujoyBarg07 @SanjuRo45_ @YouAreAMagician Agar aisa kuch hota toh I would gladly share it with ALL other owners 😀
1260270928510038000,Tue May 12 18:09:38 +0000 2020,@AbijithT7 @Iam__Rashmi @SujoyBarg07 @SanjuRo45_ @YouAreAMagician 🙏😀🍻
1260270873195556900,Tue May 12 18:09:25 +0000 2020,@CricketSaish237 @JofraArcher 😀
1260270465832104000,Tue May 12 18:07:48 +0000 2020,@AbijithT7 @Iam__Rashmi @SujoyBarg07 @SanjuRo45_ @YouAreAMagician Thank you🙏...par kyun bhai🤔😀
1260270391085465600,Tue May 12 18:07:30 +0000 2020,@SujoyBarg07 @SanjuRo45_ @YouAreAMagician Congrats to MI team!
1260269677990862800,Tue May 12 18:04:40 +0000 2020,@RcbDieHardFans @PrimeVideoIN 😀🍻
1260269462722433000,Tue May 12 18:03:49 +0000 2020,RT @JofraArcher: @omlalmehta Yes !
1260269303003316200,Tue May 12 18:03:11 +0000 2020,@JofraArcher Cheers!😀
1260267046178369500,Tue May 12 17:54:13 +0000 2020,@JofraArcher Are u giving a shoutout here, to people who follow u there?!😀
1260266811754455000,Tue May 12 17:53:17 +0000 2020,@PrimeVideoIN Rohit &amp; Kohli!
1260153982103806000,Tue May 12 10:24:56 +0000 2020,RT @SujoyBarg07: Who Is Excited For The Big Final Day???   It's RCB vs MI 🔥   @TheCricketPanda vs @SanjuRo45_   Who Will Be The Champions?…
1260020033045971000,Tue May 12 01:32:40 +0000 2020,@benjavert @ESPNcricinfo Which one didn't u like now?!🤦‍♂️😀
1260014245632077800,Tue May 12 01:09:40 +0000 2020,@Saleem18c U dnt think so?
1260013547934724000,Tue May 12 01:06:54 +0000 2020,@jaynefrances63 All of what you mentioned  ....and a bit more... tell u more in DM
1260005643668402200,Tue May 12 00:35:29 +0000 2020,@A44786583 @LiquidZBite @ESPNcricinfo How bout u quit reading stuff that u don't get instead... Anwar ki vakaalat k… https://t.co/lzbkpBczIQ
1260003394653053000,Tue May 12 00:26:33 +0000 2020,@A44786583 @LiquidZBite @ESPNcricinfo Like u said...its a "public" platform....so quit whining n move on!!!
1259998288884924400,Tue May 12 00:06:16 +0000 2020,@LiquidZBite @A44786583 @ESPNcricinfo Kyu Akhtar aur Wasim Bangladeshi hain pagle?! Chhota dimag mat dikha...chal aage nikal!
1259997980607885300,Tue May 12 00:05:02 +0000 2020,@A44786583 @LiquidZBite @ESPNcricinfo Prove my points??!!! 🤣🤣So sue me!
1259986363719602200,Mon May 11 23:18:53 +0000 2020,@MSDsOverseas100 Wasim was too skillful
1259985969882824700,Mon May 11 23:17:19 +0000 2020,@jaynefrances63 @ESPNcricinfo It's an opinion..so who knows!🤷‍♂️😀 How have u been? Hope you're keeping safe &amp; healthy!
1259985284030226400,Mon May 11 23:14:35 +0000 2020,@A44786583 @LiquidZBite @ESPNcricinfo Yeah! Only days when people don't make their own list, but start commenting o… https://t.co/TA1BgiwD2T
1259897559742546000,Mon May 11 17:26:00 +0000 2020,@MunnaTripathi13 @ESPNcricinfo Apni Mirzapur ki list mai ulta kar dena😀🤷‍♂️
1259897469271408600,Mon May 11 17:25:39 +0000 2020,@LiquidZBite @ESPNcricinfo Apni list mai ulta kar dena😀🤷‍♂️
1259874054795858000,Mon May 11 15:52:36 +0000 2020,@Smithed49 😂
1259873971648049200,Mon May 11 15:52:16 +0000 2020,@deepcuv Wasim's skill was something diff!
1259873815921909800,Mon May 11 15:51:39 +0000 2020,@Smithed49 Jab tak Smith apna dance khatam karta, Shoaib would've yorked him!😀
1259872717077176300,Mon May 11 15:47:17 +0000 2020,@Smithed49 Expected coming from u😀
1259872599972118500,Mon May 11 15:46:49 +0000 2020,@nik17995 Ponting is💪
1259872495966081000,Mon May 11 15:46:24 +0000 2020,@azkhawaja1 Sab personal reading/opinion hai. U think won't - I think will😀 Hope ur staying safe n indoors
1259871307665195000,Mon May 11 15:41:41 +0000 2020,https://t.co/CQwBaI3SVq https://t.co/kSnQ4SOy0F
1259871194926416000,Mon May 11 15:41:14 +0000 2020,@ESPNcricinfo https://t.co/zFtIu5EWIh
1259870931947786200,Mon May 11 15:40:12 +0000 2020,@azkhawaja1 https://t.co/hNP19dMGTt
1259795535940239400,Mon May 11 10:40:36 +0000 2020,@DelhiCapitals Lammichaane
1259614936696791000,Sun May 10 22:42:58 +0000 2020,@itsArnaBack @MattNotFront Good luck @MattNotFront ! Stay safe mate!
1259524437671583700,Sun May 10 16:43:21 +0000 2020,@BansuriSwaraj @SushmaSwaraj The whole country misses her 🙏
1259523981046136800,Sun May 10 16:41:32 +0000 2020,@sonalkalra Your husband also didn't go?!
1259512387268481000,Sun May 10 15:55:28 +0000 2020,RT @im_yash2307: THREAD: Mother, Maa, Mom, Mummy, Amma, Aai, ammi, Mommy, is the greatest creation by the almighty. There is a saying that…
1259434634389196800,Sun May 10 10:46:30 +0000 2020,RT @TheWicket_: The Playoffs of the CTPL season 2 will start today🔥 Watch all the matches live on @SSNTV20  @SujoyBarg07 #CTPL #GameDikha h…
1259431414963077000,Sun May 10 10:33:43 +0000 2020,@_thatcoffeegurl Sure I will🙂
1259429463076614100,Sun May 10 10:25:57 +0000 2020,@_thatcoffeegurl Thank you😀
1259429141021147100,Sun May 10 10:24:40 +0000 2020,@_thatcoffeegurl Wow! Gotta try it then!!
1259425318991024000,Sun May 10 10:09:29 +0000 2020,@_thatcoffeegurl Do they have mixes for Green/Red curry as well??!!
1259422572875317200,Sun May 10 09:58:34 +0000 2020,@_thatcoffeegurl Haven't tried that yet. How's it? I normally order from Little Bangkok!
1259422361331384300,Sun May 10 09:57:44 +0000 2020,RT @SujoyBarg07: End Of League Stage!!  MI Qualified For The Playoffs 🔥  Here's Our TOP4   RCB  SRH MI DC   @SAHIL09S @CricFanatic07 @Loyal…
1259422335809044500,Sun May 10 09:57:38 +0000 2020,RT @TheWicket_: Congratulations DC!!!  @omlalmehta @SujoyBarg07 https://t.co/rKgFElwmWQ
1259420158571004000,Sun May 10 09:48:59 +0000 2020,@robin_rounder 🤣🤣Savage
1259404728577994800,Sun May 10 08:47:40 +0000 2020,RT @suubsy: Courtney Walsh - nice touching story and article by N Sidhu. Says a lot about this "Gentle Giant" https://t.co/gr7IXashSb
1259397453092094000,Sun May 10 08:18:45 +0000 2020,RT @SujoyBarg07: #CTPL2 Playoffs!!!  Qualifier 1  RCB vs SRH  Today 7 PM   Eliminatior  MI vs DC Today 9 PM  I Qualifier 2  11 May 7 PM   T…
1259397428635144200,Sun May 10 08:18:40 +0000 2020,RT @AbijithT7: Watch the Eliminator 1- DC vs MI live on @SSNTV20 at 9PM🔥🔥 #GameDikha https://t.co/pueAkeF3ec
1259137486435102700,Sat May 09 15:05:45 +0000 2020,@_thatcoffeegurl Bon Appetit! I need to order myself some Thai!
1259136819456860200,Sat May 09 15:03:06 +0000 2020,@_thatcoffeegurl I've been craving Thai since dayyyysss
1259128481482408000,Sat May 09 14:29:58 +0000 2020,@hemantbuch 😳respect bhai!🙏
1259128264624308200,Sat May 09 14:29:06 +0000 2020,@hemantbuch Wowww
1259099496455299000,Sat May 09 12:34:47 +0000 2020,@alter_jamie 😱🥶
1259098872829423600,Sat May 09 12:32:18 +0000 2020,@alter_jamie Bina makeup ke??
1259098617954123800,Sat May 09 12:31:18 +0000 2020,@lionsdenkxip @prabhsimran01 Yaar Anmulle
1259098514744893400,Sat May 09 12:30:53 +0000 2020,@lionsdenkxip @prabhsimran01 Sab fadde jaan ge!!!!
1259086287178535000,Sat May 09 11:42:18 +0000 2020,RT @SujoyBarg07: Follow @OfficialCTPL And @MSaad_IN for Updates and Live Stream
1259058859014008800,Sat May 09 09:53:18 +0000 2020,RT @SujoyBarg07: Last Day Of League Stage!!!!   Only One Team Qualified Till Now  3 Spots Left. No Dead Rubbers   An Action Packed Day Of #…
1258797167755563000,Fri May 08 16:33:26 +0000 2020,@Emmad81 Waise sahi hee hai...aajkal lockdown mai kaun perfume lagata hai?!😀
1258796578585878500,Fri May 08 16:31:06 +0000 2020,@MalhotraSaurabh Oh the strains of international captaincy! Kohli's already getting white strands in his beard too!
1258796241443586000,Fri May 08 16:29:45 +0000 2020,@Emmad81 Use it or lose it!!!
1258787034937782300,Fri May 08 15:53:10 +0000 2020,RT @OfficialCTPL: Last 4 games of the CTPL Season 2 left and we've still got 3 spots vacant! All games have some context, no dead rubbers!😎…
1258743691965010000,Fri May 08 13:00:57 +0000 2020,@Micheal05285071 @V_Trips7781 @SujoyBarg07 @MSaad_IN @thecricketguy45 Achha hai....Opponent ko mislead karna!!!🤣🤣
1258743397134880800,Fri May 08 12:59:46 +0000 2020,@SujoyBarg07 @V_Trips7781 @MSaad_IN @Micheal05285071 @thecricketguy45 👏👏👏😀🤗
1258743296609980400,Fri May 08 12:59:22 +0000 2020,@Micheal05285071 @V_Trips7781 @SujoyBarg07 @MSaad_IN @thecricketguy45 Tum yeh billi ho! https://t.co/XXytSHUxyZ
1258742118417383400,Fri May 08 12:54:41 +0000 2020,@nik17995 @V_Trips7781 @SujoyBarg07 @MSaad_IN @Micheal05285071 @thecricketguy45 Didn't need that🤣
1258741878981263400,Fri May 08 12:53:44 +0000 2020,RT @OfficialCTPL: WHAT A GAME!!!! Last Ball Thriller! CSK 46-4(5) DC 47-6(5)  Harbhaja Singh almost defended 2 off the last over!!! Congrat…
1258741545345470500,Fri May 08 12:52:25 +0000 2020,@V_Trips7781 @SujoyBarg07 @MSaad_IN @Micheal05285071 @thecricketguy45 Aage bhi #GameDikha hoga
1258741054595125200,Fri May 08 12:50:28 +0000 2020,@V_Trips7781 @SujoyBarg07 @MSaad_IN @Micheal05285071 @thecricketguy45 Kal kaha tha na maine... never say never!!!😜
1258740043902070800,Fri May 08 12:46:27 +0000 2020,@V_Trips7781 @SujoyBarg07 @MSaad_IN @Micheal05285071 @thecricketguy45 Hum toh hain hee Centre mai. Capital city &amp; u… https://t.co/T2ttwvM9l4
1258739282367447000,Fri May 08 12:43:25 +0000 2020,@V_Trips7781 @SujoyBarg07 @MSaad_IN @Micheal05285071 @thecricketguy45 Aur agar AAP na pohoch paaye?!!!!🤣🤣
1258738585748070400,Fri May 08 12:40:39 +0000 2020,@V_Trips7781 @thecricketguy45 @SujoyBarg07 @MSaad_IN @Micheal05285071 @robin_rounder 😀🤣
