id,created_at,text
1257666303143207000,Tue May 05 13:39:47 +0000 2020,RT @benz145: Re: the spike in VR usage on Steam with Alyx. We don't know how many users are new and how many are folks who pulled their hea…
1245530463361368000,Thu Apr 02 01:56:17 +0000 2020,RT @djabatt: The future needs to be made and we are on it. Great having @edsim and team in our corner! https://t.co/XLWWRRrRDn
1235461754672406500,Thu Mar 05 07:06:50 +0000 2020,RT @valvesoftware: Valve Index VR kits will be available for purchase this Monday, March 9th, starting at 10 AM PDT (5 PM UTC). https://t.c…
1235461235522470000,Thu Mar 05 07:04:46 +0000 2020,RT @CarrieL42502120: @onwevr After all these years and all the games I've deleted, this little gem STAYS in my library. That should tell th…
1234981980627816400,Tue Mar 03 23:20:23 +0000 2020,RT @chetfaliszek: After GDC the next biggest moment for us was letting Neville and team run demos of their own at VRLA... our little ones h…
1234892756050305000,Tue Mar 03 17:25:50 +0000 2020,RT @chetfaliszek: 5 years ago one of my favorite weeks started. Jet lag flying from Barcelona to San Francisco to be part of the announceme…
1227825096758218800,Thu Feb 13 05:21:29 +0000 2020,RT @djabatt: @tipatat We read this over at @onwevr and all felt better for our heads down making immersive product knowing the market will…
1212436065136435200,Wed Jan 01 18:10:58 +0000 2020,We’ve been iterating on next-gen simulations and immersive experiences for a decade. It flew by so fast. Excited an… https://t.co/KXSXNJct1g
1211405090730344400,Sun Dec 29 21:54:15 +0000 2019,RT @JonVirtual: Today, it finally happened.  Going to a gathering someone sends me a text "are you bringing your vr game?"  Me: "sure"  The…
1207800524189425700,Thu Dec 19 23:10:59 +0000 2019,#TheBlu is in Dubai! https://t.co/4P2ZD0WRqJ
1206000228484046800,Sat Dec 14 23:57:15 +0000 2019,Super fun company holiday party with the super talented Wevr team! #Unstoppable https://t.co/4lQaviSU1I
1197691775248261000,Fri Nov 22 01:42:25 +0000 2019,RT @nevillespiteri: My favorite game of all time in VR! Super! @onwevr team is stoked. https://t.co/pXcmYKn7D5
1182413208390234000,Thu Oct 10 21:50:51 +0000 2019,Wevr is hiring UE4 software engineers and technical designers for two high profile virtual entertainment projects.… https://t.co/L4Pa0uWZIa
1172153530716524500,Thu Sep 12 14:22:33 +0000 2019,“I could see details I didn’t see before”. Fidelity matters - TheBlu on #ViveCosmos @htcvive @jakelrowell https://t.co/dvcsTbsHLd
1172151493085909000,Thu Sep 12 14:14:28 +0000 2019,TheBlu feels even more amazing on the #ViveCosmos @htcvive https://t.co/HNpw8GRS9K
1164210815014039600,Wed Aug 21 16:21:02 +0000 2019,https://t.co/FL3BPPuWeD https://t.co/jJ8AaoT2LE
1160037711735976000,Sat Aug 10 03:58:37 +0000 2019,@DrMaxPalmer Most definitely.
1159557514267988000,Thu Aug 08 20:10:29 +0000 2019,RT @DansOnRoad: Okay so the most relaxing thing in the world is listening to @Rubberbandits's Blindboy Podcast in VR inside @onwevr's TheBl…
1158959866502733800,Wed Aug 07 04:35:39 +0000 2019,TheBlu! https://t.co/JOjFzgLrvu
1157473313066823700,Sat Aug 03 02:08:37 +0000 2019,@AGraylin @htcvive Yikes
1157058851574653000,Thu Aug 01 22:41:41 +0000 2019,RT @UnrealEngine: If you were part of the crowd at the iconic Orpheum Theatre on Monday, we’re sure you’ll agree it was an excellent way to…
1152236502216167400,Fri Jul 19 15:19:24 +0000 2019,https://t.co/FL3BPPuWeD :)
1146481765835366400,Wed Jul 03 18:12:08 +0000 2019,RT @springboard_VR: Swim with whales, turtles, jellyfish and more in @onwevr's theBlu! Home and Arcade version now available for arcades on…
1139938207796097000,Sat Jun 15 16:50:22 +0000 2019,RT @OrangeVRExp: Vous êtes super nombreux à vouloir découvrir nos expériences VR! 😎 Bravez la tempête 🌪️ et venez nous rencontrer au Dôme V…
1130907021958557700,Tue May 21 18:43:39 +0000 2019,Quest is super fun! @oculus https://t.co/QmbktgHoQA
1130871957421822000,Tue May 21 16:24:19 +0000 2019,RT @nevillespiteri: Hardware is ticking at a very healthy pace. Happy #VR Spring! https://t.co/DHtv7PBKWJ
1128510021740814300,Wed May 15 03:58:50 +0000 2019,RT @spgreenwood: The @VisitDreamscape / @onwevr collaboration is the best LBE experience I’ve done yet. Powerful storytelling, simple but e…
1122374116391014400,Sun Apr 28 05:36:56 +0000 2019,RT @AndyFidel_: #Holodome ⚡ new immersive reality space for 360 group experiences. Pretty much a real life Tardis. #XR @onwevr https://t.co…
1121526382486384600,Thu Apr 25 21:28:21 +0000 2019,It’s going be an immersive art filled day at Wevr. Everyone is welcome to come https://t.co/3MNMuKwQdA
