id,created_at,text
1260719716965986300,Wed May 13 23:52:58 +0000 2020,RT @wizardingworld: *Drumroll* We have Chapter Three!   The narrator delivering it is...  Mr E Redmayne, from the sitting room at home, not…
1259463728535404500,Sun May 10 12:42:07 +0000 2020,@DailyMirror What is wrong with your resident country? @SRajanii @mamta_kal
1258846634684924000,Fri May 08 19:50:00 +0000 2020,RT @jk_rowling: Chapter Two with the wonderful @MissDumezweni 💕
1258845012558786600,Fri May 08 19:43:33 +0000 2020,This is brilliant 😂 https://t.co/OgyrdZkXrv
1258727034307645400,Fri May 08 11:54:45 +0000 2020,@hulu https://t.co/8xJSLRflnl
1258726813783769000,Fri May 08 11:53:53 +0000 2020,@hulu Noice! https://t.co/RdsGB9v41e
1258685034711613400,Fri May 08 09:07:52 +0000 2020,RT @jonathangard: If you enjoy Le Petit Belge Motor City and would like to support us whilst we're temporarily closed, please consider buyi…
1258510005587722200,Thu May 07 21:32:21 +0000 2020,The 'graduating in a pandemic' series. https://t.co/XtM6YohpXH
1258338045075603500,Thu May 07 10:09:03 +0000 2020,@fida Cooking, baking, reading, writing, online courses. And I still have time left in the day... 🤦‍♀️
1257210868976189400,Mon May 04 07:30:03 +0000 2020,I somehow think that if I can bake bread I can do anything, y'know what I mean?
1257210636746084400,Mon May 04 07:29:08 +0000 2020,I always read 'golden brown' in recipes and never quite got what that meant. Until I baked my first ever focaccia a… https://t.co/mAIfowadsA
1256923290603528200,Sun May 03 12:27:19 +0000 2020,@TheLyingLlama The unfortunate truth
1256673751430815700,Sat May 02 19:55:44 +0000 2020,Challenging everyone to post a photo you've taken from a place you've been. The only thing is that you NOT appear i… https://t.co/tnkkCJbEoH
1256605326310281200,Sat May 02 15:23:51 +0000 2020,The Great Realisation. Feel good watch for the day 😊 #2020 #StayHome  https://t.co/Uea4IwHCdu
1256582308506873900,Sat May 02 13:52:23 +0000 2020,Now that lockdown restrictions have eased down in #Dubai, are you going out?
1256270300737659000,Fri May 01 17:12:34 +0000 2020,RT @Shakti_Shetty: Lord, grant me the strength to NOT be very hopeful about the post-lockdown world.
1256247487528132600,Fri May 01 15:41:55 +0000 2020,Twitter craziness and getting high during interviews aside, I did have respect for #ElonMusk as a business person w… https://t.co/vAl8aaAbFM
1255168049872855000,Tue Apr 28 16:12:37 +0000 2020,One month until I graduate... Virtually. @Harvard @HarvardExt
1255097706579714000,Tue Apr 28 11:33:06 +0000 2020,Post #COVID world will probably see the demise of open plan 'startup style' office layouts.
1255079851318534100,Tue Apr 28 10:22:09 +0000 2020,#NowReading A Life in Science #StephenHawking   What is your current read? https://t.co/KcW7DKw6RE
1255026431387631600,Tue Apr 28 06:49:53 +0000 2020,RT @terrycrews: What a season! Thank YOU all for an incredible season 7 and we CANNOT WAIT to see you for season 8! But for now… I’ll leave…
1254776050086670300,Mon Apr 27 14:14:57 +0000 2020,RT @Ash_Stewart_: Meryl Streep getting boozed up in her robe level of quarantine is one I’m sure we can all aspire to https://t.co/YSlBioPc…
