id,created_at,text
1259875057238605800,Mon May 11 15:56:35 +0000 2020,RT @natashabadhwar: What have we done to our own? https://t.co/MeoWtrOCv5
1256530873475719200,Sat May 02 10:28:00 +0000 2020,RT @AmbassadeChine: Once Upon a Virus... https://t.co/FY0svfEKc6
1248843598449143800,Sat Apr 11 05:21:30 +0000 2020,RT @probablytrippy: So, twitter, I need help. I’m working to help disadvantaged street vendors, and I need volunteers. Just to make some ph…
1243162110596538400,Thu Mar 26 13:05:18 +0000 2020,RT @ShashiTharoor: As an MP, I appeal to @PMOIndia to divert the ₹20,000 Cr earmarked for new Parliament building &amp; Central Vista to supple…
1242130372114047000,Mon Mar 23 16:45:33 +0000 2020,Somebody is drilling in my building. It’s the perfect time for repairs. 10 pm during a curfew for a global pandemic
1239949956875563000,Tue Mar 17 16:21:21 +0000 2020,RT @tjoseph0010: We were not always a morally corrupt nation. Our parents and our grandparents built the world’s largest democracy with rob…
1232733307785433000,Wed Feb 26 18:24:58 +0000 2020,RT @saikatd: Justice S Muralidhar removed from the Delhi violence case. This is as blatant as it can get. He was asking hard questions and…
1232669016902127600,Wed Feb 26 14:09:30 +0000 2020,RT @visvak: Just so everyone can put a face to the name. This is the man desperately fighting to prevent accountability for those responsib…
1231919301830967300,Mon Feb 24 12:30:24 +0000 2020,RT @_YogendraYadav: Those who follow Godse can stoop to his level. Those who follow Gandhi will have to rise to his standards.  My appeal t…
1231637225693073400,Sun Feb 23 17:49:31 +0000 2020,What a good pilot. #hunters
1230487346824564700,Thu Feb 20 13:40:19 +0000 2020,RT @Samanth_S: On Jan. 5, a masked, armed mob ransacked a hostel in Delhi's Jawaharlal Nehru University. People were beaten--a blind studen…
1228178071859032000,Fri Feb 14 04:44:05 +0000 2020,RT @neon_heartbeat: Retweet if you’re currently malfunctioning and destroying civilizations https://t.co/AJx4ZE8nVO
1226127177365610500,Sat Feb 08 12:54:34 +0000 2020,Any tickets at the venue for today at #MahindraBlues2020 ?
1226117390926090200,Sat Feb 08 12:15:40 +0000 2020,Great article with data on the Muslim community’s marginalisation in employment https://t.co/JmTNNcUwYU
1224345873733148700,Mon Feb 03 14:56:18 +0000 2020,RT @samar11: The BJP’s perilous descent from Hindu appeasement to incitement. Ministers deliver hate speech, from which police take their c…
1222861095469076500,Thu Jan 30 12:36:19 +0000 2020,Yogi will hold rallies near Shaheen bagh and Jamia. They want a repeat of the Hashimpura massacre of 1987  https://t.co/IyOxJix35Z
1222809660136349700,Thu Jan 30 09:11:56 +0000 2020,RT @tjoseph0010: Seventy-two years ago today, Independent India’s first terrorist assassinated the man who led the Freedom Movement. The mu…
1222569278269874200,Wed Jan 29 17:16:44 +0000 2020,RT @RanaAyyub: This is dystopian. Airlines that fly mass murderers are suspending a brave artist for asking questions. Truly Satan's lapdog…
1222560845185466400,Wed Jan 29 16:43:14 +0000 2020,Too bad @kunalkamra88 doesn’t have rich friends who own private planes. https://t.co/RRrDVmTRgv
