id,created_at,text
1260332285729144800,Tue May 12 22:13:27 +0000 2020,Hmm. I took it as a can’t-trust-the-tests dog whistle. https://t.co/yKyNc7EhQ9
1258961232708722700,Sat May 09 03:25:22 +0000 2020,@Joshrogosin Josh — No Manhattan at hand, but my condolences to you. Definitely incredible.  Peter
1258128666799857700,Wed May 06 20:17:03 +0000 2020,Thanks Jami. A fine capper for the day. https://t.co/T2bSUN3dAU
1257435094136086500,Mon May 04 22:21:03 +0000 2020,@davidceisen @mattyglesias Some new facts come out... or some old ones that’d been ignored. Some old facts are foun… https://t.co/syuMflTFDg
1257408466479710200,Mon May 04 20:35:14 +0000 2020,... How did he handle this? https://t.co/T7BGcJtZyD
1257385658907328500,Mon May 04 19:04:36 +0000 2020,RT @NYFarmer: 2,000 tons of French cheese must be saved. (Likely the same in the US). The French have launched an initiative calling on con…
1254155073636241400,Sat Apr 25 21:07:25 +0000 2020,The wonders of the Trump White House never cease.  https://t.co/vp36ZvtayP
1249541255241048000,Mon Apr 13 03:33:45 +0000 2020,@jdvorkin Yikes, man. And yes, aren’t you glad you moved back? Take care....
1248756789472043000,Fri Apr 10 23:36:34 +0000 2020,RT @lea: Brilliant
1248367045319823400,Thu Apr 09 21:47:51 +0000 2020,@byagoda Wow! Congratulations.
1247514459096125400,Tue Apr 07 13:19:59 +0000 2020,RT @stu_rush: Former Nipper (aka @npr employee) Eric Weiner with a short but sweet way to pass a few minutes... and a cute idea.  Nice to h…
1245190636657148000,Wed Apr 01 03:25:56 +0000 2020,Just a few days shy of 32 years off. Also: ratified, not passed. https://t.co/C1Awh2qjtR
1243223604210421800,Thu Mar 26 17:09:39 +0000 2020,https://t.co/MF6EFnmAWF
1243223499109544000,Thu Mar 26 17:09:14 +0000 2020,But I wonder if he knows.
1243222461363208200,Thu Mar 26 17:05:07 +0000 2020,This landed in the mailbox this morning... https://t.co/VjDB4MmzW9
1241449334954213400,Sat Mar 21 19:39:21 +0000 2020,Reporters often pose their question to both Trump &amp; the appropriate expert. Trump gives his answer, says “Next ques… https://t.co/0glu8HnkuP
1240757051946668000,Thu Mar 19 21:48:27 +0000 2020,A great piece of reporting, from ⁦@timkmak⁩      Senator Richard Burr Warned Of Coronavirus Effects In Private Meet… https://t.co/6OgR91XnvV
1240433707825143800,Thu Mar 19 00:23:36 +0000 2020,@davidsilkenat @jbf1755 Also a Disney movie c 1956
1240251730132156400,Wed Mar 18 12:20:29 +0000 2020,RT @jcstearns: In moments of crisis public radio and local newsrooms have often been a critical part of the community response. Will they g…
1239839041199227000,Tue Mar 17 09:00:37 +0000 2020,RT @MrEwanMorrison: Images from Self Isolation and Social Distancing. Edward Hopper (1882-1967) lived through WW1, the 1918 Spanish Flu pan…
1239322262614020000,Sun Mar 15 22:47:07 +0000 2020,Yeah, why not? https://t.co/06qdxZy4os
1238650535143669800,Sat Mar 14 02:17:55 +0000 2020,RT @Eric_Weiner: https://t.co/d0TaNx3UZ3
1237230060295336000,Tue Mar 10 04:13:27 +0000 2020,She also did a couple ads on WWL for Cummins Diesel engines. https://t.co/FSdBg5ubBN
1237210890585477000,Tue Mar 10 02:57:17 +0000 2020,@davelevinthal Some decades ago, WABC 770 blasted R&amp;R out of NYC. Better rock but weaker signals came east from Det… https://t.co/svXN7uBUc8
1230132760288878600,Wed Feb 19 14:11:19 +0000 2020,Don’t neglect Nixon tricksters’ role in the Dem primaries. Overall result might well have been the same, but Muskie… https://t.co/FwjNp4UAIz
1230129872934228000,Wed Feb 19 13:59:51 +0000 2020,RT @peteroverby: On Trump’s pardon list: David Safavian, federal official caught in Jack Abramoff’s lobbying/corruption scandal. In 2003-4…
1229968868489207800,Wed Feb 19 03:20:04 +0000 2020,On Trump’s pardon list: David Safavian, federal official caught in Jack Abramoff’s lobbying/corruption scandal. In… https://t.co/JTp2m53x3m
1229911859186339800,Tue Feb 18 23:33:32 +0000 2020,Relatedly... Kerik’s ties to Giuliani seem rather under-reported. https://t.co/ktabkblOwF
1224509467632504800,Tue Feb 04 01:46:22 +0000 2020,@AriBerman @clinthendler Ah. Just like the Senate.
1224506898344530000,Tue Feb 04 01:36:09 +0000 2020,@lowfiette Is this a request or a challenge?
1221913448491122700,Mon Jan 27 21:50:42 +0000 2020,Drugs work differently for different people. Apparently Sen. Kennedy has found Zoloft to be more effective. https://t.co/oyuKwVDB5C
1221912385683890200,Mon Jan 27 21:46:29 +0000 2020,Leaning? Leaping. https://t.co/FOspMiVLpc
1219609163791241200,Tue Jan 21 13:14:18 +0000 2020,An appropriately somber anniversary piece from @ProfCiara — https://t.co/QjCBI3Pexp
1219279745877258200,Mon Jan 20 15:25:19 +0000 2020,RT @anitakumar01: NEW: In three years in the White House, Donald Trump has accomplished something no president before him has done: fusing…
1218972810095267800,Sun Jan 19 19:05:40 +0000 2020,@norwegian76 Virginia voters don’t register by party. The parties ID their voters largely by vetting the lists of w… https://t.co/gCt377BcF9
1217986584466858000,Fri Jan 17 01:46:45 +0000 2020,WSJ &amp; @VP seem to have missed Brenda Wineapple’s book The Impeachers. It says Sen. Ross likely got paid for his acq… https://t.co/nMwnWmSIBi
1217875444118294500,Thu Jan 16 18:25:07 +0000 2020,RT @NPRnie: Exclusive @FrancoOrdonez @NPR President Trump will use the power of his office to empower students who want to pray in their sc…
1217286208142946300,Wed Jan 15 03:23:42 +0000 2020,More evidence of institutional decay in the Senate. https://t.co/4iCVzMr8po
1216445624440279000,Sun Jan 12 19:43:31 +0000 2020,@prairielaura I once read an acct of the 1932 Hoover-FDR race that said GOP leaders were then promoting the phrase… https://t.co/834fK0m5b6
1215643274985209900,Fri Jan 10 14:35:16 +0000 2020,I’m surprised this is even a topic. https://t.co/ryIBcl9Fj9
1213930434150764500,Sun Jan 05 21:09:03 +0000 2020,But here’s the thing about that.... https://t.co/epDz1CwseM
1212435231569002500,Wed Jan 01 18:07:39 +0000 2020,@GrahamOverby Way to go!
1204487295593844700,Tue Dec 10 19:45:24 +0000 2019,“Political outsider” here being defined as being outside the party/campaign/PAC/superPAC while maxing out on contri… https://t.co/RX6LBqNSqw
1202356572636270600,Wed Dec 04 22:38:40 +0000 2019,Is rainbow’s end really on the House Judiciary hearing room in Rayburn? https://t.co/PXyYdbKp5d
1197982388879409200,Fri Nov 22 20:57:13 +0000 2019,RT @bethfertig: GQ issued hilarious correction for how Vindman got Purple Heart https://t.co/AQhi7jJHoh
1197160754098651100,Wed Nov 20 14:32:20 +0000 2019,I’m stuck on Nunes’ warning to Sondland, you’re here to be smeared. Smeared by which side?
1196975211737948200,Wed Nov 20 02:15:03 +0000 2019,RT @svdate: Is Mitch McConnell more interested in remaining Senate majority leader?  Or in seeing the president acquitted on impeachment?…
1196434812447400000,Mon Nov 18 14:27:42 +0000 2019,But will they get it? FEC seems to be sending it to the VP residence. https://t.co/dAx9gVONod
1191347026883166200,Mon Nov 04 13:30:40 +0000 2019,This really paid off for me. https://t.co/cZSQ2jscnH
1189312005582274600,Tue Oct 29 22:44:13 +0000 2019,I’m sure the judge could hire more sophisticated consultants if she raised money more aggressively from whoever mig… https://t.co/o1Q23TYWpl
1186820752579973000,Wed Oct 23 01:44:52 +0000 2019,I’ll say this just once: Look out. It’s a slippery slope. https://t.co/4EH3EZyowd
1186778094021042200,Tue Oct 22 22:55:21 +0000 2019,And perhaps visit with Pompeo’s longtime patron, Bill Koch? https://t.co/HtAIhoug6A
1184578046977859600,Wed Oct 16 21:13:09 +0000 2019,Horsey, coz he has non-plaid ties too. https://t.co/oaJETQ2lzJ
1184548377301848000,Wed Oct 16 19:15:15 +0000 2019,Nope. That’s a pair of flip-flops. https://t.co/9TYJcUM66o
1180997885753794600,Mon Oct 07 00:06:52 +0000 2019,Are the ears big enough? https://t.co/Ztj8n746Nh
1179484400318341000,Wed Oct 02 19:52:49 +0000 2019,Admirable archive work in this chain: https://t.co/sEOjFXdG2g
1178766104535142400,Mon Sep 30 20:18:34 +0000 2019,This should be good. https://t.co/XLXyri6aZ4
1178406537871663000,Sun Sep 29 20:29:47 +0000 2019,Can’t. Too young. https://t.co/w6ZxSm6g1p
1177950578414116900,Sat Sep 28 14:17:57 +0000 2019,I covered a lot of ugly hearings, never saw anything like this. https://t.co/KL3pTUIQjQ
1177708416573362200,Fri Sep 27 22:15:41 +0000 2019,Those were legitimate takes. The system &amp; the NRA demographic have both changed. https://t.co/Y8g7don2P8
1177707626727186400,Fri Sep 27 22:12:33 +0000 2019,Sounds to me like a new support group. https://t.co/0DBzOseipI
1177687183181930500,Fri Sep 27 20:51:19 +0000 2019,@prairielaura Yeah
1174801929110773800,Thu Sep 19 21:46:21 +0000 2019,The predictable closeup opening shot pulling back... the murky audio... ahhh. https://t.co/liiSPrNkJC
1173999613529010200,Tue Sep 17 16:38:14 +0000 2019,Wilbur Ross &amp; federal ethics laws: one of those stories that just keeps on keepin’ on. @levinecarrie &amp; I dug into i… https://t.co/VnRam3ky4g
1166927867990749200,Thu Aug 29 04:17:38 +0000 2019,Two hours?? Best of luck. https://t.co/ay0OKjhZbE
1159197480078205000,Wed Aug 07 20:19:50 +0000 2019,RT @mjbeckel: In June, @peteroverby announced his retirement as the power, money &amp; influence correspondent for @NPR. Join @IssueOneReform &amp;…
1158850779245158400,Tue Aug 06 21:22:10 +0000 2019,RT @farhip: Wow—this is brutal. ⁦@NPRwelna⁩, who’s reported on air at NPR since 1982, gets summarily dismissed in a “newsroom re-alignment”…
1157398079496183800,Fri Aug 02 21:09:40 +0000 2019,The indefatigable @levinecarrie &amp; others pry open the door on new campaign $$ analysis: the dynamics of small-donor… https://t.co/dxrKagKUCF
1156596449691521000,Wed Jul 31 16:04:16 +0000 2019,@ALPLM Eloquent... but hard to imagine this oblique approach working in 2019 politics.
1153495572168491000,Tue Jul 23 02:42:29 +0000 2019,Maybe it’s referring to NACA, which did aeronautical research in the 40s &amp; 50s? https://t.co/gB3creQZXq
1151919583177187300,Thu Jul 18 18:20:04 +0000 2019,RT @sarahmccammon: Friendship Baptist Church sign in VA: "AMERICA: LOVE IT OR LEAVE IT"  (I double-checked; this was posted by a legit, awa…
1151518130902044700,Wed Jul 17 15:44:51 +0000 2019,RT @HorsleyScott: This story on Modern Monetary Theory was budgeted for 4 minutes. It ran long, but Morning Edition said not to worry—they…
1149728185891905500,Fri Jul 12 17:12:15 +0000 2019,RT @HorsleyScott: In which the Attorney General takes the news media to task for listening to the president. https://t.co/lTHQwIcBCx
1147144038484729900,Fri Jul 05 14:03:46 +0000 2019,RT @Calvinn_Hobbes: On this day 61 years ago (July 5th 1958) the world welcomed one of the most talented and inspiring cartoonists the worl…
