id,created_at,text
1258399374985445400,Thu May 07 14:12:45 +0000 2020,RT @Lamborghini: Celebrating life and freedom to the fullest.  Discover the new Huracán EVO Rear-Wheel Drive Spyder in Augmented Reality! D…
1258387661087096800,Thu May 07 13:26:12 +0000 2020,@SLuycker For All Mankind 👨‍🚀
1257714066958594000,Tue May 05 16:49:35 +0000 2020,RT @EEhare: More details on the #WWDC20 Swift Student Challenge  from my chat with CNET's @JasonHiner #SwiftLang #Apple #AppleDeveloper htt…
1257705137847406600,Tue May 05 16:14:06 +0000 2020,#Apple to host virtual #WWDC 2020 beginning June 22 https://t.co/ofdYpXzG2r
1257295109147648000,Mon May 04 13:04:48 +0000 2020,New #Apple 13-inch #MacBookPro https://t.co/LAhI3C6Kpl
1255673832892854300,Thu Apr 30 01:42:25 +0000 2020,@david_odonoghoe @M_ALande @theloop @jdalrymple @Grasshopper @instagram Optionally, you can open Instagram in Safar… https://t.co/MrWfsVieYo
1255664115659313200,Thu Apr 30 01:03:48 +0000 2020,#Apple #iPad Pro Magic Keyboard — “one of the best accessories Apple has ever released” ⁦@theloop⁩ ⁦@jdalrymple⁩  https://t.co/73k4Uch2JZ
1253104568407187500,Wed Apr 22 23:33:05 +0000 2020,RT @daringfireball: ★ The 2020 iPhone SE https://t.co/JWNHFUrzB3
1253019458991345700,Wed Apr 22 17:54:53 +0000 2020,@ktguru @gruber @viticci https://t.co/WImcaHqIms
1252977270144118800,Wed Apr 22 15:07:15 +0000 2020,Lend a hand from home – #EarthDay  https://t.co/uJG4t5pbdR
1252426100237451300,Tue Apr 21 02:37:05 +0000 2020,“I fell in love”  The #iPad Magic Keyboard — ⁦@daringfireball⁩  https://t.co/Zfd4TfJ8vR
1251937769934319600,Sun Apr 19 18:16:38 +0000 2020,RT @Pogue: In case you missed my “@CBSSunday Morning” story today about the historic Apple+Google collaboration to allow smartphones to tra…
1250442285021450200,Wed Apr 15 15:14:07 +0000 2020,@gsbakertweets The Camera + A13 Bionic
1250441161052807200,Wed Apr 15 15:09:39 +0000 2020,#Apple #iPhone SE - little wonder https://t.co/Ldor8uBKSR
1250439912442048500,Wed Apr 15 15:04:41 +0000 2020,#Apple #iPhone SE - A powerful new smartphone in a popular design https://t.co/doDN8dEjs7
1250438929657954300,Wed Apr 15 15:00:47 +0000 2020,#Apple Magic Keyboard for #iPadPro now available to order https://t.co/klZ07KIEEz
1250109316339650600,Tue Apr 14 17:11:01 +0000 2020,#Apple makes mobility data available to aid #COVID19 efforts https://t.co/CU8F8pRGio
1248827583484932000,Sat Apr 11 04:17:52 +0000 2020,@JohnStrikwerda Wheels within wheels...
