id,created_at,text
1205253685103607800,Thu Dec 12 22:30:45 +0000 2019,Win a night stay in #Whistler plus 2 passes to @ScandinaveWhis from Nude Beverages in @DailyHiveVan’s annual… https://t.co/XVNwlGbgcP
1203000167202312200,Fri Dec 06 17:16:05 +0000 2019,Win a 2-night stay + spa visit to @NitaLakeLodge worth $1500 in @DailyHiveVan’s annual #DH12Days https://t.co/HEdaUUdDAO RT to enter!
1118624636378333200,Wed Apr 17 21:17:51 +0000 2019,I am attending https://t.co/rWvO97A5oS
1095736189045428200,Wed Feb 13 17:27:19 +0000 2019,The most unromantic things to do this #ValentinesDay in Vancouver https://t.co/IPSk4hPC1D
1076223639442391000,Fri Dec 21 21:11:25 +0000 2018,Who needs a fire log when you have Fairmont Hotel Vancouver’s dogs, Ella &amp; Elly! If you have a smart TV, cast our f… https://t.co/HeNO25Ms2F
1042843180528369700,Thu Sep 20 18:29:23 +0000 2018,Queen Girls is now live on Kickstarter! Inspiring girls to dream big and do more!  https://t.co/QdrszQ8QK2
1037366249863274500,Wed Sep 05 15:46:01 +0000 2018,RT @uppercase_hq: Brand, meet world. Introducing Uppercase, the modern retail solution helping brands launch stores from the ground up. htt…
1037366209488937000,Wed Sep 05 15:45:52 +0000 2018,RT @uppercase_hq: Introducing Uppercase! https://t.co/aatAb2tzWo
1032135036454101000,Wed Aug 22 05:19:03 +0000 2018,These memes are cracking me up #anushkasharma #SuiDhaga https://t.co/hOd25wrxb6
1032025182691450900,Tue Aug 21 22:02:32 +0000 2018,RT @ConanOBrien: Someone is suing Canada Dry Ginger Ale because it contains no ginger, so I’d like to formally announce my lawsuit against…
1019278635914555400,Tue Jul 17 17:52:18 +0000 2018,RT @RealHughJackman: We recycle. Do you? @laughingmanco has the only recyclable kcup’s in America. @Keurig @amazon #prime #makeeverycupcoun…
1019278385036443600,Tue Jul 17 17:51:18 +0000 2018,Win a Keurig coffee cart with @KeurigCanada @DailyHiveVan RT to enter! https://t.co/hflEGGvDPv
989550035950948400,Thu Apr 26 17:01:28 +0000 2018,5 Not-So-Glamorous Things That Won't Let You Fail https://t.co/Z3mMxDQt2V via @thinkLBN
974405788696391700,Thu Mar 15 22:03:38 +0000 2018,RT @TheNextWeb: PlayTable brings the blockchain to board games https://t.co/JncRNSTuZn
959650672261165000,Sat Feb 03 04:52:04 +0000 2018,#cleantech device to tell you what trash goes where. Wish it worked for humans as well #witregatta https://t.co/cJLNIvbbDv
958889716702523400,Thu Feb 01 02:28:18 +0000 2018,RT @finnforbanks: Special evening to be speaking at our own office for #WiTRegatta to discuss leadership isolation with some great #womenin…
958884986374963200,Thu Feb 01 02:09:30 +0000 2018,RT @staceywallin: Had an amazing time at the opening party for the #witregatta this week at @scienceworldca! In my… https://t.co/zZnmkUxkZo
958884813598896100,Thu Feb 01 02:08:49 +0000 2018,Multidimensional Leadership panel at #witregatta hosted at the beau offices of @finnforbanks https://t.co/FVZdxcxnBO
958547664215224300,Wed Jan 31 03:49:06 +0000 2018,#Witregatta rewriting the interview questions  https://t.co/J87kh9sK7q
958547486460674000,Wed Jan 31 03:48:24 +0000 2018,#Witregatta asking pertinent questions on #inclusion in the workplace https://t.co/lGiJKR0rk5
958547478046916600,Wed Jan 31 03:48:22 +0000 2018,#WITRegatta https://t.co/WsmIymFIZk
958547471252115500,Wed Jan 31 03:48:20 +0000 2018,Culture 'Add' vs #culturefit is the way to recruit in the future #WITRegatta
958535156918186000,Wed Jan 31 02:59:24 +0000 2018,RT @maggable: Shiny object syndrome—a huge theme at the #sidehustle panel at the #WITregatta. Also sums up the last 29 years of my life…
958535064417005600,Wed Jan 31 02:59:02 +0000 2018,RT @anneengo: On Tues, I get to be on a panel and low-key learn about how some leading entrepreneurs in our city deal with #LeadershipIsola…
