id,created_at,text
1259398640684028000,Sun May 10 08:23:29 +0000 2020,@panavi Take care.
1259345672408428500,Sun May 10 04:53:00 +0000 2020,https://t.co/o4ujszyRFx
1259282196734460000,Sun May 10 00:40:46 +0000 2020,RT @activistshikha: @CMOMaharashtra @OfficeofUT @uddhavthackeray @AUThackeray Man-animal conflict occurs because humans are encroaching the…
1259148418909212700,Sat May 09 15:49:11 +0000 2020,@PreetiM08276706 @AgarwallaSandip  You make us proud to be Rotarians. This is what Rotary is all about. https://t.co/6W1t3sN58I
1259111029772034000,Sat May 09 13:20:37 +0000 2020,RT @kotharigulab11: @rameshnarayan @deespeak @BittuSahgal @richapintoTOI @CMOMaharashtra @AUThackeray I agree. They take least care of the…
1259035881605869600,Sat May 09 08:22:00 +0000 2020,Maharashtra Chief Conservator of Forests suggests shifting 50 tigers from Chandrapur to zoos to reduce man-animal c… https://t.co/6QeplQAAPy
1258954155680505900,Sat May 09 02:57:15 +0000 2020,This could be one of the valuable learnings from the Lockdown. You worked from home. Now Work to Live to Work.… https://t.co/5N2lG2HxuX
1258924487573201000,Sat May 09 00:59:22 +0000 2020,https://t.co/pUh48P1dmg
1258778259917082600,Fri May 08 15:18:18 +0000 2020,RT @PradeepDwivedi: Looking forward to what promises to be an awesome interaction by @MitrajitB this evening  @Outlookindia @IROutlook @out…
1258652629661618200,Fri May 08 06:59:06 +0000 2020,RT @RCB1929: Rotary Club of Bombay shining in UNICEF report for its relief activities being carried out in Malegaon - every day we serve 10…
1258347107813073000,Thu May 07 10:45:04 +0000 2020,RT @IAA_Global: Dr. Ludi Koekemoer, CEO, AAA School of Advertising, South Africa encourages businesses to become part of their customers’ l…
1258321860309192700,Thu May 07 09:04:44 +0000 2020,@paritoshZero @WiseCowboy @Subkam @InoxShalini @skswamy Thanks
1258302889207959600,Thu May 07 07:49:21 +0000 2020,RT @paritoshZero: Wonderful work @rameshnarayan @WiseCowboy @Subkam @InoxShalini @skswamy Rajeev Raja! Thank you!
1258302793108074500,Thu May 07 07:48:58 +0000 2020,@panavi @IAA_India @skswamy @punitgoenka @PradeepDwivedi @mtata0503 @neerajroy @janaksarda Super coverage. Thanks
1258302719758151700,Thu May 07 07:48:41 +0000 2020,RT @panavi: @IAA_India @rameshnarayan @skswamy @punitgoenka @PradeepDwivedi @mtata0503 @neerajroy @janaksarda
1258302522143490000,Thu May 07 07:47:54 +0000 2020,RT @ABPNews: लॉकडाउन पर मार्केटिंग जगत के दिग्गजों का गाना वायरल, देखें- शालिनी गुप्ता से ABP News की खास बातचीत   @IAA_India @Subkam @Inox…
1258302473900634000,Thu May 07 07:47:42 +0000 2020,RT @InoxShalini: Thanks a ton @ABPNews
1258302404145053700,Thu May 07 07:47:25 +0000 2020,https://t.co/aTAZmZjOkC
1258262695910035500,Thu May 07 05:09:38 +0000 2020,And @ABPNews covers the @IAA_India  viral video extensively. Watch @Subkam @InoxShalini @rajeevbrndmusiq and… https://t.co/9WGQANuoYh
