id,created_at,text
1260113369350017000,Tue May 12 07:43:33 +0000 2020,@CaseyTheVA @Ask_Spectrum Same
1260110303359991800,Tue May 12 07:31:22 +0000 2020,@IDiivil @kwyxz @Ask_Spectrum What a way to get spit out of virtual reality.  When I had att unverse for 10 years h… https://t.co/HktgOn4DV4
1260109577745391600,Tue May 12 07:28:29 +0000 2020,@IDiivil @kwyxz @Ask_Spectrum I’m so angry.. if it was planned they need to tell us - I was doing shit
1260109315832033300,Tue May 12 07:27:27 +0000 2020,@Ciliciatsi @SamuelR85921425 @Ask_Spectrum No
1260107469289779200,Tue May 12 07:20:07 +0000 2020,@SamuelR85921425 @Ask_Spectrum I called it was a planned service outage.. they got to fucking tell us this is bullshit
1260088695828308000,Tue May 12 06:05:31 +0000 2020,@fallenleo beautiful.
1260035194238562300,Tue May 12 02:32:55 +0000 2020,TONIGHT! @KILLTONY LIVE FROM @BetterboxTV w/ @TonyHinchcliffe + @redban and the band.   WATCH LIVE (8:00 PST) - https://t.co/aUiXAgHn4N
1260011238509052000,Tue May 12 00:57:43 +0000 2020,Come suck a bat's ass and get that creamy Corona fresh from the source.. watch the recent episode of Virtual Redban… https://t.co/tILHrEcIyL
1260010184857972700,Tue May 12 00:53:32 +0000 2020,BTW, people asking what the opening band was of Nirvana when I saw them live as talked about in the @SyrmorS  video… https://t.co/MvV3RN2yeW
1260007398288195600,Tue May 12 00:42:28 +0000 2020,Look at this long haired hooligan after surviving food poisoning in UK... @jeremiahstandup https://t.co/pw7aycDY6t
1259975470105325600,Mon May 11 22:35:35 +0000 2020,Still don’t give a shit about Tik Tok.
1259953058307379200,Mon May 11 21:06:32 +0000 2020,Come on @Forbes https://t.co/993W5CTUgU
1259950968021479400,Mon May 11 20:58:14 +0000 2020,RT @John24051388: I think he looks more like @redban   https://t.co/QEu2ZMPgkY
1259950780594806800,Mon May 11 20:57:29 +0000 2020,So excited to be on @SyrmorS’s latest video.. Syrmor is one of my favorite YouTube channels, I love his stories and… https://t.co/wvfGdcK0NB
1259945897334435800,Mon May 11 20:38:05 +0000 2020,RT @SyrmorS: yoooo NEW VIDEO UP https://t.co/nsASNMCqdk  talking about sex love and rock'n'roll with @redban   and also knuckles????????? h…
1259669927532753000,Mon May 11 02:21:28 +0000 2020,@SyrmorS @Shizzuie https://t.co/vfqu1vCVqb
1259669642101977000,Mon May 11 02:20:20 +0000 2020,RT @SyrmorS: i have too many videos that i basically complete and just never upload cause i overthink them. i'm gonna break this habit and…
1259327545872244700,Sun May 10 03:40:58 +0000 2020,SATURDAY NIGHT LIVE! Lets hang out in a Virtual World.. VIRTUAL REDBAN will be going live tonight at 9:30 PM PST -… https://t.co/jTobZx7sac
1259016700390850600,Sat May 09 07:05:47 +0000 2020,@kendfinger @StateFarm That makes no sense
1259014144004518000,Sat May 09 06:55:37 +0000 2020,RT @marriedtometalx: @redban 😩💦 https://t.co/pfJzWkRLR4
