id,created_at,text
1259810327853662200,Mon May 11 11:39:22 +0000 2020,Can't wait to watch the new episodes of #TheLastDance
1259444569311076400,Sun May 10 11:25:59 +0000 2020,Maybe #Squash should think of being included with the winter Olympics. #PSA World Tour also follows winter schedule… https://t.co/V2QqiIg6ME
1256096075573719000,Fri May 01 05:40:16 +0000 2020,Hope Indian Govt is stockpiling lots of Oil at this time. Prices haven't dropped in India but huge opportunity
1247071873684238300,Mon Apr 06 08:01:18 +0000 2020,RT @PSAWorldTour: Yesterday's @GoogleDoodles paid tribute to Pakistani legend Hashim Khan!  They were celebrating his 1951 @BritOpenSquash…
1244340193080922000,Sun Mar 29 19:06:35 +0000 2020,@HGLeitch Take care Harry
1242405061860274200,Tue Mar 24 10:57:04 +0000 2020,RT @drkamnakakkar: When they arrive, please send N95 masks and gloves to my grave. Taali aur thaali b baja dena waha! Regards, frustrated s…
1227672810106978300,Wed Feb 12 19:16:21 +0000 2020,Congrats.. Huge talent awaits world sport from Indian Women. BBC News - Bala Devi: The woman making Indian football… https://t.co/BBZ3MlGucE
1212606703331467300,Thu Jan 02 05:29:01 +0000 2020,@HrishiKay @shahidkapoor @advani_kiara @roshanabbas @cricketwallah @fahadksamaar @Mickeymehta @rodinhood… https://t.co/t58tGjkmM6
1208610049628655600,Sun Dec 22 04:47:45 +0000 2019,RT @Ram_Guha: To make two things absolutely clear. 1. The immediate withdrawal of the NRC is a necessary first step to restore trust and he…
1190230232982159400,Fri Nov 01 11:32:55 +0000 2019,RT @HotBalls5th: Morning JK and James. Great idea. Let's discuss. https://t.co/wz2pTM5Ab9
1190230165030178800,Fri Nov 01 11:32:39 +0000 2019,RT @PSAWorldTour: Sports venues do not get any better than this 😍  #SquashByThePyramids #ThisIsEgypt https://t.co/EhtIaYUPEA
1189133723050168300,Tue Oct 29 10:55:47 +0000 2019,RT @adgpi: We are #Proud of you  Subedar Anandan Gunasekaran of #IndianArmy won three Gold medals in 7th Military World Games 2019 being co…
1189036080193892400,Tue Oct 29 04:27:47 +0000 2019,RT @PSAWorldChamps: This venue 😍  #SquashByThePyramids https://t.co/kA75AGn7Zs
1187374374485147600,Thu Oct 24 14:24:45 +0000 2019,RT @LadiesSquash: There is live streaming for all the matches today on YouTube @PSAWorldChamps  Check the link to see the schedule of match…
1187374332458213400,Thu Oct 24 14:24:35 +0000 2019,RT @PSAWorldTour: “The World Championships is the one you want to peak for. It is the one you focus on the most and you schedule your calen…
1186933301417668600,Wed Oct 23 09:12:05 +0000 2019,RT @WorldSquashDay: Thanks Adam. Hope there were loads of trick shots as well! https://t.co/W9f8itvpmo
1186932967995609000,Wed Oct 23 09:10:46 +0000 2019,RT @LadiesSquash: Physically I’m in the best shape ever, says Joshna Chinappa ahead of Squash World C’ships @joshnachinappa  https://t.co/Q…
1186932693566550000,Wed Oct 23 09:09:40 +0000 2019,RT @WorldSquashDay: Thanks guys. https://t.co/3O7klsfyeY
1186932618396233700,Wed Oct 23 09:09:23 +0000 2019,RT @raneebee: Yay for Squash https://t.co/uUn1igiq7b
1185458747503546400,Sat Oct 19 07:32:44 +0000 2019,RT @ShahSantosh8: @PoojaB1972 @AfrozShah1 @ritwikbhatta You're the reason behind their dream. You did it, soon we would have a world champi…
1185458608848326700,Sat Oct 19 07:32:11 +0000 2019,RT @WorldSquashDay: Lovely tribute from @SauravGhosal to @ritwikbhatta as we salute all those coaches and clubs who partnered with @WorldSq…
1185457815403384800,Sat Oct 19 07:29:02 +0000 2019,RT @WorldSquashDay: This article is a tribute to those who staged World Squash Day events that reap social change and raise funds for good…
1185457416143396900,Sat Oct 19 07:27:27 +0000 2019,RT @JonSharpe79: @WorldSquashDay @ritwikbhatta @MariaToorpakai @DannyLeeSquash @WorldSquash @PSAWorldTour @englandsr @petajan @Squashoz @Sa…
1185457265928626200,Sat Oct 19 07:26:51 +0000 2019,RT @WorldSquashDay: 💻⌨️📲 Amazing! Close to one million engagements on social media for @WorldSquashDay over the past week. 👏👏 Thank you eve…
1184689969010339800,Thu Oct 17 04:37:53 +0000 2019,RT @ProBoxSingh: Trainees at Bhattacharya's academy in Mokashi, a village that is about 70 km from Mumbai, will be taking part in the squas…
1184689925150560300,Thu Oct 17 04:37:43 +0000 2019,RT @ProBoxSingh: Squash: Ritwik Bhattacharya trained tribal kids for junior nationals  https://t.co/PwuRgHGR1x
1184422103329595400,Wed Oct 16 10:53:29 +0000 2019,RT @HotBalls5th: Here we go! Work starts NOW on the build-up to @WorldSquashDay 2020. https://t.co/WfDCmdyjoz
1184421975873093600,Wed Oct 16 10:52:59 +0000 2019,RT @PoojaB1972: We do NOT need a Zoo. Instead of investing in shackles,cages and importing animals from across the globe (like in the absur…
1184321054090481700,Wed Oct 16 04:11:57 +0000 2019,RT @raneebee: @SquashSite @ritwikbhatta What a proud moment!
1183972974975541200,Tue Oct 15 05:08:49 +0000 2019,RT @WorldSquashDay: Reports still flooding in from all over the world. Here's a wonderful @WorldSquashDay in Iran, via @WorldSquash https:/…
1183971528901161000,Tue Oct 15 05:03:04 +0000 2019,RT @PoojaB1972: The ‘butterflies of the woods’ fly high! 45 tribal children fly to Chennai to attend the squash championships thanks to @ri…
1183745702242832400,Mon Oct 14 14:05:43 +0000 2019,RT @WorldSquashDay: Busy week: 180,000 impressions on Twitter over the past seven days. Thank you all for supporting @WorldSquashDay #World…
1183222303020081200,Sun Oct 13 03:25:54 +0000 2019,RT @SquashMadDotCom: Congrats to India's @SauravGhosal and @joshnachinappa after winning Asian Individual finals against Hong Kong's brothe…
1183222252990394400,Sun Oct 13 03:25:42 +0000 2019,RT @Naz_Foundation: Naz India in partnership with START Squash Academy founded by  one of India’s most renowned squash player @ritwikbhatta…
1183222206425268200,Sun Oct 13 03:25:31 +0000 2019,RT @INSquashCircuit: Two legends on the squash court - God of Cricket @sachin_rt with India's Squash legend @ritwikbhatta   #squash #sports…
1183222025587806200,Sun Oct 13 03:24:48 +0000 2019,RT @WorldSquashDay: From Inida: Busy day at the National Defence Academy in Pune. Love the cake! @ritwikbhatta @SauravGhosal @INSquashCircu…
1183221954276278300,Sun Oct 13 03:24:31 +0000 2019,RT @WorldSquashDay: And more fun from India with action on court at the RIMC (Rashtriya Indian Military College) in Dehradun.  Well done to…
1183221580882530300,Sun Oct 13 03:23:02 +0000 2019,RT @WorldSquashDay: Great stuff in India by @ritwikbhatta and his Start Academy near Mumbai. Love the outdoor warm-up! @WorldSquash @PSAWor…
1183221565518827500,Sun Oct 13 03:22:59 +0000 2019,RT @WorldSquashDay: More inspirational work by @ritwikbhatta and his START Academy in India. Teaching squash to tribal children outside Mum…
1183221547395190800,Sun Oct 13 03:22:54 +0000 2019,RT @WorldSquashDay: Cadets from from the National Defence Academy in Pune, India ..... getting ready to launch a strategic attack on the ca…
1183221540621451300,Sun Oct 13 03:22:53 +0000 2019,RT @WorldSquashDay: More from India: Cadets from the NDA (National Defence Academy, Pune) enjoy @WorldSquashDay before unveiling operationa…
1183221515635945500,Sun Oct 13 03:22:47 +0000 2019,RT @PoojaB1972: Bravo @ritwikbhatta https://t.co/XkdOt8q8hC
1183221376808734700,Sun Oct 13 03:22:14 +0000 2019,RT @WorldSquashDay: More from India: Rashtriya Indian Military College, Dehradun, had a lot of people at the event, from little kids to the…
1182647890386153500,Fri Oct 11 13:23:24 +0000 2019,RT @SquashSite: Fram's Corner : What a great article about @ritwikbhatta and his amazing work in India. Take 2m of your time today to check…
1182123573835489300,Thu Oct 10 02:39:57 +0000 2019,@PoojaB1972 Thank you. 🙏
1182123435670900700,Thu Oct 10 02:39:24 +0000 2019,RT @WorldSquashDay: The spirit of @WorldSquashDay shines in India with the work of @ritwikbhatta an astonishing, inspirational story of how…
1167155183148765200,Thu Aug 29 19:20:55 +0000 2019,RT @squashplayermag: Ideally we'd like more of a cocked wrist on that backhand Sachin, but with 15,921 Test runs (and 30.1 million follower…
1166453772186341400,Tue Aug 27 20:53:45 +0000 2019,RT @indiasquash: Congratulations  @VikramM_16  and @Mennahamed1998 Winners of HCL SRFI INDIAN TOUR- DELHI LEG 2019 #TimeToSquash #squash #s…
1166367408719724500,Tue Aug 27 15:10:34 +0000 2019,RT @sachin_rt: Play as many sports as possible! Every sport is fun in its own way &amp; inculcates a different physical and mental conditioning…
1166367379753848800,Tue Aug 27 15:10:28 +0000 2019,@sachin_rt Was a real pleasure. Thank you sharing and encouraging people to play this incredible game.  #Legend #SachinTendulkar
1086863400016248800,Sun Jan 20 05:50:02 +0000 2019,RT @ronnieo147: What a match against my brother Ding. The guy is amazing and a class act on and off the table. A real asset to the game 👑 n…
1085535952569856000,Wed Jan 16 13:55:14 +0000 2019,RT @INSquashCircuit: Results/Photos/Match Report - Round 2 | 2019 CCI International JSW Indian Squash Circuit! @PSAWorldTour @jswsports @ri…
1085535913638285300,Wed Jan 16 13:55:04 +0000 2019,RT @HrishiKay: Egyptians @TkMomen &amp; @maelshorbagy ( World No.4 &amp; 5 ) are here, so is former World No. 1 @james_willstrop ! Its the @PSAWorl…
1085535802271121400,Wed Jan 16 13:54:38 +0000 2019,RT @SquashInfo: Appearing in 1st @PSAWorldTour event after 8-month injury layoff, @maelshorbagy goes down to Indian giantkiller @maheshmang…
1085535624583700500,Wed Jan 16 13:53:55 +0000 2019,RT @SquashInfo: Unseeded Indian @RamitTandon carries home hopes through to @PSAWorldTour CCI International semis in Mumbai where he faces t…
1085535463300042800,Wed Jan 16 13:53:17 +0000 2019,RT @INSquashCircuit: And Tarek Momen @TkMomen takes CCI International JSW Indian Squash Circuit 2019. Fares Dessouky @FaresDessouky you wer…
1085535407167733800,Wed Jan 16 13:53:03 +0000 2019,RT @shahzad_mansoor: A brilliant game of squash. It had everything. Fierce rallies, players getting physical, sportsmanship and the involve…
1085535320630808600,Wed Jan 16 13:52:43 +0000 2019,RT @FaresDessouky: Finally back playing squash again , thank you for all the messages and for the great support 💪🏻 love you all ❤️ https://…
1085535252410482700,Wed Jan 16 13:52:27 +0000 2019,RT @SquashMadDotCom: Top seed @TkMomen takes Mumbai title, but @FaresDessouky steals the headlines on his return to action https://t.co/wS9…
1081757038877786100,Sun Jan 06 03:39:10 +0000 2019,RT @namratazakaria: The best week for squash in India is here. Everyone's invited... https://t.co/KGArOtB5hX
1081756744890630100,Sun Jan 06 03:38:00 +0000 2019,RT @INSquashCircuit: The main pillars of Indian Squash Circuit - Raj Arora and Ritwik Bhattacharya- discussing about upcoming US$ 77,800 PS…
1077407372216287200,Tue Dec 25 03:35:09 +0000 2018,RT @SquashMadDotCom: Egypt's @TkMomen heads high quality draw in CCI International in Mumbai, where @maelshorbagy makes comeback after inju…
1053584127176400900,Sat Oct 20 09:50:05 +0000 2018,RT @Elgo98: My column on why the @IndiaMeToo  stories from anonymous women have to be taken just as seriously as the ones from women who go…
1052598885854707700,Wed Oct 17 16:35:05 +0000 2018,RT @smsfXII: Get Set Ready For #Jaipur #KhelegaJaipur #LetsSquash https://t.co/7e0TUzn3gx
1045988702193774600,Sat Sep 29 10:48:34 +0000 2018,RT @indiasquash: BU13 Yuvraj Wadhwani (IND)  succeeded after 3 consecutive years of efforts!  #AsianJuniorSquash2018  #LetsSquashMachi http…
1045988189737934800,Sat Sep 29 10:46:32 +0000 2018,RT @indiasquash: Asian squash Champion 2018 BU13 : Yuvraj Wadhwani (IND) [1]  #AsianJuniorSquash2018 #Letssquashmachi https://t.co/4zPRSGla…
1045158921357467600,Thu Sep 27 03:51:19 +0000 2018,RT @WorldSquashDay: Yes, World Squash Day has an Official Single "Africa" out next week! Composed by @TheAngels2012 (Stuart Sharp) and sung…
1042784382208159700,Thu Sep 20 14:35:45 +0000 2018,RT @INSquashCircuit: Some of the photos from today’s matches at IPSC Squash Championship 2018 happening at the Rashtriya Indian Military Co…
1042784368522145800,Thu Sep 20 14:35:42 +0000 2018,RT @INSquashCircuit: Following are teams which made it to Semifinals of IPSC Squash Championship 2018   Boys U-14 Daly College (Indore) vs…
1042784340978090000,Thu Sep 20 14:35:35 +0000 2018,RT @tanmoy_sports: Harinder Pal Sandhu scored straight set victory over  Mohd Syafiq Kamal 11-5,11-9,11-9 to reach quarterfinal at @HKsquas…
1042784289182687200,Thu Sep 20 14:35:23 +0000 2018,RT @INSquashCircuit: Photos of Final matches and Closing Ceremony of the IPSC Squash Championship 2018 happening at the Rashtriya Indian Mi…
1042784095053463600,Thu Sep 20 14:34:36 +0000 2018,RT @INSquashCircuit: Semifinals results &amp; Final fix-ups of the ongoing IPSC Squash Championship 2018 happening at the Rashtriya Indian Mili…
1041915078046625800,Tue Sep 18 05:01:27 +0000 2018,The best school in the World! So happy #RIMC is hosting this event. Good luck to all the kids participating! https://t.co/DLELl9U7kB
1038349553894871000,Sat Sep 08 08:53:19 +0000 2018,The world’s most ambitious ocean cleanup starts today  https://t.co/Ja8RXtBvtz
