id,created_at,text
1260163109207126000,Tue May 12 11:01:12 +0000 2020,🤥 #FactsMatter Trump totally wrong on #Covid_19 death rates   “United States is nowhere close to having one of the… https://t.co/BGUWG5hfpn
1260027421966733300,Tue May 12 02:02:02 +0000 2020,“We have met the moment and we have prevailed”  Not true!  “Trump tore it apart” True!  Watch great  @JoeBiden ad o… https://t.co/4q56EUTNq6
1259449139206795300,Sun May 10 11:44:08 +0000 2020,Wanda Cooper Jones joins a sorority no woman wants any part of:  Read! ⁦@michele_norris⁩   “She will get a lot of a… https://t.co/k1IgfYhdkq
1259145946912436200,Sat May 09 15:39:22 +0000 2020,@SRuhle  You’ve been doing an incredible job covering the intersection of the pandemic &amp; economy from the beginning… https://t.co/whbxONgCcZ
1259144391526056000,Sat May 09 15:33:11 +0000 2020,RT @SRuhle: THIS THREAD
1259136470234865700,Sat May 09 15:01:42 +0000 2020,RT @fred_guttenberg: Thread on how wrong this administration has been.  Thank you @robertwolf32.
1259102794495209500,Sat May 09 12:47:53 +0000 2020,Trump Admin was so wrong on the economic impact: National Economic Chair believes this in March:  "We don't actuall… https://t.co/E0JSFIDhHF
1259100639931629600,Sat May 09 12:39:20 +0000 2020,Trump Admin was so wrong on the economic impact:  Sec Comm Ross :“I don’t want to talk about a victory lap over a v… https://t.co/mFYjw1PVnl
1259099170348114000,Sat May 09 12:33:29 +0000 2020,From the start Trump was just so wrong on #Covid_19   “the virus that we’re talking about... as the heat comes in.… https://t.co/kPvAPWiqJS
1258921421729865700,Sat May 09 00:47:11 +0000 2020,RT @32Advisors: Congrats to Kiara Tyler, founder of #KalmClothing on @crainsdetroit 20 in their 20s award! ⭐️ #100KVentures #proudinvestor…
1258742374173474800,Fri May 08 12:55:42 +0000 2020,#Bitcoin  Paul Tudor Jones Buys Bitcoin With Reminder of Gold in 1970s ! https://t.co/fPE2iqrFi0
1258739515868557300,Fri May 08 12:44:21 +0000 2020,Brutal report - worse since 1930’s Great Depression   In 1 month, employment falls by 20.5 million &amp; unemployment r… https://t.co/TZzCVvOLxo
1258355739246166000,Thu May 07 11:19:22 +0000 2020,Where is #DrFauci ?  “downward trajectory” to reopen   Complete BS 👇  “In more than half of states easing restricti… https://t.co/UHxt7M27YZ
1258159181841993700,Wed May 06 22:18:19 +0000 2020,Love this guy @bcope51   Looking forward to #PatsNation getting to know this amazing @PENNfb  @IvyLeague gamer   Sm… https://t.co/Hf6dfnDuGc
