id,created_at,text
1259938428440981500,Mon May 11 20:08:24 +0000 2020,Congratulations to #ScotlandPA’s @Jay_A_Johnson! #OuterCriticsCircle https://t.co/W7f9WVBMNy
1259938230440538000,Mon May 11 20:07:37 +0000 2020,Congratulations to #ASoldiersPlay’s @davidalangrier! #OuterCriticsCircle https://t.co/nR91LsbZup
1259937953872314400,Mon May 11 20:06:31 +0000 2020,Congratulations to #ToniStone’s @april_matthis! #OuterCriticsCircle https://t.co/BFa06eNf1Q
1259937728222945300,Mon May 11 20:05:37 +0000 2020,Congratulations to #DarlingGrenadine’s @AdamJKantor! #OuterCriticsCircle https://t.co/nyjRiT8EhS
1259937188097208300,Mon May 11 20:03:28 +0000 2020,Congratulations to #ASoldiersPlay Director @iamKENNYLEON! #OuterCriticsCircle https://t.co/RTUqWSoAVr
1259936928394350600,Mon May 11 20:02:26 +0000 2020,Congratulations to #DarlingGrenadine! #OuterCriticsCircle https://t.co/dendaluqcC
1259936474646163500,Mon May 11 20:00:38 +0000 2020,Congratulations to #ASoldiersPlay! #OuterCriticsCircle https://t.co/RZFoIfyvsy
1258503220009320400,Thu May 07 21:05:24 +0000 2020,In case you missed it! ⬇️   We can't wait to tune into @bwaysbestshows's SIGNIFICANT OTHER reunion reading next wee… https://t.co/4cmqElgcuT
1257702458681417700,Tue May 05 16:03:27 +0000 2020,@TheHarperMiles @GivingTuesday Yes! https://t.co/7JKjCStC9I
1257700890510753800,Tue May 05 15:57:13 +0000 2020,Today is #GivingTuesdayNow, a day of global action.  As a not-for-profit, we encourage you to join in and participa… https://t.co/Cl55FUHiQz
1256270333142880300,Fri May 01 17:12:42 +0000 2020,Congratulations to the entire company of #ASoldiersPlay! #DramaLeagueAwards https://t.co/DvqDsxgwcr
1256270224858517500,Fri May 01 17:12:16 +0000 2020,Congratulations to the entire company of #TheRoseTattoo! #DramaLeagueAwards https://t.co/iXR85f72rq
1256270066993246200,Fri May 01 17:11:38 +0000 2020,Congratulations to #ToniStone star @april_matthis! #DramaLeagueAwards https://t.co/fmwi9sNiRN
1256269833861283800,Fri May 01 17:10:43 +0000 2020,Congratulations to #TheRoseTattoo star @marisatomei! #DramaLeagueAwards https://t.co/yGlj7rgE6B
