id,created_at,text
1043579881710325800,Sat Sep 22 19:16:47 +0000 2018,To write one’s goal is good.  To create and visualize the clear path to achieve them - now that’s great! And it’s w… https://t.co/sTCRAI5dRn
1043197681269702700,Fri Sep 21 17:58:03 +0000 2018,One of the best ways to make a community prosper is by supporting and creating businesses within it. #community #sablenet
1036790665257123800,Tue Sep 04 01:38:51 +0000 2018,Happy to join the hosts of 🎙️ @ckut🎙️Soul Perspective tomorrow @ 7PM. Been a while since I've been on a radio mic.… https://t.co/KLGRjVs99v
1031914019672780800,Tue Aug 21 14:40:48 +0000 2018,Are you ready to take your project to another level? #levelup Are you ready to RISE to your potential?  Then mark S… https://t.co/QdMzsab7zz
1027542312749027300,Thu Aug 09 13:09:12 +0000 2018,Mark your calendars, ladies!  .  A creative retreat with you, your ideas, your goals and future success in mind. If… https://t.co/hYHSef5uNx
1024338530145890300,Tue Jul 31 16:58:31 +0000 2018,La petite librairie qui voulait faire sa place parmi les grands https://t.co/OB81YN0CCo via @metromontreal
996886110214217700,Wed May 16 22:52:24 +0000 2018,#InvasionCocktail cocalerospirit https://t.co/kfJt0vkq41
996878973547286500,Wed May 16 22:24:03 +0000 2018,#InvasionCocktail Getting my #MontrealManhattan… https://t.co/Ylg6s3Wlej
994716435581632500,Thu May 10 23:10:53 +0000 2018,#aboutlastnight #picasso @mbamtl #Montreal #museum #fineart https://t.co/HafjcjNgeZ
994351057441644500,Wed May 09 22:59:00 +0000 2018,Live music! @ Musée des beaux-arts de Montréal https://t.co/ghqeVH5tJS
994348816127217700,Wed May 09 22:50:06 +0000 2018,Picasso--From Africa to the Americas @ Musée des beaux-arts de Montréal https://t.co/93ATVK3Wy4
992370298249994200,Fri May 04 11:48:11 +0000 2018,Life begins after coffee... True. That and a clear goal and knowing exactly… https://t.co/H5xtDlvZWr
988028647264194600,Sun Apr 22 12:16:00 +0000 2018,¦ if clarity in reaching your professional or personal goal is what you seek... ¦ ° Find it as… https://t.co/fuIibT4wQ9
986609410792403000,Wed Apr 18 14:16:28 +0000 2018,¦ that very "something" ¦ ° At SABLE, we not only want to offer you good content on a weekly… https://t.co/4A99kuaEVC
986608762067697700,Wed Apr 18 14:13:53 +0000 2018,Revealed at noon! - Dévoilé ce midi! ° ° ° ° #sablemagazine #sableevents #comingsoon #forwomen… https://t.co/HvDQ0UyVn2
986608169542701000,Wed Apr 18 14:11:32 +0000 2018,¦ ce... "quelque chose" ¦ ° À SABLE, on ne veut pas que vous offrir du bon contenu à chaque… https://t.co/zu6u0EJz7U
984064331494101000,Wed Apr 11 13:43:14 +0000 2018,¦ Dream &amp; Rise ¦ ° ° #sablemagazine #sablequeen #blackgirlmagic #sableventteaser https://t.co/G1EHr80tjj
984064081475919900,Wed Apr 11 13:42:14 +0000 2018,¦ Take care &amp; Rise ¦ ° ° ° #sablemagazine #sablequeen #blackgirlmagic #sableventteaser https://t.co/bkkhvnP4EY
980064068999446500,Sat Mar 31 12:47:37 +0000 2018,Regrann from @afropunk  -  Wonderful photography by https://t.co/1Q3MjNvdT5 ft. y.diouf24 just_fatou… https://t.co/FvaMAJHPto
979894971192037400,Sat Mar 31 01:35:41 +0000 2018,Yes!!! https://t.co/GuOSViqtaw
976105020910460900,Tue Mar 20 14:35:46 +0000 2018,RT @MadameNoire: #MondayMotivation https://t.co/ASh2P0Sp9C
975740815426375700,Mon Mar 19 14:28:33 +0000 2018,From @entrepreneur  -  Don't give up. https://t.co/4RzyYLwfmz
975434105235165200,Sun Mar 18 18:09:48 +0000 2018,¦ that one fine day with 'Ma (like any day, really). ¦ ° ° ° #amotherslove #love #family… https://t.co/isNFyUyJUV
