id,created_at,text
1201935024628490200,Tue Dec 03 18:43:35 +0000 2019,@imsamrat_alok I have msged u my number.. Call me tomo
1181533550115340300,Tue Oct 08 11:35:24 +0000 2019,RT @ektaravikapoor: This mad masala show 😃p.s WATCH with ear phones 😀 ..acted by @SHABIRAHLUWALIA based on d producer @saketts d 1 who is m…
1142413636096294900,Sat Jun 22 12:46:50 +0000 2019,We profusely thank @ThaneCityPolice , CP Vivek Phansalkar, DCP Avinash Ambure &amp; team for their swift action &amp; inves… https://t.co/I5FFmmKcMU
1050267984596480000,Thu Oct 11 06:12:55 +0000 2018,@tansworld Or was it Keiko 😂
1049904230235017200,Wed Oct 10 06:07:29 +0000 2018,@IamEJF Thank u so much @IamEJF 🤗🤗🤗 Sending some delicious food your way soon 🤗
1049625130614313000,Tue Oct 09 11:38:26 +0000 2018,@Divyank61838164 @TheKaranPatel @Divyanka_T It would be a pleasure to work with @Divyanka_T .. Shez a fab actor and… https://t.co/XmW2QddlZX
1028242021193064400,Sat Aug 11 11:29:36 +0000 2018,@SunielVShetty Happy Birthday Anna 🤗
1015895189003685900,Sun Jul 08 09:47:42 +0000 2018,@Uber_Support @Uber There has been no action or even a response from your end. #shameonyouuber
1014481492750356500,Wed Jul 04 12:10:10 +0000 2018,@Uber_Support @Uber can you guys reply and owe up to your driver’s behavior ?
1014480391531647000,Wed Jul 04 12:05:48 +0000 2018,@Uber_Support We have just received the “template” response of “we will look into it and revert”.. How many days do… https://t.co/x5mrXN7Qqf
1013815576517660700,Mon Jul 02 16:04:03 +0000 2018,@Uber_Support Thanks 👍🏼
1013788442193551400,Mon Jul 02 14:16:14 +0000 2018,@Uber_Support @Uber I understood the same when i got ur first msg. she has filled the form and sent the details.. n… https://t.co/EnI9ShvhdY
1013787517894709200,Mon Jul 02 14:12:34 +0000 2018,@Uber_Support @Uber awaiting action from your end !!!
1013511060668731400,Sun Jul 01 19:54:01 +0000 2018,@Uber_Support I have asked my wife to reach out thru the link. DM my account so i can share her number
1013510077494546400,Sun Jul 01 19:50:07 +0000 2018,@Uber If some concrete action is not taken at your end in the next 48 hours, i will file a police complaint and rea… https://t.co/Gf9gogUumy
1013509695246622700,Sun Jul 01 19:48:36 +0000 2018,@Uber .. while in the car he turned the air conditioning off &amp; said “garmi main maro”. When she tried to reason his… https://t.co/4zpwLPGNdl
1013509115698696200,Sun Jul 01 19:46:17 +0000 2018,@Uber my wife booked a car from ur site; d driver refused to cme to d exact location &amp; made her walk a distance wid… https://t.co/7v5Tpj12rp
917112613284094000,Sun Oct 08 19:41:00 +0000 2017,@bharti_lalli Pleasure is all ours.. Thank u for the non stop laughathon 🤗
909347892258783200,Sun Sep 17 09:26:47 +0000 2017,@chintskap Sir had the privilege to see the memorabilia room a few yes back and clicked this back then ☺️🙏🏻 https://t.co/i8vIRlOcI1
897846224077836300,Wed Aug 16 15:43:15 +0000 2017,@YaduBhargavan @mvadera @niveditabasu Mi Lord Yeh Point Kiya Jaye 🙏🏻
897763143866122200,Wed Aug 16 10:13:07 +0000 2017,@mvadera @niveditabasu @ThailandTourism @YaduBhargavan 😂😂😂
897750591522218000,Wed Aug 16 09:23:15 +0000 2017,@niveditabasu @ThailandTourism @YaduBhargavan Do u both always chat on Twitter and not at home 🙄😂
895889092025606100,Fri Aug 11 06:06:19 +0000 2017,@mubinarattonsey Congratulations @mubinarattonsey 👏🏻👏🏻👏🏻
895888690064400400,Fri Aug 11 06:04:43 +0000 2017,Happy Birthday @SunielVShetty Anna 😊🍺🤗
