id,created_at,text
1259923906829463600,Mon May 11 19:10:42 +0000 2020,Pakistanis be like ‘hold my roohafza’ https://t.co/8MbJJmg2Hd
1259720821204975600,Mon May 11 05:43:42 +0000 2020,8 years ago on this date I did my first corporate comedy event - the start of many painful memories of having to pe… https://t.co/zmMWBERLsB
1259715012580556800,Mon May 11 05:20:38 +0000 2020,@rizwanfarooq The Rainbow Sheikh :)
1259549200926326800,Sun May 10 18:21:45 +0000 2020,My dad about to get his groove on https://t.co/DJG1OI3Vs3
1259510586091679700,Sun May 10 15:48:18 +0000 2020,Peanut butter² sandwich https://t.co/aE6x8qe622
1259350183101464600,Sun May 10 05:10:55 +0000 2020,RT @RexChapman: This man jogged 2 miles through his neighborhood carrying a TV in his hands to prove that “looking like a suspect” who comm…
1259349562021556200,Sun May 10 05:08:27 +0000 2020,My game at trying to find partners back in the day https://t.co/0FWMFlkSYd
1259233592863002600,Sat May 09 21:27:38 +0000 2020,86 kay chakkay say baree bongee mardee Miandad nay https://t.co/ixNltEUWbr
1259045906588086300,Sat May 09 09:01:50 +0000 2020,@ihab Nothing like accidentally taking out a piece of steak and licking it
1258981077043024000,Sat May 09 04:44:14 +0000 2020,Brown people get married like that all the time https://t.co/EWbvcUsyYb
1258668903246545000,Fri May 08 08:03:46 +0000 2020,RT @Rossmeister: Long shot but: my works van was stolen last night in between 1:56 / 2:10 on 7th May. Walsall Wolverhampton west Midlands a…
1258431991910891500,Thu May 07 16:22:22 +0000 2020,Winning tweet of the day https://t.co/W6D3LzrQa9
1257558480073953300,Tue May 05 06:31:20 +0000 2020,@aaaraph Better then emicool who have sent messages to people that they will disconnect immediately
1257391210165153800,Mon May 04 19:26:40 +0000 2020,Looks like Careem decided to match the number of daily coronavirus numbers with equal job cuts.
1257166290579525600,Mon May 04 04:32:55 +0000 2020,@aaaraph On New Years they came to our obscure desert picnic area so I could fuel up. No delays nothing. Amazing
1256628299675164700,Sat May 02 16:55:08 +0000 2020,@zahidk @IKEAUAE You should take photos of you with where the furniture would have been pretending to use it
1256532129112088600,Sat May 02 10:32:59 +0000 2020,When tragedy and jokes collide... https://t.co/4u5mhh2Pxh
1256523613097910300,Sat May 02 09:59:09 +0000 2020,Brilliant on the other person to call it out and not take part.  We need more of that https://t.co/vNDyqsuGz3
1256465722844340200,Sat May 02 06:09:06 +0000 2020,@qureshik74 This is the guy to who’s campaign I contributed money to back in the day. Such a downer
1256198981740347400,Fri May 01 12:29:10 +0000 2020,@rizwanfarooq There’s some real science going on there - https://t.co/elS2Cr9YG9
1256197781368246300,Fri May 01 12:24:24 +0000 2020,Anyone else spending their time watching Kevin hart workout on his IG timeline ? No? Just me? Well then explain the… https://t.co/Mb3FCN9U8L
1256187162187518000,Fri May 01 11:42:12 +0000 2020,@4everSoar All I see are steaks
1256080957704147000,Fri May 01 04:40:11 +0000 2020,When you’re fasting and even this seems appealing https://t.co/oaopYF6cDV
1256077585655758800,Fri May 01 04:26:47 +0000 2020,RT @AnayaNKhan: What is wrong with this guy?! https://t.co/hfZOAX6klv
1255804335394611200,Thu Apr 30 10:20:59 +0000 2020,I watched Chandini as a kid. All 3 are now gone. Aging is not fun
1255801449298133000,Thu Apr 30 10:09:31 +0000 2020,This is ridiculous. It’s an easy problem to solve. There is no cost increase. There is no requirement for brilliant… https://t.co/viN17c20E3
1255754459000582100,Thu Apr 30 07:02:48 +0000 2020,RT @AnupQuraishi: After all the work they've done and the good times they've shared on screen, It was time for them to rest. RIP https://t.…
1255561042568102000,Wed Apr 29 18:14:14 +0000 2020,@sophiaahmed Don’t bother. If you protest they’ll remove him and then you place him in charge somewhere else.  It’s… https://t.co/njNxHztHcP
1255523723609870300,Wed Apr 29 15:45:56 +0000 2020,IT has reproduced https://t.co/Wy12ERNoAe
1255496663566819300,Wed Apr 29 13:58:25 +0000 2020,@fatah_pak God damn these VIP systems.
1255494003879018500,Wed Apr 29 13:47:51 +0000 2020,I think it’s just a relationship problem.  The poor leavened bread is mad with refined flour out of jealousy becaus… https://t.co/Ret0cmBdtF
1255493691277484000,Wed Apr 29 13:46:36 +0000 2020,He sounds like he’s already drinking https://t.co/WK3UAYk4bb
1255479924812664800,Wed Apr 29 12:51:54 +0000 2020,RT @Enna_Ejaz: Truth has been spoken https://t.co/en1OPeslEA
1255205434585161700,Tue Apr 28 18:41:10 +0000 2020,RT @_ColinArmstrong: @salmanzq Do you have an allen key?
1255174185816674300,Tue Apr 28 16:37:00 +0000 2020,We’ve time travelled to a scene in the Gulf on a Friday in the 90s https://t.co/25ftyNvxE6
1255170195276157000,Tue Apr 28 16:21:09 +0000 2020,RT @RobMcGov: Great initiative from 100 F&amp;B outlets in Dubai that are teaming up to launch their own order booking and delivery app, fed up…
1255170036500779000,Tue Apr 28 16:20:31 +0000 2020,Hey can someone help IKEA UAE assemble their customer service?
1255110510019784700,Tue Apr 28 12:23:59 +0000 2020,RT @faisalrafi: Yesssss 👊🏼🤘🏼🤘🏼🤘🏼🤘🏼🤘🏼 https://t.co/EGvusDlgsP
1255110094209114000,Tue Apr 28 12:22:19 +0000 2020,I wish I was so successful that Tarik Zaleels PR asked me to tweet in support of him. Sad day in my life #TariqJamilsApology
1255066050460299300,Tue Apr 28 09:27:19 +0000 2020,I’m glad I had my IKEA delivery issue story back in December.  Ahead of the curve. And yes they have sucked since then.
1255065412640915500,Tue Apr 28 09:24:47 +0000 2020,RT @Ash_Stewart_: "People really need to be aware of this disease and how dangerous it is. It is not just the flu."  Read more here:   http…
1255052844748718000,Tue Apr 28 08:34:50 +0000 2020,@zahidk @theregos @ajaffarali https://t.co/0IA3Rhx70Q
1255029566206328800,Tue Apr 28 07:02:20 +0000 2020,When quarantine affects your thinking https://t.co/qxWykvNlFd
1255004116910301200,Tue Apr 28 05:21:12 +0000 2020,@shelo9 They relented and made the first hour free and two hours free on the lower level. Nevertheless it is crazy.
1254970360937799700,Tue Apr 28 03:07:04 +0000 2020,I like buttoning up how I like my bad leadership styles - Top Down
1254969271727411200,Tue Apr 28 03:02:45 +0000 2020,Listen to that sweet sound. I call it ‘wake my baby up and destroy my soul’
1254969156832759800,Tue Apr 28 03:02:17 +0000 2020,Tariq Zaleel apologized.  See what happens when you call out people for saying bullshit.  Even these powerful corru… https://t.co/zKk2TSArnq
1254968520363868200,Tue Apr 28 02:59:46 +0000 2020,He’s still teaching you how to fight by letting you all get infected.  Great leader and great wisdom https://t.co/iLYYzFYs8f
1254968351392256000,Tue Apr 28 02:59:05 +0000 2020,Apparently 630am is a great time to start construction work in a residential area.  Because we need this Union Coop… https://t.co/JHONwNODTM
1254286720381706200,Sun Apr 26 05:50:32 +0000 2020,Holy hell this guy sounds like a WhatsApp uncle day by day.  This coming from someone who rubbed shoulders with Bol… https://t.co/SHlM8cBRbI
1254286291853860900,Sun Apr 26 05:48:50 +0000 2020,@gov111990 Religion is big money and power in Pakistan. Unfortunately this has seeped into urban middle class as we… https://t.co/FoD8pNRuuV
