id,created_at,text
1260417971630923800,Wed May 13 03:53:56 +0000 2020,RT @MANJULtoons: #pmmodiaddresstonation  My #cartoon for @firstpost  More: https://t.co/d7EQajd4JI #AatmanirbharBharat #20lakhcrores #PMMod…
1260241899354497000,Tue May 12 16:14:17 +0000 2020,RT @sanshash: Aatma-nirbharta. Aatma-bal. Aatma-vishwaas. Aatma-hatya.
1252317718109319200,Mon Apr 20 19:26:25 +0000 2020,RT @TuurDemeester: What if we store the crude ... in the earth's crust? 🤔
1251510320033456000,Sat Apr 18 13:58:06 +0000 2020,RT @ZomatoIN: Contactless Dining. We anticipate dining out will undergo significant &amp; permanent changes in the way it operates. Based on so…
1250079525825679400,Tue Apr 14 15:12:38 +0000 2020,RT @elegantlywasted: Now that you have nowhere to go for another 3 weeks, might as well join us for this? 😄 @anujrathi @baboonzero @gojekte…
1247362519615717400,Tue Apr 07 03:16:14 +0000 2020,RT @AbhilashaPurwar: The impact of #9PM9Min, Delhi crossed air quality levels of 100 for the first time in the entire week.   India produce…
1246709189310681000,Sun Apr 05 08:00:08 +0000 2020,RT @deepigoyal: Update on ‘Feed the Daily Wager’.  We’ve distributed over 1 lakh essential kits in 20+ cities. Apart from the large metros,…
1246399624597794800,Sat Apr 04 11:30:02 +0000 2020,RT @cdgurugram: Some more food packets distributed with support from @FeedingIndia @Zomato  #Coronafighters #HungerHeroes  @cmohry @mlkhatt…
1245938204970119200,Fri Apr 03 04:56:31 +0000 2020,RT @hchawlah: This: https://t.co/qgKA6Egu7n
1245820092568354800,Thu Apr 02 21:07:10 +0000 2020,RT @AndrewM_Webb: I'm having trouble concentrating on science animations right now, so instead here are some screenshots from my favourite…
1245560244450627600,Thu Apr 02 03:54:38 +0000 2020,RT @sarahmccammon: There is no longer AM and PM. There is just "coffee time" and "wine time."
1244848751983784000,Tue Mar 31 04:47:25 +0000 2020,RT @Meherr_: People who are putting all the blame on Muslims for spreading of COVID-19 because of the Jama'at organised at #Nizamuddin betw…
1243619228575506400,Fri Mar 27 19:21:44 +0000 2020,RT @jonrussell: I can't wait for Zoom's super app strategy
1243619071809200000,Fri Mar 27 19:21:06 +0000 2020,RT @capt_amarinder: To further streamline delivery of essentials &amp; groceries in Punjab, we have tied up with @Zomato. We are hopeful of ope…
1242532841335844900,Tue Mar 24 19:24:49 +0000 2020,RT @_DaniBeck: Tired:  Attending Zoom meetings.  Wired:  Make the virtual background a video of you listening, loop it, and go nap.  @Acade…
1242384642130378800,Tue Mar 24 09:35:55 +0000 2020,RT @championswimmer: https://t.co/AKtg6KAntU
1241748121018744800,Sun Mar 22 15:26:37 +0000 2020,RT @clairlemon: Italy has a death rate in excess of 10%, Spain, France &amp; UK are in lockdown, China welded people inside their apartments, &amp;…
1241744792557482000,Sun Mar 22 15:13:23 +0000 2020,RT @kokudum: I had really, really, really underestimated the number of idiots living in our country.
1241728167292702700,Sun Mar 22 14:07:19 +0000 2020,Stupidity across Indian cities. Thread. https://t.co/vqX2q6SEPh
1241701271637299200,Sun Mar 22 12:20:27 +0000 2020,RT @pi_alize: That was the stupidest, conchiest 20 minutes of my life.
1241695210855334000,Sun Mar 22 11:56:22 +0000 2020,RT @desusnice: are we still using days of the week at this point?
1241694267849883600,Sun Mar 22 11:52:37 +0000 2020,India makes an entry to the curve, and it's not looking good. :/ https://t.co/vJcaseGS1i
1241693558198816800,Sun Mar 22 11:49:48 +0000 2020,RT @amarlq: Quarantine day 8: Partying with my Id, Ego, Superego and myself https://t.co/HiqOwBdCDm
1241672384463220700,Sun Mar 22 10:25:40 +0000 2020,RT @Juhisengu: I'm confused. How did she get the test results in just one day when there are people who have been waiting weeks for their r…
1240738031809642500,Thu Mar 19 20:32:53 +0000 2020,Hahaha. Going to drop this in the next work call and take a screenshot of people's faces. https://t.co/kv3xr55nNI
1240737388411752400,Thu Mar 19 20:30:19 +0000 2020,RT @danajaybein: I've lost my mind.  I wrote Coronavirus Rhapsody:  Is this a sore throat? Is this just allergies? Caught in a lockdown No…
1239225648461176800,Sun Mar 15 16:23:12 +0000 2020,RT @jasoncrawford: 2. To stay within hospital capacity, we would need to flatten the curve over a *decade*.  Which seems impossible. https:…
1239219195218284500,Sun Mar 15 15:57:34 +0000 2020,RT @amandapalmer: https://t.co/gXWf84BQRx
1238886839672434700,Sat Mar 14 17:56:54 +0000 2020,RT @DellAnnaLuca: A TIMELINE OF WHAT ITALY DID (and wasn't enough)  D0 - 21 Feb - 20 cases - We notice the outbreak  D2 - 23 Feb - 150 case…
1234303865304100900,Mon Mar 02 02:25:48 +0000 2020,RT @MahuaMoitra: https://t.co/4mFoaaEJ2I
1234020850724151300,Sun Mar 01 07:41:12 +0000 2020,RT @jaavedjaaferi: इस दौर ए सियासत का इतना सा फ़साना है, बस्ती भी जलानी है, मातम भी मनाना है ।
1233788627726958600,Sat Feb 29 16:18:26 +0000 2020,Just a regular Weekend Special Offer in 2020. https://t.co/lw1ROqlefV
1233610565093744600,Sat Feb 29 04:30:52 +0000 2020,RT @elegantlywasted: Looking forward to @ZomatoIN Design Huddle today - some promising sessions and you get to meet the all the troublemake…
1233258872195825700,Fri Feb 28 05:13:22 +0000 2020,RT @scoutdesk: Roger Waters of Pink Floyd reads Aamir Aziz's 'Sab Yaad Rakha Jayega' and slays Narendra Modi. #DelhiRiots2020 https://t.co/…
1232736434802643000,Wed Feb 26 18:37:23 +0000 2020,RT @Sameera22: Wow! @chrislhayes did not hold back his anger tonight:   “While President Trump was in India this is what it looked like in…
1232735310401941500,Wed Feb 26 18:32:55 +0000 2020,RT @dhruv_rathee: Why is Delhi Police destroying CCTV Cameras?   This has happened again and again. What do they want to hide? Are they the…
1232515296726044700,Wed Feb 26 03:58:40 +0000 2020,RT @vinaykesari: There's a govt. supported pogrom against Muslims happening in the national capital right now. There's really no other conc…
1232366421574930400,Tue Feb 25 18:07:05 +0000 2020,RT @rkarnad: I'm at Mustafabad, near the Loni Border, and new fires (set post-9pm) are burning in front of our eyes - Muslim jhuggis and te…
1232254056615137300,Tue Feb 25 10:40:35 +0000 2020,RT @Kritika_Kamra: Please let’s stop calling them pro CAA. Let’s call them what they are - Anti Muslim. They don’t give a damn about CAA..…
1232214293736763400,Tue Feb 25 08:02:35 +0000 2020,RT @abhisar_sharma: Resign @AmitShah ji. You are one of the most incompetent Home ministers of independent India.
1231983881538039800,Mon Feb 24 16:47:01 +0000 2020,RT @ikaveri: In photos: CAA supporters attack Muslims at Delhi protest, hurl stones and petrol bombs  https://t.co/vcIYXbJpbH via @scroll_i…
1231983396080898000,Mon Feb 24 16:45:05 +0000 2020,RT @ashlinpmathew: Stones being brought in last night near Bhajanpur for today’s violence.   Do not miss the #saffron flag fluttering on th…
1231983041045815300,Mon Feb 24 16:43:40 +0000 2020,RT @shammybaweja: The sight of burning shops, smoke filling the sky, goons on the streets is frightening. Its happening in Delhi. Reminds m…
1231980170053025800,Mon Feb 24 16:32:16 +0000 2020,RT @JasjeevSinghTOI: This is Khajuri Khas, Wazirabad main road. A shop is burning. Heavy stone pelting. Notice what the cops are doing thou…
1223098154486157300,Fri Jan 31 04:18:18 +0000 2020,RT @ZomatoAUS: Brisbane! Zomato Gold is here! 💥💥 Enjoy flat discounts at the best restaurants in the city!  Get your membership at a specia…
1223098059980066800,Fri Jan 31 04:17:56 +0000 2020,RT @ZomatoAUS: Sydney! Zomato Gold is here! 💥💥 Enjoy flat discounts at the best restaurants in the city!  Get your membership at a special…
1214579519484354600,Tue Jan 07 16:08:17 +0000 2020,RT @kunalb11: https://t.co/aYuCyZvMaC
1214258886057681000,Mon Jan 06 18:54:12 +0000 2020,RT @MrVijayVarma: Mandir bana rahe hai Ram ka.. harkatein saari Raavan ki. #fuckfascistbjp
1213893551429304300,Sun Jan 05 18:42:30 +0000 2020,RT @anandmahindra: It doesn't matter what your politics are. It doesn't matter what your ideology is. It doesn't matter what your faith is.…
1213886040798199800,Sun Jan 05 18:12:39 +0000 2020,RT @Shaunnaroder: Shocking and horrifying videos of #ABVPgoons in #JNU, masked, with rods in their hands breaking into hostels and beating…
1210279803821207600,Thu Dec 26 19:22:45 +0000 2019,RT @BucketheadCase: Oh no look at JNU students wasting taxpayer money. https://t.co/7ub0Txbvty
1209148909324386300,Mon Dec 23 16:28:59 +0000 2019,@NetflixIndia We want Bhojpuri audio
1207742413520826400,Thu Dec 19 19:20:04 +0000 2019,RT @abhinitk: Which pig is the fascist pig? #MumbaikarsAgainstCAB #Reject_CAA_NRC #RejectNRC #Emergency2019 #internetshutdown #IndiaRejects…
1207741193691381800,Thu Dec 19 19:15:13 +0000 2019,RT @kanhaiyakumar: The primary duty of an Indian Citizen today is to protect the Indian Constitution from the Indian Government.  Don't be…
1207732358998188000,Thu Dec 19 18:40:07 +0000 2019,RT @sayantansunnyg: Sex is fine but have you ever screwed a fascist government?
1207347020224053200,Wed Dec 18 17:08:55 +0000 2019,RT @RuthlessUx: Being silent is being an accomplice in oppression. #designtwitter #Bangalore let's get out of you glass buildings 2 #Protes…
1206781128352383000,Tue Dec 17 03:40:16 +0000 2019,RT @PDLComics: after this https://t.co/abG3l6bcGZ
1205822238278049800,Sat Dec 14 12:09:59 +0000 2019,RT @pepper_smoker: Sarfaroshi ki tamanna ab hamare dil mein hai... #IndiaAgainstCAB  #RejectCAB #CitizenshipAmendmentAct2019 Jamia, Delhi.…
1205458602674143200,Fri Dec 13 12:05:01 +0000 2019,@FURLENCO had a great experience!
1204067594027749400,Mon Dec 09 15:57:39 +0000 2019,RT @deepigoyal: Zomaland Delhi (December 13, 14, 15) will feature over 1000+ dishes from 70+ of the best restaurants in town and our bigges…
1201447050266566700,Mon Dec 02 10:24:33 +0000 2019,RT @Zomato: Here's a walk through our process of building the all new Search and Discovery experience at Zomato.  https://t.co/Sl9EOaQ5F6 h…
1195265859511435300,Fri Nov 15 09:02:42 +0000 2019,@GrprtBedi Thanks :)  Sure, outside hall 1 at 4PM tea break?
