id,created_at,text
1261332550921961500,Fri May 15 16:28:09 +0000 2020,RT @LearnLeapFly: We post a lot of content for parents and teachers. This one's for all of us right now. "Advice For Dealing With Uncertain…
1261263135459217400,Fri May 15 11:52:19 +0000 2020,RT @catherine_lucey: Eventually, the reporter’s glasses slipped from her face and broke on the ground. Ms. Robbins picked them up and walke…
1261082805515190300,Thu May 14 23:55:45 +0000 2020,@irrationalRobot Our lunch routine is me saying to both of them YOU KNOW WHERE THE FOOD IS I’M WORKING
1261081069425774600,Thu May 14 23:48:51 +0000 2020,One of the least predictable things I’m thankful for right now is having a teenager. He’s honestly such a comfort.
1261037473712480300,Thu May 14 20:55:37 +0000 2020,Fascinating read...  We are likely closer to the beginning of QAnon's story than the end. To look at the group, wri… https://t.co/iKDzcGFc3M
1260976379249787000,Thu May 14 16:52:51 +0000 2020,RT @dparvaz: Rick Bright: "We're in deep shit" when speaking of mask shortage he warned of.
1260933970323099600,Thu May 14 14:04:20 +0000 2020,WATCH: Ousted Scientist Says 'Window Of Opportunity' To Fight Coronavirus Is Closing https://t.co/2N8pUXJbkJ
1260895153558040600,Thu May 14 11:30:05 +0000 2020,RT @jrosenbaum: . @HawleyMO laid out many of these details mentioned in this press release to me when I talked to him earlier this spring.…
1260895011236913200,Thu May 14 11:29:31 +0000 2020,RT @jrosenbaum: INBOX: @SenCoryGardner teaming up with @HawleyMO on plan known as Rehire America. It would involve the federal government d…
1260754509179076600,Thu May 14 02:11:13 +0000 2020,@meowdiao 🤣
1260752208146071600,Thu May 14 02:02:04 +0000 2020,RT @tgjelten: Share Your Thoughts: How Church May Change After The Coronavirus  https://t.co/wk0lCS1lvk
1260751905011236900,Thu May 14 02:00:52 +0000 2020,@meowdiao In the past 24 hrs I’ve been told that I am “not ugly” (a compliment? a backhanded slam? I have no idea!)… https://t.co/A2PF0k09OD
1260674479837061000,Wed May 13 20:53:12 +0000 2020,Black Leaders In Virginia To Gov. Northam: It's Too Soon To Reopen https://t.co/VxxTOD3edb
1260644534985212000,Wed May 13 18:54:13 +0000 2020,NEW: Prompted by concerns about racial health disparities, @VaBlackCaucus expresses “strong opposition” to… https://t.co/YuoUyjyYfD
1260638458927816700,Wed May 13 18:30:04 +0000 2020,@myrnajohnson Thanks! Hope all is well with you!
1260637980827570200,Wed May 13 18:28:10 +0000 2020,RT @MilesParks: FRIENDS! we at @nprpolitics want to answer questions YOU have about voting in the time of a pandemic. Can be super basic or…
1260637606662099000,Wed May 13 18:26:41 +0000 2020,@scottdetrow Hey, friend. Let me join everyone else in saying - you're not alone. I feel this. It's a daily struggl… https://t.co/FAJNJ9nzpc
1260632570431234000,Wed May 13 18:06:40 +0000 2020,RT @NPRextra: 🎉 Congratulations to NPR's Gracie Award Winners, @HannaRosin; @sarahmccammon; @ElissaNadworny; @clare_lom, and all of our pub…
1260608929861689300,Wed May 13 16:32:44 +0000 2020,RT @ElissaNadworny: ✨SO exciting to have our story about PERIODS honored with a Gracie Award for radio reporting✨✨  As teen Raizel Febles s…
1260603115880972300,Wed May 13 16:09:38 +0000 2020,Honored to be in some excellent company in receiving one of this year’s Gracies for radio reporting. 🙏🏼  Gracie Awa… https://t.co/xK5v2zHMJf
1260601048705704000,Wed May 13 16:01:25 +0000 2020,RT @BPaves: LG Justin Fairfax is requesting Gov. Northam form a Racial Disparities Task Force, citing data showing 2/3 of Virginia's cases…
1260596840434720800,Wed May 13 15:44:42 +0000 2020,RT @Mary_zieglerfsu: Wonder what's going on with the Covid-19 abortion bans or what will dictate their fate in the courts? @rrebouche and I…
1260567799438676000,Wed May 13 13:49:18 +0000 2020,My 9yo apparently made some alterations to this photo (in green)... #WearAMask https://t.co/s32Gb2mi1R
1260533940294729700,Wed May 13 11:34:45 +0000 2020,RT @spulliam: “The widespread belief that people should wear masks and restrict their contact with people outside their homes is striking.…
1260517951960166400,Wed May 13 10:31:13 +0000 2020,RT @NPRinskeep: Sentence after sentence, this clip only grows more astonishing.
1260359848551727000,Wed May 13 00:02:58 +0000 2020,RT @jameshohmann: Breaking: Federal judge puts on hold the Trump Justice Dept's move to dismiss Michael Flynn’s guilty plea so he can hear…
1260320841964937200,Tue May 12 21:27:59 +0000 2020,Good HEAVENS I am tired of being asked about FOOD. #WFH
1260316223461560300,Tue May 12 21:09:37 +0000 2020,Virginia To Partially Reopen This Week, But Not In The Areas Closest To D.C. https://t.co/ARfnxVyBsS
1260308361905569800,Tue May 12 20:38:23 +0000 2020,RT @colemancm: Loved this @sarahmccammon @NPR look back at what women’s lives were like before and just after FDA approval of the pill. As…
1260250772958314500,Tue May 12 16:49:33 +0000 2020,I needed this today. https://t.co/1ZwRmNWhB2
1260236585334976500,Tue May 12 15:53:10 +0000 2020,RT @BPaves: Northam says he anticipates General Assembly will consider legislation in an August special session that would allow for the re…
1260211739229999000,Tue May 12 14:14:26 +0000 2020,WATCH LIVE: Fauci To Warn Of 'Danger' If Country Opens Too Quickly In Senate Hearing https://t.co/wdZdxnZPNx
