id,created_at,text
1260925005673742300,Thu May 14 13:28:42 +0000 2020,RT @MarlowNYC: trump vs. reality https://t.co/LYntMRqdwl
1260743273645256700,Thu May 14 01:26:34 +0000 2020,@mandy_velez @TimHerrera omg!!!! this is like the plot to a 90s olsen twin movie
1260736654861578200,Thu May 14 01:00:16 +0000 2020,She just seems like the most genuine, smart and impossibly kind person and I'm overwhelmed by how.. good she is all the time?????
1260736222248554500,Thu May 14 00:58:33 +0000 2020,finally watching Becoming on Netflix and hooo boy do I miss Michelle Obama.
1260710235582365700,Wed May 13 23:15:17 +0000 2020,RT @ncolphillip: Taylor, a 26-year-old certified EMT worker who worked for 2 local hospitals and was asleep at the time, was shot 8 times.…
1260298950860513300,Tue May 12 20:00:59 +0000 2020,FaceTiming with a 9yo like https://t.co/vd5SVzLxHx
1260291097168941000,Tue May 12 19:29:47 +0000 2020,honestly waiting for the pitch email that starts   TKTK coronavirus acknowledgement formality TKTKTK
1260290019866132500,Tue May 12 19:25:30 +0000 2020,has an email EVER found me well? hard to say
1260277460274479000,Tue May 12 18:35:36 +0000 2020,@lpbradley pattison's pasta pillows?  thats amore
1260277244729180200,Tue May 12 18:34:44 +0000 2020,RT @lpbradley: Everyone please admire @sarahnrogers' INCREDIBLE Robert Pattinson Pasta art https://t.co/lIQsDbn0et https://t.co/EnqVxfKL9Q
1260232425721999400,Tue May 12 15:36:38 +0000 2020,wow ok I'm late but the office reunion zoom wedding made me cry a lot
1260046077010628600,Tue May 12 03:16:09 +0000 2020,RT @ewarren: More than 80,000 people are dead, Senator. Is there a number that would make this more urgent for you?
1259674827302060000,Mon May 11 02:40:57 +0000 2020,@KELLYWEILL It didn’t look broken and we asked if he needed help and he laughed it off.  I think he was just very high!
1259674102329233400,Mon May 11 02:38:04 +0000 2020,RT @EmilyFlake: Who knew Fiona Apple would be the one to make “fetch” happen
1259673413356081200,Mon May 11 02:35:20 +0000 2020,@KELLYWEILL Once a waiter who was very visibly tweaking at a Denny’s in Florida apologized as he brought our food a… https://t.co/J2AZheUpv8
